mp,timeStamp,mean,skew
20.35,1675088883257,8334.88616836471,-8314.53616836471
20.35,1675088891993,8024.528214678271,-8004.178214678271
20.35,1675088894968,7899.175605701749,-7878.825605701749
20.35,1675088951558,6767.84204521771,-6747.492045217709
20.36,1675089030224,5957.034192840295,-5936.674192840295
20.38,1675089033613,5982.944138966453,-5962.564138966452
20.38,1675089036503,6030.030699934433,-6009.650699934433
20.38,1675089042865,6115.369472716422,-6094.989472716422
20.36,1675089046148,6164.356383790072,-6143.996383790072
20.36,1675089055809,6307.012645176623,-6286.652645176623
20.35,1675089059416,6326.596684699297,-6306.246684699297
20.29,1675089069241,6364.787914763141,-6344.497914763141
20.3,1675089073382,6366.88302010806,-6346.58302010806
20.35,1675089092972,6419.789272777846,-6399.439272777846
20.34,1675089100917,6452.912152856691,-6432.572152856691
20.31,1675089118566,6492.441864992279,-6472.131864992279
20.31,1675089124144,6505.669604838039,-6485.359604838039
20.32,1675089129858,6538.585935440423,-6518.265935440423
20.35,1675089135533,6556.442697603075,-6536.092697603075
20.33,1675089144327,6533.379597925012,-6513.049597925012
20.3,1675089150745,6512.410997134936,-6492.110997134936
20.3,1675089172627,6494.927831614222,-6474.627831614222
20.29,1675089182900,6490.732055262733,-6470.442055262733
20.29,1675089191607,6489.313053230739,-6469.023053230739
20.27,1675089202197,6493.591378284598,-6473.321378284598
20.27,1675089216515,6482.225944368519,-6461.955944368518
20.28,1675089224786,6464.628664444919,-6444.348664444919
20.28,1675089233183,6445.422927727461,-6425.142927727461
20.27,1675089241630,6440.960608870608,-6420.690608870607
20.28,1675089250277,6423.022139771424,-6402.742139771424
20.27,1675089262315,6401.3163738276935,-6381.046373827693
20.27,1675089274826,6397.470104139001,-6377.200104139
20.25,1675089284406,6380.5200760256275,-6360.2700760256275
20.23,1675089294005,6370.490244204544,-6350.2602442045445
20.24,1675089303752,6357.610879296303,-6337.370879296303
20.26,1675089313749,6347.213674514416,-6326.953674514416
20.24,1675089323825,6320.476522685948,-6300.236522685948
20.27,1675089333881,6315.013381393236,-6294.743381393236
20.28,1675089347574,6335.887685157809,-6315.607685157809
20.28,1675089358157,6346.060903124154,-6325.780903124154
20.26,1675089371994,6355.492686449801,-6335.232686449801
20.26,1675089386212,6346.45897209387,-6326.19897209387
20.25,1675089407255,6303.3640066723565,-6283.1140066723565
20.22,1675089420002,6303.916051935081,-6283.6960519350805
20.22,1675089442457,6275.751858811743,-6255.5318588117425
20.24,1675089455611,6263.999852506128,-6243.7598525061285
20.27,1675089475623,6301.588614129785,-6281.318614129785
20.25,1675089489533,6310.614881267695,-6290.364881267695
20.24,1675089503678,6308.709680705901,-6288.469680705901
20.27,1675089518040,6309.34578748418,-6289.075787484179
20.28,1675089532482,6319.849369714042,-6299.569369714042
20.3,1675089546981,6334.283361732695,-6313.983361732695
20.32,1675089561665,6355.093744297416,-6334.773744297417
20.32,1675089579599,6346.456071091079,-6326.136071091079
20.32,1675089594845,6341.919696634895,-6321.599696634896
20.32,1675089610224,6335.386920831865,-6315.066920831865
20.32,1675089628250,6329.876712001112,-6309.556712001112
20.29,1675089643866,6326.329474051409,-6306.039474051409
20.26,1675089662963,6316.958102902903,-6296.698102902903
20.27,1675089679227,6328.821524026969,-6308.551524026969
20.26,1675089695737,6323.562273172904,-6303.302273172903
20.27,1675089712349,6328.702006857342,-6308.432006857342
20.28,1675089732530,6362.936636060841,-6342.656636060841
20.28,1675089762668,6456.520590963979,-6436.240590963979
20.32,1675089784248,6456.837766852159,-6436.517766852159
20.33,1675089812821,6463.989236764849,-6443.659236764849
20.34,1675089832682,6475.884149762911,-6455.544149762911
20.37,1675089852709,6482.565947687959,-6462.195947687959
20.37,1675089872671,6485.506915637269,-6465.136915637269
20.38,1675089892889,6486.4377730202705,-6466.05777302027
20.37,1675089916606,6474.469895236027,-6454.099895236027
20.39,1675089937813,6480.2253722320165,-6459.835372232016
20.38,1675089958863,6487.297947379791,-6466.917947379791
20.36,1675089979917,6492.851568578424,-6472.491568578424
20.35,1675090001212,6495.145837097887,-6474.795837097887
20.38,1675090022705,6498.643222711034,-6478.263222711033
20.4,1675090047431,6510.630886800052,-6490.230886800053
20.41,1675090072585,6497.974046302362,-6477.564046302362
20.43,1675090095216,6502.561191372811,-6482.1311913728105
20.44,1675090117983,6492.075494327206,-6471.635494327206
20.44,1675090141156,6487.784361023065,-6467.344361023065
20.46,1675090164467,6493.039607956547,-6472.579607956547
