mp,timeStamp,mean,skew
13.36,1689012047342,3815.476875746693,-3802.116875746693
13.36,1689012053546,3935.6430348358613,-3922.283034835861
13.36,1689012062624,4086.64891026667,-4073.28891026667
13.36,1689012068438,4139.449764725052,-4126.089764725052
13.35,1689012081125,4048.666090745375,-4035.3160907453753
13.35,1689012090366,3984.446276843861,-3971.0962768438612
13.35,1689012093128,3969.6848809319786,-3956.3348809319787
13.35,1689012095931,3957.1568807268072,-3943.8068807268073
13.35,1689012105489,3914.57012368558,-3901.22012368558
13.35,1689012111541,3894.407188393875,-3881.057188393875
13.35,1689012120565,3875.040637510536,-3861.690637510536
13.35,1689012126145,3863.2356922663957,-3849.885692266396
13.35,1689012142507,3837.4382170888616,-3824.0882170888617
13.35,1689012155822,3827.4246758682375,-3814.0746758682376
13.35,1689012165484,3813.1046689422733,-3799.7546689422734
13.35,1689012169042,3807.979436801397,-3794.629436801397
13.35,1689012178894,3795.156676293868,-3781.806676293868
13.35,1689012186162,3790.5511467078377,-3777.201146707838
13.35,1689012189862,3789.418878711491,-3776.068878711491
13.35,1689012193430,3787.4951067302036,-3774.1451067302037
13.35,1689012196688,3785.5856346048377,-3772.2356346048377
13.35,1689012204171,3781.802467434209,-3768.452467434209
13.35,1689012210983,3778.203089960456,-3764.853089960456
13.35,1689012221192,3774.8157731759693,-3761.4657731759694
13.35,1689012231321,3769.7780471338733,-3756.4280471338734
13.35,1689012235473,3767.942948403155,-3754.592948403155
13.35,1689012238740,3766.1683746495264,-3752.8183746495265
13.35,1689012254992,3755.230570505728,-3741.880570505728
13.35,1689012258788,3755.1684035142453,-3741.8184035142453
13.35,1689012266792,3753.6877431393564,-3740.3377431393565
13.35,1689012270762,3751.777764070148,-3738.427764070148
13.35,1689012274656,3750.267159668523,-3736.9171596685233
13.35,1689012287922,3744.812128355834,-3731.462128355834
13.34,1689012308074,3735.6029552736863,-3722.262955273686
13.34,1689012313215,3735.2661535660436,-3721.9261535660435
13.34,1689012318406,3734.8133793479637,-3721.4733793479636
13.34,1689012330091,3733.3339931277014,-3719.9939931277013
13.34,1689012336077,3732.89864067051,-3719.5586406705097
13.35,1689012342395,3732.1310908084533,-3718.7810908084534
13.35,1689012348059,3731.8266055454224,-3718.4766055454224
13.35,1689012357816,3731.961806094913,-3718.611806094913
13.35,1689012363842,3731.6345322110346,-3718.2845322110347
13.35,1689012373294,3728.9864564512063,-3715.6364564512064
13.35,1689012386148,3724.430875474798,-3711.080875474798
13.35,1689012392957,3722.8288186111686,-3709.4788186111687
13.35,1689012406321,3719.580860639741,-3706.230860639741
13.35,1689012413668,3718.287617511998,-3704.9376175119983
13.35,1689012421076,3717.73385372513,-3704.38385372513
13.35,1689012431746,3716.063474179458,-3702.713474179458
13.35,1689012439613,3715.3208126956256,-3701.9708126956257
13.35,1689012447560,3715.6572474356267,-3702.307247435627
13.35,1689012455641,3714.9421573446302,-3701.5921573446303
13.35,1689012463924,3713.4938775687124,-3700.1438775687125
13.35,1689012478578,3709.9808866835983,-3696.6308866835984
13.35,1689012487263,3708.987914205489,-3695.637914205489
13.35,1689012499284,3707.997933495457,-3694.647933495457
13.35,1689012508411,3706.818524643175,-3693.468524643175
13.35,1689012520996,3705.760283995424,-3692.410283995424
13.35,1689012533554,3703.423668663406,-3690.073668663406
13.35,1689012550315,3699.9502538011993,-3686.6002538011994
13.35,1689012561063,3698.6799232344447,-3685.329923234445
13.35,1689012581594,3694.8465003690126,-3681.4965003690127
13.35,1689012596535,3692.9817306100226,-3679.6317306100227
13.34,1689012608231,3692.952654103441,-3679.612654103441
13.34,1689012620078,3694.0771113445103,-3680.73711134451
13.34,1689012634844,3695.666291641059,-3682.326291641059
13.34,1689012649723,3696.065734760303,-3682.7257347603027
13.34,1689012661734,3696.4430463850113,-3683.103046385011
13.35,1689012680389,3702.758572252982,-3689.408572252982
13.35,1689012699474,3709.7767009359577,-3696.426700935958
13.35,1689012719647,3724.330559287169,-3710.980559287169
13.35,1689012736726,3733.2691655782496,-3719.9191655782497
13.35,1689012757453,3746.782553405865,-3733.4325534058653
13.35,1689012772147,3750.6532286477773,-3737.3032286477774
13.35,1689012787044,3754.3270961389226,-3740.9770961389227
13.36,1689012801964,3753.5296418136927,-3740.1696418136926
13.36,1689012820372,3751.378634973637,-3738.018634973637
13.36,1689012839829,3750.1428172795736,-3736.7828172795735
13.35,1689012862153,3753.45746141357,-3740.10746141357
13.35,1689012881901,3757.9730930756104,-3744.6230930756105
13.35,1689012898646,3760.49283356597,-3747.1428335659702
13.35,1689012915808,3762.2866525176296,-3748.9366525176297
13.34,1689012934147,3760.8165892445018,-3747.4765892445016
13.34,1689012952020,3758.768662152133,-3745.428662152133
13.35,1689012973436,3758.153996837542,-3744.803996837542
13.34,1689012991706,3756.2719995020875,-3742.9319995020874
