bc,ac,tbv,tav,time,mp,minBid
1276773.84,11749130.01,303004.78,245479.44,1690846560413,12.82,12.76
1280543.86,11748317.75,303302.56,245415.59,1690846563123,12.82,12.76
1275556.63,11748804.67,302909.48,245453.47,1690846566235,12.82,12.76
1281595.74,11747953.57,303384.81,245387.19,1690846569172,12.82,12.76
1282205.56,11747546.17,303432.41,245355.46,1690846572300,12.82,12.76
1276822.50,11749191.71,303008.51,245483.66,1690846575171,12.82,12.76
1276752.03,11749191.71,303003.13,245483.66,1690846578272,12.82,12.76
1276755.90,11749191.71,303003.20,245483.66,1690846581246,12.82,12.76
1281756.22,11749191.71,303397.53,245483.66,1690846584097,12.82,12.76
1281756.22,11749191.71,303397.53,245483.66,1690846587483,12.82,12.76
1276756.23,11749191.71,303003.20,245483.66,1690846590135,12.82,12.76
1281957.90,11749191.71,303413.40,245483.66,1690846593426,12.82,12.76
1276957.90,11749191.71,303019.08,245483.66,1690846596096,12.82,12.76
1276962.84,11749193.79,303019.08,245483.88,1690846599159,12.82,12.76
1277089.85,11749736.83,303028.24,245526.55,1690846602116,12.82,12.76
1277089.85,11749736.83,303028.24,245526.55,1690846605138,12.82,12.76
1277089.85,11749737.13,303028.24,245526.55,1690846608325,12.82,12.76
1280949.64,11749880.24,303331.88,245537.71,1690846611171,12.82,12.76
1280078.59,11749881.34,303264.44,245537.75,1690846614117,12.82,12.76
1275163.28,11749882.94,302878.47,245537.92,1690846617292,12.82,12.76
1280164.66,11749882.94,303271.29,245537.92,1690846620171,12.82,12.76
1280164.66,11749882.94,303271.29,245537.92,1690846623189,12.82,12.76
1275163.28,11749882.94,302878.47,245537.92,1690846626230,12.82,12.76
1280164.57,11749882.94,303271.29,245537.92,1690846629113,12.82,12.76
1275163.28,11749882.94,302878.47,245537.92,1690846632095,12.82,12.76
1280633.49,11740461.78,303306.93,244802.34,1690846635146,12.82,12.76
1279775.90,11746457.59,303240.18,245270.41,1690846638243,12.82,12.76
1275874.17,11746457.59,302933.66,245270.41,1690846641157,12.82,12.76
1280875.27,11746457.59,303326.46,245270.41,1690846644198,12.82,12.76
1280875.23,11746429.67,303326.46,245268.24,1690846647159,12.82,12.76
1280875.23,11746365.57,303326.46,245263.24,1690846650654,12.82,12.76
1275874.51,11746365.57,302933.66,245263.24,1690846653168,12.82,12.76
1275864.11,11746365.57,302932.88,245263.24,1690846656160,12.82,12.76
1275864.11,11746355.63,302932.88,245262.46,1690846659097,12.82,12.76
1275864.78,11746355.63,302932.88,245262.46,1690846662117,12.82,12.76
1275677.23,11742469.09,302918.06,244959.74,1690846665180,12.82,12.76
1275682.26,11746575.32,302918.06,245279.26,1690846668225,12.82,12.76
1280683.17,11746575.95,303310.84,245279.26,1690846671245,12.82,12.76
1281181.50,11746572.32,303349.90,245279.26,1690846674264,12.82,12.76
1281181.50,11746572.32,303349.90,245279.26,1690846677142,12.82,12.76
1276180.01,11746572.32,302957.12,245279.26,1690846680558,12.82,12.76
1276180.67,11746572.32,302957.12,245279.26,1690846683153,12.82,12.76
1281180.79,11746572.32,303349.89,245279.26,1690846686175,12.82,12.76
1281182.79,11746575.79,303349.89,245279.26,1690846689192,12.82,12.76
1281182.79,11746575.79,303349.89,245279.26,1690846692381,12.82,12.76
1275968.29,11746301.68,302940.42,245257.89,1690846695161,12.82,12.76
1274555.27,11740301.48,302830.47,244789.84,1690846698169,12.82,12.76
1284252.89,11731667.31,303589.38,244115.59,1690846701208,12.82,12.76
1284252.85,11731166.86,303589.37,244076.60,1690846704174,12.82,12.76
1291256.49,11710634.68,304127.49,242468.63,1690846707254,12.82,12.76
1291267.72,11720282.69,304128.89,243219.93,1690846710295,12.82,12.76
1291267.72,11750997.24,304128.89,245611.23,1690846713218,12.82,12.76
1285329.91,11742607.03,303659.96,244957.04,1690846716492,12.83,12.76
1290329.92,11742608.99,304053.97,244957.04,1690846719234,12.83,12.76
1287409.72,11744474.29,303825.52,245102.16,1690846722506,12.83,12.76
1282409.71,11744474.29,303431.51,245102.16,1690846725287,12.83,12.76
1288240.00,11743655.34,303883.88,245038.38,1690846728244,12.83,12.76
1292264.26,11736984.78,304194.32,244516.92,1690846731176,12.83,12.76
1297265.74,11736985.39,304587.03,244516.92,1690846734255,12.83,12.76
1300195.97,11737376.76,304816.02,244547.91,1690846737192,12.83,12.76
1294395.10,11739166.73,304360.86,244687.39,1690846740192,12.83,12.76
1295195.10,11737898.04,304423.31,244588.45,1690846743201,12.83,12.76
1295406.48,11659648.04,304431.11,238495.43,1690846746191,12.84,12.76
1298770.51,11744661.49,304695.54,245095.68,1690846749347,12.83,12.76
1291812.14,11758965.19,304150.35,246209.76,1690846752256,12.83,12.76
1297121.45,11756822.33,304566.88,246042.67,1690846755197,12.83,12.76
1297101.67,11757043.71,304565.34,246060.28,1690846758204,12.83,12.76
1297901.54,11757845.58,304627.78,246122.58,1690846761317,12.83,12.76
1297901.54,11757845.58,304627.78,246122.58,1690846764241,12.83,12.76
1300285.28,11757845.58,304813.70,246122.58,1690846767206,12.83,12.76
1300285.28,11757947.88,304813.70,246130.15,1690846770366,12.83,12.76
1299787.21,11747397.25,304773.64,245308.21,1690846773296,12.84,12.76
1294787.57,11747397.25,304380.95,245308.21,1690846776340,12.84,12.76
1294788.03,11747000.73,304380.95,245277.34,1690846779243,12.84,12.76
1294788.03,11747395.34,304380.95,245307.55,1690846782330,12.84,12.76
1294788.03,11747395.34,304380.95,245307.55,1690846785517,12.84,12.76
1294089.21,11747134.98,304326.15,245287.04,1690846788788,12.84,12.76
1299095.62,11747134.98,304719.82,245287.04,1690846792218,12.84,12.76
1295199.03,11747133.91,304413.62,245287.06,1690846795655,12.84,12.76
1300199.19,11745268.77,304807.32,245141.91,1690846799142,12.84,12.76
1282713.49,11750539.67,303444.75,245557.96,1690846802648,12.83,12.76
1288813.84,11751388.22,303924.73,245624.04,1690846805681,12.83,12.76
1282114.59,11733078.88,303397.59,244196.86,1690846809437,12.83,12.76
1282114.56,11735021.45,303397.50,244348.00,1690846813398,12.83,12.76
1292122.75,11733961.92,304178.25,244264.56,1690846816212,12.83,12.76
1300051.25,11735182.46,304800.71,244359.63,1690846819282,12.83,12.76
1294458.40,11736029.48,304360.70,244425.67,1690846823387,12.83,12.76
1299707.33,11735686.31,304772.88,244399.06,1690846827618,12.83,12.76
1299905.02,11736881.69,304788.31,244492.09,1690846831786,12.83,12.76
1299909.96,11736881.99,304788.31,244492.09,1690846834834,12.83,12.76
1293850.03,11735280.68,304312.04,244367.15,1690846837874,12.83,12.76
1293444.34,11728893.98,304277.09,243867.25,1690846842503,12.83,12.76
1296077.63,11719293.94,304482.23,243117.43,1690846847037,12.84,12.76
1296400.89,11729733.26,304504.96,243929.09,1690846852263,12.84,12.76
1300527.54,11730393.45,304829.04,243980.30,1690846856975,12.84,12.76
1295527.55,11730393.45,304435.33,243980.30,1690846859993,12.84,12.76
1295123.63,11729661.79,304403.85,243923.32,1690846864795,12.84,12.76
1296194.16,11729569.44,304480.64,243915.58,1690846869653,12.84,12.76
1298574.78,11728075.50,304666.48,243799.41,1690846874627,12.84,12.76
1299433.22,11728348.20,304733.70,243820.63,1690846879673,12.84,12.76
1303690.62,11716918.64,305062.57,242924.88,1690846884812,12.84,12.76
1308939.51,11745411.84,305474.65,245139.14,1690846890002,12.84,12.76
1308944.25,11744552.25,305474.65,245072.15,1690846895443,12.84,12.76
1300779.21,11759698.23,304833.33,246239.82,1690846900798,12.85,12.76
1305759.21,11759698.23,305224.80,246239.82,1690846903787,12.85,12.76
1306034.91,11760157.29,305246.41,246275.52,1690846909399,12.85,12.76
1297763.38,11760102.22,304598.26,246271.23,1690846912352,12.85,12.76
1297650.63,11760024.33,304589.31,246265.56,1690846918261,12.85,12.76
1302663.00,11760024.33,304982.70,246265.56,1690846921257,12.85,12.76
1294904.41,11760024.33,304373.08,246265.56,1690846927347,12.85,12.76
1297655.60,11760024.33,304587.83,246265.56,1690846930376,12.85,12.76
1295238.48,11748883.75,304398.72,245397.52,1690846933384,12.85,12.76
1297434.36,11755265.89,304564.88,245894.50,1690846939820,12.85,12.76
1297434.36,11755266.19,304564.88,245894.50,1690846946369,12.85,12.76
1297452.88,11755180.08,304566.11,245887.44,1690846952954,12.85,12.76
1297452.88,11755051.14,304566.11,245877.45,1690846959705,12.85,12.76
1297435.89,11755051.14,304564.93,245877.45,1690846962703,12.85,12.76
1301901.28,11755035.67,304916.46,245876.62,1690846969565,12.85,12.76
1301901.28,11755035.67,304916.46,245876.62,1690846976593,12.85,12.76
1301906.19,11755017.35,304916.46,245875.19,1690846983609,12.85,12.76
1301896.30,11754904.84,304907.77,245866.08,1690846990741,12.85,12.76
1290225.60,11748889.82,303997.47,245399.10,1690846998110,12.85,12.76
1290488.47,11748890.62,304017.91,245399.07,1690847005471,12.85,12.76
1293049.86,11748280.82,304212.39,245350.26,1690847012857,12.85,12.76
1293992.20,11742546.50,304284.72,244903.81,1690847020460,12.85,12.76
1294497.57,11735859.35,304323.68,244382.99,1690847028094,12.85,12.76
1288341.70,11743010.77,303832.70,244939.97,1690847035824,12.85,12.76
1287626.65,11742326.45,303776.22,244887.10,1690847043560,12.85,12.76
1288413.14,11742792.70,303837.43,244923.97,1690847051443,12.85,12.76
1288414.78,11742794.85,303837.43,244923.97,1690847054433,12.85,12.76
1288413.14,11742794.85,303837.43,244923.97,1690847057398,12.85,12.76
