mp,timeStamp,mean,skew
16.44,1678750406899,6370.448625342465,-6354.008625342465
16.44,1678750413016,6198.770537831857,-6182.330537831857
16.43,1678750415822,6236.067101941745,-6219.637101941745
16.44,1678750421831,6665.347563497853,-6648.9075634978535
16.43,1678750424847,6554.476791882998,-6538.046791882998
16.43,1678750427819,6492.642057262482,-6476.212057262482
16.43,1678750431041,6414.67463898572,-6398.24463898572
16.43,1678750436857,6426.649749057054,-6410.219749057053
16.43,1678750439962,6335.0388584110315,-6318.608858411031
16.43,1678750443052,6261.211178611669,-6244.781178611669
16.43,1678750445860,6213.536496570938,-6197.106496570937
16.43,1678750448983,6216.48225340356,-6200.05225340356
16.45,1678750464323,6051.331428372403,-6034.881428372403
16.44,1678750469942,5814.86844602196,-5798.428446021961
16.45,1678750488089,5248.6110255409385,-5232.161025540939
16.45,1678750491044,5180.098497333653,-5163.648497333653
16.45,1678750497401,5055.295712252167,-5038.845712252167
16.45,1678750500235,4996.43991115933,-4979.98991115933
16.45,1678750512126,4812.78328623342,-4796.33328623342
16.45,1678750518131,4731.634075112076,-4715.184075112076
16.46,1678750530191,4554.7321216295095,-4538.2721216295095
16.46,1678750533321,4521.805788228302,-4505.345788228302
16.46,1678750539318,4458.778183763544,-4442.318183763544
16.46,1678750542272,4431.117599948412,-4414.657599948412
16.47,1678750551328,4383.900711637814,-4367.430711637814
16.47,1678750560539,4399.753803524507,-4383.283803524507
16.47,1678750563530,4404.2629676989845,-4387.792967698984
16.47,1678750566612,4407.683642389922,-4391.213642389922
16.47,1678750569587,4410.978391917729,-4394.508391917729
16.47,1678750575503,4415.994428357119,-4399.524428357119
16.47,1678750578519,4417.3119698452465,-4400.841969845246
16.46,1678750587736,4345.470851675725,-4329.010851675725
16.46,1678750590699,4322.743196078708,-4306.283196078708
16.46,1678750593646,4308.7230559098025,-4292.2630559098025
16.46,1678750599678,4274.701634871171,-4258.241634871171
16.47,1678750606253,4256.7789419207,-4240.3089419207
16.48,1678750624114,4193.29409493685,-4176.814094936851
16.5,1678750636194,4154.072133915161,-4137.572133915161
16.5,1678750639106,4155.035305121337,-4138.535305121337
16.49,1678750651264,4105.652281374098,-4089.162281374098
16.49,1678750654310,4087.5790035655787,-4071.089003565579
16.49,1678750657269,4073.4696748538304,-4056.9796748538306
16.49,1678750660950,4059.2992156791115,-4042.8092156791117
16.49,1678750663396,4046.599327884725,-4030.109327884725
16.48,1678750666494,4039.213897202032,-4022.733897202032
16.49,1678750678557,4047.662566054627,-4031.172566054627
16.48,1678750687664,4068.716795205976,-4052.236795205976
16.48,1678750690861,4074.863396355987,-4058.383396355987
16.48,1678750693745,4080.986002093927,-4064.506002093927
16.48,1678750697293,4085.760713174217,-4069.280713174217
16.48,1678750706008,4110.233558104101,-4093.7535581041006
16.48,1678750712146,4139.095635805538,-4122.615635805539
16.48,1678750718108,4174.424639750976,-4157.944639750976
16.48,1678750721553,4190.303537118743,-4173.823537118744
16.48,1678750724198,4205.677100531299,-4189.1971005313
16.48,1678750727240,4219.641248658914,-4203.161248658915
16.46,1678750739387,4239.968505385165,-4223.508505385165
16.46,1678750742495,4249.90806271714,-4233.44806271714
16.46,1678750745631,4247.309578526642,-4230.849578526642
16.46,1678750748648,4246.089412810963,-4229.629412810963
16.46,1678750751632,4244.173841017431,-4227.713841017431
16.46,1678750767232,4234.821542350928,-4218.361542350928
16.46,1678750773598,4252.11605837089,-4235.65605837089
16.46,1678750779953,4270.791849848349,-4254.331849848349
16.46,1678750783361,4281.065767110881,-4264.605767110881
16.46,1678750789896,4300.786291913582,-4284.326291913582
16.46,1678750796494,4317.91874307755,-4301.45874307755
16.47,1678750821710,4364.579475435089,-4348.109475435089
16.47,1678750826064,4375.093199760252,-4358.623199760252
16.47,1678750830693,4385.525506735442,-4369.055506735442
16.47,1678750835149,4404.946314857365,-4388.476314857365
16.47,1678750842689,4442.849497178331,-4426.379497178331
16.49,1678750853999,4489.132123492052,-4472.642123492053
16.48,1678750861781,4502.439297441969,-4485.959297441969
16.48,1678750867226,4508.069284272545,-4491.589284272545
16.46,1678750872030,4510.822947048739,-4494.3629470487385
16.46,1678750879950,4524.682823574316,-4508.222823574316
16.45,1678750897195,4584.773562026418,-4568.323562026419
16.45,1678750902685,4592.850140465814,-4576.400140465814
16.45,1678750908219,4600.229399636164,-4583.779399636164
16.45,1678750913612,4607.832885721823,-4591.382885721823
16.46,1678750919178,4623.950382966945,-4607.490382966945
16.46,1678750930897,4666.156962092425,-4649.696962092425
16.46,1678750952161,4706.847518930223,-4690.3875189302225
16.46,1678750958693,4718.839792231551,-4702.379792231551
16.45,1678750965147,4723.295076183021,-4706.845076183021
16.45,1678750974660,4731.592356743613,-4715.142356743613
16.45,1678750981490,4735.820902834132,-4719.370902834132
16.46,1678750988273,4747.714597194258,-4731.254597194258
16.46,1678750995076,4751.544817911368,-4735.084817911368
16.47,1678751001799,4758.778844346161,-4742.308844346161
16.47,1678751011902,4785.264348086533,-4768.794348086532
16.47,1678751031515,4846.835915742742,-4830.365915742742
16.47,1678751045192,4882.3452975017435,-4865.875297501743
16.5,1678751060323,4906.906982833964,-4890.406982833964
16.5,1678751071541,4913.485567921166,-4896.985567921166
16.5,1678751089098,4920.648374216663,-4904.148374216663
16.5,1678751097661,4921.609268640855,-4905.109268640855
16.5,1678751106353,4922.732412759197,-4906.232412759197
16.52,1678751124470,4893.244645203911,-4876.724645203911
16.51,1678751136611,4886.3076616292,-4869.7976616292
16.51,1678751155236,4868.842996818884,-4852.332996818884
16.51,1678751164919,4871.709237410701,-4855.1992374107
16.51,1678751174610,4868.172620225818,-4851.662620225818
16.51,1678751187577,4861.750971262336,-4845.240971262336
16.51,1678751200611,4873.18199232649,-4856.67199232649
16.5,1678751216958,4884.986253381849,-4868.486253381849
16.5,1678751233796,4895.149112217187,-4878.649112217187
16.51,1678751244558,4897.7546528471785,-4881.244652847178
16.5,1678751255479,4900.477642350992,-4883.977642350992
16.5,1678751267831,4902.494749186974,-4885.994749186974
16.5,1678751279173,4904.794046934633,-4888.294046934633
16.5,1678751290176,4906.229958163411,-4889.729958163411
16.48,1678751304313,4913.941271199563,-4897.461271199563
16.48,1678751315995,4918.691725007043,-4902.211725007043
16.48,1678751327334,4921.4644438096,-4904.984443809601
16.49,1678751338777,4929.687829609751,-4913.197829609751
16.49,1678751350404,4936.856418450366,-4920.366418450366
16.48,1678751361932,4932.480461151066,-4916.000461151067
16.48,1678751373573,4928.794843225514,-4912.314843225515
16.48,1678751385261,4925.948017726718,-4909.468017726718
16.48,1678751400387,4920.086201103969,-4903.606201103969
16.49,1678751412557,4926.63299096953,-4910.14299096953
16.5,1678751427751,4944.208328462126,-4927.708328462126
16.49,1678751440232,4951.796452055161,-4935.306452055162
16.5,1678751458880,4969.151223967526,-4952.651223967526
16.49,1678751484107,4984.099433331019,-4967.609433331019
16.49,1678751503633,5002.741301310428,-4986.251301310428
16.49,1678751523455,5008.148622839316,-4991.658622839316
16.48,1678751546800,5020.4186457278,-5003.938645727801
16.48,1678751571011,5037.470474520888,-5020.990474520889
16.49,1678751585902,5046.7236765943435,-5030.233676594344
16.49,1678751600863,5051.5568601129835,-5035.066860112984
16.49,1678751619192,5060.743109844987,-5044.253109844987
16.51,1678751640933,5082.435227623241,-5065.925227623241
16.5,1678751656702,5089.115016403138,-5072.615016403138
16.5,1678751675683,5101.517710636349,-5085.017710636349
16.5,1678751691704,5107.673339021152,-5091.173339021152
16.5,1678751707879,5099.819765216927,-5083.319765216927
16.5,1678751727283,5082.3761380862425,-5065.8761380862425
16.5,1678751749150,5064.044898313346,-5047.544898313346
16.5,1678751766013,5055.306363900446,-5038.806363900446
16.53,1678751782852,5052.932308384846,-5036.402308384846
16.53,1678751806450,5030.696578339918,-5014.1665783399185
16.53,1678751823793,5023.320795842447,-5006.790795842448
16.52,1678751850453,5002.546168661934,-4986.026168661933
16.53,1678751868379,4995.334940053916,-4978.804940053917
16.53,1678751886372,4987.526951013482,-4970.996951013482
16.53,1678751904530,4978.701272625261,-4962.171272625261
16.54,1678751922922,4971.1968814630445,-4954.656881463045
16.54,1678751941452,4963.094680522835,-4946.554680522835
16.54,1678751960063,4958.199928008078,-4941.659928008078
16.54,1678751981824,4945.019223999517,-4928.479223999517
16.55,1678752000754,4945.459521098209,-4928.909521098209
16.55,1678752023112,4948.892288425428,-4932.342288425428
16.55,1678752042353,4947.8882269690685,-4931.338226969068
16.55,1678752061771,4949.999341659746,-4933.449341659746
16.55,1678752081593,4952.023003958486,-4935.473003958486
16.55,1678752101370,4949.566082478547,-4933.016082478547
16.53,1678752121176,4948.590234958906,-4932.060234958906
16.54,1678752141049,4947.106258203422,-4930.566258203422
16.54,1678752164179,4940.944420762969,-4924.404420762969
16.55,1678752184580,4939.828993848609,-4923.2789938486085
16.53,1678752205170,4943.79748536452,-4927.26748536452
16.53,1678752226139,4946.140761163987,-4929.610761163987
16.52,1678752250153,4952.10845106779,-4935.58845106779
16.51,1678752274322,4944.75804365388,-4928.24804365388
16.51,1678752295512,4942.445603941203,-4925.935603941203
16.5,1678752317073,4947.690748603359,-4931.190748603359
16.51,1678752338662,4945.686576047653,-4929.176576047653
16.51,1678752376358,4933.947178451865,-4917.437178451864
16.49,1678752402157,4937.145526520973,-4920.655526520974
16.49,1678752428280,4939.818557756391,-4923.328557756391
16.49,1678752451430,4941.645057765553,-4925.1550577655535
16.48,1678752477795,4935.216618637252,-4918.736618637253
16.5,1678752501388,4937.929391634873,-4921.429391634873
16.5,1678752534628,4949.08244166809,-4932.58244166809
16.51,1678752565398,4958.096526367718,-4941.586526367718
16.57,1678752590549,4955.701212712366,-4939.1312127123665
16.55,1678752615540,4957.490254071553,-4940.940254071553
16.54,1678752640690,4958.224813766283,-4941.684813766283
16.54,1678752666107,4963.49839356803,-4946.95839356803
16.55,1678752691770,4965.90852242891,-4949.35852242891
16.56,1678752717462,4967.469344945292,-4950.909344945291
16.56,1678752743292,4968.961334535519,-4952.401334535519
16.58,1678752769209,4964.139733450399,-4947.559733450399
16.57,1678752795311,4961.414219567528,-4944.844219567528
16.57,1678752821743,4962.728683097002,-4946.158683097003
16.56,1678752848283,4963.96683121796,-4947.40683121796
16.51,1678752875043,4966.312859372951,-4949.8028593729505
16.5,1678752901560,4966.802305122141,-4950.302305122141
16.51,1678752928171,4958.481695827384,-4941.971695827384
16.51,1678752954961,4951.343303317029,-4934.833303317028
16.5,1678752982268,4944.199751340969,-4927.699751340969
16.56,1678753009295,4940.487341666799,-4923.927341666798
16.57,1678753036629,4933.813700607019,-4917.2437006070195
16.59,1678753063995,4928.859889728335,-4912.269889728334
16.54,1678753091607,4923.484190471989,-4906.944190471989
16.57,1678753119131,4921.703840234879,-4905.133840234879
16.57,1678753146823,4919.225070729327,-4902.655070729327
16.57,1678753174613,4920.263711257385,-4903.693711257385
16.55,1678753202692,4917.633120770245,-4901.083120770245
16.56,1678753230808,4915.05079637572,-4898.49079637572
16.57,1678753263309,4915.581300195298,-4899.011300195299
16.56,1678753291837,4917.57521351748,-4901.015213517479
16.58,1678753320384,4915.302042677357,-4898.722042677357
16.57,1678753349141,4914.390997135691,-4897.820997135691
16.58,1678753378024,4913.767911022978,-4897.187911022978
16.56,1678753411269,4915.506762012751,-4898.946762012751
16.59,1678753469733,4914.114384498576,-4897.524384498576
16.58,1678753531892,4915.6401083002165,-4899.060108300217
16.58,1678753561255,4918.056778474616,-4901.476778474616
16.58,1678753591234,4918.883533740259,-4902.303533740259
16.57,1678753621238,4920.381353979902,-4903.811353979902
16.58,1678753651316,4921.140178818547,-4904.560178818547
16.55,1678753681614,4922.5328863377745,-4905.982886337774
16.54,1678753712076,4926.6195706549315,-4910.079570654932
16.55,1678753745531,4927.441041252938,-4910.891041252938
16.55,1678753776210,4925.413362528136,-4908.863362528135
16.55,1678753806960,4923.3820478841,-4906.8320478841
16.55,1678753841236,4918.467477252201,-4901.917477252201
16.55,1678753872472,4920.262612666337,-4903.712612666337
16.57,1678753904049,4925.090558762041,-4908.520558762041
16.59,1678753935687,4926.3402542855665,-4909.750254285566
16.57,1678753967685,4929.026311751488,-4912.456311751488
16.56,1678753999534,4931.449159140378,-4914.889159140377
16.56,1678754034725,4934.321705452482,-4917.761705452482
16.59,1678754067053,4939.755604017895,-4923.165604017895
16.59,1678754099450,4944.4462575183725,-4927.856257518372
16.53,1678754144754,4912.787908708452,-4896.257908708452
16.54,1678754178021,4908.807181138938,-4892.267181138938
16.58,1678754212071,4904.750947760506,-4888.170947760506
16.58,1678754266193,4885.608885293136,-4869.028885293136
16.56,1678754300831,4882.150832670672,-4865.590832670671
16.58,1678754335566,4879.4832365068505,-4862.903236506851
16.58,1678754370656,4879.2555274642,-4862.6755274642
16.57,1678754405825,4881.69563040451,-4865.12563040451
16.6,1678754441092,4881.602313626241,-4865.002313626241
16.59,1678754476316,4878.881927654247,-4862.291927654247
16.54,1678754511652,4876.670730759491,-4860.130730759491
16.56,1678754547084,4881.297770386982,-4864.7377703869815
16.57,1678754582623,4884.893671259176,-4868.323671259176
16.55,1678754618349,4890.696297270503,-4874.146297270503
16.53,1678754657371,4895.176447588718,-4878.646447588718
16.54,1678754693414,4894.140903256959,-4877.600903256959
16.53,1678754729531,4892.869182173043,-4876.339182173043
16.53,1678754765826,4895.259462950128,-4878.729462950128
16.53,1678754802494,4896.729137373258,-4880.199137373258
16.58,1678754842165,4898.304699628769,-4881.7246996287695
16.59,1678754879215,4896.630080699302,-4880.040080699302
16.59,1678754916413,4898.4895315788945,-4881.899531578894
16.57,1678754953710,4899.476390108309,-4882.906390108309
16.59,1678754991350,4903.407315486752,-4886.817315486752
16.57,1678755029085,4906.01714814914,-4889.44714814914
16.58,1678755067054,4907.068318947348,-4890.4883189473485
16.56,1678755105049,4908.053117362214,-4891.4931173622135
16.53,1678755152830,4915.386174783713,-4898.856174783713
16.53,1678755192051,4916.8268319736035,-4900.296831973604
16.55,1678755231137,4917.9575766897715,-4901.407576689771
16.53,1678755270308,4918.606062334817,-4902.076062334817
16.54,1678755312386,4915.966500877179,-4899.426500877179
16.5,1678755358385,4898.353085867762,-4881.853085867762
16.48,1678755407900,4878.0589341430305,-4861.578934143031
16.48,1678755452342,4867.323956112152,-4850.843956112152
16.49,1678755499721,4854.299628331104,-4837.809628331104
16.47,1678755541420,4848.518895036091,-4832.0488950360905
16.47,1678755583153,4845.187048669874,-4828.717048669873
16.48,1678755624918,4841.931353658275,-4825.451353658275
16.48,1678755666829,4838.279190238173,-4821.799190238174
16.44,1678755712176,4833.841636962386,-4817.401636962386
16.43,1678755754723,4833.064631803562,-4816.634631803562
16.42,1678755797510,4829.448935918367,-4813.028935918367
16.43,1678755840450,4826.4221456667365,-4809.992145666736
16.44,1678755883631,4825.167166260406,-4808.727166260406
16.44,1678755933494,4818.663852578588,-4802.223852578589
16.47,1678755980828,4813.732520628019,-4797.262520628019
16.47,1678756028465,4810.880236722204,-4794.410236722204
16.48,1678756073159,4810.481955131853,-4794.001955131854
16.48,1678756117942,4809.869810079862,-4793.389810079862
16.47,1678756163090,4806.774276880455,-4790.304276880454
16.48,1678756208318,4807.480277250318,-4791.0002772503185
16.48,1678756253688,4807.383565298585,-4790.903565298586
16.48,1678756299349,4809.971096307372,-4793.491096307373
16.5,1678756345364,4812.313222086499,-4795.813222086499
16.49,1678756394562,4812.4166327489065,-4795.926632748907
16.46,1678756440824,4810.709101454673,-4794.249101454673
16.45,1678756487793,4813.20223785645,-4796.75223785645
16.45,1678756538437,4816.889366004925,-4800.439366004925
16.47,1678756585739,4817.0814075773405,-4800.61140757734
16.5,1678756649824,4816.113208460939,-4799.613208460939
16.5,1678756698994,4812.875501551667,-4796.375501551667
16.48,1678756754885,4807.194437942354,-4790.714437942354
16.52,1678756808744,4805.198951409888,-4788.678951409887
16.52,1678756859532,4804.54584977362,-4788.0258497736195
16.51,1678756910360,4801.411773236875,-4784.901773236875
16.5,1678756961534,4798.438871206321,-4781.938871206321
16.53,1678757012847,4798.160442241129,-4781.6304422411295
16.51,1678757067835,4797.579325063552,-4781.069325063551
16.5,1678757119804,4796.613348781759,-4780.113348781759
16.49,1678757172030,4799.2893837474485,-4782.799383747449
16.47,1678757224339,4798.674327824399,-4782.204327824399
16.47,1678757276858,4795.964000197815,-4779.494000197815
16.46,1678757329704,4795.129384746109,-4778.669384746109
16.5,1678757386337,4795.670151934618,-4779.170151934618
16.51,1678757442747,4792.6505967261055,-4776.140596726105
16.51,1678757496529,4791.532327895152,-4775.022327895152
16.46,1678757550386,4791.0952178351245,-4774.635217835124
16.47,1678757604649,4793.059648920091,-4776.58964892009
16.49,1678757662284,4792.697202145725,-4776.207202145725
16.5,1678757725052,4794.47522362926,-4777.97522362926
16.49,1678757780101,4793.781546117713,-4777.291546117714
16.47,1678757835814,4791.245719142387,-4774.775719142387
16.5,1678757891367,4789.508083720743,-4773.008083720743
16.5,1678757947059,4789.96042899659,-4773.46042899659
16.53,1678758003299,4789.800002636053,-4773.2700026360535
16.51,1678758059846,4789.63425035914,-4773.12425035914
16.52,1678758123885,4791.30803988922,-4774.788039889219
16.56,1678758186859,4781.111394136233,-4764.551394136232
16.5,1678758250945,4779.988957965568,-4763.488957965568
16.56,1678758308958,4777.054766006686,-4760.4947660066855
16.56,1678758367206,4776.111267689834,-4759.551267689833
16.57,1678758425797,4775.342525517706,-4758.7725255177065
16.58,1678758484968,4774.322925720109,-4757.742925720109
16.58,1678758544250,4771.982089226449,-4755.402089226449
16.57,1678758617075,4767.218996748221,-4750.648996748221
16.52,1678758678159,4762.479988745402,-4745.9599887454015
16.55,1678758739537,4760.596078614864,-4744.046078614864
16.53,1678758801341,4760.99099230227,-4744.46099230227
16.53,1678758869878,4761.445464446249,-4744.91546444625
16.53,1678758936060,4761.890159758022,-4745.360159758022
16.53,1678759002856,4752.027782909532,-4735.497782909532
16.54,1678759067152,4747.301165368487,-4730.761165368487
16.49,1678759134898,4737.008876457935,-4720.518876457935
16.52,1678759206652,4733.528729697464,-4717.008729697463
16.53,1678759272645,4731.319924519984,-4714.789924519984
16.55,1678759342042,4735.715216195684,-4719.165216195684
16.54,1678759409499,4735.548737760422,-4719.008737760422
16.59,1678759483037,4734.850049158636,-4718.260049158635
16.57,1678759560946,4733.547130686367,-4716.977130686368
16.55,1678759633224,4727.032040391762,-4710.482040391762
16.53,1678759709527,4721.14813340253,-4704.6181334025305
16.54,1678759783800,4719.223233827396,-4702.683233827396
16.53,1678759858025,4722.693178064704,-4706.163178064704
