bc,ac,tbv,tav,time,mp,minBid
3192907.88,35799526.57,406843.38,411582.72,1679340608788,16.76,16.69
3188571.41,35787333.33,406593.82,410885.60,1679340611742,16.76,16.69
3186898.21,35799859.87,406623.52,411644.02,1679340614909,16.75,16.68
3190514.34,35797185.56,406828.09,411557.26,1679340618186,16.76,16.68
3189077.25,35783666.79,406756.54,410760.07,1679340621176,16.76,16.68
3189827.18,35778902.14,406800.87,410475.93,1679340623897,16.76,16.68
3202807.54,35799523.25,407557.28,411697.46,1679340626752,16.76,16.68
3197018.83,35791326.09,407180.23,411210.89,1679340629820,16.77,16.68
3199647.07,35785822.81,407336.96,410883.28,1679340632792,16.77,16.68
3195382.85,35788793.11,407070.78,411055.49,1679340635887,16.78,16.68
3205731.26,35798911.26,407686.26,411648.40,1679340638751,16.78,16.68
3209726.22,35797172.77,407924.62,411545.32,1679340641937,16.78,16.68
3204559.89,35793162.50,407611.05,411288.56,1679340645225,16.79,16.68
3192654.99,35794069.28,406886.90,411340.71,1679340647874,16.79,16.68
3212609.79,35801616.02,408078.57,411789.47,1679340650812,16.79,16.68
3218373.18,35796910.10,408419.26,411512.57,1679340653929,16.79,16.68
3222151.69,35799387.58,408643.43,411658.81,1679340656759,16.79,16.68
3218258.83,35801380.68,408411.05,411778.30,1679340659772,16.79,16.68
3221378.70,35781573.09,408599.83,410493.04,1679340662768,16.81,16.68
3220668.30,35794399.65,408558.35,411256.53,1679340665735,16.8,16.68
3214319.22,35797685.74,408178.86,411451.59,1679340668784,16.8,16.68
3214319.22,35798497.94,408178.86,411500.28,1679340671736,16.8,16.68
3221526.25,35800491.54,408607.33,411618.64,1679340674907,16.8,16.68
3215638.21,35787399.79,408249.89,410838.75,1679340677767,16.81,16.68
3209253.78,35793332.38,407838.63,411176.48,1679340680962,16.81,16.68
3202457.05,35789823.76,407435.30,410968.82,1679340683939,16.82,16.68
3205158.20,35789846.16,407585.77,410942.58,1679340686759,16.83,16.68
3211847.13,35787384.81,407980.71,410795.04,1679340689772,16.83,16.68
3208471.40,35787969.91,407771.35,410828.95,1679340692796,16.83,16.68
3198777.82,35797939.56,407199.91,411425.01,1679340696010,16.81,16.68
3204671.35,35802954.57,407551.61,411725.16,1679340698754,16.82,16.68
3171932.33,35797305.04,405666.23,411383.65,1679340701950,16.81,16.68
3183618.88,35796770.68,406362.47,411351.77,1679340704930,16.81,16.68
3186663.34,35802701.44,406543.91,411706.69,1679340707771,16.81,16.68
3194308.47,35795210.55,407021.70,411271.27,1679340711274,16.79,16.68
3199434.38,35798838.28,407326.52,411487.31,1679340713945,16.79,16.68
3213426.09,35803010.94,408157.13,411744.13,1679340716762,16.79,16.68
3213420.60,35804775.73,408156.88,411849.11,1679340720164,16.79,16.68
3200463.80,35805370.62,407361.41,411892.99,1679340722943,16.78,16.68
3200802.49,35791486.93,407380.38,411068.27,1679340725967,16.78,16.68
3205697.72,35796856.81,407670.61,411386.21,1679340728975,16.79,16.68
3204675.38,35785629.75,407606.17,410707.16,1679340731954,16.79,16.68
3204593.23,35800999.65,407606.34,411625.41,1679340734796,16.78,16.68
3214832.34,35802970.70,408249.95,411745.18,1679340737877,16.77,16.68
3204024.85,35803848.18,407608.49,411800.83,1679340741290,16.77,16.68
3205913.28,35800712.19,407720.19,411613.28,1679340744232,16.77,16.68
3186396.11,35798149.68,406553.58,411464.27,1679340746905,16.77,16.68
3199887.29,35798515.89,407358.88,411485.95,1679340749774,16.77,16.68
3200303.06,35798684.12,407384.39,411500.45,1679340752983,16.77,16.68
3193013.78,35795438.61,406950.55,411316.99,1679340755868,16.77,16.68
3188597.71,35798254.29,406694.74,411493.07,1679340758786,16.76,16.68
3184028.67,35801518.01,406472.67,411687.92,1679340761956,16.76,16.68
3211540.53,35806550.94,408111.59,411985.68,1679340764889,16.77,16.68
3224361.14,35796150.42,408876.65,411383.76,1679340768254,16.77,16.68
3212669.16,35786338.50,408168.15,410788.33,1679340770955,16.78,16.68
3204377.99,35799968.44,407649.01,411593.11,1679340773926,16.79,16.68
3186382.85,35789344.49,406580.88,410964.18,1679340776859,16.79,16.68
3205521.76,35802240.37,407724.91,411732.44,1679340779806,16.78,16.68
3198084.85,35780558.34,407281.47,410447.95,1679340782824,16.77,16.68
3207865.99,35793316.48,407922.58,411220.14,1679340785801,16.77,16.68
3193680.71,35776320.78,407048.12,410212.49,1679340788831,16.77,16.68
3202999.81,35787506.18,407608.09,410882.03,1679340791872,16.76,16.68
3199441.30,35784206.25,407393.56,410684.59,1679340794924,16.77,16.68
3193559.96,35792903.87,407039.35,411206.11,1679340797855,16.77,16.68
3189037.34,35798726.14,406774.28,411555.95,1679340800951,16.76,16.68
3204137.14,35796615.41,407682.73,411435.08,1679340803808,16.76,16.68
3197999.74,35786435.79,407316.38,410829.89,1679340806998,16.76,16.68
3199588.28,35796746.14,407408.77,411442.70,1679340809898,16.76,16.68
3206197.60,35789079.16,407806.36,410988.98,1679340812836,16.76,16.68
3216698.17,35795874.03,408433.69,411393.58,1679340815824,16.76,16.68
3201142.56,35797363.01,407503.83,411483.13,1679340818988,16.76,16.68
3203522.87,35781985.86,407636.07,410564.63,1679340821826,16.76,16.68
3213484.39,35806585.41,408236.99,412015.33,1679340824905,16.77,16.68
3220858.43,35793634.41,408670.39,411237.54,1679340827977,16.78,16.68
3194671.26,35795958.49,407097.30,411358.74,1679340830945,16.79,16.68
3197503.10,35809126.04,407266.15,412150.04,1679340833828,16.77,16.68
3184368.79,35804528.57,406487.46,411877.31,1679340837003,16.77,16.68
3191038.77,35810062.77,406890.20,412206.73,1679340839883,16.77,16.68
3197097.40,35804269.02,407250.94,411898.63,1679340843057,16.77,16.68
3185313.54,35806172.64,406550.03,412014.93,1679340846017,16.76,16.68
3197787.45,35796568.78,407304.38,411442.12,1679340848819,16.76,16.68
3186987.10,35797368.23,406668.82,411500.46,1679340851940,16.74,16.67
3194885.41,35790499.52,407138.71,411088.91,1679340854842,16.75,16.67
3202866.52,35789674.84,407612.86,411041.51,1679340857896,16.75,16.67
3190316.20,35794409.76,406862.01,411388.62,1679340860983,16.75,16.67
3222333.98,35796519.43,408772.96,411516.73,1679340863908,16.76,16.67
3218810.10,35806469.12,408562.92,412110.66,1679340866887,16.76,16.67
3228234.55,35801699.92,409125.41,411825.76,1679340869972,16.76,16.67
3213894.20,35805140.90,408269.23,412031.12,1679340872863,16.76,16.67
3213789.41,35804492.84,408262.95,411992.44,1679340876024,16.76,16.67
3213124.93,35803897.81,408223.28,411956.93,1679340879303,16.76,16.67
3199505.86,35802983.96,407392.08,411902.49,1679340882168,16.76,16.67
3191704.26,35800288.58,406923.66,411740.42,1679340885335,16.76,16.67
3210259.98,35803851.63,408009.29,411966.33,1679340888243,16.76,16.67
3210057.09,35794291.63,407997.85,411398.13,1679340891269,16.76,16.67
3208959.72,35793737.59,407929.43,411368.79,1679340894710,16.76,16.67
3202099.47,35798689.49,407519.85,411664.52,1679340898285,16.76,16.67
3209022.03,35837403.02,407933.33,413976.53,1679340901296,16.75,16.67
3188444.09,35803917.04,406709.47,412006.12,1679340904626,16.75,16.67
3196554.62,35801972.96,407194.18,411890.40,1679340908348,16.75,16.67
3197123.65,35816551.39,407228.84,412761.27,1679340912157,16.75,16.67
3197736.04,35816550.92,407265.50,412761.28,1679340915245,16.75,16.67
3204641.45,35754909.45,407668.38,409070.56,1679340918091,16.77,16.67
3205866.61,35779479.54,407767.91,410529.49,1679340922202,16.76,16.67
3208421.71,35770894.39,407917.06,410019.94,1679340926718,16.77,16.67
3216414.09,35770228.75,408389.76,409956.23,1679340929373,16.78,16.67
3201099.75,35777337.24,407475.24,410381.63,1679340932333,16.78,16.67
3198029.22,35784684.41,407278.38,410829.14,1679340936558,16.77,16.67
3197486.34,35782306.82,407246.89,410688.65,1679340939721,16.77,16.67
3203697.39,35756088.15,407616.82,409136.64,1679340944310,16.77,16.67
3196307.41,35758446.17,407139.66,409275.16,1679340947134,16.78,16.67
3204433.26,35779447.71,407625.87,410509.05,1679340950342,16.77,16.67
3204305.92,35778036.01,407618.79,410427.39,1679340953241,16.77,16.67
3193695.21,35764086.51,406983.27,409605.96,1679340957948,16.77,16.67
3203253.14,35777740.14,407554.51,410417.03,1679340963171,16.77,16.67
3210900.66,35756311.25,407996.68,409136.76,1679340965705,16.79,16.67
3212730.83,35776180.20,408111.27,410302.15,1679340970656,16.78,16.67
3217388.07,35805669.14,408386.73,412033.73,1679340975754,16.78,16.67
3219168.13,35789434.30,408482.48,410969.24,1679340980878,16.81,16.67
3211803.07,35795996.18,407998.07,411344.19,1679340985967,16.81,16.67
3201992.02,35801157.07,407405.84,411657.59,1679340991133,16.81,16.67
3208578.55,35800584.38,407804.85,411624.45,1679340996448,16.8,16.67
3183749.42,35802767.31,406315.59,411755.09,1679341001689,16.8,16.67
3195037.25,35806042.36,406985.98,411949.68,1679341007091,16.8,16.67
3208218.06,35808143.67,407773.30,412074.61,1679341012602,16.8,16.67
3204199.94,35810304.91,407544.09,412221.25,1679341018249,16.79,16.67
3211916.62,35810283.10,408002.68,412223.16,1679341021342,16.8,16.67
3207998.98,35809627.84,407767.95,412179.22,1679341024297,16.8,16.67
3204808.20,35807961.33,407583.89,412092.08,1679341030141,16.78,16.67
3196691.34,35803655.76,407102.14,411836.97,1679341035954,16.78,16.67
3205238.86,35802882.50,407654.24,411806.85,1679341041842,16.76,16.67
3212279.07,35810465.73,408052.59,412249.98,1679341047837,16.78,16.67
3216286.44,35811312.14,408291.80,412300.36,1679341051166,16.78,16.67
3115808.56,35801808.94,402166.14,411734.34,1679341053874,16.78,16.67
3113970.64,35800603.05,402050.28,411658.92,1679341060240,16.79,16.67
3119687.95,35797775.53,402389.67,411494.27,1679341063210,16.78,16.67
3117657.46,35796913.27,402250.36,411557.46,1679341069770,16.78,16.67
3114460.03,35797646.30,402064.76,411601.63,1679341072625,16.77,16.67
3119756.09,35790146.80,402411.50,411174.07,1679341079273,16.78,16.67
3125862.70,35792309.26,402776.01,411302.84,1679341082220,16.78,16.67
3101630.83,35795259.09,401343.78,411502.25,1679341089111,16.76,16.67
3180556.71,35788283.29,406053.97,411064.30,1679341099621,16.78,16.67
3183255.83,35796808.95,406218.96,411574.78,1679341102673,16.77,16.67
3211288.44,35799293.48,407888.48,411721.21,1679341110112,16.78,16.67
3204061.47,35801874.25,407443.78,411874.74,1679341117389,16.78,16.67
3210764.76,35800298.94,407819.53,411780.60,1679341120451,16.78,16.67
3211272.09,35796861.91,407833.94,411497.30,1679341127759,16.79,16.67
3223860.74,35812064.88,408584.18,412413.07,1679341135319,16.79,16.67
3234025.82,35807126.29,409195.34,412115.12,1679341142649,16.79,16.67
3236118.87,35794919.23,409308.13,411349.32,1679341150043,16.8,16.67
3223442.58,35793723.78,408548.22,411266.78,1679341157605,16.82,16.67
3193957.26,35800196.54,406758.88,411640.15,1679341165301,16.82,16.67
3215059.47,35806260.82,408017.96,412011.13,1679341173110,16.81,16.67
3204365.50,35804389.68,407383.09,411889.61,1679341181274,16.8,16.67
3196001.27,35806989.54,406885.54,411996.98,1679341189261,16.8,16.67
3201706.18,35813662.26,407232.92,412425.66,1679341197370,16.79,16.67
3203793.79,35806739.50,407359.66,412014.55,1679341205590,16.79,16.67
3204990.46,35814720.82,407456.47,412489.78,1679341213735,16.78,16.67
3190557.74,35804401.96,406613.47,411879.93,1679341221929,16.78,16.67
3209433.38,35797327.90,407731.50,411454.91,1679341230659,16.79,16.67
3200953.89,35801655.45,407225.84,411711.65,1679341233278,16.79,16.67
3204981.64,35793721.13,407449.97,411236.28,1679341241767,16.8,16.67
3217977.37,35811949.03,408198.06,412301.88,1679341250488,16.81,16.67
3206527.65,35805670.14,407498.73,411910.11,1679341259641,16.81,16.67
3220196.04,35792928.44,408314.06,411141.85,1679341268588,16.82,16.67
3222568.86,35806887.84,408451.95,411930.76,1679341277423,16.83,16.67
3219390.99,35781516.39,408253.47,410441.90,1679341286294,16.83,16.67
3220644.63,35783542.04,408326.41,410562.74,1679341295190,16.83,16.67
3217825.88,35776947.28,408155.77,410172.52,1679341298280,16.83,16.67
3210046.53,35784929.77,407693.55,410648.67,1679341307316,16.82,16.67
3208240.44,35783302.80,407556.89,410556.60,1679341316539,16.82,16.67
3204574.98,35768408.06,407285.06,409674.38,1679341319517,16.81,16.67
3219038.35,35775372.77,408168.01,410102.42,1679341329036,16.81,16.67
3202964.83,35811269.03,407220.43,412221.37,1679341338543,16.79,16.67
3239185.65,35813167.02,409396.52,412349.62,1679341348245,16.79,16.67
3237507.17,35799855.44,409278.62,411558.51,1679341357902,16.8,16.67
3232789.92,35806162.50,408994.95,411932.87,1679341367742,16.8,16.67
3239508.95,35803040.28,409394.18,411755.97,1679341377526,16.8,16.67
3237910.01,35804794.94,409286.80,411860.43,1679341380528,16.8,16.67
3237911.40,35819782.15,409286.82,412746.07,1679341383656,16.8,16.67
3224429.43,35798875.72,408491.69,411503.71,1679341393998,16.81,16.67
3218640.13,35808855.47,408129.91,412080.97,1679341404401,16.82,16.67
3223822.41,35812199.27,408435.00,412268.41,1679341407321,16.82,16.67
3223286.57,35806629.88,408404.00,411918.63,1679341410693,16.82,16.67
3222762.63,35813541.53,408347.27,412329.31,1679341421426,16.83,16.67
2712491.82,35473434.37,376696.29,392894.06,1679341432279,16.83,16.67
3224362.38,35814249.06,408302.46,412434.75,1679341443264,16.84,16.67
3226931.77,35816240.65,408458.49,412547.79,1679341454229,16.84,16.67
3217589.60,35818547.80,407905.72,412683.99,1679341465200,16.83,16.67
3237197.15,35803506.54,409086.30,411817.74,1679341476345,16.82,16.67
3228391.69,35809073.94,408553.16,412136.41,1679341487587,16.83,16.67
3230587.82,35811906.24,408671.22,412276.65,1679341498871,16.84,16.67
3244628.18,35811289.15,409522.41,412233.92,1679341510465,16.84,16.67
3224851.93,35812164.53,408325.76,412295.62,1679341521955,16.83,16.67
3218454.41,35816306.09,407941.81,412546.79,1679341533614,16.82,16.67
3226586.77,35810415.70,408416.08,412201.09,1679341545552,16.82,16.67
3236235.57,35810773.66,408991.84,412182.97,1679341557632,16.82,16.67
3239718.51,35815924.52,409225.73,412489.90,1679341569764,16.81,16.67
3238804.45,35814869.68,409171.41,412416.90,1679341572620,16.81,16.67
3247384.03,35809175.66,409685.96,412081.45,1679341584876,16.82,16.67
3222724.16,35811709.81,408192.99,412215.94,1679341597473,16.84,16.67
3237673.33,35803897.16,409077.13,411754.35,1679341610088,16.84,16.67
3231590.21,35801572.37,408716.60,411655.99,1679341613104,16.84,16.67
3243442.93,35804752.42,409423.80,411847.43,1679341616025,16.84,16.67
3240707.86,35808406.71,409252.85,412059.20,1679341618976,16.84,16.67
3223198.43,35798740.28,408222.34,411482.12,1679341632299,16.83,16.67
3223775.59,35795931.14,408256.91,411316.18,1679341635337,16.83,16.67
3231526.34,35810642.10,408719.69,412199.80,1679341648816,16.82,16.67
3232173.52,35807680.82,408758.19,412023.73,1679341651966,16.82,16.67
3225877.78,35808831.36,408388.28,412109.06,1679341665715,16.82,16.67
3235653.98,35807933.45,408970.22,412017.90,1679341679554,16.82,16.67
3230242.63,35809371.24,408676.39,412105.78,1679341693582,16.82,16.67
3234126.68,35808981.81,408889.40,412079.43,1679341707824,16.82,16.67
3225937.56,35813136.18,408423.75,412330.20,1679341711032,16.81,16.67
3237774.38,35806672.38,409123.49,411942.43,1679341725475,16.82,16.67
3241794.80,35814044.51,409339.90,412400.96,1679341740264,16.83,16.67
3239790.91,35807484.64,409226.96,412013.85,1679341755055,16.82,16.67
3238252.12,35804919.86,409142.95,411864.36,1679341758188,16.81,16.67
3243409.75,35795050.46,409463.17,411280.63,1679341773074,16.82,16.67
3228681.84,35788875.77,408615.44,410934.46,1679341787938,16.81,16.67
3239611.33,35796354.71,409266.51,411260.53,1679341802957,16.83,16.67
3260034.69,35798649.09,410449.77,411337.20,1679341818070,16.85,16.67
3249808.01,35781130.30,409821.40,410303.96,1679341833601,16.86,16.67
3259182.30,35640303.24,410342.20,401910.65,1679341849382,16.87,16.67
3261108.54,35801454.51,410451.95,411393.07,1679341865460,16.87,16.67
3239577.58,35795960.96,409167.31,411034.30,1679341881514,16.87,16.67
3223862.77,35790018.15,408209.43,410722.86,1679341897646,16.87,16.67
3216243.90,35798032.82,407793.73,411195.69,1679341914015,16.86,16.67
3211021.36,35804741.32,407531.88,411607.15,1679341930556,16.83,16.67
3239788.50,35801240.31,409244.11,411411.98,1679341947224,16.83,16.67
3237901.45,35804192.51,409123.38,411577.28,1679341950262,16.84,16.67
3247055.68,35798372.97,409676.40,411239.47,1679341967138,16.84,16.67
3244259.94,35798656.24,409503.44,411254.52,1679341984139,16.84,16.67
3242918.79,35794883.58,409423.81,411030.94,1679341987187,16.84,16.67
3245966.79,35794563.19,409604.87,411011.77,1679341990144,16.84,16.67
3241629.00,35795113.38,409343.33,411042.41,1679342007704,16.85,16.67
3228341.72,35771558.96,408486.95,409653.43,1679342025606,16.86,16.67
3256818.65,35800331.31,410164.57,411346.19,1679342043563,16.87,16.67
3241547.89,35810345.58,409274.59,411951.19,1679342061796,16.85,16.67
3242016.45,35808963.03,409302.60,411869.32,1679342064807,16.85,16.67
3253754.18,35808366.67,410006.20,411836.64,1679342083484,16.85,16.67
3254746.15,35808319.92,410073.21,411839.02,1679342086492,16.84,16.67
3257760.42,35802675.96,410240.21,411503.01,1679342105575,16.85,16.67
3255182.84,35805337.70,410069.24,411663.46,1679342124950,16.85,16.67
3254283.85,35800082.19,409991.96,411359.79,1679342127932,16.84,16.67
3258776.23,35805324.51,410182.94,411623.31,1679342147636,16.85,16.67
3254467.95,35814306.27,409908.49,412160.19,1679342167532,16.84,16.67
3258512.35,35811966.14,410148.99,412021.72,1679342170541,16.84,16.67
3254498.72,35812364.51,409909.61,412045.38,1679342173556,16.84,16.67
3257015.40,35809864.71,410058.91,411897.20,1679342176602,16.84,16.67
