bc,ac,tbv,tav,time,mp,minBid
2284493.30,9744238.48,397696.95,220181.32,1683598298318,15.43,15.37
2291212.95,9744238.48,398134.34,220181.32,1683598300923,15.43,15.37
2288617.03,9744238.48,397968.28,220181.32,1683598303873,15.43,15.37
2287936.43,9744238.48,397923.28,220181.32,1683598306846,15.43,15.37
2288505.85,9740332.52,397959.17,219924.97,1683598310356,15.43,15.37
2293644.50,9739592.67,398289.88,219876.87,1683598312869,15.43,15.37
2289203.95,9738520.19,398000.98,219807.67,1683598316003,15.43,15.37
2284986.65,9745813.92,397727.11,220279.98,1683598318848,15.43,15.37
2284976.70,9751043.97,397726.38,220618.94,1683598321885,15.43,15.37
2283761.34,9747386.86,397647.39,220382.09,1683598325259,15.43,15.37
2283761.34,9751515.69,397647.39,220649.71,1683598327877,15.43,15.37
2289354.44,9748121.09,398010.58,220429.71,1683598331315,15.43,15.37
2289354.44,9749664.09,398010.58,220529.71,1683598333856,15.43,15.37
2287011.96,9750224.63,397858.75,220565.97,1683598336844,15.43,15.37
2287015.44,9750224.63,397858.75,220565.97,1683598339834,15.43,15.37
2283026.27,9752576.37,397599.88,220718.35,1683598342887,15.43,15.37
2283026.27,9753085.29,397599.88,220751.10,1683598345891,15.43,15.37
2283026.27,9753085.29,397599.88,220751.10,1683598348973,15.43,15.37
2283026.27,9753085.23,397599.88,220751.10,1683598351848,15.43,15.37
2283026.27,9753085.23,397599.88,220751.10,1683598354963,15.43,15.37
2284338.72,9753083.88,397684.79,220751.10,1683598357984,15.43,15.37
2284336.79,9753083.88,397684.79,220751.10,1683598360874,15.43,15.37
2284276.99,9753036.11,397680.80,220748.01,1683598363916,15.43,15.37
2284276.99,9753036.11,397680.80,220748.01,1683598366884,15.43,15.37
2284276.99,9748407.11,397680.80,220448.01,1683598369965,15.43,15.37
2289277.98,9749950.11,398005.32,220548.01,1683598372874,15.43,15.37
2288858.50,9749951.00,397978.69,220547.96,1683598376007,15.43,15.37
2288858.50,9749951.00,397978.69,220547.96,1683598378877,15.43,15.37
2290538.64,9749501.05,398089.37,220518.85,1683598381874,15.43,15.37
2288480.15,9748817.55,397954.04,220474.34,1683598384893,15.43,15.37
2288480.15,9748817.55,397954.04,220474.34,1683598387875,15.43,15.37
2287641.88,9748222.96,397899.64,220435.84,1683598390903,15.43,15.37
2291631.51,9748222.96,398158.71,220435.84,1683598393883,15.43,15.37
2291631.51,9747767.99,398158.71,220406.41,1683598396878,15.43,15.37
2291631.51,9748217.98,398158.71,220435.52,1683598399897,15.43,15.37
2291631.51,9749928.19,398158.71,220546.41,1683598402883,15.43,15.37
2291631.51,9748166.29,398158.71,220433.39,1683598405895,15.43,15.37
2291631.51,9747716.30,398158.71,220404.29,1683598408882,15.43,15.37
2291631.51,9748166.29,398158.71,220433.39,1683598411898,15.43,15.37
2297763.65,9748166.66,398555.52,220432.98,1683598415014,15.43,15.37
2297763.65,9748166.66,398555.52,220432.98,1683598417902,15.43,15.37
2297764.05,9748166.66,398555.52,220432.98,1683598420912,15.43,15.37
2297137.51,9743067.03,398514.15,220102.28,1683598423954,15.43,15.37
2297137.51,9743067.03,398514.15,220102.28,1683598426949,15.43,15.37
2297137.51,9743067.03,398514.15,220102.28,1683598429969,15.43,15.37
2297137.51,9743067.03,398514.15,220102.28,1683598432910,15.43,15.37
2298239.03,9743067.03,398584.47,220102.28,1683598435947,15.43,15.37
2298239.03,9743067.03,398584.47,220102.28,1683598438984,15.43,15.37
2298238.66,9744105.91,398584.45,220169.52,1683598442003,15.43,15.37
2297004.62,9744105.91,398504.32,220169.52,1683598445077,15.43,15.37
2297004.62,9744105.91,398504.32,220169.52,1683598447936,15.43,15.37
2297004.62,9744105.91,398504.32,220169.52,1683598451057,15.43,15.37
2297004.62,9740726.43,398504.32,219950.64,1683598453926,15.43,15.37
2297004.62,9740726.43,398504.32,219950.64,1683598456988,15.43,15.37
2297004.62,9740726.43,398504.32,219950.64,1683598459939,15.43,15.37
2297005.27,9740726.43,398504.36,219950.64,1683598463048,15.43,15.37
2292692.01,9740279.37,398224.64,219922.14,1683598465996,15.43,15.37
2292692.01,9740279.37,398224.64,219922.14,1683598468930,15.43,15.37
2292693.25,9740280.46,398224.64,219922.14,1683598471970,15.43,15.37
2292693.25,9740280.46,398224.64,219922.14,1683598474944,15.43,15.37
2292593.31,9740513.01,398218.16,219937.18,1683598477950,15.43,15.37
2292593.31,9740829.53,398218.16,219957.68,1683598480966,15.43,15.37
2292593.13,9740829.53,398218.15,219957.68,1683598483941,15.43,15.37
2295227.08,9740570.39,398389.00,219940.85,1683598486956,15.44,15.37
2297864.97,9742327.54,398548.87,220053.52,1683598489970,15.44,15.37
2297947.99,9742316.54,398555.03,220052.85,1683598492982,15.43,15.37
2299385.43,9742300.90,398650.63,220051.79,1683598495991,15.44,15.37
2299385.43,9742300.90,398650.63,220051.79,1683598498952,15.44,15.37
2299385.18,9742300.90,398650.58,220051.79,1683598502063,15.44,15.37
2292619.37,9745544.21,398209.56,220262.17,1683598505069,15.43,15.37
2292579.61,9745544.21,398207.04,220262.17,1683598508050,15.43,15.37
2257510.39,9744089.83,395939.66,220166.22,1683598511162,15.42,15.36
2268192.64,9749586.67,396636.54,220526.54,1683598514258,15.42,15.36
2270345.90,9749574.19,396776.34,220526.54,1683598517364,15.42,15.36
2282960.08,9747872.81,397594.60,220416.19,1683598520391,15.42,15.36
2281241.69,9747872.81,397483.09,220416.19,1683598523347,15.42,15.36
