mp,timeStamp,mean,skew
17.53,1680986020685,3398.9385376821206,-3381.4085376821204
17.53,1680986023587,3398.9385376821174,-3381.408537682117
17.53,1680986026680,3398.9385376821147,-3381.4085376821145
17.53,1680986029617,3398.9385376821133,-3381.408537682113
17.53,1680986032966,3403.921736910783,-3386.3917369107826
17.53,1680986038627,3420.1955596848143,-3402.665559684814
17.53,1680986041724,3430.0488747571194,-3412.518874757119
17.53,1680986044681,3442.9603614275097,-3425.4303614275095
17.53,1680986047624,3448.207181650954,-3430.677181650954
17.53,1680986050648,3451.908117593631,-3434.3781175936306
17.52,1680986059668,3526.8794520719634,-3509.3594520719635
17.52,1680986077965,3640.65545013519,-3623.1354501351902
17.52,1680986083951,3659.4641701282508,-3641.944170128251
17.52,1680986090077,3675.614908665583,-3658.094908665583
17.52,1680986093096,3682.5601455074407,-3665.0401455074407
17.52,1680986096023,3688.945450886334,-3671.425450886334
17.52,1680986099080,3694.834891140798,-3677.314891140798
17.52,1680986102082,3707.5133883086223,-3689.9933883086223
17.52,1680986105102,3724.6584653980344,-3707.1384653980344
17.52,1680986108532,3738.8031586109328,-3721.283158610933
17.53,1680986114183,3741.4136873165794,-3723.883687316579
17.53,1680986129493,3693.870643448154,-3676.340643448154
17.53,1680986135595,3681.0854365130267,-3663.5554365130265
17.53,1680986141743,3668.472622853055,-3650.9426228530547
17.53,1680986148001,3657.0301167901075,-3639.5001167901073
17.53,1680986154029,3646.6168694775834,-3629.086869477583
17.53,1680986160165,3637.0780161240145,-3619.5480161240143
17.53,1680986166320,3628.307592840567,-3610.7775928405667
17.53,1680986172608,3621.192916490898,-3603.6629164908977
17.53,1680986175517,3618.0085185521925,-3600.4785185521923
17.53,1680986190944,3601.9262989564027,-3584.3962989564025
17.53,1680986197199,3597.4040740839378,-3579.8740740839376
17.53,1680986206411,3592.197623554837,-3574.6676235548366
17.53,1680986209662,3590.7833237049153,-3573.253323704915
17.53,1680986216373,3588.1327798669586,-3570.6027798669584
17.53,1680986232297,3582.0718419103914,-3564.541841910391
17.53,1680986242506,3578.0739538232624,-3560.543953823262
17.53,1680986247211,3576.7259624451785,-3559.1959624451783
17.53,1680986251557,3575.4139800264898,-3557.8839800264896
17.54,1680986268947,3577.62982479007,-3560.08982479007
17.54,1680986274137,3585.82664666584,-3568.28664666584
17.54,1680986279346,3593.8371746667144,-3576.2971746667145
17.54,1680986293985,3623.0114926338115,-3605.4714926338115
17.54,1680986325166,3689.4943732877387,-3671.9543732877387
17.54,1680986332309,3696.839803727918,-3679.299803727918
17.54,1680986342690,3710.6247286445705,-3693.0847286445705
17.54,1680986350262,3715.598853534949,-3698.058853534949
17.54,1680986358053,3720.4802711064012,-3702.9402711064013
17.54,1680986365858,3725.133293612398,-3707.593293612398
17.54,1680986373822,3729.9843459413055,-3712.4443459413055
17.54,1680986381914,3734.5375283652334,-3716.9975283652334
17.54,1680986390096,3739.0445285328515,-3721.5045285328515
17.54,1680986414223,3764.4121620041733,-3746.8721620041733
17.55,1680986423824,3758.443465334342,-3740.8934653343417
17.55,1680986433275,3751.6825784494877,-3734.1325784494875
17.54,1680986442766,3753.3364898796335,-3735.7964898796336
17.54,1680986458813,3760.98277301521,-3743.44277301521
17.54,1680986469376,3762.9981256598808,-3745.458125659881
17.53,1680986479656,3759.185577829319,-3741.6555778293186
17.53,1680986499692,3743.745332275516,-3726.2153322755157
17.53,1680986517307,3731.7608243258696,-3714.2308243258694
17.53,1680986529034,3727.8754265757098,-3710.3454265757096
17.53,1680986544129,3721.129478419504,-3703.5994784195036
17.53,1680986559831,3714.7202153222856,-3697.1902153222854
17.54,1680986572361,3715.7557122190888,-3698.215712219089
17.54,1680986584953,3717.218295874653,-3699.678295874653
17.53,1680986600790,3710.7348950906407,-3693.2048950906405
17.53,1680986614261,3707.57535929655,-3690.0453592965496
17.54,1680986637167,3719.247236531246,-3701.707236531246
17.53,1680986660982,3718.3192805888316,-3700.7892805888314
17.53,1680986675893,3715.397614389575,-3697.867614389575
17.53,1680986694343,3709.3083252342967,-3691.7783252342965
17.53,1680986713110,3703.50003666974,-3685.97003666974
17.53,1680986729073,3700.8034054905847,-3683.2734054905845
17.52,1680986745064,3702.672152660762,-3685.152152660762
17.52,1680986774269,3712.316394633686,-3694.796394633686
17.52,1680986791664,3714.2704340908613,-3696.7504340908613
17.51,1680986812566,3708.712888514896,-3691.2028885148957
17.52,1680986834051,3712.1693432309476,-3694.6493432309476
17.51,1680986859256,3703.88736817935,-3686.3773681793496
17.52,1680986878485,3702.454197136956,-3684.934197136956
17.52,1680986897979,3700.72497937515,-3683.20497937515
17.5,1680986917646,3701.6774727074344,-3684.1774727074344
17.5,1680986940755,3703.2971507854754,-3685.7971507854754
17.5,1680986967631,3718.5589831317966,-3701.0589831317966
17.5,1680986998747,3740.910948157809,-3723.410948157809
17.5,1680987020898,3746.6642316417087,-3729.1642316417087
17.49,1680987043265,3737.651040252354,-3720.1610402523543
17.48,1680987065973,3731.063656484886,-3713.583656484886
17.48,1680987088443,3724.5561294574154,-3707.0761294574154
17.48,1680987111176,3720.793804423486,-3703.313804423486
17.48,1680987133890,3717.9086861004866,-3700.4286861004866
17.49,1680987177143,3707.8174303267683,-3690.3274303267685
17.49,1680987202427,3709.1520816613283,-3691.6620816613286
17.49,1680987227998,3710.5478079897266,-3693.057807989727
17.49,1680987253762,3712.1331721291826,-3694.643172129183
17.48,1680987296626,3717.680563625709,-3700.200563625709
17.48,1680987324649,3718.5399747781385,-3701.0599747781384
17.49,1680987363022,3723.6604345644605,-3706.1704345644607
17.49,1680987392788,3724.814710544305,-3707.324710544305
17.49,1680987422741,3725.222759215928,-3707.732759215928
17.49,1680987453136,3725.7996167325537,-3708.309616732554
17.49,1680987483670,3725.8487694085848,-3708.358769408585
17.49,1680987517894,3726.8357995015435,-3709.3457995015438
17.49,1680987549617,3726.8108860808125,-3709.3208860808127
17.49,1680987605144,3730.4309671946203,-3712.9409671946205
17.48,1680987640126,3731.88440637791,-3714.40440637791
17.48,1680987675719,3731.3128260235167,-3713.8328260235166
17.47,1680987715088,3728.11699575013,-3710.6469957501304
17.48,1680987761496,3720.9408743554695,-3703.4608743554695
17.49,1680987799390,3721.4606273721524,-3703.9706273721526
17.49,1680987841029,3721.131424851503,-3703.6414248515034
17.5,1680987886984,3722.549765040952,-3705.049765040952
17.5,1680987926933,3723.265508375283,-3705.765508375283
17.5,1680987974140,3725.9330856265456,-3708.4330856265456
17.5,1680988016079,3726.7161459280433,-3709.2161459280433
17.5,1680988061329,3728.9837222366673,-3711.4837222366673
17.5,1680988113493,3729.6053771206302,-3712.1053771206302
17.5,1680988163829,3730.673092918579,-3713.173092918579
17.5,1680988208508,3730.598220348275,-3713.098220348275
17.5,1680988256771,3730.9291406362663,-3713.4291406362663
17.5,1680988302627,3730.967484538609,-3713.467484538609
17.51,1680988348789,3729.204879910138,-3711.694879910138
17.51,1680988395107,3727.2688616613655,-3709.7588616613652
17.52,1680988445102,3724.641636882338,-3707.121636882338
17.53,1680988496109,3723.751624645166,-3706.221624645166
17.53,1680988544145,3723.3890588351087,-3705.8590588351085
17.53,1680988596173,3727.5065025589624,-3709.9765025589622
17.53,1680988649296,3732.9759008081205,-3715.4459008081203
17.53,1680988703239,3736.025032284181,-3718.495032284181
17.53,1680988754020,3737.678726625263,-3720.148726625263
