mp,timeStamp,mean,skew
11.7,1671911908704,3161.482370713737,-3149.7823707137372
11.7,1671911911807,3155.8342701377424,-3144.1342701377425
11.7,1671911914683,3151.3262815046414,-3139.6262815046416
11.7,1671911920644,3142.2994907826896,-3130.59949078269
11.7,1671911938867,3123.0868629054207,-3111.386862905421
11.7,1671911960287,3109.077249715623,-3097.3772497156233
11.7,1671911963418,3107.1794367726816,-3095.4794367726818
11.7,1671911966439,3105.188358528354,-3093.488358528354
11.7,1671911969622,3109.6641295029667,-3097.964129502967
11.7,1671911972582,3108.5192937883066,-3096.819293788307
11.7,1671911981627,3104.6607928541475,-3092.9607928541477
11.7,1671911984638,3104.2270351651946,-3092.527035165195
11.7,1671911987699,3103.8189029304835,-3092.1189029304837
11.7,1671911990922,3103.4341904601165,-3091.7341904601167
11.7,1671911993679,3103.0709381411575,-3091.3709381411577
11.7,1671911996897,3102.310984263025,-3090.6109842630253
11.7,1671912000702,3105.5498776697254,-3093.8498776697256
11.7,1671912003225,3105.159636568727,-3093.459636568727
11.7,1671912006116,3104.7890001669366,-3093.089000166937
11.7,1671912009192,3104.4365273300327,-3092.736527330033
11.7,1671912012427,3104.100291297928,-3092.400291297928
11.7,1671912015650,3104.589778498343,-3092.8897784983433
11.7,1671912018838,3105.0571804943393,-3093.3571804943394
11.7,1671912021827,3105.503960600549,-3093.803960600549
11.7,1671912024932,3105.9314526648645,-3094.2314526648647
11.7,1671912028052,3106.3408793282624,-3094.6408793282626
11.7,1671912030836,3109.545202017615,-3097.845202017615
11.7,1671912034338,3109.8549346899345,-3098.1549346899346
11.7,1671912037167,3110.1523465045702,-3098.4523465045704
11.7,1671912040666,3110.7569524524083,-3099.0569524524085
11.7,1671912043618,3111.1610377762977,-3099.461037776298
11.7,1671912046725,3111.208581852586,-3099.5085818525863
11.7,1671912056172,3111.007839675362,-3099.307839675362
11.7,1671912062933,3111.2147455480986,-3099.5147455480987
11.7,1671912070314,3111.192175386069,-3099.492175386069
11.7,1671912074291,3111.075191680391,-3099.3751916803913
11.7,1671912078439,3113.15504854063,-3101.4550485406303
11.7,1671912082636,3113.0106269712496,-3101.31062697125
11.7,1671912086941,3112.8706789301737,-3101.170678930174
11.7,1671912091342,3112.733278273662,-3101.0332782736623
11.7,1671912096261,3112.1817070782386,-3100.4817070782387
11.7,1671912100987,3111.64674276294,-3099.94674276294
11.7,1671912112113,3110.809378004514,-3099.1093780045144
11.7,1671912124173,3111.1770944288364,-3099.4770944288366
11.7,1671912129741,3111.0364070006035,-3099.3364070006037
11.7,1671912135572,3111.4048096816164,-3099.7048096816166
11.7,1671912141543,3113.5549091695707,-3101.854909169571
11.7,1671912147607,3115.651681924085,-3103.9516819240853
11.7,1671912153720,3115.946786680549,-3104.246786680549
11.7,1671912159973,3116.029322595438,-3104.329322595438
11.7,1671912166904,3116.042106332208,-3104.342106332208
11.7,1671912183162,3115.7930111235746,-3104.093011123575
11.7,1671912190340,3115.729348244289,-3104.0293482442894
11.7,1671912201000,3115.385546897422,-3103.6855468974222
11.7,1671912211834,3115.037332370832,-3103.337332370832
11.7,1671912222953,3116.201451830332,-3104.5014518303324
11.7,1671912231275,3115.9937519646087,-3104.293751964609
11.7,1671912239895,3115.989188939591,-3104.289188939591
11.7,1671912248928,3116.1430447103403,-3104.4430447103405
11.7,1671912257641,3116.3216033567705,-3104.6216033567707
11.7,1671912266524,3115.966804730587,-3104.266804730587
11.7,1671912275643,3115.81340704155,-3104.11340704155
11.7,1671912284871,3115.6475607349375,-3103.9475607349377
11.7,1671912294465,3116.7437343059387,-3105.043734305939
11.7,1671912304043,3117.812654437518,-3106.1126544375184
11.7,1671912313822,3117.297567411642,-3105.597567411642
