bc,ac,tbv,tav,time,mp,minBid
2830024.99,10598702.19,546283.40,247469.50,1672511632048,10.98,10.94
2827531.38,10598268.01,546056.16,247430.00,1672511634895,10.98,10.94
2827531.38,10598267.86,546056.16,247430.00,1672511637813,10.98,10.94
2827531.38,10598267.86,546056.16,247430.00,1672511640877,10.98,10.94
2827531.38,10598267.86,546056.16,247430.00,1672511643915,10.98,10.94
2827531.38,10598268.06,546056.16,247430.00,1672511646883,10.98,10.94
2828082.98,10598268.06,546108.02,247430.00,1672511649934,10.98,10.94
2828082.98,10598268.06,546108.02,247430.00,1672511653280,10.98,10.94
2828082.98,10590755.46,546108.02,246747.04,1672511656249,10.98,10.94
2814149.03,10598265.94,544837.83,247429.81,1672511658899,10.98,10.94
2824509.05,10598265.94,545781.19,247429.81,1672511661873,10.98,10.94
2827007.90,10598265.94,546008.98,247429.81,1672511664863,10.98,10.94
2827003.41,10598266.10,546008.56,247429.81,1672511668326,10.98,10.94
2827020.07,10598100.08,546010.34,247413.57,1672511670894,10.98,10.94
2827020.07,10598100.08,546010.34,247413.57,1672511673857,10.98,10.94
2827012.83,10598101.39,546009.68,247413.69,1672511677349,10.98,10.94
2827012.83,10598101.39,546009.68,247413.69,1672511679890,10.98,10.94
2827012.83,10598101.39,546009.68,247413.69,1672511682844,10.98,10.94
2827012.83,10598651.89,546009.68,247463.69,1672511685892,10.98,10.94
2827012.83,10598651.89,546009.68,247463.69,1672511688923,10.98,10.94
2827012.83,10598625.04,546009.68,247461.72,1672511691813,10.98,10.94
2827012.75,10598912.87,546009.68,247488.54,1672511694987,10.98,10.94
2827017.24,10600420.13,546010.10,247625.15,1672511698042,10.98,10.94
2827017.24,10601251.44,546010.10,247700.35,1672511701322,10.98,10.94
2827017.24,10601135.78,546010.10,247688.90,1672511703924,10.98,10.94
2827017.24,10590547.29,546010.10,246726.39,1672511706989,10.98,10.94
2826776.70,10598428.17,545988.91,247442.32,1672511709904,10.98,10.94
2811274.55,10602758.93,544575.78,247836.95,1672511712862,10.98,10.94
