time,exit,distance,bidCap,askCap,exitTime,entryReachTime,exitReachTime,mp
1676807450652,19.86,10,4222678.77,34445125.37,2518947,1676805436838,1676807955785,19.84
1676808464548,19.86,617,4212051.53,34426785.04,71911567,1676737061136,1676808972703,19.85
1676808464548,19.86,618,4212051.53,34426785.04,71911567,1676737061136,1676808972703,19.85
1676808464548,19.86,619,4212051.53,34426785.04,71960145,1676737012558,1676808972703,19.85
1676808464548,19.86,620,4212051.53,34426785.04,71982654,1676736990049,1676808972703,19.85
1676808464548,19.86,613,4212051.53,34426785.04,71860659,1676737112044,1676808972703,19.85
1676808464548,19.86,616,4212051.53,34426785.04,71911567,1676737061136,1676808972703,19.85
1676808973314,19.86,615,4207479.96,34445935.61,5015055,1676803958268,1676808973323,19.91
1676808973314,19.86,616,4207479.96,34445935.61,5015055,1676803958268,1676808973323,19.91
1676808973314,19.86,3,4207479.96,34445935.61,509424,1676808463897,1676808973321,19.91
1676812688185,20.03,7,4207786.09,34373937.38,2688831,1676810522567,1676813211398,19.97
1676812688185,20.03,8,4207786.09,34373937.38,3204529,1676810006869,1676813211398,19.97
1676812688185,20.03,4,4207786.09,34373937.38,1648470,1676811562919,1676813211389,19.97
1676812688185,20.03,6,4207786.09,34373937.38,2171372,1676811040026,1676813211398,19.97
1676813211883,20.03,3,4201131.30,34311095.81,524268,1676812687626,1676813211894,20.05
1676813211883,20.03,10,4201131.30,34311095.81,3719862,1676809492032,1676813211894,20.05
1676816965409,20.09,10,2909983.04,32998921.96,2157166,1676815348141,1676817505307,20.03
1676816965409,20.09,11,2909983.04,32998921.96,2157167,1676815348141,1676817505308,20.03
1676816965409,20.09,12,2909983.04,32998921.96,2157167,1676815348141,1676817505308,20.03
1676816965409,20.09,13,2909983.04,32998921.96,2157167,1676815348141,1676817505308,20.03
1676816965409,20.09,7,2909983.04,32998921.96,2157166,1676815348141,1676817505307,20.03
1676816965409,20.09,6,2909983.04,32998921.96,2157165,1676815348141,1676817505306,20.03
1676818048339,20.05,10,4256425.57,34330773.39,4308594,1676814281666,1676818590260,20.18
1676818048339,20.05,6,4256425.57,34330773.39,2706120,1676815884139,1676818590259,20.18
1676818048339,20.05,7,4256425.57,34330773.39,2706121,1676815884139,1676818590260,20.18
1676818048339,20.05,11,4256425.57,34330773.39,4840809,1676813749451,1676818590260,20.18
1676822420649,20.23,2,4269632.00,34384333.74,550793,1676822420130,1676822970923,20.16
1676822971414,20.23,4,4295859.99,34376019.38,1652839,1676821869682,1676823522521,20.36
1676822971414,20.23,2,4295859.99,34376019.38,551596,1676822970923,1676823522519,20.36
1676822971414,20.23,5,4295859.99,34376019.38,2201262,1676821321259,1676823522521,20.36
1676822971414,20.23,6,4295859.99,34376019.38,2748546,1676820773975,1676823522521,20.36
1676827540129,19.87,65,4211142.71,34349122.89,570070,1676827539110,1676828109180,19.86
1676827540129,19.87,64,4211142.71,34349122.89,570071,1676827539109,1676828109180,19.86
1676827540129,19.87,2,4211142.71,34349122.89,570064,1676827539109,1676828109173,19.86
1676844687717,19.96,99,4136639.24,34277098.24,1877436,1676843435981,1676845313417,19.89
1676844687717,19.96,100,4136639.24,34277098.24,1877436,1676843435981,1676845313417,19.89
1676844687717,19.96,102,4136639.24,34277098.24,1877436,1676843435981,1676845313417,19.89
1676844687717,19.96,47,4136639.24,34277098.24,16049089,1676829264328,1676845313417,19.89
1676844687717,19.96,103,4136639.24,34277098.24,1877436,1676843435981,1676845313417,19.89
1676844687717,19.96,104,4136639.24,34277098.24,1877436,1676843435981,1676845313417,19.89
1676844687717,19.96,105,4136639.24,34277098.24,1877436,1676843435981,1676845313417,19.89
1676844687717,19.96,106,4136639.24,34277098.24,1877436,1676843435981,1676845313417,19.89
1676844687717,19.96,98,4136639.24,34277098.24,1877436,1676843435981,1676845313417,19.89
1676844687717,19.96,4,4136639.24,34277098.24,1254349,1676844059057,1676845313406,19.89
1676844687717,19.96,6,4136639.24,34277098.24,2499899,1676842813517,1676845313416,19.89
1676848503396,19.96,66,4157983.31,34283737.80,21530689,1676826972728,1676848503417,19.94
1676848503396,19.96,14,4157983.31,34283737.80,3816177,1676844687240,1676848503417,19.94
1676848503396,19.96,8,4157983.31,34283737.80,1292431,1676847210975,1676848503406,19.94
1676848503396,19.96,105,4157983.31,34283737.80,1292441,1676847210976,1676848503417,19.94
1676849224401,20.03,4,4127421.38,34284340.15,1366327,1676848502758,1676849869085,19.97
1676849224401,20.03,15,4127421.38,34284340.15,4555679,1676845313406,1676849869085,19.97
1676849224401,20.03,62,4127421.38,34284340.15,21177761,1676828691332,1676849869093,19.97
1676849224401,20.03,14,4127421.38,34284340.15,3927288,1676845941797,1676849869085,19.97
1676849224401,20.03,11,4127421.38,34284340.15,3290227,1676846578858,1676849869085,19.97
1676867898868,19.87,24,4123994.85,34382132.38,1365864,1676867216564,1676868582428,19.86
1676868583020,19.97,52,4115046.97,34398581.94,17457496,1676851809217,1676869266713,19.9
1676868583020,19.97,57,4115046.97,34398581.94,15492194,1676853774519,1676869266713,19.9
1676868583020,19.97,58,4115046.97,34398581.94,15492194,1676853774519,1676869266713,19.9
1676868583020,19.97,59,4115046.97,34398581.94,15492194,1676853774519,1676869266713,19.9
1676868583020,19.97,60,4115046.97,34398581.94,15492194,1676853774519,1676869266713,19.9
1676868583020,19.97,61,4115046.97,34398581.94,15492194,1676853774519,1676869266713,19.9
1676868583020,19.97,62,4115046.97,34398581.94,15492195,1676853774519,1676869266714,19.9
1676868583020,19.97,63,4115046.97,34398581.94,15492195,1676853774519,1676869266714,19.9
1676868583020,19.97,64,4115046.97,34398581.94,15492195,1676853774519,1676869266714,19.9
1676868583020,19.97,65,4115046.97,34398581.94,15492195,1676853774519,1676869266714,19.9
