bc,ac,tbv,tav,time,mp,minBid
3362096.71,9177021.99,522266.66,179578.28,1673709222400,16.84,16.76
3344922.29,9102428.79,521247.83,175175.24,1673709225555,16.82,16.75
3355261.14,9175297.57,521863.34,179488.11,1673709228498,16.83,16.75
3355634.72,9190351.72,521885.27,180381.91,1673709231464,16.83,16.75
3356927.74,9180970.72,521954.62,179825.37,1673709234382,16.83,16.75
3359466.83,9174923.88,522054.10,179452.25,1673709237397,16.85,16.75
3369384.51,9183967.45,522638.62,179983.87,1673709240628,16.86,16.75
3344106.49,9178874.96,521156.88,179682.94,1673709243438,16.86,16.75
3339153.70,9172461.06,520865.11,179307.95,1673709246507,16.85,16.75
3334631.88,9183406.61,520590.43,179949.14,1673709249520,16.85,16.75
3348870.28,9186462.75,521434.28,180117.54,1673709252419,16.85,16.75
3352535.12,9179422.95,521652.09,179699.90,1673709255372,16.85,16.75
3363447.80,9176720.21,522298.73,179538.75,1673709258445,16.86,16.75
3363727.22,9178488.47,522313.56,179641.06,1673709261593,16.86,16.75
3367641.90,9182185.93,522546.58,179872.03,1673709264370,16.86,16.75
3374092.09,9209610.36,522926.83,181488.76,1673709267905,16.86,16.75
3371349.25,9204568.20,522759.74,181192.61,1673709270473,16.86,16.75
3364780.42,9172424.60,522358.38,179290.09,1673709273382,16.87,16.75
3385803.07,9190040.78,523605.84,180323.85,1673709276402,16.88,16.75
3378265.28,9187492.95,523150.32,180175.35,1673709279416,16.88,16.75
3385425.23,9198930.75,523573.46,180851.50,1673709282392,16.88,16.75
3374352.79,9209687.08,522892.93,181481.94,1673709285441,16.89,16.75
3377245.58,9216318.29,523063.24,181874.00,1673709288503,16.88,16.75
3376194.76,9220150.99,523000.60,182101.04,1673709291487,16.88,16.75
3375382.71,9203487.86,522953.90,181116.77,1673709294556,16.88,16.75
3377091.27,9203757.72,523054.01,181131.48,1673709297348,16.88,16.75
3379589.32,9211101.70,523202.71,181566.72,1673709300405,16.88,16.75
3365136.41,9196733.02,522353.56,180706.06,1673709303570,16.88,16.75
3389679.82,9189595.87,523806.82,180278.32,1673709306540,16.89,16.75
3387333.74,9196172.55,523667.87,180668.02,1673709309506,16.89,16.75
3379615.43,9199445.60,523185.45,180861.69,1673709312473,16.89,16.75
3377035.40,9200196.49,523032.37,180906.17,1673709315371,16.89,16.75
3377084.77,9192951.00,523038.36,180479.62,1673709318383,16.88,16.75
3394746.17,9205670.97,524080.55,181228.61,1673709321478,16.89,16.75
3386628.51,9194950.36,523599.11,180594.78,1673709324559,16.89,16.75
3389203.76,9193351.75,523747.16,180506.00,1673709327548,16.89,16.75
3358877.44,9195604.58,521935.49,180621.54,1673709330616,16.9,16.75
3371150.24,9209014.41,522664.33,181415.69,1673709333378,16.89,16.75
3386062.21,9200220.59,523552.96,180888.76,1673709336379,16.9,16.75
3360917.61,9204350.84,522070.44,181128.12,1673709339405,16.89,16.75
3367373.12,9205228.97,522449.46,181178.76,1673709342374,16.9,16.75
3357133.62,9211594.33,521836.83,181559.95,1673709345398,16.89,16.75
3359470.84,9205399.89,521974.10,181191.39,1673709348509,16.89,16.75
3384865.04,9202691.25,523403.91,181030.48,1673709351579,16.9,16.75
3390129.70,9209554.05,523709.44,181424.79,1673709354433,16.91,16.75
3398562.33,9215979.11,524206.30,181800.37,1673709357421,16.92,16.75
3387671.24,9204344.40,523559.01,181112.28,1673709360592,16.92,16.75
3366131.76,9212163.52,522262.58,181540.31,1673709363796,16.92,16.75
3367627.47,9211680.24,522350.58,181512.44,1673709366524,16.92,16.75
3395687.43,9212301.23,524012.57,181556.78,1673709369885,16.92,16.75
3396193.49,9220113.43,524041.95,182017.02,1673709372516,16.92,16.75
3394703.47,9216548.82,523962.93,181803.15,1673709375428,16.92,16.75
3387347.46,9206318.70,523517.65,181175.53,1673709378480,16.93,16.75
3372812.42,9169761.44,522631.05,179022.01,1673709381459,16.94,16.75
3372223.43,9187966.52,522575.87,180084.30,1673709384589,16.96,16.75
3386237.41,9204005.50,523392.64,181003.09,1673709387471,16.96,16.75
3393022.49,9198744.19,523781.04,180687.27,1673709390423,16.97,16.75
3385387.86,9191456.61,523328.72,180255.33,1673709393601,16.97,16.75
3354930.92,9186638.68,521537.14,179981.38,1673709396888,16.95,16.75
3349910.14,9188521.99,521264.28,180099.18,1673709399484,16.93,16.75
3317787.37,9166188.11,519403.59,178806.95,1673709402473,16.91,16.75
3359222.96,9196544.10,521880.10,180601.83,1673709405442,16.9,16.75
3357300.41,9184973.35,521768.40,179923.24,1673709408830,16.9,16.75
3370817.92,9182018.97,522567.77,179746.63,1673709411462,16.91,16.75
3359008.54,9192151.67,521863.22,180358.78,1673709414422,16.9,16.75
3358223.45,9191033.00,521816.42,180292.99,1673709417481,16.9,16.75
3356806.93,9195519.11,521732.54,180558.25,1673709420601,16.9,16.75
3369254.80,9180659.35,522433.55,179661.55,1673709423486,16.91,16.75
3363226.56,9150164.90,522063.09,177860.79,1673709426426,16.94,16.75
3375943.43,9169884.28,522825.30,179020.70,1673709429501,16.93,16.75
3373206.40,9177417.59,522665.45,179468.59,1673709432500,16.93,16.75
3370875.66,9172714.32,522532.04,179193.51,1673709435467,16.92,16.75
3371313.91,9178658.14,522557.02,179540.63,1673709438460,16.92,16.75
3375701.07,9173341.74,522813.73,179227.84,1673709441649,16.93,16.75
3372708.91,9181054.87,522637.30,179683.92,1673709444662,16.92,16.75
3336967.19,9164091.27,520523.84,178691.36,1673709447502,16.9,16.75
3368832.69,9166310.42,522407.27,178815.89,1673709450469,16.92,16.75
3357046.19,9094756.79,521679.13,174600.91,1673709453446,16.94,16.75
3342453.31,9171886.36,520825.17,179154.66,1673709456954,16.91,16.75
3325018.79,9169829.12,519821.23,179043.43,1673709460451,16.89,16.75
3332483.58,9059838.87,520270.34,172575.36,1673709463752,16.89,16.75
3335866.34,9204047.86,520474.83,181084.80,1673709467227,16.89,16.75
3335516.34,9195759.96,520454.88,180604.96,1673709470768,16.89,16.75
3332628.04,9191449.24,520286.18,180355.31,1673709473759,16.88,16.75
3367575.40,9164915.15,522340.83,178737.65,1673709477437,16.93,16.75
3369718.36,9171354.01,522466.63,179117.38,1673709480625,16.92,16.75
3348691.24,9118555.66,521181.38,175993.79,1673709483457,16.94,16.75
3357219.63,9157042.89,521684.87,178256.55,1673709487363,16.95,16.75
3360541.44,9155175.81,521844.89,178107.60,1673709490435,16.96,16.75
3342393.98,9169627.87,520765.71,178962.20,1673709494431,16.95,16.75
3373872.36,9152628.18,522643.13,177959.63,1673709498630,16.96,16.75
3371620.33,9160313.88,522510.65,178413.04,1673709502890,16.96,16.75
3359461.28,9162475.90,521774.82,178561.45,1673709506020,16.95,16.75
3362617.36,9185049.49,521956.64,179888.37,1673709509240,16.95,16.75
3345549.09,9177092.25,520953.13,179428.21,1673709512070,16.95,16.75
3337892.14,9180573.71,520509.42,179648.82,1673709514807,16.93,16.75
3334140.88,9164919.28,520325.67,178761.40,1673709517899,16.91,16.75
3364423.49,9182184.41,522113.67,179770.83,1673709523033,16.93,16.75
3369383.25,9169813.94,522407.58,179012.99,1673709527873,16.94,16.75
3353690.34,9174100.15,521426.01,179266.80,1673709532775,16.93,16.75
3355203.08,9189782.79,521508.33,180211.68,1673709537775,16.93,16.75
3345288.19,9183723.41,520925.22,179874.73,1673709544091,16.91,16.75
3229059.49,9134108.34,513966.20,176937.30,1673709549177,16.94,16.75
3364910.76,9190499.68,522027.71,180256.54,1673709552176,16.94,16.75
3361243.83,9188101.15,521795.50,180092.83,1673709557462,16.94,16.75
3350925.73,9186768.90,521200.47,180023.65,1673709562833,16.93,16.75
3352516.60,9182966.67,521294.74,179800.38,1673709568408,16.93,16.75
3352911.77,9196255.66,521317.38,180593.76,1673709571318,16.93,16.75
3344631.43,9181487.50,520822.56,179719.58,1673709576895,16.93,16.75
3357146.21,9189043.09,521558.27,180165.96,1673709579897,16.94,16.75
3359697.05,9198008.74,521711.47,180700.83,1673709586137,16.93,16.75
3356184.08,9202602.30,521512.72,180972.29,1673709588698,16.92,16.75
3354566.39,9201599.38,521417.03,180911.81,1673709591685,16.92,16.75
3348907.38,9184084.17,521082.62,179881.35,1673709594673,16.92,16.75
3350168.80,9196669.82,521160.23,180637.09,1673709600938,16.91,16.75
3363836.88,9198683.61,521992.63,180744.93,1673709607345,16.92,16.75
3381096.89,9185055.28,523008.47,179923.74,1673709613738,16.94,16.75
3371315.12,9186544.14,522415.88,180014.77,1673709620385,16.93,16.75
3355752.48,9195688.34,521476.57,180563.00,1673709623680,16.93,16.75
3354535.94,9198977.87,521403.76,180756.72,1673709626235,16.94,16.75
3354583.28,9193901.67,521405.57,180456.77,1673709629229,16.94,16.75
3367730.01,9167285.85,522173.06,178869.12,1673709636686,16.94,16.75
3371892.86,9183746.31,522420.33,179837.36,1673709643799,16.95,16.75
3363656.22,9157036.36,521935.63,178268.45,1673709650994,16.94,16.75
3376440.01,9189571.04,522695.09,180178.65,1673709654003,16.94,16.75
3367926.54,9188430.76,522188.96,180117.69,1673709657095,16.94,16.75
3369415.81,9206299.43,522277.27,181162.62,1673709664821,16.94,16.75
3324782.28,9195103.33,519670.27,180516.45,1673709673746,16.92,16.75
3362286.10,9207031.08,521914.56,181230.62,1673709681749,16.91,16.75
