mp,timeStamp,mean,skew
13.47,1690074153384,3445.824048338796,-3432.354048338796
13.47,1690074156460,3432.0233317215393,-3418.5533317215395
13.47,1690074165410,3406.834184685221,-3393.364184685221
13.47,1690074168438,3399.6145991556086,-3386.144599155609
13.48,1690074180626,3354.502299196626,-3341.022299196626
13.48,1690074195700,3355.128490739637,-3341.648490739637
13.48,1690074201716,3337.1173322893437,-3323.6373322893437
13.48,1690074210834,3292.5237900026846,-3279.0437900026845
13.48,1690074226096,3229.88084099286,-3216.40084099286
13.48,1690074232122,3222.5439258969163,-3209.0639258969163
13.49,1690074238306,3215.9283511699773,-3202.4383511699775
13.49,1690074259879,3157.726450440795,-3144.236450440795
13.49,1690074265991,3147.461092956635,-3133.9710929566354
13.49,1690074275131,3134.0881621754093,-3120.5981621754095
13.49,1690074278086,3130.3906969723325,-3116.9006969723328
13.49,1690074281168,3126.3046229442593,-3112.8146229442596
13.49,1690074284208,3121.4451016507405,-3107.9551016507407
13.49,1690074287330,3114.70044863586,-3101.2104486358603
13.49,1690074290385,3108.199282634187,-3094.7092826341873
13.49,1690074293451,3101.358293488571,-3087.868293488571
13.49,1690074296617,3098.116718655331,-3084.6267186553314
13.49,1690074299634,3095.058691056407,-3081.5686910564073
13.49,1690074302895,3091.7731555604814,-3078.2831555604816
13.49,1690074305880,3088.6083522823496,-3075.11835228235
13.49,1690074309012,3085.390799446197,-3071.900799446197
13.49,1690074312144,3080.7949927693576,-3067.304992769358
13.49,1690074318649,3072.519539948614,-3059.029539948614
13.49,1690074325133,3064.1125215430193,-3050.6225215430195
13.49,1690074356655,3029.526065175775,-3016.036065175775
13.49,1690074361403,3028.3027543717103,-3014.8127543717105
13.49,1690074366244,3030.1771661052408,-3016.687166105241
13.49,1690074371020,3027.845202159401,-3014.3552021594014
13.49,1690074375846,3025.3923810578963,-3011.9023810578965
13.49,1690074380826,3023.0015488177078,-3009.511548817708
13.49,1690074385952,3020.608870295899,-3007.1188702958993
13.49,1690074391150,3017.5609377153146,-3004.070937715315
13.49,1690074396742,3014.5372217032664,-3001.0472217032666
13.49,1690074402295,3011.4318352207038,-2997.941835220704
13.49,1690074407759,3008.5478967396766,-2995.057896739677
13.49,1690074413353,3005.97230619747,-2992.4823061974703
13.49,1690074419035,3003.4252479675206,-2989.935247967521
13.49,1690074424810,3001.5792455219944,-2988.0892455219946
13.5,1690074431089,2996.476425366188,-2982.976425366188
13.5,1690074437172,2994.804086225602,-2981.304086225602
13.5,1690074443368,2993.2920084351504,-2979.7920084351504
13.5,1690074449792,2992.1038376292754,-2978.6038376292754
13.5,1690074456462,2991.254398227029,-2977.754398227029
13.5,1690074463095,2990.278943078453,-2976.778943078453
13.5,1690074469938,2989.5182919931367,-2976.0182919931367
13.5,1690074477116,2988.9711080387797,-2975.4711080387797
13.5,1690074484235,2988.423080230041,-2974.923080230041
13.5,1690074491453,2987.5489476771054,-2974.0489476771054
13.51,1690074498813,2986.4334014089695,-2972.9234014089693
13.51,1690074506776,2985.3331082842838,-2971.8231082842835
13.51,1690074514426,2979.435245983639,-2965.925245983639
13.51,1690074522198,2970.478500687201,-2956.968500687201
13.51,1690074530108,2964.261865459737,-2950.7518654597366
13.52,1690074541382,2956.767674688676,-2943.247674688676
13.51,1690074549931,2951.4171644882767,-2937.9071644882765
13.5,1690074558538,2947.29762341187,-2933.79762341187
13.51,1690074568061,2947.900585713061,-2934.390585713061
13.51,1690074579836,2947.879943474664,-2934.3699434746636
13.51,1690074588770,2946.685844616589,-2933.1758446165886
13.51,1690074597782,2946.363271202144,-2932.853271202144
13.51,1690074610206,2946.6696773604817,-2933.1596773604815
13.51,1690074619734,2946.6560090082376,-2933.1460090082373
13.51,1690074629652,2945.2259498509993,-2931.715949850999
