bc,ac,tbv,tav,time,mp,minBid
3176124.42,35570461.34,405143.02,396717.18,1679183802915,16.98,16.91
3187644.16,35570596.25,405517.53,396724.47,1679183805446,16.98,16.91
3186593.73,35567699.87,405455.02,396557.05,1679183808485,16.98,16.91
3185227.48,35570261.12,405374.68,396708.00,1679183811415,16.98,16.91
3180667.35,35570261.12,405105.73,396708.00,1679183814396,16.98,16.91
3185253.78,35569444.37,405377.42,396666.58,1679183817507,16.98,16.91
3182555.27,35568929.77,405218.04,396636.20,1679183820598,16.98,16.91
3171167.58,35561549.04,404547.07,396206.31,1679183823568,16.98,16.91
3170333.32,35563927.71,404497.95,396346.48,1679183826523,16.98,16.91
3188534.97,35565903.47,405570.21,396460.59,1679183829532,16.99,16.91
3188997.86,35562828.12,405592.20,396266.42,1679183832430,16.99,16.91
3183957.23,35553495.56,405295.20,395721.56,1679183835501,16.99,16.91
3188170.98,35553103.95,405542.94,395698.10,1679183838496,17,16.91
3189156.91,35560102.50,405601.29,396109.70,1679183841423,16.99,16.91
3194820.13,35556728.90,405934.40,395910.96,1679183844409,17,16.91
3195803.37,35555776.33,405991.17,395854.47,1679183847508,17,16.91
3195803.37,35559776.23,405991.17,396089.62,1679183850479,17,16.91
3182655.01,35559771.23,405193.94,396089.33,1679183853585,17,16.91
3185313.25,35557795.32,405349.76,395971.78,1679183856500,17,16.91
3192896.09,35562788.79,405791.50,396249.20,1679183859415,17,16.91
3192443.90,35572742.79,405764.84,396832.50,1679183862421,17,16.91
3193044.04,35571536.75,405800.14,396761.97,1679183865444,17,16.91
3193443.85,35570040.75,405823.67,396673.97,1679183868526,17,16.91
3195263.58,35566526.42,405931.38,396457.47,1679183871557,17.01,16.91
3198461.76,35552788.41,406118.29,395650.06,1679183874463,17.01,16.91
3197194.87,35571664.48,406034.60,396753.71,1679183877477,17.01,16.91
3197370.25,35572593.96,406044.88,396807.07,1679183880421,17.01,16.91
3198727.94,35566155.12,406120.25,396412.61,1679183883436,17.02,16.91
3195046.24,35576313.72,405899.10,396990.86,1679183886564,17.02,16.91
3206334.55,35571056.77,406523.96,396681.94,1679183889410,17.02,16.91
3198479.68,35575894.05,406061.20,396965.83,1679183892407,17.02,16.91
3196248.66,35579855.94,405930.29,397198.60,1679183895441,17.02,16.91
3200671.49,35564822.58,406188.56,396315.89,1679183898496,17.03,16.91
