bc,ac,tbv,tav,time,mp,minBid
1973624.98,10558529.53,376982.61,259358.12,1684646405224,14.63,14.57
1973628.65,10558529.53,376982.61,259358.12,1684646408095,14.63,14.57
1965446.97,10558959.94,376421.93,259387.48,1684646410981,14.63,14.57
1961670.91,10558803.02,376162.77,259376.65,1684646414010,14.63,14.57
1971228.94,10556040.48,376817.97,259187.75,1684646416983,14.63,14.57
1971228.94,10556040.48,376817.97,259187.75,1684646420306,14.63,14.57
1967234.10,10555589.36,376544.56,259156.97,1684646423064,14.63,14.57
1967234.10,10556041.66,376544.56,259187.75,1684646426033,14.63,14.57
1975287.20,10544493.94,377091.96,258397.53,1684646429158,14.64,14.57
1975287.20,10544496.97,377091.96,258397.76,1684646432538,14.64,14.57
1974286.85,10539738.57,377023.40,258073.18,1684646435027,14.64,14.57
1963999.91,10539848.94,376318.32,258079.07,1684646438095,14.64,14.57
1957686.44,10547156.78,375888.20,258578.84,1684646441092,14.63,14.57
1957686.44,10547156.78,375888.20,258578.84,1684646444132,14.63,14.57
1967913.17,10547761.15,376588.77,258620.09,1684646447028,14.63,14.57
1967913.17,10547761.15,376588.77,258620.09,1684646449991,14.63,14.57
1966913.51,10547148.12,376520.16,258578.25,1684646453430,14.63,14.57
1966913.51,10547148.12,376520.16,258578.25,1684646456102,14.63,14.57
1969844.39,10546697.00,376720.91,258547.48,1684646459035,14.63,14.57
1972974.35,10547761.15,376935.43,258620.09,1684646462042,14.63,14.57
1981003.37,10546785.27,377484.78,258553.26,1684646465118,14.64,14.57
1981003.37,10546785.27,377484.78,258553.26,1684646468138,14.64,14.57
1986448.41,10546799.57,377857.13,258554.02,1684646471198,14.64,14.57
1987448.08,10547400.12,377925.74,258595.12,1684646474134,14.64,14.57
1986448.41,10546787.09,377857.13,258553.28,1684646477023,14.64,14.57
1986448.41,10546803.71,377857.13,258554.32,1684646480072,14.64,14.57
1987448.76,10547416.32,377925.69,258596.27,1684646483113,14.64,14.57
1986448.41,10546802.88,377857.13,258554.43,1684646486113,14.64,14.57
1987448.76,10547416.32,377925.69,258596.27,1684646489170,14.64,14.57
1987461.07,10547416.35,377926.54,258596.27,1684646492032,14.64,14.57
1983466.36,10546802.91,377653.30,258554.43,1684646495023,14.64,14.57
1983466.36,10547416.35,377653.30,258596.27,1684646498094,14.64,14.57
1979476.81,10547416.35,377380.23,258596.27,1684646501079,14.64,14.57
1978969.20,10547899.98,377345.84,258629.57,1684646504077,14.63,14.57
1977969.59,10547286.53,377277.27,258587.73,1684646507061,14.63,14.57
1978971.08,10547899.56,377345.88,258629.57,1684646510182,14.63,14.57
1977969.21,10547286.53,377277.26,258587.73,1684646513067,14.63,14.57
1977969.21,10547286.53,377277.26,258587.73,1684646516458,14.63,14.57
1977970.93,10559891.76,377277.38,259448.87,1684646519076,14.63,14.57
1976972.35,10560504.78,377209.31,259490.71,1684646522248,14.63,14.57
1976972.35,10560504.78,377209.31,259490.71,1684646525179,14.63,14.57
1976972.35,10560504.78,377209.31,259490.71,1684646528099,14.63,14.57
1972978.50,10560504.78,376935.95,259490.71,1684646531092,14.63,14.57
1971978.84,10559891.76,376867.34,259448.87,1684646534127,14.63,14.57
1971978.84,10559891.76,376867.34,259448.87,1684646537084,14.63,14.57
1971978.84,10559887.97,376867.34,259448.87,1684646540118,14.63,14.57
1972978.50,10560501.00,376935.95,259490.71,1684646543154,14.63,14.57
1972978.50,10560501.00,376935.95,259490.71,1684646546129,14.63,14.57
1971978.84,10559887.97,376867.34,259448.87,1684646549203,14.63,14.57
1972978.50,10560500.01,376935.95,259490.64,1684646552116,14.63,14.57
1971978.84,10559886.98,376867.34,259448.80,1684646555133,14.63,14.57
1972978.50,10560500.01,376935.95,259490.64,1684646558370,14.63,14.57
1971978.84,10559886.98,376867.34,259448.80,1684646561226,14.63,14.57
1963420.48,10559886.98,376281.15,259448.80,1684646564522,14.63,14.57
1964420.14,10560500.01,376349.76,259490.64,1684646568051,14.63,14.57
1964420.14,10560500.01,376349.76,259490.64,1684646571003,14.63,14.57
1971872.40,10560500.01,376860.19,259490.64,1684646573940,14.63,14.57
1971872.40,10560500.01,376860.19,259490.64,1684646577046,14.63,14.57
1971872.40,10560500.01,376860.19,259490.64,1684646580933,14.63,14.57
1971872.40,10560500.01,376860.19,259490.64,1684646583946,14.63,14.57
1971872.40,10560500.36,376860.19,259490.63,1684646586982,14.63,14.57
1970872.74,10559887.33,376791.58,259448.79,1684646590043,14.63,14.57
1971872.40,10560500.36,376860.19,259490.63,1684646593110,14.63,14.57
1964795.07,10553681.85,376375.15,259025.35,1684646597683,14.63,14.57
1964793.78,10553681.58,376375.06,259025.35,1684646602452,14.63,14.57
1964800.27,10553681.70,376375.51,259025.35,1684646607364,14.63,14.57
1971877.89,10560495.92,376860.56,259490.34,1684646612382,14.63,14.57
1971816.18,10560495.92,376856.34,259490.34,1684646615453,14.63,14.57
1974887.50,10560213.74,377066.61,259471.06,1684646618419,14.63,14.57
1976032.28,10560609.92,377144.98,259498.13,1684646624162,14.63,14.57
1975032.62,10554344.84,377076.37,259070.47,1684646626807,14.63,14.57
1982665.60,10545646.31,377598.52,258475.69,1684646629894,14.64,14.57
1979016.65,10546259.51,377349.39,258517.46,1684646635924,14.64,14.57
1977800.46,10552808.69,377265.76,258965.16,1684646641875,14.63,14.57
1977799.27,10552808.69,377265.68,258965.16,1684646648008,14.63,14.57
1976797.97,10542982.01,377197.12,258294.85,1684646654247,14.63,14.57
1977798.31,10552808.69,377265.68,258965.16,1684646660768,14.63,14.57
1976799.70,10552195.25,377197.24,258923.31,1684646667501,14.63,14.57
1976799.70,10552585.25,377197.24,258949.97,1684646670546,14.63,14.57
1976799.70,10552194.98,377197.24,258923.31,1684646673488,14.63,14.57
1961946.07,10565379.24,376183.65,259825.71,1684646676493,14.63,14.57
1960012.36,10561435.54,376051.39,259556.22,1684646683731,14.63,14.57
1960012.37,10561435.54,376051.39,259556.22,1684646686757,14.63,14.57
1959262.56,10560703.16,375999.91,259506.25,1684646689759,14.63,14.57
1959262.56,10563338.38,375999.91,259686.14,1684646692791,14.63,14.57
1959262.26,10563338.08,375999.91,259686.14,1684646695952,14.63,14.57
1958125.68,10565979.27,375922.14,259867.39,1684646704272,14.63,14.57
1957254.84,10565978.91,375862.57,259867.39,1684646712721,14.63,14.57
1951725.51,10556968.27,375483.91,259252.13,1684646721341,14.63,14.57
1948116.64,10554132.43,375236.61,259058.10,1684646724406,14.63,14.57
1948599.09,10550221.73,375268.96,258790.49,1684646733324,14.63,14.57
1955254.34,10556205.61,375725.07,259198.81,1684646742474,14.63,14.57
1955254.34,10556205.61,375725.07,259198.81,1684646745500,14.63,14.57
1962746.83,10556638.90,376237.55,259228.12,1684646754987,14.63,14.57
1961747.17,10562162.09,376168.94,259605.41,1684646764562,14.63,14.57
1966360.61,10562774.13,376484.85,259647.19,1684646774266,14.63,14.57
1961859.91,10560653.26,376176.96,259502.71,1684646777231,14.63,14.57
1960993.74,10561266.57,376118.06,259544.55,1684646787245,14.63,14.57
1957867.07,10560653.54,375903.67,259502.71,1684646797419,14.63,14.57
1957867.07,10556508.58,375903.67,259219.97,1684646800421,14.63,14.57
1958868.34,10561263.74,375972.39,259544.55,1684646811395,14.63,14.57
1957858.74,10560199.70,375903.00,259471.94,1684646822310,14.63,14.57
1961848.82,10560634.72,376176.81,259502.71,1684646833331,14.63,14.57
1961848.82,10560634.72,376176.81,259502.71,1684646836373,14.63,14.57
1962925.81,10566771.60,376252.49,259923.79,1684646847712,14.63,14.57
1968079.51,10564201.72,376607.99,259754.28,1684646859276,14.63,14.57
1945492.43,10555279.00,375059.99,259142.84,1684646870984,14.63,14.57
1956928.16,10557323.90,375841.33,259282.56,1684646874001,14.63,14.57
1961412.57,10556464.03,376150.50,259225.56,1684646886315,14.63,14.57
1964937.26,10556451.30,376392.34,259224.69,1684646889315,14.63,14.57
1963974.47,10555838.27,376326.40,259182.84,1684646892554,14.63,14.57
1962569.04,10555845.13,376229.79,259183.41,1684646905408,14.63,14.57
1953301.13,10554361.82,375593.10,259080.54,1684646918370,14.63,14.57
1961096.73,10549137.75,376124.18,258722.65,1684646931653,14.63,14.57
1956328.72,10567784.21,375799.74,259997.11,1684646945214,14.63,14.57
1945241.07,10558769.43,375039.62,259380.98,1684646958834,14.63,14.57
1954295.21,10560465.45,375660.43,259497.40,1684646972654,14.63,14.57
1959012.79,10564768.23,375983.82,259790.81,1684646986523,14.63,14.57
1960455.24,10564155.21,376082.60,259748.96,1684646989694,14.63,14.57
1957469.34,10564770.72,375878.16,259790.79,1684647003972,14.63,14.57
1956484.20,10564157.82,375810.32,259748.94,1684647007028,14.63,14.57
1962220.15,10553696.05,376202.50,259034.11,1684647021870,14.63,14.57
1962786.18,10556802.48,376241.59,259246.44,1684647036817,14.63,14.57
1962288.71,10560302.59,376207.38,259485.33,1684647039998,14.63,14.57
1963288.37,10560915.62,376275.99,259527.18,1684647042974,14.63,14.57
1959791.54,10556912.82,376036.81,259253.95,1684647045950,14.63,14.57
1956780.65,10566234.97,375829.34,259890.42,1684647062072,14.63,14.57
1961839.96,10566343.43,376176.33,259897.83,1684647078605,14.63,14.57
1961839.96,10566343.43,376176.33,259897.83,1684647081383,14.63,14.57
1961999.73,10566343.43,376187.27,259897.83,1684647084327,14.63,14.57
1961999.73,10566343.43,376187.27,259897.83,1684647087422,14.63,14.57
1965084.48,10566956.46,376398.70,259939.67,1684647090387,14.63,14.57
1968229.80,10556594.09,376612.71,259229.24,1684647108097,14.63,14.57
1984140.18,10556598.09,377701.75,259228.74,1684647125836,14.63,14.57
1984139.51,10556888.23,377701.71,259248.01,1684647143834,14.63,14.57
1985585.83,10555474.15,377800.68,259151.44,1684647161963,14.63,14.57
1986585.49,10556087.18,377869.29,259193.28,1684647165047,14.63,14.57
1986585.49,10556087.18,377869.29,259193.28,1684647168014,14.63,14.57
1983400.31,10545956.14,377649.44,258492.61,1684647187528,14.64,14.57
1982902.47,10545342.99,377615.19,258450.76,1684647206815,14.64,14.57
1983901.55,10545956.44,377683.67,258492.61,1684647209782,14.64,14.57
1982902.47,10540725.82,377615.19,258135.81,1684647229830,14.64,14.57
1977899.23,10535100.57,377271.53,257752.30,1684647250038,14.64,14.57
1974175.87,10545399.47,377016.89,258455.07,1684647252727,14.64,14.57
1973509.06,10555366.19,376971.40,259139.07,1684647273263,14.63,14.57
1979954.80,10537176.32,377410.19,257895.46,1684647276614,14.64,14.57
1969123.43,10552832.08,376671.03,258964.89,1684647297836,14.63,14.57
1978365.07,10552300.91,377303.61,258928.83,1684647319179,14.64,14.57
1983372.50,10551617.90,377646.48,258882.41,1684647340650,14.64,14.57
1980902.77,10550695.12,377477.73,258819.18,1684647362305,14.64,14.57
1981238.47,10551876.66,377500.35,258900.09,1684647384188,14.64,14.57
1967211.87,10545759.55,376539.67,258482.93,1684647406150,14.64,14.57
1972529.99,10551717.23,376903.75,258889.70,1684647428410,14.64,14.57
1972528.34,10551717.23,376903.75,258889.70,1684647431368,14.64,14.57
1976468.64,10551717.23,377173.91,258889.70,1684647434354,14.64,14.57
1976939.18,10556401.76,377206.56,259210.13,1684647457516,14.64,14.57
1979229.86,10555826.61,377363.39,259170.61,1684647480944,14.64,14.57
1984226.11,10556440.05,377705.27,259212.45,1684647483900,14.64,14.57
1980165.33,10558988.46,377427.45,259387.02,1684647508281,14.64,14.57
1979150.04,10558375.01,377357.54,259345.17,1684647511371,14.64,14.57
1979086.85,10558375.01,377353.55,259345.17,1684647514324,14.64,14.57
1983107.00,10558473.91,377628.37,259351.44,1684647517298,14.64,14.57
1976172.49,10543929.47,377153.48,258358.17,1684647542849,14.64,14.57
1982856.98,10543210.82,377611.23,258309.56,1684647545682,14.64,14.57
1979843.16,10558778.29,377405.28,259372.59,1684647571898,14.64,14.57
1981064.86,10558778.54,377488.14,259372.59,1684647574890,14.64,14.57
1978842.95,10558164.84,377336.66,259330.74,1684647577924,14.64,14.57
1979869.20,10558876.17,377407.01,259378.85,1684647580989,14.64,14.57
1976061.61,10552540.09,377146.19,258946.36,1684647608606,14.64,14.57
1978374.57,10552244.94,377304.96,258926.17,1684647636489,14.64,14.57
1966215.49,10558642.37,376472.04,259362.82,1684647664438,14.64,14.57
1968542.43,10559494.54,376632.68,259422.58,1684647667523,14.63,14.57
1969541.48,10560059.70,376701.19,259461.16,1684647696403,14.63,14.57
1971529.04,10554106.15,376836.26,259053.98,1684647725577,14.63,14.57
1978043.92,10541547.06,377282.15,258197.31,1684647754772,14.63,14.57
1978092.14,10553648.40,377285.48,259022.55,1684647757846,14.63,14.57
1978092.14,10549676.91,377285.48,258751.07,1684647760753,14.64,14.57
1978092.14,10553638.80,377285.48,259021.70,1684647763874,14.63,14.57
1978092.06,10553625.93,377285.48,259021.00,1684647794535,14.63,14.57
