mp,timeStamp,mean,skew
14.71,1685242576169,3829.7558454683444,-3815.0458454683444
14.71,1685242578741,3784.788184125132,-3770.078184125132
14.71,1685242590881,3649.5965383117796,-3634.8865383117795
14.71,1685242594236,3632.0036773681895,-3617.2936773681895
14.71,1685242596922,3612.933998644183,-3598.2239986441828
14.71,1685242599870,3597.763086072584,-3583.053086072584
14.71,1685242602929,3583.7036203140015,-3568.9936203140014
14.71,1685242608951,3560.5288803927087,-3545.8188803927087
14.71,1685242615121,3544.0449453175524,-3529.3349453175524
14.71,1685242624227,3513.139269748981,-3498.429269748981
14.71,1685242639648,3474.3392738309417,-3459.6292738309417
14.71,1685242642505,3468.126402064595,-3453.416402064595
14.71,1685242654577,3445.479139148458,-3430.769139148458
14.71,1685242657641,3442.25109477837,-3427.54109477837
14.71,1685242660771,3437.556522038227,-3422.846522038227
14.71,1685242663764,3433.104216269635,-3418.394216269635
14.71,1685242669958,3424.913361089051,-3410.2033610890508
14.71,1685242672987,3424.185200467233,-3409.4752004672328
14.71,1685242676055,3422.889676553195,-3408.179676553195
14.71,1685242678952,3422.0533108877767,-3407.3433108877766
14.71,1685242682135,3420.5846918012467,-3405.8746918012466
14.71,1685242685037,3418.9178418995302,-3404.20784189953
14.71,1685242688094,3418.6183980182154,-3403.9083980182154
14.71,1685242691135,3417.0180281105645,-3402.3080281105645
14.71,1685242694221,3415.4820388956955,-3400.7720388956955
14.71,1685242697231,3414.0070312246457,-3399.2970312246457
14.71,1685242700289,3412.5890661220365,-3397.8790661220364
14.71,1685242703413,3412.0853140497943,-3397.3753140497943
14.71,1685242706372,3410.449328313657,-3395.739328313657
14.71,1685242709405,3410.002425246944,-3395.292425246944
14.71,1685242712545,3409.5712672936897,-3394.8612672936897
14.71,1685242715517,3409.155025075035,-3394.445025075035
14.71,1685242718547,3407.687263813248,-3392.977263813248
14.71,1685242721846,3406.2448510068025,-3391.5348510068025
14.71,1685242724705,3405.863476174516,-3391.153476174516
14.71,1685242727875,3404.477158141789,-3389.767158141789
14.71,1685242730912,3403.13575564738,-3388.42575564738
14.71,1685242733865,3402.821116269652,-3388.111116269652
14.71,1685242736913,3401.547523510118,-3386.837523510118
14.71,1685242740022,3400.313357545498,-3385.603357545498
14.71,1685242743021,3400.3806857776895,-3385.6706857776894
14.71,1685242746090,3399.2001509944384,-3384.4901509944384
14.71,1685242749145,3398.0494380788964,-3383.3394380788964
14.71,1685242752183,3397.829620536826,-3383.119620536826
14.71,1685242755260,3396.7581455408454,-3382.0481455408453
14.71,1685242758300,3397.066833031699,-3382.356833031699
14.71,1685242761486,3396.5082839274855,-3381.7982839274855
14.71,1685242764522,3395.6338701510294,-3380.9238701510294
14.71,1685242767862,3395.518327363423,-3380.808327363423
14.71,1685242771207,3394.5537101296663,-3379.8437101296663
14.71,1685242774493,3394.851106395576,-3380.141106395576
14.71,1685242777799,3394.989093814291,-3380.279093814291
14.71,1685242781298,3394.32964885313,-3379.61964885313
14.71,1685242784723,3393.6366728644375,-3378.9266728644375
14.71,1685242788258,3393.4952752893087,-3378.7852752893086
14.7,1685242798017,3414.426135951028,-3399.726135951028
14.7,1685242801891,3420.66390136236,-3405.96390136236
14.7,1685242805889,3426.5878958610538,-3411.887895861054
14.71,1685242822474,3419.0051009883255,-3404.2951009883254
14.71,1685242827035,3417.2385947891953,-3402.5285947891953
14.71,1685242837949,3413.0928686901293,-3398.3828686901293
14.71,1685242842964,3411.529712697394,-3396.819712697394
14.71,1685242848127,3409.875317490356,-3395.165317490356
14.71,1685242856457,3406.5424499454275,-3391.8324499454275
14.71,1685242865055,3403.334383298846,-3388.624383298846
14.71,1685242870722,3402.461114271375,-3387.751114271375
14.71,1685242876586,3401.6050902525744,-3386.8950902525744
14.71,1685242885483,3400.848928689469,-3386.138928689469
14.71,1685242894633,3400.118315957851,-3385.408315957851
14.71,1685242904424,3399.567487141866,-3384.857487141866
14.71,1685242914222,3398.5653606830842,-3383.855360683084
14.71,1685242920925,3398.594081828015,-3383.884081828015
14.71,1685242927728,3398.684998260048,-3383.974998260048
14.71,1685242947389,3395.787091656801,-3381.077091656801
14.71,1685242958324,3394.17791649072,-3379.4679164907197
14.71,1685242966276,3392.7605488779027,-3378.0505488779027
14.71,1685242977536,3389.931821572378,-3375.221821572378
14.71,1685243011577,3386.4105380044853,-3371.700538004485
14.71,1685243021681,3389.46361338579,-3374.75361338579
14.71,1685243035080,3396.1984276915437,-3381.4884276915436
14.72,1685243045592,3403.405296756398,-3388.685296756398
14.72,1685243062976,3412.3174223712763,-3397.5974223712765
14.72,1685243074556,3417.749637809026,-3403.029637809026
14.72,1685243089169,3430.0778820408464,-3415.3578820408466
14.72,1685243104992,3436.8266577504596,-3422.10665775046
14.71,1685243123372,3452.774582435735,-3438.064582435735
14.71,1685243142203,3459.7097916629946,-3444.9997916629945
14.71,1685243155095,3461.6984365140515,-3446.9884365140515
