mp,timeStamp,mean,skew
17.25,1680468415524,4381.895736015625,-4364.645736015625
17.25,1680468418268,4417.386481185769,-4400.136481185769
17.25,1680468421360,4418.433025303432,-4401.183025303432
17.25,1680468424308,4436.859433174607,-4419.609433174607
17.24,1680468430407,4541.298493624347,-4524.058493624348
17.25,1680468436304,4590.4047070477245,-4573.1547070477245
17.25,1680468439301,4594.787457716059,-4577.537457716059
17.25,1680468442372,4595.850235499217,-4578.600235499217
17.25,1680468445392,4599.985499985609,-4582.735499985609
17.24,1680468448677,4583.819616706273,-4566.579616706274
17.24,1680468454389,4560.705973186189,-4543.465973186189
17.24,1680468457556,4550.2416508232145,-4533.001650823215
17.24,1680468460525,4541.101401591689,-4523.861401591689
17.24,1680468463417,4536.005062166814,-4518.7650621668145
17.24,1680468466517,4528.596507830097,-4511.356507830097
17.24,1680468469449,4520.84162671809,-4503.60162671809
17.24,1680468478660,4498.821871694237,-4481.581871694238
17.24,1680468490636,4464.088736764605,-4446.848736764605
17.24,1680468493723,4457.359691172341,-4440.119691172341
17.24,1680468496880,4450.541889263617,-4433.301889263617
17.24,1680468499693,4444.20116706535,-4426.96116706535
17.24,1680468502724,4438.018229544012,-4420.778229544012
