bc,ac,tbv,tav,time,mp,minBid
3325798.33,34361478.66,416935.61,378352.38,1680468528628,17.24,17.17
3331028.26,34357355.21,417239.20,378113.01,1680468531619,17.24,17.17
3326161.48,34345851.72,416957.13,377443.80,1680468534584,17.25,17.17
3331438.96,34362777.04,417263.15,378423.06,1680468537570,17.25,17.17
3333128.39,34364042.24,417361.49,378496.45,1680468540631,17.25,17.17
3333128.04,34367830.94,417361.49,378716.59,1680468543594,17.25,17.17
3318142.02,34363953.14,416489.70,378491.89,1680468546598,17.25,17.17
3318142.27,34364533.59,416489.70,378524.82,1680468549585,17.25,17.17
3317682.95,34364531.03,416463.04,378524.82,1680468552572,17.25,17.17
3333137.00,34368532.48,417361.49,378756.58,1680468555575,17.25,17.17
3333137.00,34368532.48,417361.49,378756.58,1680468558568,17.25,17.17
3333140.10,34365187.16,417361.49,378563.08,1680468561595,17.25,17.17
3332646.72,34365187.16,417332.87,378563.08,1680468564586,17.25,17.17
3332646.72,34365187.16,417332.87,378563.08,1680468567571,17.25,17.17
3332466.11,34365647.01,417319.87,378589.74,1680468570582,17.25,17.17
3331726.39,34365173.71,417274.84,378563.08,1680468573598,17.25,17.17
3331726.39,34368518.32,417274.84,378756.59,1680468576600,17.25,17.17
3331914.66,34370206.55,417285.79,378854.73,1680468579630,17.25,17.17
3329021.32,34372176.15,417117.95,378969.22,1680468582608,17.24,17.17
3326538.92,34375565.32,416972.95,379165.67,1680468585602,17.24,17.17
3324871.73,34360080.52,416876.94,378430.33,1680468588615,17.24,17.17
3324871.73,34360692.54,416876.94,378465.83,1680468591970,17.24,17.17
3326051.39,34352323.97,416944.87,377979.82,1680468594690,17.25,17.17
3331530.67,34356326.11,417263.18,378211.68,1680468597622,17.25,17.17
3329395.06,34356326.11,417139.11,378211.68,1680468600607,17.25,17.17
3329395.18,34351261.04,417139.12,377913.27,1680468603641,17.25,17.17
3329428.34,34354801.06,417141.22,378118.59,1680468606608,17.25,17.17
3329603.25,34339483.01,417151.38,377238.67,1680468609635,17.25,17.17
3329603.25,34353434.55,417151.38,378040.63,1680468612610,17.25,17.17
3329601.02,34353434.55,417151.38,378040.63,1680468616232,17.25,17.17
3329601.02,34353434.55,417151.38,378040.63,1680468618628,17.25,17.17
3329603.34,34353434.55,417151.38,378040.63,1680468621595,17.25,17.17
3329603.34,34353527.18,417151.38,378045.53,1680468624641,17.25,17.17
3328589.93,34351950.66,417092.68,377954.38,1680468627671,17.25,17.17
3328589.93,34351950.66,417092.68,377954.38,1680468630591,17.25,17.17
3328589.93,34351858.81,417092.68,377949.51,1680468633675,17.25,17.17
3328589.93,34351858.81,417092.68,377949.51,1680468636665,17.25,17.17
3328589.93,34351858.81,417092.68,377949.51,1680468639628,17.25,17.17
3328589.85,34351858.81,417092.68,377949.51,1680468642612,17.25,17.17
3328589.85,34351858.81,417092.68,377949.51,1680468645624,17.25,17.17
3327912.50,34359777.78,417053.38,378408.62,1680468648680,17.24,17.17
3327762.01,34359654.56,417044.64,378401.48,1680468651679,17.24,17.17
3325486.96,34356688.84,416912.77,378229.96,1680468654659,17.24,17.17
3325637.44,34351936.02,416921.51,377954.53,1680468657634,17.24,17.17
3310236.95,34349980.90,416030.88,377828.19,1680468660741,17.24,17.17
3333402.58,34354453.39,417377.75,378087.49,1680468663663,17.24,17.17
3331460.20,34352193.38,417263.40,377959.27,1680468666647,17.24,17.17
3331460.20,34353402.34,417263.40,378030.69,1680468669658,17.24,17.17
3335195.87,34350784.28,417476.77,377870.08,1680468672686,17.25,17.17
3335195.87,34351244.13,417476.77,377896.74,1680468675655,17.25,17.17
