bc,ac,tbv,tav,time,mp,minBid
3970217.23,11136063.11,437336.52,229474.83,1675618771714,19.94,19.85
3966963.95,11130176.03,437175.63,229186.04,1675618774189,19.94,19.85
3991997.72,11124894.08,438433.88,228919.92,1675618777270,19.94,19.85
3960011.07,11116662.38,436831.91,228560.81,1675618780341,19.92,19.84
3968268.54,11135811.19,437248.11,229522.31,1675618783223,19.92,19.83
2949225.11,10908653.33,385988.96,218198.28,1675618786185,19.88,19.8
3000529.32,10757094.78,388747.25,210613.91,1675618789188,19.87,19.78
3824948.15,10918802.18,430973.62,218680.10,1675618792163,19.86,19.77
3842626.54,10990820.87,431391.75,222413.65,1675618795211,19.9,19.77
3878877.54,10975668.81,433215.82,221651.38,1675618798336,19.89,19.77
3874714.52,10973329.76,433012.73,221531.87,1675618801218,19.9,19.77
3839024.81,10980787.12,431223.14,221907.59,1675618804175,19.9,19.77
3874119.27,11015407.53,432888.73,223589.02,1675618807192,19.92,19.77
3861962.60,11033962.66,432241.25,224419.97,1675618810320,19.94,19.77
3875895.57,11047188.22,432938.30,225082.05,1675618813287,19.94,19.77
3851546.75,11041401.19,431717.20,224794.11,1675618816227,19.93,19.77
3863171.70,11050939.10,432304.73,225276.02,1675618819315,19.93,19.77
3853318.82,11021269.90,431839.48,223892.86,1675618822297,19.91,19.77
3853228.47,10988575.11,431836.82,222271.94,1675618825252,19.91,19.77
3852365.76,10990749.87,431793.25,222379.84,1675618828733,19.9,19.77
3865164.37,10993440.00,432442.13,222546.65,1675618831431,19.89,19.77
3877612.27,11001241.45,433067.34,222936.16,1675618834239,19.9,19.77
3853644.47,11024676.62,431839.72,224108.05,1675618837459,19.89,19.77
3614009.36,10723931.40,419729.46,209333.19,1675618840312,19.9,19.77
3893598.95,11062975.50,433837.94,226169.05,1675618843504,19.91,19.77
3961250.38,11142389.37,437184.76,230092.29,1675618846301,19.93,19.77
3955909.59,11153239.83,436920.79,230640.40,1675618849333,19.92,19.77
3956584.96,11157327.45,436954.35,230846.85,1675618852338,19.93,19.77
3971324.09,11147226.07,437639.57,230134.92,1675618855319,19.94,19.77
3981779.89,11154285.82,438164.20,230486.76,1675618858668,19.94,19.77
3976773.84,11154126.47,437878.67,230483.00,1675618861398,19.95,19.77
3978531.04,11155237.74,437974.86,230526.14,1675618864516,19.95,19.77
3964780.04,11152385.91,437284.67,230383.22,1675618867345,19.95,19.77
3966415.20,11158344.01,437366.50,230682.68,1675618870398,19.95,19.77
3979606.65,11151849.60,438028.14,230356.87,1675618873398,19.95,19.77
3969101.64,11144712.27,437498.05,229998.57,1675618876685,19.96,19.77
3968925.96,11165742.99,437462.59,231051.35,1675618879323,19.96,19.77
3978848.18,11154546.40,437954.64,230489.17,1675618882413,19.96,19.77
3986588.48,11137298.53,438316.44,229590.79,1675618885330,19.97,19.77
3971386.22,11135197.11,437521.02,229495.59,1675618888441,19.97,19.77
3965717.80,11101130.47,437232.57,227784.63,1675618891312,19.99,19.77
3979313.93,11149575.30,437912.41,230156.75,1675618894384,19.99,19.77
3984145.64,11153031.99,438077.80,230332.21,1675618897298,19.98,19.77
3980659.62,11160042.88,437902.83,230682.87,1675618900373,19.99,19.77
3955387.11,11153132.49,436641.19,230339.36,1675618903279,19.98,19.77
3979528.42,11149924.81,437851.32,230178.63,1675618906319,19.98,19.77
3958228.98,11151113.37,436788.46,230233.40,1675618909435,19.98,19.77
3969220.84,11152830.46,437341.56,230327.65,1675618912392,19.97,19.77
3972527.30,11153997.31,437500.68,230388.56,1675618915341,19.98,19.77
3970973.55,11150557.67,437421.43,230215.90,1675618918266,19.98,19.77
3968114.67,11148768.63,437278.07,230128.80,1675618921396,19.98,19.77
3979028.79,11151829.11,437833.08,230276.02,1675618924364,19.98,19.77
3970285.59,11150188.67,437394.37,230190.41,1675618927353,19.98,19.77
3969649.01,11127550.55,437358.81,229061.02,1675618930331,19.99,19.77
3977825.42,11147350.47,437770.50,230043.54,1675618933376,19.99,19.77
3975943.38,11143345.58,437672.96,229763.17,1675618936361,20,19.77
4021470.75,11153506.60,439950.28,230270.63,1675618939405,20,19.77
4017486.85,11158705.29,439746.83,230535.85,1675618942381,20,19.77
4019714.16,11160030.33,439857.21,230601.76,1675618945470,20,19.77
4025156.64,11160493.25,440122.09,230624.47,1675618948440,20,19.77
4013738.28,11163739.90,439540.13,230749.46,1675618951338,20.01,19.77
4018278.70,11170231.65,439766.60,231074.04,1675618954322,20.01,19.77
4014415.84,11170977.47,439505.14,231115.79,1675618957398,20.02,19.77
4024987.27,11152033.15,439984.85,230167.33,1675618960643,20.02,19.77
4023162.59,11161493.10,439893.42,230636.58,1675618963422,20.02,19.77
4015381.95,11162476.27,439504.48,230687.96,1675618966454,20.02,19.77
4023718.86,11143659.55,439921.99,229752.17,1675618969301,20.02,19.77
4016563.15,11153346.93,439563.60,230235.62,1675618972336,20.02,19.77
4029975.01,11153541.29,440234.44,230245.22,1675618975361,20.02,19.77
4032293.59,11144159.35,440348.80,229775.15,1675618978330,20.02,19.77
4030722.43,11149958.80,440267.80,230056.43,1675618981541,20.03,19.77
4026220.13,11148962.73,440037.78,229890.40,1675618984430,20.04,19.77
4017313.87,11157431.48,439589.09,230286.88,1675618987550,20.03,19.77
3996155.08,11156728.21,438528.57,230248.71,1675618990667,20.04,19.77
3959860.67,11164208.55,436677.88,230602.69,1675618993788,20.03,19.77
3962412.85,11157653.03,436804.64,230280.31,1675618996833,20.02,19.77
3986524.77,11159141.90,438029.94,230386.08,1675619000133,20.01,19.77
3977957.04,11167101.11,437606.46,230787.70,1675619003079,20.01,19.77
3987010.06,11147756.60,438054.65,229830.36,1675619006498,20.01,19.77
3989474.23,11159881.05,438182.49,230436.85,1675619009556,20,19.77
3994358.34,11168561.08,438427.07,230869.23,1675619012851,20,19.77
4001106.83,11162375.73,438765.17,230561.20,1675619015998,20,19.77
3992790.03,11155473.02,438353.30,230279.50,1675619018513,19.99,19.77
4005763.70,11158418.36,438999.99,230426.93,1675619022476,19.99,19.77
4008949.67,11155392.02,439162.30,230275.78,1675619026413,20,19.77
4008140.06,11155391.79,439121.58,230275.78,1675619029527,19.99,19.77
4002255.55,11157615.55,438853.15,230401.83,1675619033756,19.98,19.77
4012104.08,11149579.67,439366.84,229987.76,1675619037968,19.99,19.77
3998038.42,11157621.72,438676.57,230402.42,1675619042389,19.97,19.77
3892473.74,11073639.01,433381.99,226248.62,1675619046810,19.96,19.77
3903542.31,11063067.32,433955.93,225719.83,1675619049772,19.96,19.77
3899283.34,11072245.42,433713.66,226180.11,1675619054323,19.95,19.77
3891934.62,11066678.76,433340.30,225875.24,1675619057365,19.97,19.77
3916942.14,11069301.75,434595.66,226013.55,1675619060372,19.96,19.77
3921134.68,11082264.48,434866.71,226674.68,1675619065394,19.96,19.77
3922627.98,11073798.73,434981.98,226255.89,1675619070584,19.96,19.77
3919133.09,11075959.21,434805.59,226365.91,1675619073601,19.95,19.77
3900924.65,11079789.15,433888.60,226562.38,1675619079141,19.95,19.77
3914425.57,11074136.25,434578.63,226283.48,1675619081693,19.94,19.77
3941428.03,11068227.13,435930.22,225986.52,1675619086972,19.95,19.77
3943711.94,11065848.67,436003.35,225866.16,1675619090050,19.95,19.77
3909093.41,11071351.59,434255.63,226142.37,1675619095618,19.94,19.77
3927584.06,11079761.44,435200.10,226564.90,1675619099109,19.94,19.77
3920211.97,11078346.11,434861.07,226549.56,1675619104906,19.93,19.77
4010557.49,11135693.57,439415.93,229407.86,1675619110655,19.95,19.77
3989473.60,11136594.55,438365.01,229457.06,1675619113582,19.93,19.77
4019370.56,11102737.42,439862.22,227764.70,1675619119421,19.94,19.77
4024445.98,11146305.33,440092.89,229999.75,1675619125497,19.94,19.77
4021045.26,11155458.78,439921.95,230469.34,1675619128462,19.95,19.77
4030826.95,11146943.53,440384.94,230155.61,1675619134650,19.96,19.77
4018028.87,11135838.23,439747.87,229598.50,1675619137636,19.95,19.77
4023357.29,11142879.52,440004.07,229950.99,1675619144104,19.96,19.77
4022937.15,11148947.80,439982.59,230254.89,1675619150533,19.96,19.77
4021780.93,11147371.17,439924.60,230175.90,1675619153526,19.96,19.77
4012676.54,11158281.20,439468.21,230723.96,1675619160521,19.95,19.77
4012088.39,11141034.97,439455.94,229859.55,1675619163483,19.95,19.77
4024427.27,11149432.28,440083.66,230281.00,1675619166378,19.94,19.77
4018186.23,11149190.39,439842.43,230321.21,1675619173624,19.92,19.77
4020995.50,11143321.51,440003.30,230028.26,1675619176539,19.92,19.77
4009235.64,11138201.00,439527.22,229867.39,1675619179645,19.9,19.77
4030721.91,11140298.17,440595.36,229972.36,1675619182609,19.92,19.77
4019391.68,11128760.74,439984.81,229462.57,1675619190424,19.94,19.77
4025212.51,11130074.55,440272.44,229522.85,1675619193821,19.95,19.77
4022673.04,11140111.95,440109.50,230048.09,1675619201949,19.96,19.77
4025242.39,11130647.19,440141.62,229591.06,1675619210160,19.96,19.77
4041966.46,11129424.75,440954.76,229514.30,1675619218553,19.97,19.77
4021482.59,10893330.09,439906.18,217708.69,1675619221514,19.98,19.77
4022193.51,11125945.03,439935.00,229313.50,1675619224450,19.98,19.77
4028421.35,11125031.48,440244.32,229260.29,1675619227470,19.98,19.77
4025138.24,11139226.42,440072.77,229972.50,1675619236958,19.99,19.77
4019632.28,11139591.02,439819.21,230008.80,1675619246038,19.97,19.77
4038921.06,11111713.61,440754.90,228609.45,1675619248924,19.98,19.77
4028630.65,11136385.72,440232.03,229808.18,1675619251921,19.99,19.77
4039252.94,11132881.64,440748.46,229681.76,1675619255381,19.99,19.77
4032886.89,11120811.25,440427.49,229077.21,1675619258096,19.99,19.77
4036375.18,11134194.19,440599.39,229746.45,1675619260933,20,19.77
4039802.68,11134445.13,440763.19,229750.00,1675619270879,20.01,19.77
4005345.88,11131739.23,439040.21,229607.71,1675619273992,20,19.77
4021859.99,11121454.21,439865.48,229089.85,1675619276934,20,19.77
4012447.64,11130693.08,439394.38,229552.81,1675619280005,20,19.77
4024989.89,11131616.00,439989.35,229633.83,1675619290764,20.01,19.77
4019401.82,11139828.88,439696.91,230051.46,1675619301521,19.98,19.77
4020399.89,11139367.74,439757.32,230028.59,1675619304500,19.99,19.77
4028439.43,11140107.79,440152.15,230138.90,1675619317258,19.99,19.77
