time,exit,distance,bidCap,askCap,exitTime,entryReachTime,exitReachTime,mp
1672602703440,10.91,39,2713178.44,10467204.66,1159484,1672601543966,1672602703450,10.91
1672603856022,10.92,28,2727171.98,10491723.53,759497,1672603096529,1672603856026,10.92
1672603856022,10.92,32,2727171.98,10491723.53,759502,1672603096529,1672603856031,10.92
1672603856022,10.92,33,2727171.98,10491723.53,759502,1672603096529,1672603856031,10.92
1672603856022,10.92,34,2727171.98,10491723.53,759502,1672603096529,1672603856031,10.92
1672603856022,10.92,35,2727171.98,10491723.53,759502,1672603096529,1672603856031,10.92
1672603856022,10.92,36,2727171.98,10491723.53,759503,1672603096529,1672603856032,10.92
1672603856022,10.92,37,2727171.98,10491723.53,759503,1672603096529,1672603856032,10.92
1672603856022,10.92,38,2727171.98,10491723.53,759503,1672603096529,1672603856032,10.92
1672603856022,10.92,39,2727171.98,10491723.53,759503,1672603096529,1672603856032,10.92
1672603856022,10.92,40,2727171.98,10491723.53,759503,1672603096529,1672603856032,10.92
1672603856022,10.92,41,2727171.98,10491723.53,759503,1672603096529,1672603856032,10.92
1672603856022,10.92,45,2727171.98,10491723.53,759503,1672603096529,1672603856032,10.92
1672603856022,10.92,46,2727171.98,10491723.53,759503,1672603096529,1672603856032,10.92
1672603856022,10.92,47,2727171.98,10491723.53,759503,1672603096529,1672603856032,10.92
1672603856022,10.92,48,2727171.98,10491723.53,759503,1672603096529,1672603856032,10.92
1672603856022,10.92,49,2727171.98,10491723.53,759503,1672603096529,1672603856032,10.92
1672603856022,10.92,29,2727171.98,10491723.53,759501,1672603096529,1672603856030,10.92
1672603856022,10.92,51,2727171.98,10491723.53,759504,1672603096529,1672603856033,10.92
1672603856022,10.92,52,2727171.98,10491723.53,759504,1672603096529,1672603856033,10.92
1672603856022,10.92,53,2727171.98,10491723.53,759504,1672603096529,1672603856033,10.92
1672603856022,10.92,54,2727171.98,10491723.53,759504,1672603096529,1672603856033,10.92
1672603856022,10.92,55,2727171.98,10491723.53,759504,1672603096529,1672603856033,10.92
1672603856022,10.92,56,2727171.98,10491723.53,759504,1672603096529,1672603856033,10.92
1672603856022,10.92,57,2727171.98,10491723.53,759504,1672603096529,1672603856033,10.92
1672603856022,10.92,58,2727171.98,10491723.53,759504,1672603096529,1672603856033,10.92
1672603856022,10.92,59,2727171.98,10491723.53,759504,1672603096529,1672603856033,10.92
1672603856022,10.92,60,2727171.98,10491723.53,759504,1672603096529,1672603856033,10.92
1672603856022,10.92,61,2727171.98,10491723.53,759504,1672603096529,1672603856033,10.92
1672603856022,10.92,62,2727171.98,10491723.53,759504,1672603096529,1672603856033,10.92
1672603856022,10.92,63,2727171.98,10491723.53,759504,1672603096529,1672603856033,10.92
1672603856022,10.92,64,2727171.98,10491723.53,759504,1672603096529,1672603856033,10.92
1672603856022,10.92,65,2727171.98,10491723.53,1979616,1672601876417,1672603856033,10.92
1672603856022,10.92,66,2727171.98,10491723.53,2013989,1672601842044,1672603856033,10.92
1672603856022,10.92,67,2727171.98,10491723.53,2048020,1672601808013,1672603856033,10.92
1672603856022,10.92,68,2727171.98,10491723.53,2081787,1672601774247,1672603856034,10.92
1672603856022,10.92,69,2727171.98,10491723.53,2115349,1672601740685,1672603856034,10.92
1672603856022,10.92,70,2727171.98,10491723.53,2148711,1672601707323,1672603856034,10.92
1672603856022,10.92,71,2727171.98,10491723.53,2181824,1672601674210,1672603856034,10.92
1672603856022,10.92,72,2727171.98,10491723.53,2214788,1672601641246,1672603856034,10.92
1672603856022,10.92,73,2727171.98,10491723.53,2247390,1672601608644,1672603856034,10.92
1672603856022,10.92,74,2727171.98,10491723.53,2279642,1672601576392,1672603856034,10.92
1672603856022,10.92,76,2727171.98,10491723.53,2279642,1672601576392,1672603856034,10.92
1672603856022,10.92,77,2727171.98,10491723.53,2279642,1672601576392,1672603856034,10.92
1672603856022,10.92,50,2727171.98,10491723.53,759504,1672603096529,1672603856033,10.92
1672603856022,10.92,30,2727171.98,10491723.53,759502,1672603096529,1672603856031,10.92
1672603856022,10.92,31,2727171.98,10491723.53,759502,1672603096529,1672603856031,10.92
1672604688826,10.94,44,2722999.63,10474703.71,1604825,1672603144970,1672604749795,10.93
1672604688826,10.94,45,2722999.63,10474703.71,1604825,1672603144970,1672604749795,10.93
1672604688826,10.94,46,2722999.63,10474703.71,1653658,1672603096137,1672604749795,10.93
1672604688826,10.94,47,2722999.63,10474703.71,1698730,1672603051065,1672604749795,10.93
1672604688826,10.94,48,2722999.63,10474703.71,1743604,1672603006191,1672604749795,10.93
1672604688826,10.94,42,2722999.63,10474703.71,1511980,1672603237815,1672604749795,10.93
1672604688826,10.94,43,2722999.63,10474703.71,1558657,1672603191138,1672604749795,10.93
1672612410599,10.94,17,2716196.23,10324303.13,1161861,1672611376084,1672612537945,10.9
1672612410599,10.94,18,2716196.23,10324303.13,1162391,1672611375554,1672612537945,10.9
1672612410599,10.94,19,2716196.23,10324303.13,1283913,1672611254032,1672612537945,10.9
1672612410599,10.94,20,2716196.23,10324303.13,1283913,1672611254032,1672612537945,10.9
1672612410599,10.94,83,2716196.23,10324303.13,1287567,1672611250378,1672612537945,10.9
1672612410599,10.94,84,2716196.23,10324303.13,1287567,1672611250378,1672612537945,10.9
1672612410599,10.94,85,2716196.23,10324303.13,4673375,1672607864570,1672612537945,10.9
1672612410599,10.94,13,2716196.23,10324303.13,894217,1672611643727,1672612537944,10.9
1672612410599,10.94,87,2716196.23,10324303.13,4841454,1672607696492,1672612537946,10.9
1672612410599,10.94,21,2716196.23,10324303.13,1287567,1672611250378,1672612537945,10.9
1672612410599,10.94,269,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,14,2716196.23,10324303.13,1031936,1672611506009,1672612537945,10.9
1672612410599,10.94,271,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,86,2716196.23,10324303.13,4757679,1672607780266,1672612537945,10.9
1672612410599,10.94,273,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,92,2716196.23,10324303.13,5098382,1672607439564,1672612537946,10.9
1672612410599,10.94,275,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,270,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,277,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,278,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,279,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,274,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,281,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,282,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,283,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,284,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,285,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,286,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,287,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,276,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,289,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,272,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,291,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,280,2716196.23,10324303.13,5185125,1672607352821,1672612537946,10.9
1672612410599,10.94,293,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,288,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,295,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,296,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,297,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,298,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,299,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,300,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,301,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,292,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,303,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,304,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,305,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,306,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,302,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,308,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,309,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,310,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,311,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,312,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,307,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,314,2716196.23,10324303.13,5185126,1672607352821,1672612537947,10.9
1672612410599,10.94,315,2716196.23,10324303.13,5185127,1672607352821,1672612537948,10.9
1672612410599,10.94,316,2716196.23,10324303.13,5185127,1672607352821,1672612537948,10.9
1672612410599,10.94,317,2716196.23,10324303.13,5185127,1672607352821,1672612537948,10.9
1672612410599,10.94,318,2716196.23,10324303.13,5185127,1672607352821,1672612537948,10.9
1672612410599,10.94,319,2716196.23,10324303.13,5185127,1672607352821,1672612537948,10.9
