mp,timeStamp,mean,skew
20.9,1675017722344,7476.024042405067,-7455.1240424050675
20.92,1675017731075,6847.508668760329,-6826.588668760329
20.93,1675017734055,6500.2671784986605,-6479.33717849866
20.92,1675017743156,6563.681623245472,-6542.761623245472
20.9,1675017755185,6699.665873566776,-6678.7658735667765
20.88,1675017767352,6841.323736929899,-6820.4437369298985
20.89,1675017776630,6734.711514732247,-6713.821514732247
20.88,1675017785715,6849.017227567902,-6828.137227567902
20.88,1675017791682,6940.096334661424,-6919.216334661424
20.88,1675017798273,7009.169186184754,-6988.289186184754
20.88,1675017800911,7040.9091545425335,-7020.029154542533
20.88,1675017804065,7067.639382876319,-7046.759382876319
20.88,1675017807158,7090.191302823084,-7069.311302823084
20.88,1675017810001,7113.761762817779,-7092.8817628177785
20.88,1675017813200,7136.061557145461,-7115.181557145461
20.89,1675017819391,7180.288858703587,-7159.3988587035865
20.88,1675017825408,7217.517105929142,-7196.637105929142
20.9,1675017828461,7208.474384451904,-7187.574384451905
20.9,1675017831575,7196.658727881541,-7175.758727881542
20.9,1675017837713,7188.002285031805,-7167.102285031805
20.9,1675017840885,7183.265244127149,-7162.36524412715
20.9,1675017844143,7183.083822174457,-7162.183822174457
20.9,1675017846942,7189.859432135894,-7168.9594321358945
20.91,1675017850609,7165.61618106378,-7144.70618106378
20.91,1675017853338,7145.13260790798,-7124.22260790798
20.93,1675017856125,7172.436248649231,-7151.506248649231
20.92,1675017859211,7191.489928577486,-7170.569928577486
20.91,1675017862256,7176.135096676041,-7155.225096676041
20.91,1675017865306,7187.850139284144,-7166.940139284144
20.91,1675017868400,7173.501529535436,-7152.591529535436
20.92,1675017871581,7187.680667022276,-7166.760667022276
20.92,1675017874499,7202.017852388356,-7181.097852388356
20.91,1675017878213,7214.501312050351,-7193.591312050351
20.91,1675017881404,7224.671320694689,-7203.761320694689
20.91,1675017884453,7233.985466044744,-7213.075466044744
20.9,1675017887761,7241.047146498504,-7220.147146498504
20.89,1675017891976,7249.227101759344,-7228.337101759344
20.9,1675017905314,7191.272804043822,-7170.372804043823
20.9,1675017909181,7184.065627683459,-7163.165627683459
20.9,1675017913139,7178.356664791096,-7157.456664791096
20.9,1675017917240,7179.062726934117,-7158.162726934117
20.9,1675017921378,7182.210869073301,-7161.310869073302
20.9,1675017925728,7182.119409711664,-7161.219409711664
20.91,1675017930072,7184.208544004361,-7163.298544004361
20.92,1675017934564,7191.022845193811,-7170.102845193811
20.91,1675017939149,7193.861866664467,-7172.951866664467
20.91,1675017943798,7224.3729607073055,-7203.462960707306
20.91,1675017948611,7248.379745688228,-7227.469745688228
20.91,1675017953538,7267.903357020554,-7246.993357020554
20.91,1675017958495,7285.232446152605,-7264.322446152605
20.91,1675017963539,7301.537067223893,-7280.627067223893
20.91,1675017968701,7316.06218790452,-7295.15218790452
20.91,1675017973910,7334.781685949452,-7313.8716859494525
20.91,1675017979224,7351.201413021325,-7330.291413021325
20.91,1675017984574,7369.939552587398,-7349.029552587398
20.91,1675017990230,7387.244063401075,-7366.334063401076
20.91,1675017995841,7402.4693440103,-7381.5593440103
20.91,1675018001532,7414.945557097345,-7394.035557097345
20.91,1675018007252,7425.125120803312,-7404.215120803312
20.91,1675018013236,7434.359890374861,-7413.449890374861
20.91,1675018019188,7446.356297924695,-7425.4462979246955
20.89,1675018025291,7432.5116906960875,-7411.621690696087
20.9,1675018031649,7415.982203566816,-7395.082203566816
20.9,1675018037921,7397.822709182983,-7376.922709182983
20.91,1675018044306,7383.520834251161,-7362.610834251162
20.91,1675018050880,7366.388417197485,-7345.478417197485
20.91,1675018057619,7353.258489638423,-7332.348489638423
20.91,1675018064886,7336.968219509651,-7316.058219509651
20.91,1675018071837,7324.055937463788,-7303.145937463788
20.91,1675018078983,7313.066828201476,-7292.156828201476
20.91,1675018087350,7307.203117639777,-7286.293117639777
20.9,1675018094703,7301.977870640802,-7281.077870640803
20.91,1675018102067,7295.53955140669,-7274.629551406691
20.9,1675018112931,7281.675712388649,-7260.7757123886495
20.91,1675018120893,7276.28428061051,-7255.37428061051
20.9,1675018133307,7258.773985423573,-7237.873985423574
20.9,1675018141893,7251.158342443932,-7230.258342443933
20.89,1675018150801,7243.597497524635,-7222.707497524635
20.88,1675018164166,7238.543505655391,-7217.6635056553905
20.88,1675018173890,7233.463207180589,-7212.583207180589
20.85,1675018187002,7232.035058742021,-7211.18505874202
20.89,1675018209632,7153.4814879482155,-7132.591487948215
20.9,1675018223720,7125.556626320589,-7104.65662632059
20.88,1675018248202,7111.854727443194,-7090.974727443194
20.88,1675018261009,7112.760286650473,-7091.880286650473
20.89,1675018273745,7118.009780284704,-7097.119780284704
20.88,1675018286672,7118.206880798091,-7097.326880798091
20.89,1675018303263,7117.165328567701,-7096.275328567701
20.9,1675018317177,7111.759322088487,-7090.859322088488
20.89,1675018335848,7114.679902626921,-7093.789902626921
20.91,1675018350221,7100.090787427433,-7079.180787427433
20.91,1675018367969,7069.33175782997,-7048.42175782997
20.91,1675018389670,7027.327576918485,-7006.417576918485
20.9,1675018405545,7016.375881818031,-6995.475881818032
20.91,1675018424456,7004.907831437347,-6983.9978314373475
20.91,1675018440638,6993.879909156389,-6972.969909156389
20.91,1675018457275,6982.742503650657,-6961.832503650658
20.92,1675018477796,6954.062418815386,-6933.142418815386
20.91,1675018495127,6949.811743127382,-6928.901743127382
20.91,1675018512811,6945.499580220152,-6924.589580220152
20.89,1675018530659,6938.614016744382,-6917.7240167443815
20.87,1675018555355,6935.1366287052115,-6914.266628705212
20.87,1675018574042,6920.030032713171,-6899.160032713171
20.88,1675018592997,6915.083877230402,-6894.203877230402
20.89,1675018612100,6921.8551234987535,-6900.965123498753
20.89,1675018631570,6921.692354797678,-6900.802354797677
20.89,1675018651767,6919.717914266349,-6898.827914266349
20.88,1675018671771,6927.971372068149,-6907.091372068149
20.88,1675018692215,6937.228071483936,-6916.348071483936
20.88,1675018713030,6946.293799626105,-6925.413799626105
20.88,1675018734155,6954.982658809001,-6934.102658809001
20.9,1675018755494,6954.870660662134,-6933.970660662134
20.88,1675018777034,6954.671667765938,-6933.791667765938
20.88,1675018801827,6953.030598084932,-6932.1505980849315
20.88,1675018827584,6945.322717752974,-6924.442717752974
20.88,1675018850505,6940.831167382701,-6919.951167382701
20.88,1675018877247,6933.199169600963,-6912.319169600963
20.86,1675018904805,6961.0398798346705,-6940.179879834671
20.85,1675018936066,6982.51973026241,-6961.66973026241
20.86,1675018968380,6961.761698644752,-6940.901698644752
20.87,1675018998429,6949.081850382119,-6928.211850382119
20.87,1675019025867,6943.8284850870905,-6922.958485087091
20.86,1675019053938,6937.911358058872,-6917.051358058872
20.88,1675019091848,6943.227680554119,-6922.347680554119
20.87,1675019130852,6958.705620339941,-6937.835620339941
20.9,1675019164461,6960.358394305599,-6939.4583943055995
20.9,1675019199462,6962.079877574717,-6941.1798775747175
20.9,1675019230750,6969.968359853075,-6949.068359853075
20.89,1675019262286,6969.349558140039,-6948.459558140039
20.92,1675019294285,6961.807056541935,-6940.887056541935
20.96,1675019326605,6953.67121782197,-6932.7112178219695
20.96,1675019366078,6929.226396388231,-6908.2663963882305
20.99,1675019400000,6926.996521572463,-6906.0065215724635
20.96,1675019437365,6902.541530212408,-6881.581530212408
20.94,1675019475702,6896.512230214182,-6875.572230214182
20.98,1675019514624,6895.169665267306,-6874.189665267307
20.98,1675019550994,6894.899892924332,-6873.919892924332
20.96,1675019591645,6897.729255666578,-6876.769255666578
20.97,1675019629147,6897.077977674753,-6876.107977674753
20.99,1675019677908,6868.312776374415,-6847.322776374415
20.99,1675019718119,6863.873722013086,-6842.883722013086
21.02,1675019761600,6831.098277303971,-6810.078277303971
21.01,1675019809334,6829.800559232075,-6808.790559232075
20.96,1675019851278,6814.909199729827,-6793.949199729827
20.93,1675019900680,6768.657131652616,-6747.727131652616
20.94,1675019944337,6758.64009000249,-6737.7000900024905
20.95,1675019992323,6755.396757081644,-6734.446757081644
20.96,1675020064493,6803.69875672735,-6782.73875672735
20.96,1675020112991,6804.525552955491,-6783.565552955491
20.92,1675020168863,6795.738787910671,-6774.818787910671
20.92,1675020225928,6801.836126772606,-6780.916126772606
20.94,1675020285933,6808.240845660496,-6787.300845660497
20.9,1675020337435,6801.184954245557,-6780.284954245557
20.84,1675020389168,6788.01927465871,-6767.17927465871
20.89,1675020441821,6786.265435821833,-6765.375435821833
20.89,1675020494600,6784.99785774789,-6764.107857747889
20.95,1675020547677,6775.749193978915,-6754.799193978915
20.97,1675020604825,6758.2567311527,-6737.2867311527
20.94,1675020662865,6743.72899863784,-6722.78899863784
20.98,1675020718334,6737.426569749611,-6716.446569749612
20.98,1675020774089,6735.818002353542,-6714.838002353543
21,1675020830366,6731.203708758048,-6710.203708758048
21.05,1675020947409,6716.597172141446,-6695.547172141446
21.08,1675021005257,6712.849049331326,-6691.769049331326
21.06,1675021067069,6697.4851156142295,-6676.425115614229
21.07,1675021126501,6692.195628760779,-6671.125628760779
20.99,1675021190187,6682.593964443755,-6661.603964443755
20.99,1675021250957,6676.8537088824405,-6655.863708882441
20.99,1675021312197,6668.017874102963,-6647.027874102963
21.01,1675021374020,6669.755795697321,-6648.745795697321
21.02,1675021436547,6677.282024950343,-6656.2620249503425
21.04,1675021503241,6687.262494308527,-6666.222494308527
21.05,1675021567414,6691.211711938229,-6670.161711938229
21.03,1675021635312,6700.691598516906,-6679.661598516906
21.08,1675021700945,6708.252238673443,-6687.172238673443
21.05,1675021767438,6710.853075328581,-6689.803075328581
21.03,1675021833692,6709.869158516113,-6688.8391585161135
21,1675021907841,6712.495551831326,-6691.495551831326
21.03,1675021976693,6706.7912386391035,-6685.761238639104
21,1675022069970,6705.245258453979,-6684.245258453979
20.99,1675022142237,6705.12720731616,-6684.13720731616
20.98,1675022215230,6709.251958843154,-6688.271958843155
20.98,1675022291600,6717.602890452412,-6696.622890452412
21.01,1675022390807,6726.239355928925,-6705.229355928925
21.01,1675022491107,6734.599857877923,-6713.589857877922
20.98,1675022566246,6740.039211914919,-6719.05921191492
20.87,1675022641764,6739.304287274066,-6718.434287274066
20.91,1675022717654,6729.304863760288,-6708.394863760288
20.85,1675022793961,6719.931553256535,-6699.081553256535
20.87,1675022873915,6715.216465854946,-6694.3464658549465
20.88,1675022954887,6700.519418615289,-6679.639418615289
20.93,1675023044064,6696.778240853277,-6675.848240853276
20.93,1675023122425,6690.422587923597,-6669.492587923597
20.9,1675023201917,6694.611886096958,-6673.711886096959
20.89,1675023300218,6672.339938690133,-6651.4499386901325
20.86,1675023381777,6671.607571823917,-6650.7475718239175
20.91,1675023463995,6668.063905944199,-6647.153905944199
20.9,1675023549923,6666.642618189797,-6645.742618189797
20.86,1675023637468,6668.166824463895,-6647.306824463895
20.87,1675023725778,6672.1330591381775,-6651.263059138178
20.87,1675023811680,6672.311059264834,-6651.441059264834
20.84,1675023898033,6674.885209145158,-6654.045209145158
20.86,1675023997305,6681.10240917509,-6660.24240917509
20.9,1675024084579,6685.5170637146175,-6664.617063714618
20.87,1675024195501,6686.72145499503,-6665.8514549950305
20.89,1675024287416,6690.4871220037185,-6669.597122003718
20.9,1675024377223,6694.593557506847,-6673.693557506847
20.9,1675024471437,6697.8179375618165,-6676.917937561817
20.88,1675024563394,6696.93598591093,-6676.05598591093
20.88,1675024659902,6695.330669286324,-6674.450669286324
20.88,1675024754300,6694.972772336117,-6674.0927723361165
20.9,1675024848970,6698.101614791431,-6677.201614791431
20.94,1675024944483,6697.604034480506,-6676.664034480506
20.9,1675025044660,6686.078974508676,-6665.178974508676
20.89,1675025150017,6683.940820589403,-6663.050820589403
20.87,1675025249815,6688.080705795966,-6667.2107057959665
20.84,1675025350470,6685.54201079846,-6664.70201079846
20.84,1675025458868,6674.975418137007,-6654.135418137007
20.83,1675025562171,6675.699410865247,-6654.869410865247
20.85,1675025669776,6671.755059441539,-6650.9050594415385
20.83,1675025896972,6636.557678205332,-6615.727678205332
