mp,timeStamp,mean,skew
13.62,1690131763830,3173.6074863703698,-3159.98748637037
13.62,1690131766777,3168.9751571586717,-3155.355157158672
13.62,1690131769969,3155.8626503911987,-3142.242650391199
13.62,1690131772815,3149.366326197442,-3135.746326197442
13.62,1690131775876,3152.355719633971,-3138.7357196339713
13.62,1690131779229,3154.3522986446924,-3140.7322986446925
13.62,1690131781833,3158.5586704192924,-3144.9386704192925
13.62,1690131784995,3156.005551146795,-3142.385551146795
13.62,1690131788004,3151.471937917012,-3137.851937917012
13.62,1690131790887,3151.668492007332,-3138.0484920073322
13.62,1690131793919,3147.3298887633014,-3133.7098887633015
13.62,1690131796986,3146.368146959173,-3132.748146959173
13.62,1690131800371,3145.553308352082,-3131.933308352082
13.62,1690131802918,3147.3066337584946,-3133.6866337584947
13.62,1690131809007,3238.7624270205984,-3225.1424270205985
13.62,1690131812034,3276.1852187166273,-3262.5652187166274
13.62,1690131815009,3305.462557404553,-3291.842557404553
13.61,1690131818047,3338.924701882946,-3325.314701882946
13.61,1690131827147,3424.2066251482916,-3410.5966251482914
13.61,1690131833236,3474.5129455099636,-3460.9029455099635
13.61,1690131842392,3538.4849002544574,-3524.8749002544573
13.61,1690131848311,3574.5761238434097,-3560.9661238434096
13.61,1690131851439,3589.774131511409,-3576.164131511409
13.61,1690131857497,3616.653146629408,-3603.043146629408
13.61,1690131860511,3628.3559348835747,-3614.7459348835746
13.61,1690131863467,3618.026988928975,-3604.4169889289747
13.61,1690131866595,3606.7624359935967,-3593.1524359935966
13.61,1690131872578,3598.140286382092,-3584.530286382092
13.62,1690131875621,3588.3099941377504,-3574.6899941377505
13.62,1690131881863,3572.8054869646157,-3559.185486964616
13.62,1690131894805,3546.3209518292406,-3532.7009518292407
13.62,1690131897046,3542.196033194085,-3528.576033194085
13.62,1690131903208,3533.494890767541,-3519.8748907675413
13.62,1690131906775,3529.1469792609814,-3515.5269792609815
13.62,1690131909427,3522.8805433646107,-3509.260543364611
13.62,1690131912932,3518.0672041147636,-3504.4472041147637
13.62,1690131915363,3512.927480754172,-3499.307480754172
13.62,1690131918565,3509.4392550753587,-3495.819255075359
13.62,1690131921646,3505.9857663865596,-3492.3657663865597
13.62,1690131924671,3509.798251145569,-3496.178251145569
13.62,1690131927806,3516.728560802781,-3503.108560802781
13.62,1690131930824,3524.6339742398154,-3511.0139742398155
13.62,1690131933877,3531.412331091768,-3517.792331091768
13.61,1690131936954,3539.593308884742,-3525.9833088847417
13.61,1690131939942,3547.4569833644914,-3533.8469833644913
13.61,1690131943053,3554.922323905918,-3541.3123239059178
13.61,1690131946284,3562.1528122678146,-3548.5428122678145
13.61,1690131949707,3570.1286622008465,-3556.5186622008464
13.61,1690131952645,3577.4981709566573,-3563.888170956657
13.61,1690131961705,3595.48503970802,-3581.87503970802
13.61,1690131971005,3608.4935661319496,-3594.8835661319495
13.61,1690131974275,3612.6118221127313,-3599.001822112731
13.61,1690131987038,3636.4016614809093,-3622.791661480909
13.61,1690131990895,3631.6253540317043,-3618.015354031704
13.61,1690131994780,3626.148234289039,-3612.538234289039
13.61,1690132001895,3611.6980005088217,-3598.0880005088216
13.61,1690132012142,3601.036317337254,-3587.4263173372537
13.61,1690132016442,3598.631870680771,-3585.021870680771
13.61,1690132030143,3587.4233121279144,-3573.8133121279143
13.61,1690132035055,3583.960132946213,-3570.350132946213
13.61,1690132039688,3580.4692142539975,-3566.8592142539974
13.61,1690132047835,3573.987148306477,-3560.377148306477
13.62,1690132062532,3565.212873277056,-3551.5928732770562
13.62,1690132068440,3566.9038478064226,-3553.2838478064227
13.62,1690132074391,3569.3386140303405,-3555.7186140303406
13.62,1690132080450,3574.8675068432785,-3561.2475068432786
13.62,1690132089830,3583.0063887561755,-3569.3863887561756
13.62,1690132096825,3586.0814563712024,-3572.4614563712025
13.62,1690132103482,3589.668091059236,-3576.048091059236
13.62,1690132110258,3593.0025318397206,-3579.3825318397207
13.62,1690132117187,3596.6111746172755,-3582.9911746172756
13.62,1690132124302,3599.844470550607,-3586.2244705506073
13.63,1690132137741,3607.639557907788,-3594.009557907788
