mp,timeStamp,mean,skew
17.71,1679263965699,5286.3331491666695,-5268.6231491666695
17.71,1679263968630,5773.138692797204,-5755.428692797204
17.7,1679263974718,5678.858551443296,-5661.158551443296
17.69,1679263977648,5651.466054480406,-5633.776054480406
17.71,1679263989477,5479.876417767586,-5462.166417767586
17.72,1679263992493,5445.584740914129,-5427.864740914129
17.71,1679263995469,5428.775701703391,-5411.065701703391
17.71,1679263998592,5411.379956293707,-5393.669956293707
17.71,1679264001475,5397.089315150647,-5379.379315150647
17.7,1679264004639,5313.720034252337,-5296.020034252338
17.7,1679264007602,5223.192109638179,-5205.4921096381795
17.7,1679264010954,5177.473969150062,-5159.773969150062
17.7,1679264013569,5138.662377119961,-5120.962377119961
17.72,1679264016676,5129.393434315574,-5111.673434315574
17.72,1679264019637,5117.4714866452305,-5099.75148664523
17.71,1679264022706,5114.100159317332,-5096.390159317332
17.71,1679264025565,5107.586791067752,-5089.876791067752
17.7,1679264034746,5089.9506411461325,-5072.250641146133
17.72,1679264037671,5061.98176805915,-5044.26176805915
17.72,1679264049705,4974.699697750834,-4956.979697750834
17.72,1679264056142,4947.835596913178,-4930.115596913178
17.71,1679264058886,4948.799703331367,-4931.089703331367
17.7,1679264061942,4939.9627717441645,-4922.262771744165
17.7,1679264064867,4932.91331744664,-4915.21331744664
17.7,1679264071334,4923.689716147091,-4905.989716147091
17.7,1679264085952,4902.664806664311,-4884.964806664311
17.7,1679264092145,4892.358187203433,-4874.658187203433
17.7,1679264095152,4882.075634200888,-4864.375634200888
17.7,1679264098047,4873.28812309123,-4855.58812309123
17.7,1679264104130,4856.523026073511,-4838.823026073511
17.7,1679264107128,4848.687853268885,-4830.987853268885
17.7,1679264116334,4821.489653636897,-4803.789653636897
17.71,1679264125472,4810.201562249466,-4792.491562249466
17.71,1679264131398,4831.014143263348,-4813.304143263348
17.72,1679264134578,4840.492356416426,-4822.772356416426
17.72,1679264137697,4831.6192709014185,-4813.899270901418
17.72,1679264140683,4819.609065270916,-4801.889065270916
17.72,1679264143673,4813.081304147527,-4795.361304147526
17.73,1679264149590,4780.11790912393,-4762.3879091239305
17.73,1679264155751,4735.089609981734,-4717.359609981734
17.73,1679264170965,4700.110483283673,-4682.380483283673
17.71,1679264174186,4677.783268713813,-4660.073268713813
17.71,1679264177325,4661.066080330671,-4643.356080330671
17.71,1679264180267,4643.730272291587,-4626.020272291587
17.71,1679264183226,4626.3375393196375,-4608.627539319637
17.71,1679264186264,4623.749878659884,-4606.039878659884
17.71,1679264189690,4631.510251390149,-4613.800251390149
17.71,1679264192645,4628.5553289589325,-4610.845328958932
17.71,1679264195309,4624.868490129103,-4607.158490129103
17.71,1679264198438,4632.830602404002,-4615.120602404002
17.71,1679264201547,4640.368472088835,-4622.658472088835
17.7,1679264204568,4637.96033920087,-4620.2603392008705
17.71,1679264216723,4660.322632557673,-4642.612632557673
17.71,1679264222833,4651.616030544853,-4633.906030544853
17.71,1679264225740,4650.017216491362,-4632.307216491362
17.71,1679264228796,4660.570696799755,-4642.860696799755
17.71,1679264231917,4657.526729461242,-4639.816729461242
17.71,1679264234928,4654.433880872775,-4636.723880872775
17.71,1679264237970,4651.90782053302,-4634.19782053302
17.71,1679264240927,4647.223537002818,-4629.513537002818
17.71,1679264244143,4642.635929632734,-4624.925929632734
17.71,1679264247205,4650.868832793232,-4633.158832793232
17.71,1679264253408,4666.759494521082,-4649.049494521082
17.71,1679264262962,4669.6643873723815,-4651.9543873723815
17.71,1679264266330,4665.8486206894495,-4648.138620689449
17.71,1679264269790,4676.140793299421,-4658.430793299421
17.7,1679264276433,4683.109529673597,-4665.409529673597
17.7,1679264280130,4685.906225481456,-4668.206225481456
17.7,1679264286903,4692.111075177193,-4674.411075177193
17.7,1679264296942,4704.883292366397,-4687.183292366397
17.7,1679264300867,4713.793711082802,-4696.093711082802
17.7,1679264314191,4741.210856360817,-4723.510856360817
17.7,1679264318480,4740.635247432289,-4722.9352474322895
17.7,1679264322998,4747.947891409112,-4730.2478914091125
17.7,1679264327427,4755.913488161688,-4738.2134881616885
17.69,1679264335049,4786.341322193128,-4768.651322193128
17.68,1679264342692,4798.672654810806,-4780.992654810806
17.69,1679264350542,4803.369713901865,-4785.679713901865
17.7,1679264355339,4806.760826137664,-4789.060826137664
17.7,1679264363935,4813.528594946168,-4795.828594946168
17.71,1679264372092,4811.395499430557,-4793.685499430557
17.71,1679264377382,4814.0466359589545,-4796.3366359589545
17.71,1679264382923,4816.387750836561,-4798.677750836561
17.71,1679264388290,4819.318660791398,-4801.608660791398
17.71,1679264393747,4821.565152095267,-4803.855152095267
17.71,1679264399346,4816.543936630852,-4798.833936630852
17.71,1679264405030,4812.625705768756,-4794.915705768756
17.7,1679264413925,4806.143111850358,-4788.443111850358
17.7,1679264423054,4805.180043152294,-4787.4800431522945
17.7,1679264429044,4808.949850462744,-4791.249850462744
17.69,1679264435170,4812.026667859507,-4794.3366678595075
17.7,1679264456887,4844.504932714891,-4826.804932714891
17.71,1679264469761,4855.3018173317505,-4837.5918173317505
17.69,1679264477044,4849.079121823857,-4831.389121823858
17.69,1679264487212,4834.954053779716,-4817.264053779716
17.68,1679264497425,4837.549052061208,-4819.869052061208
17.67,1679264504842,4838.531801149635,-4820.861801149635
17.68,1679264518377,4836.5167739162425,-4818.836773916242
17.69,1679264529236,4833.655412258646,-4815.965412258646
17.69,1679264540285,4830.079258185116,-4812.389258185116
17.69,1679264554624,4824.922622263669,-4807.232622263669
17.69,1679264563099,4829.981272589618,-4812.2912725896185
17.69,1679264571470,4834.378100821119,-4816.688100821119
17.69,1679264579926,4837.720549203794,-4820.030549203794
17.69,1679264591628,4846.632229796828,-4828.9422297968285
17.68,1679264602434,4850.783535430281,-4833.10353543028
17.67,1679264614832,4844.219279222725,-4826.549279222725
17.67,1679264627123,4832.79067693707,-4815.12067693707
17.67,1679264636441,4829.769801566761,-4812.099801566761
17.67,1679264652076,4811.6200159125365,-4793.950015912536
17.63,1679264674193,4794.503744334156,-4776.873744334156
17.64,1679264687744,4789.52561381249,-4771.885613812489
17.64,1679264701355,4784.486776492488,-4766.846776492488
17.65,1679264715214,4771.410150412072,-4753.760150412072
17.65,1679264726371,4768.107565933203,-4750.457565933203
17.65,1679264741034,4761.153708264204,-4743.503708264205
17.64,1679264758588,4765.733432402058,-4748.093432402057
17.63,1679264770326,4762.961140541754,-4745.3311405417535
17.64,1679264782243,4759.379918327571,-4741.739918327571
17.65,1679264800530,4752.87140124826,-4735.22140124826
17.64,1679264812757,4754.649074581786,-4737.009074581786
17.64,1679264825278,4756.60970661064,-4738.96970661064
17.63,1679264837679,4745.271545502855,-4727.641545502855
17.63,1679264850214,4739.297564232815,-4721.667564232815
17.63,1679264862814,4737.357385018505,-4719.727385018505
17.63,1679264881789,4741.736543157018,-4724.106543157018
17.63,1679264895034,4742.787234522997,-4725.157234522997
17.62,1679264908163,4742.521703946151,-4724.901703946151
17.62,1679264921434,4740.699753207789,-4723.0797532077895
17.64,1679264934776,4739.176345486981,-4721.53634548698
17.64,1679264950209,4742.1720632898005,-4724.5320632898
17.65,1679264966956,4727.10223079563,-4709.45223079563
17.65,1679264983980,4720.2381613477455,-4702.588161347746
17.64,1679265007564,4704.916227877167,-4687.276227877167
17.65,1679265022261,4704.908948219148,-4687.258948219149
17.64,1679265037037,4707.127443653006,-4689.487443653005
17.64,1679265055099,4708.911401411428,-4691.271401411428
17.64,1679265073470,4710.088557520479,-4692.448557520479
17.65,1679265095292,4714.299324007524,-4696.649324007524
17.64,1679265110999,4715.572862445087,-4697.932862445086
17.64,1679265139746,4723.05907027803,-4705.41907027803
17.64,1679265156626,4724.915387294016,-4707.275387294016
17.63,1679265176549,4723.07335090442,-4705.44335090442
17.63,1679265196892,4725.286191025626,-4707.656191025626
17.63,1679265214273,4726.903243042927,-4709.273243042927
17.64,1679265231731,4730.217518791219,-4712.577518791219
17.64,1679265252692,4725.087670654102,-4707.447670654102
17.62,1679265270663,4723.048852809152,-4705.428852809152
17.63,1679265288608,4724.7418932344135,-4707.111893234413
17.63,1679265306806,4726.038512837315,-4708.408512837314
17.63,1679265324854,4727.419183531523,-4709.789183531523
17.64,1679265346289,4729.233956783769,-4711.593956783769
17.66,1679265377526,4742.775770401522,-4725.115770401522
17.67,1679265406450,4726.912745546779,-4709.242745546779
17.67,1679265426538,4725.549555806735,-4707.879555806735
17.68,1679265450811,4721.7276346671015,-4704.047634667101
17.69,1679265471616,4718.222130800168,-4700.5321308001685
17.68,1679265492547,4714.004756529755,-4696.324756529754
17.69,1679265519936,4708.414207478933,-4690.724207478934
17.69,1679265544823,4707.312384832789,-4689.622384832789
17.7,1679265569638,4700.838114828877,-4683.138114828877
17.69,1679265598003,4699.76010726218,-4682.0701072621805
17.69,1679265620742,4702.201568107205,-4684.511568107206
17.69,1679265643420,4703.905663455911,-4686.215663455911
17.71,1679265666024,4707.513342515075,-4689.803342515075
17.72,1679265688950,4702.99198538328,-4685.27198538328
17.74,1679265712451,4702.295433814112,-4684.555433814112
17.74,1679265735610,4702.848160498711,-4685.108160498711
17.76,1679265759267,4698.830282619357,-4681.0702826193565
17.75,1679265783431,4693.843096996378,-4676.093096996378
17.74,1679265806934,4692.651099401958,-4674.911099401958
17.75,1679265830843,4687.310384422872,-4669.560384422872
17.75,1679265854793,4684.783751294924,-4667.033751294924
17.74,1679265878897,4682.8160342069705,-4665.076034206971
17.75,1679265903040,4682.279049612069,-4664.529049612069
17.76,1679265927242,4680.367156343344,-4662.607156343343
17.77,1679265951759,4678.709332840885,-4660.939332840884
17.77,1679265976507,4675.417593978084,-4657.647593978084
17.78,1679266001327,4671.431901323543,-4653.651901323543
17.78,1679266026371,4667.283797469866,-4649.503797469866
17.77,1679266051701,4667.431404076822,-4649.661404076822
17.74,1679266077032,4665.902776025889,-4648.162776025889
17.75,1679266102509,4663.416091967365,-4645.666091967365
17.75,1679266128186,4667.090306112134,-4649.340306112134
17.76,1679266154038,4666.2098130706245,-4648.449813070624
17.75,1679266180072,4661.722692891254,-4643.972692891254
17.75,1679266206379,4660.6914305662585,-4642.9414305662585
17.74,1679266236436,4662.847885809881,-4645.107885809881
17.76,1679266263232,4661.465170707265,-4643.705170707265
17.77,1679266291254,4662.955476549489,-4645.185476549488
17.76,1679266318655,4665.370514289144,-4647.610514289144
17.75,1679266346466,4665.300435436462,-4647.550435436462
17.75,1679266374248,4665.186361454951,-4647.436361454951
17.75,1679266402264,4664.988054976038,-4647.238054976038
17.74,1679266431215,4668.421669089534,-4650.681669089534
17.75,1679266459657,4671.185482218178,-4653.435482218178
17.74,1679266498026,4682.671380279122,-4664.931380279122
17.75,1679266527362,4684.831237568661,-4667.081237568661
17.74,1679266566667,4693.138021478147,-4675.398021478147
17.73,1679266597519,4691.7956619515635,-4674.065661951564
17.73,1679266629884,4690.024883323853,-4672.294883323853
17.74,1679266660805,4690.593157368481,-4672.853157368481
17.73,1679266692598,4686.211667504326,-4668.481667504327
17.73,1679266730230,4683.365675189272,-4665.635675189273
17.73,1679266762086,4682.524266227055,-4664.794266227055
17.74,1679266804474,4682.34033180432,-4664.60033180432
17.73,1679266838991,4683.448861860699,-4665.7188618607
17.73,1679266872834,4684.091897432267,-4666.361897432267
17.76,1679266906586,4683.700488429155,-4665.940488429154
17.76,1679266940290,4682.608731368411,-4664.848731368411
17.76,1679266975057,4679.021459117062,-4661.261459117061
17.76,1679267011796,4677.79043865676,-4660.0304386567595
17.74,1679267052998,4675.866588659647,-4658.1265886596475
17.77,1679267088467,4673.464944512727,-4655.694944512727
17.75,1679267130557,4667.624972181664,-4649.874972181664
