bc,ac,tbv,tav,time,mp,minBid
2420513.67,35247024.74,358382.48,370216.40,1679846195080,17.15,17.08
2420513.67,35247024.74,358382.48,370216.40,1679846198240,17.15,17.08
2420514.69,35247024.74,358382.48,370216.40,1679846201023,17.15,17.08
2425108.05,35247024.74,358638.66,370216.40,1679846203911,17.15,17.08
2425124.50,35247024.82,358638.66,370216.40,1679846206881,17.15,17.08
2425124.50,35243522.57,358638.66,370012.75,1679846209974,17.15,17.08
2425124.50,35251579.57,358638.66,370460.88,1679846213328,17.15,17.08
2423753.30,35251579.57,358558.66,370460.88,1679846215858,17.15,17.08
2429633.34,35251579.57,358901.66,370460.88,1679846219006,17.15,17.08
2439196.69,35248034.70,359460.08,370254.07,1679846222498,17.15,17.08
2437766.61,35258214.93,359375.70,370846.39,1679846224969,17.16,17.08
2447138.09,35255129.67,359921.29,370666.29,1679846227930,17.16,17.08
2446687.28,35257891.15,359893.85,370827.22,1679846230920,17.16,17.08
2447603.17,35249201.94,359947.46,370320.86,1679846233986,17.16,17.08
2448103.23,35242433.63,359959.07,369928.16,1679846237432,17.16,17.08
2425279.91,35249071.36,358627.84,370315.03,1679846239980,17.15,17.08
2425285.61,35245573.45,358628.11,370111.19,1679846242930,17.15,17.08
2425285.61,35242335.32,358628.11,369925.61,1679846245957,17.15,17.08
2423197.91,35238666.71,358506.23,369712.06,1679846248902,17.16,17.08
2425337.64,35242515.21,358631.34,369935.94,1679846251898,17.16,17.08
2428258.15,35243851.32,358801.46,370013.38,1679846254920,17.16,17.08
2430067.10,35243730.64,358907.41,370006.46,1679846257985,17.16,17.08
2442210.10,35244966.13,359615.79,370078.31,1679846260951,17.16,17.08
2424886.11,35234653.02,358605.14,369478.17,1679846263985,17.15,17.08
2422051.76,35245617.09,358439.39,370117.11,1679846266933,17.15,17.08
2412740.63,35247182.54,357895.65,370208.16,1679846269909,17.15,17.08
2429589.12,35233750.69,358879.65,369591.82,1679846273038,17.16,17.08
2422044.99,35236410.49,358438.99,369737.08,1679846275923,17.15,17.08
