bc,ac,tbv,tav,time,mp,minBid
3304608.96,10740490.94,570716.77,263330.79,1672349205693,10.8,10.76
3301459.12,10738666.52,570422.80,263162.03,1672349208657,10.8,10.76
3302577.78,10739331.37,570499.80,263196.03,1672349211619,10.8,10.76
3311260.37,10741856.16,571304.55,263429.58,1672349214692,10.8,10.76
3310931.69,10741856.16,571273.57,263429.58,1672349217607,10.8,10.76
3310934.33,10741596.77,571273.57,263405.38,1672349220629,10.8,10.76
3310934.33,10737063.12,571273.57,262985.61,1672349223690,10.8,10.76
3304282.40,10736975.96,570657.01,262978.19,1672349226793,10.8,10.76
3304387.02,10743181.88,570665.68,263549.75,1672349229851,10.8,10.76
3304655.93,10733816.15,570692.90,262684.59,1672349232639,10.8,10.76
3304880.60,10733782.52,570713.59,262681.48,1672349235668,10.8,10.76
3304882.67,10735557.90,570713.59,262845.54,1672349239048,10.8,10.76
3304882.67,10735557.90,570713.59,262845.54,1672349242118,10.8,10.76
3304883.23,10735557.90,570713.59,262845.54,1672349244643,10.8,10.76
3304863.45,10733860.25,570711.58,262688.69,1672349247618,10.8,10.76
3300857.74,10733130.06,570340.71,262621.66,1672349250694,10.8,10.76
3305860.25,10733131.56,570804.32,262621.66,1672349253640,10.8,10.76
3300887.41,10733131.56,570340.71,262621.66,1672349256649,10.8,10.76
3305888.41,10733131.96,570804.32,262621.66,1672349259805,10.8,10.76
3310101.88,10734354.58,571194.40,262734.65,1672349262696,10.8,10.76
3310101.88,10735166.61,571194.40,262809.51,1672349265706,10.8,10.76
3308783.65,10722340.15,571070.60,261624.24,1672349269132,10.8,10.76
3310281.13,10742819.74,571209.35,263511.00,1672349271640,10.8,10.76
3310680.95,10734947.34,571245.57,262783.85,1672349274712,10.8,10.76
3302826.93,10740143.84,570514.73,263260.02,1672349277728,10.8,10.76
3302729.33,10738644.74,570504.65,263120.95,1672349280727,10.8,10.76
3317266.54,10739420.38,571841.06,263183.17,1672349283755,10.81,10.76
3301951.11,10739420.17,570421.10,263183.17,1672349286694,10.81,10.76
3309931.63,10739420.17,571160.64,263183.17,1672349289730,10.81,10.76
3309077.03,10739420.03,571081.43,263183.17,1672349292648,10.81,10.76
3301350.05,10734258.97,570366.15,262707.01,1672349295667,10.81,10.76
3301247.40,10735536.61,570356.86,262824.63,1672349298655,10.81,10.76
3287594.13,10734426.53,569094.35,262722.52,1672349302124,10.81,10.76
3293229.01,10737418.75,569619.11,263007.86,1672349304685,10.8,10.76
3293229.10,10739863.45,569619.11,263233.59,1672349307679,10.8,10.76
3291584.44,10732928.49,569467.00,262592.67,1672349310672,10.8,10.76
3296796.15,10740927.60,569949.80,263332.60,1672349313694,10.8,10.76
3299329.68,10740386.39,570184.90,263282.60,1672349316701,10.8,10.76
3299329.69,10740386.67,570184.90,263282.60,1672349319809,10.8,10.76
3299329.69,10736612.95,570184.90,262933.58,1672349322659,10.8,10.76
3299329.69,10736612.95,570184.90,262933.58,1672349325684,10.8,10.76
3301925.95,10738481.77,570425.97,263106.54,1672349328714,10.8,10.76
3301925.95,10738481.77,570425.97,263106.54,1672349331691,10.8,10.76
3295798.23,10739384.44,569857.17,263190.20,1672349334681,10.8,10.76
3298136.73,10738640.84,570074.29,263121.30,1672349337685,10.8,10.76
3298105.41,10738586.84,570070.99,263116.30,1672349340729,10.8,10.76
3298105.23,10738586.84,570070.99,263116.30,1672349344022,10.8,10.76
3291327.37,10738586.66,569434.15,263116.30,1672349346711,10.8,10.76
3297851.62,10738548.35,570046.92,263112.46,1672349350862,10.8,10.76
3297851.62,10738548.35,570046.92,263112.46,1672349352715,10.8,10.76
3297851.62,10738548.35,570046.92,263112.46,1672349355720,10.8,10.76
3297851.62,10738548.35,570046.92,263112.46,1672349358716,10.8,10.76
3294924.28,10737794.69,569775.69,263042.77,1672349361722,10.8,10.76
3294924.28,10738548.16,569775.69,263112.46,1672349364917,10.8,10.76
3294465.94,10739944.79,569732.92,263241.27,1672349367783,10.8,10.76
3294463.23,10607169.81,569732.92,250997.71,1672349370704,10.8,10.76
3294462.44,10607169.81,569732.92,250997.71,1672349373693,10.8,10.76
3294462.44,10607169.74,569732.92,250997.71,1672349376875,10.8,10.76
3297166.57,10607168.68,569983.46,250997.61,1672349379776,10.8,10.76
3297166.57,10607168.61,569983.46,250997.61,1672349382787,10.8,10.76
3288889.60,10614428.17,569211.23,251653.74,1672349386110,10.81,10.76
3293124.37,10606670.00,569604.42,250935.22,1672349388829,10.81,10.76
3303961.53,10671980.96,570607.64,256973.03,1672349391822,10.81,10.76
3297664.35,10669022.05,570022.83,256699.31,1672349394815,10.81,10.76
3297664.35,10667087.98,570022.83,256520.60,1672349397859,10.81,10.76
3287664.63,10727017.42,569093.48,262064.49,1672349400804,10.81,10.76
3289882.14,10723742.48,569299.52,261762.51,1672349403866,10.81,10.76
3294038.54,10725763.61,569684.75,261949.81,1672349407010,10.81,10.76
3271178.88,10739043.84,567539.74,263158.31,1672349409982,10.8,10.76
3282901.59,10746633.84,568630.83,263866.83,1672349413457,10.8,10.76
3287326.47,10757559.85,569041.65,264875.98,1672349416827,10.8,10.76
3288471.96,10754945.07,569146.62,264631.38,1672349420509,10.8,10.76
3286442.71,10756810.04,568959.06,264801.22,1672349424172,10.8,10.76
3345066.16,10733144.98,574398.08,262610.50,1672349427749,10.8,10.76
3343652.38,10733144.98,574267.78,262610.50,1672349431531,10.8,10.76
3337484.19,10733144.98,573694.12,262610.50,1672349435235,10.8,10.76
3342502.58,10716679.75,574159.87,261085.10,1672349438962,10.8,10.76
3344008.98,10704342.12,574294.92,259945.03,1672349442795,10.81,10.76
3344548.38,10703066.15,574344.87,259826.93,1672349445988,10.81,10.76
3345714.38,10709841.72,574452.84,260451.75,1672349449986,10.81,10.76
3363063.20,10709836.91,576059.22,260450.96,1672349453949,10.81,10.76
3361868.67,10709836.91,575947.57,260450.96,1672349458059,10.81,10.76
3363414.87,10709836.91,576091.96,260450.96,1672349462253,10.81,10.76
3357372.55,10711231.97,575534.20,260580.94,1672349466481,10.81,10.76
3352796.41,10719690.59,575110.28,261363.42,1672349471202,10.81,10.76
3352924.69,10719689.91,575122.41,261363.42,1672349475627,10.81,10.76
3352829.69,10719689.37,575114.16,261363.42,1672349480222,10.81,10.76
3352829.69,10719626.34,575114.16,261357.58,1672349484724,10.81,10.76
3352833.18,10723628.74,575114.16,261727.83,1672349489724,10.81,10.76
3352832.45,10723628.74,575114.16,261727.83,1672349492493,10.81,10.76
3346899.69,10723619.36,574565.09,261726.97,1672349495385,10.81,10.76
3350129.55,10724261.97,574865.21,261787.04,1672349498372,10.81,10.76
3354600.62,10725314.73,575279.12,261875.59,1672349501593,10.81,10.76
3357836.03,10726115.81,575577.11,261949.58,1672349506804,10.81,10.76
3352432.86,10716653.94,575072.87,261075.44,1672349512158,10.81,10.76
3354743.24,10719162.14,575289.21,261305.97,1672349515193,10.81,10.76
3357843.16,10719148.26,575576.24,261305.97,1672349518107,10.81,10.76
3357774.12,10721542.13,575569.85,261525.94,1672349523761,10.81,10.76
3356635.28,10721467.38,575461.71,261517.94,1672349526784,10.81,10.76
3361616.25,10721479.76,575923.60,261517.94,1672349530232,10.81,10.76
3361764.58,10721465.87,575937.60,261517.94,1672349536766,10.81,10.76
3361622.00,10721474.18,575924.40,261517.94,1672349539625,10.81,10.76
3361622.00,10721467.38,575924.40,261517.83,1672349542347,10.81,10.76
3364040.71,10717979.04,576150.83,261193.91,1672349548770,10.81,10.76
3362806.67,10664883.97,576035.95,256286.87,1672349555463,10.81,10.76
3364883.62,10664758.99,576229.19,256275.12,1672349562093,10.81,10.76
3364885.92,10664760.22,576229.19,256275.12,1672349568836,10.81,10.76
3367933.21,10667964.25,576511.00,256555.27,1672349575659,10.81,10.76
3363210.71,10665848.18,576072.08,256359.84,1672349582623,10.81,10.76
3364088.32,10661700.34,576154.91,255978.20,1672349590136,10.81,10.76
3364261.79,10661760.20,576162.16,255975.09,1672349597767,10.81,10.76
3364261.79,10666776.39,576162.16,256437.84,1672349600511,10.81,10.76
3362771.61,10668872.61,576020.28,256629.84,1672349607975,10.81,10.76
3364798.49,10669430.83,576208.43,256681.43,1672349611071,10.81,10.76
3364798.49,10670988.70,576208.43,256825.27,1672349613922,10.81,10.76
3363050.58,10664876.11,576045.29,256259.58,1672349621770,10.81,10.76
3363465.71,10672032.66,576082.62,256919.16,1672349629670,10.81,10.76
3369849.25,10669628.19,576670.39,256696.62,1672349637716,10.81,10.76
3363170.28,10679213.53,576049.09,257558.60,1672349645929,10.81,10.76
3351165.95,10690345.89,574942.81,258588.07,1672349654353,10.81,10.76
3351165.95,10690345.89,574942.81,258588.07,1672349663200,10.81,10.76
3360246.53,10688614.81,575783.57,258427.63,1672349672246,10.81,10.76
3359620.07,10688838.66,575724.50,258448.32,1672349675413,10.81,10.76
3365476.02,10695440.20,576264.86,259043.91,1672349684239,10.81,10.76
3358965.45,10700909.34,575660.08,259538.41,1672349693110,10.81,10.76
3365874.53,10681609.06,576300.89,257762.39,1672349696147,10.81,10.76
3366993.91,10693481.89,576404.64,258851.75,1672349699219,10.81,10.76
3359465.15,10694751.62,575707.21,258969.38,1672349708576,10.81,10.76
3364516.95,10649504.81,576164.49,254753.96,1672349718037,10.82,10.76
3358281.77,10648001.75,575578.77,254625.05,1672349727572,10.82,10.76
3359540.15,10634477.70,575696.21,253396.73,1672349737616,10.82,10.76
3364019.15,10623521.17,576106.92,252383.50,1672349740733,10.82,10.76
3346554.27,10605238.20,574467.13,250661.15,1672349750829,10.83,10.76
