bc,ac,tbv,tav,time,mp,minBid
3681558.53,33318913.04,428726.61,279966.98,1676562016999,19.76,19.67
3709579.71,33310758.61,430151.20,279562.24,1676562019774,19.74,19.66
3714554.61,33324571.58,430389.67,280261.80,1676562022813,19.75,19.66
3712861.59,33324078.09,430291.96,280247.87,1676562026098,19.74,19.66
3710422.83,33319034.82,430168.26,280057.31,1676562029411,19.74,19.66
3712640.19,33335862.13,430281.00,280904.67,1676562031945,19.73,19.65
3699691.12,33328196.11,429625.26,280515.45,1676562034893,19.73,19.65
3693542.26,33333870.32,429314.88,280805.13,1676562037939,19.73,19.64
3703303.24,33328348.92,429813.17,280531.25,1676562040780,19.73,19.64
3713818.76,33316952.64,430344.99,279951.62,1676562043806,19.74,19.64
3705112.16,33325741.38,429902.87,280394.86,1676562046755,19.73,19.64
3690531.61,33331382.87,429161.27,280685.19,1676562049800,19.73,19.64
3702682.14,33320638.36,429763.18,280144.94,1676562052920,19.73,19.64
3714629.68,33324527.71,430368.65,280338.60,1676562056207,19.74,19.64
3696943.55,33331674.33,429423.03,280702.13,1676562058864,19.73,19.64
3707185.35,33332425.29,429942.18,280739.12,1676562061898,19.73,19.64
3638587.63,33323967.95,426244.51,280296.14,1676562064800,19.74,19.64
3647070.20,33330488.41,426677.05,280627.00,1676562067865,19.74,19.64
3655342.45,33310075.25,427096.79,279596.37,1676562071186,19.74,19.64
3642993.67,33311365.11,426464.03,279653.36,1676562073982,19.76,19.64
3640480.51,33319099.67,426336.49,280044.43,1676562076801,19.75,19.64
3632125.33,33332201.17,425911.59,280705.88,1676562079798,19.75,19.64
3642577.87,33328806.94,426415.78,280505.12,1676562082865,19.76,19.64
3627954.43,33325963.09,425675.92,280395.90,1676562085910,19.75,19.64
3629730.87,33331296.54,425765.22,280660.25,1676562089404,19.75,19.64
3632287.53,33325977.84,425895.29,280394.76,1676562091805,19.75,19.64
3632170.69,33332945.20,425889.33,280743.56,1676562094831,19.75,19.64
3634283.49,33328177.41,425996.80,280505.68,1676562097805,19.75,19.64
3638827.40,33321332.92,426227.22,280158.77,1676562100827,19.75,19.64
3646309.33,33327242.31,426602.38,280453.57,1676562103928,19.75,19.64
3637033.88,33325098.44,426132.00,280343.65,1676562106797,19.75,19.64
3637671.54,33330220.84,426163.64,280602.30,1676562109838,19.75,19.64
3630512.13,33340167.23,425801.26,281107.60,1676562113138,19.75,19.64
3644293.72,33316451.61,426499.66,279899.19,1676562115807,19.75,19.64
3641905.46,33338109.73,426377.98,280995.89,1676562118987,19.75,19.64
3643340.81,33314546.63,426442.86,279799.52,1676562121848,19.76,19.64
3650072.36,33329263.18,426787.06,280535.50,1676562124805,19.76,19.64
3518277.82,33212596.49,420095.24,274638.71,1676562127874,19.76,19.64
3654188.18,33317835.65,426955.60,279897.03,1676562130968,19.78,19.64
3642616.69,33319929.84,426370.20,280003.30,1676562133922,19.78,19.64
3639526.90,33317146.41,426220.30,279871.97,1676562136890,19.77,19.64
3637161.27,33326990.44,426099.72,280369.56,1676562139999,19.77,19.64
3641391.06,33326426.20,426304.69,280330.89,1676562142975,19.78,19.64
3645578.30,33297082.45,426495.10,278845.57,1676562145909,19.79,19.64
3631186.04,33335140.53,425767.84,280756.15,1676562148999,19.78,19.64
3622524.03,33301757.90,425678.51,279087.22,1676562151836,19.77,19.64
3619519.09,33264849.30,425523.16,277219.01,1676562155050,19.78,19.64
3619121.87,33286381.37,425497.44,278302.71,1676562158272,19.79,19.64
3630979.34,33250404.08,425748.01,276487.83,1676562161083,19.79,19.64
3606904.56,32970973.44,424852.44,262336.06,1676562163820,19.8,19.64
3586786.83,33264559.46,423833.80,277108.40,1676562166828,19.79,19.64
3599496.84,33273710.43,424479.67,277604.27,1676562169908,19.79,19.64
3598403.05,33266811.00,424425.11,277256.42,1676562172944,19.79,19.64
3615268.76,33258870.02,425274.09,276849.21,1676562175907,19.8,19.64
3617929.28,33243357.98,425353.50,276057.09,1676562178997,19.81,19.64
3617779.49,33253794.45,425345.21,276585.60,1676562181932,19.81,19.64
3683782.49,33272834.62,428661.90,277443.01,1676562184902,19.84,19.64
3669047.51,33289677.34,428396.42,278054.37,1676562187905,19.83,19.64
3647467.31,33250748.59,427305.36,276099.73,1676562190869,19.83,19.64
3670108.33,33266549.40,428446.04,276888.99,1676562193919,19.83,19.64
3670006.88,33234957.96,428389.26,275299.36,1676562196876,19.85,19.64
3668736.22,33287389.45,428322.72,277930.86,1676562199888,19.85,19.64
3687964.46,33283685.26,429293.04,277568.04,1676562203370,19.86,19.64
3671714.35,33280166.40,428471.65,277389.90,1676562206036,19.86,19.64
3666023.30,33284643.08,428183.30,277614.73,1676562208970,19.86,19.64
3664003.04,33291974.30,428080.46,277983.57,1676562211963,19.86,19.64
3673059.64,33288096.66,428523.14,277764.56,1676562215331,19.87,19.64
3671752.57,33304261.00,428460.50,278580.60,1676562217895,19.86,19.64
3656516.95,33302279.00,427697.80,278488.73,1676562221412,19.84,19.64
3670472.98,33297013.95,428402.09,278226.54,1676562223996,19.84,19.64
3690118.23,33291929.42,429389.63,277964.57,1676562227549,19.86,19.64
3685840.01,33293662.61,429142.05,278049.86,1676562230320,19.86,19.64
3667376.12,33293369.20,428213.58,278039.38,1676562233709,19.85,19.64
3696030.98,33324082.26,429308.84,279712.85,1676562236627,19.85,19.64
3675770.41,33327460.27,428288.16,279882.70,1676562239544,19.84,19.64
3695968.23,33336267.63,429307.70,280329.56,1676562242695,19.84,19.64
3690941.17,33328758.81,429061.38,279957.68,1676562245646,19.83,19.64
3691147.89,33308584.03,428605.33,279163.24,1676562248576,19.83,19.64
3666049.96,33315170.32,427264.97,279471.76,1676562251586,19.84,19.64
3679506.03,33308325.65,427941.50,279122.39,1676562254653,19.85,19.64
3703823.38,33313797.31,429141.22,279367.86,1676562258158,19.86,19.64
3698810.46,33321712.83,428885.77,279769.45,1676562261755,19.87,19.64
3708345.69,33332307.23,429349.70,280298.83,1676562265531,19.87,19.64
3688473.64,33330661.89,428352.72,280266.79,1676562269778,19.85,19.64
3695684.70,33329849.20,428724.57,280232.40,1676562273716,19.85,19.64
3700662.90,33334699.46,428976.56,280478.85,1676562277589,19.84,19.64
3630234.83,33333698.95,425412.10,280428.05,1676562281738,19.84,19.64
3642424.90,33342880.81,426017.04,280846.73,1676562285896,19.87,19.64
3652086.25,33331788.84,426478.42,280315.11,1676562290986,19.87,19.64
3472592.32,33316696.54,417252.23,279551.00,1676562295737,19.88,19.64
3611875.81,33282303.42,424632.17,277629.54,1676562300083,19.89,19.64
3608070.68,33277749.55,424436.62,276969.88,1676562304440,19.9,19.64
3598821.86,33100181.21,423922.62,268225.44,1676562309546,19.92,19.64
3495280.44,33110635.31,418704.97,268744.20,1676562314036,19.92,19.64
3490671.96,33119418.20,418472.76,269183.34,1676562318583,19.93,19.64
3475039.28,33122544.09,417694.59,269346.47,1676562323466,19.9,19.64
3488105.63,33135799.69,418357.21,270016.82,1676562328300,19.89,19.64
3616441.86,33289046.93,424810.95,277866.10,1676562333169,19.89,19.64
3611875.75,33286573.79,424584.80,277742.40,1676562338036,19.89,19.64
3622554.29,33278763.28,425125.21,277359.63,1676562343049,19.89,19.64
3627708.88,33270045.22,425381.51,276920.82,1676562346065,19.89,19.64
3637018.66,33324339.20,425501.51,279782.28,1676562349065,19.88,19.64
3625284.49,33280165.20,425278.09,277441.29,1676562354505,19.88,19.64
3636096.13,33279774.73,425815.69,277412.10,1676562360081,19.89,19.64
3641078.48,33280268.29,426040.70,277360.20,1676562365969,19.91,19.64
3630985.70,33285792.88,425529.75,277607.45,1676562371798,19.92,19.64
3635380.03,33275171.21,425641.56,277072.55,1676562377764,19.93,19.64
3617957.01,33284611.91,424748.42,277548.58,1676562383651,19.93,19.64
3624825.27,33287633.13,425101.32,277641.09,1676562389746,19.92,19.64
3613965.42,33291087.67,424551.56,277848.93,1676562395861,19.92,19.64
3627860.09,33326302.26,424916.46,279758.58,1676562402057,19.91,19.64
3623855.00,33313299.44,424707.02,279152.70,1676562408406,19.91,19.64
3608518.28,33294259.02,424286.87,278074.71,1676562415189,19.9,19.64
3616841.36,33317192.35,424358.01,279363.75,1676562421842,19.89,19.64
3635460.20,33321886.10,425343.94,279599.25,1676562429397,19.88,19.64
3621554.85,33287903.95,424996.60,277766.24,1676562436327,19.89,19.64
3625180.73,33286333.04,425168.35,277685.98,1676562439272,19.9,19.64
3603754.72,33289050.18,424088.52,277823.04,1676562442328,19.89,19.64
3634206.72,33335981.52,425255.96,280323.69,1676562449864,19.89,19.64
3650253.14,33325604.62,426063.31,279804.95,1676562457243,19.9,19.64
3618163.98,33286153.81,424742.51,277662.47,1676562464915,19.92,19.64
3619097.30,33293051.36,424880.68,278002.90,1676562472604,19.89,19.64
3632165.46,33299345.25,425538.63,278324.48,1676562480376,19.89,19.64
3634481.11,33297110.14,425297.31,278423.46,1676562488400,19.87,19.64
3740908.26,33274904.80,431005.00,277173.13,1676562491429,19.88,19.64
3737164.87,33273619.85,430828.87,277074.64,1676562499640,19.89,19.64
3769808.81,33319206.34,432097.29,279488.76,1676562507947,19.9,19.64
3734515.01,33308742.66,430323.10,278972.52,1676562516749,19.89,19.64
3738994.83,33310500.96,430460.53,279078.33,1676562525520,19.9,19.64
3721263.84,33332400.70,429570.12,280180.72,1676562534603,19.89,19.64
3709612.85,33325196.75,429002.22,279803.52,1676562544652,19.89,19.64
