mp,timeStamp,mean,skew
19.84,1677168147950,6690.341075395189,-6670.501075395189
19.84,1677168150902,6618.859629795915,-6599.019629795915
19.84,1677168153889,6608.598092725719,-6588.758092725719
19.84,1677168157045,6610.424919193986,-6590.584919193986
19.84,1677168159979,6644.25314758581,-6624.41314758581
19.84,1677168166141,6684.210303561524,-6664.3703035615235
19.84,1677168172101,6703.043094842983,-6683.203094842983
19.84,1677168174997,6694.864496466111,-6675.024496466111
19.84,1677168184052,6688.693407502476,-6668.853407502475
19.86,1677168190192,6639.897429161918,-6620.037429161918
19.85,1677168196273,6481.622222391283,-6461.772222391282
19.86,1677168202259,6314.795827769614,-6294.935827769615
19.86,1677168205352,6249.4218525507,-6229.561852550701
19.84,1677168220517,6025.396570205605,-6005.556570205605
19.85,1677168226424,5938.9587337599005,-5919.1087337599
19.84,1677168235714,5876.668022959248,-5856.828022959248
19.85,1677168244724,5823.277840955463,-5803.427840955463
19.85,1677168260359,5743.1558910224485,-5723.305891022448
19.86,1677168263204,5731.917141566183,-5712.057141566183
19.86,1677168266358,5720.778676962891,-5700.918676962891
19.87,1677168269789,5734.107297592082,-5714.2372975920825
19.88,1677168275287,5736.384403353913,-5716.5044033539125
19.88,1677168281599,5686.672667396037,-5666.792667396036
19.87,1677168284630,5671.451278810129,-5651.581278810129
19.87,1677168296823,5634.9857293267,-5615.1157293267
19.86,1677168303143,5588.974369619424,-5569.114369619424
19.86,1677168306685,5545.716596138071,-5525.856596138071
19.85,1677168321817,5498.476260931489,-5478.626260931489
19.84,1677168327952,5479.710889729597,-5459.8708897295965
19.85,1677168331224,5480.514607714769,-5460.664607714769
19.85,1677168350287,5443.393381595567,-5423.543381595567
19.84,1677168354723,5430.4409697132205,-5410.60096971322
19.84,1677168368332,5389.5607920128605,-5369.72079201286
19.84,1677168372821,5402.6793413445075,-5382.839341344507
19.84,1677168377314,5414.335020350842,-5394.4950203508415
19.83,1677168403890,5461.45999173502,-5441.62999173502
19.82,1677168416042,5447.994712758215,-5428.174712758216
19.82,1677168428362,5413.670260960287,-5393.850260960287
19.8,1677168438008,5400.358023666426,-5380.5580236664255
19.81,1677168444605,5394.635154929172,-5374.825154929172
19.82,1677168451258,5397.016108290201,-5377.196108290202
19.82,1677168461113,5399.501486579091,-5379.681486579091
19.82,1677168471396,5399.335014892822,-5379.515014892822
19.81,1677168478537,5400.902918715646,-5381.092918715645
19.8,1677168485768,5394.458433444631,-5374.658433444631
19.79,1677168499385,5363.033707534536,-5343.243707534536
19.79,1677168507174,5359.197001317951,-5339.407001317951
19.79,1677168518291,5345.112022204294,-5325.322022204294
19.79,1677168526263,5341.433105352242,-5321.643105352242
19.79,1677168537581,5330.138102093263,-5310.348102093263
19.77,1677168552361,5316.836024230675,-5297.066024230675
19.77,1677168561216,5302.8948885119635,-5283.124888511963
19.77,1677168576707,5300.410155466985,-5280.640155466985
19.77,1677168590021,5300.742448172303,-5280.972448172302
19.79,1677168599962,5302.594052929376,-5282.804052929376
19.79,1677168613262,5305.203323627555,-5285.413323627555
19.78,1677168623667,5305.356392240331,-5285.576392240331
19.77,1677168637448,5298.527416538704,-5278.757416538703
19.78,1677168651527,5284.717012427349,-5264.937012427349
19.8,1677168662703,5292.4777153918085,-5272.677715391808
19.81,1677168674156,5287.073549287977,-5267.263549287976
19.82,1677168685829,5280.158203454511,-5260.338203454511
19.82,1677168697727,5271.517541341917,-5251.697541341918
19.83,1677168709836,5263.912520120703,-5244.0825201207035
19.83,1677168722146,5258.97471001952,-5239.14471001952
19.82,1677168740772,5243.470697992237,-5223.650697992237
19.82,1677168753717,5237.987382732058,-5218.167382732058
19.83,1677168768949,5231.081177213316,-5211.251177213316
19.83,1677168782045,5225.260213521067,-5205.430213521067
19.83,1677168795512,5218.446608499704,-5198.616608499704
19.81,1677168812167,5208.546183963486,-5188.736183963486
19.82,1677168826394,5203.374502919465,-5183.554502919465
19.81,1677168840547,5198.305110136185,-5178.495110136185
19.79,1677168858138,5190.87567465676,-5171.08567465676
19.8,1677168872824,5189.985407063733,-5170.185407063733
19.81,1677168894334,5191.461903760102,-5171.651903760102
19.8,1677168909987,5190.823839520157,-5171.023839520157
19.79,1677168925938,5190.706158657199,-5170.916158657199
19.78,1677168942132,5192.973941691687,-5173.1939416916875
19.8,1677168961690,5186.368748769451,-5166.56874876945
19.81,1677168985269,5186.68769339474,-5166.877693394739
19.8,1677169002791,5185.363223901671,-5165.56322390167
19.81,1677169023973,5183.583075416122,-5163.773075416121
19.8,1677169048966,5182.289520292506,-5162.489520292505
19.82,1677169081370,5178.619881724197,-5158.799881724197
19.81,1677169105171,5176.0778025555,-5156.2678025555
19.8,1677169136163,5158.865840404171,-5139.065840404171
19.8,1677169158609,5151.960478399023,-5132.160478399022
19.8,1677169181108,5148.408653154782,-5128.608653154782
19.78,1677169207218,5149.912262833135,-5130.132262833135
19.76,1677169230562,5141.253897192042,-5121.493897192042
19.77,1677169260785,5125.289112075428,-5105.519112075428
19.76,1677169288778,5109.582621408708,-5089.822621408708
19.78,1677169314089,5107.082363703645,-5087.302363703645
19.78,1677169343489,5103.398988902647,-5083.618988902647
19.8,1677169376372,5089.855595140592,-5070.055595140592
19.8,1677169403639,5091.145044622337,-5071.345044622337
19.81,1677169431265,5092.090304602828,-5072.2803046028275
19.78,1677169459070,5091.278354811722,-5071.4983548117225
19.81,1677169490463,5098.4272482149645,-5078.617248214964
19.81,1677169519003,5093.615277166164,-5073.805277166163
19.84,1677169551154,5089.874375920718,-5070.034375920718
19.85,1677169587587,5093.198697464288,-5073.348697464287
19.84,1677169621339,5092.059883696937,-5072.219883696936
19.82,1677169662176,5079.863951582873,-5060.043951582873
19.81,1677169694668,5077.692995028988,-5057.882995028987
19.79,1677169736897,5082.791291897574,-5063.001291897574
19.8,1677169777010,5088.759430162577,-5068.959430162577
19.84,1677169829120,5092.796589029832,-5072.956589029832
19.83,1677169868501,5087.375345311746,-5067.545345311746
19.82,1677169908524,5087.195369534348,-5067.3753695343485
19.84,1677169945913,5084.896499248584,-5065.056499248584
19.84,1677169983589,5081.554346722234,-5061.714346722234
19.85,1677170021481,5083.535410847882,-5063.685410847882
19.85,1677170065410,5085.247786423838,-5065.397786423838
19.86,1677170103991,5083.372161690067,-5063.512161690067
19.87,1677170142684,5082.296333255949,-5062.426333255949
19.85,1677170181715,5081.023115195963,-5061.173115195963
19.83,1677170220961,5079.057496518983,-5059.227496518983
19.83,1677170263664,5085.849730453332,-5066.019730453332
19.82,1677170310548,5110.792589973678,-5090.972589973679
19.79,1677170358481,5112.708459254235,-5092.918459254235
19.78,1677170400766,5106.793649340443,-5087.013649340443
19.76,1677170443322,5103.081630866364,-5083.321630866364
19.78,1677170486111,5098.448825897292,-5078.668825897293
19.76,1677170529056,5099.729698580635,-5079.969698580635
19.76,1677170578867,5100.164236329069,-5080.404236329069
19.76,1677170622333,5100.821234344819,-5081.061234344818
19.76,1677170665865,5100.491687461909,-5080.731687461909
19.78,1677170709863,5097.785463721598,-5078.005463721598
19.78,1677170754110,5098.418303760644,-5078.638303760645
19.79,1677170798394,5103.265440037349,-5083.4754400373495
19.81,1677170843042,5107.22676817736,-5087.41676817736
19.79,1677170887890,5112.107885487868,-5092.317885487868
19.79,1677170933443,5117.787593507148,-5097.997593507148
19.82,1677170978798,5122.833122348208,-5103.0131223482085
19.79,1677171024821,5131.161712845379,-5111.371712845379
19.79,1677171070573,5138.516162293045,-5118.7261622930455
19.76,1677171116794,5141.980879241228,-5122.2208792412275
19.76,1677171227348,5155.923489048468,-5136.163489048467
19.76,1677171276825,5158.442613986989,-5138.682613986989
19.78,1677171484025,5153.38747326972,-5133.607473269721
19.76,1677171593140,5148.242475601507,-5128.482475601507
19.76,1677171772977,5140.296121554916,-5120.536121554916
19.78,1677171830091,5139.001146520419,-5119.221146520419
19.77,1677171891183,5142.299731419295,-5122.529731419295
19.78,1677171956256,5141.77831646503,-5121.99831646503
19.78,1677172015690,5141.034464923118,-5121.254464923119
19.77,1677172079466,5142.731087360136,-5122.961087360136
