bc,ac,tbv,tav,time,mp,minBid
3924782.92,9990130.09,546333.12,217228.91,1674141080218,16.06,16
3925864.05,10000452.96,546400.97,217871.70,1674141083019,16.06,16
3922029.19,10019630.42,546161.17,219063.05,1674141086051,16.06,16
3914440.02,10015562.68,545687.76,218809.86,1674141089199,16.06,16
3918625.26,10017386.76,545946.41,218923.11,1674141092050,16.06,16
3915644.04,10037412.24,545762.71,220175.70,1674141095051,16.05,15.99
3913860.02,10027228.59,545651.65,219545.85,1674141098111,16.05,15.99
3919712.09,9996843.32,545998.56,217653.40,1674141101035,16.06,15.99
3908549.47,9995123.90,545298.79,217540.17,1674141104108,16.07,15.99
3902029.51,9998181.49,544893.92,217728.37,1674141107048,16.07,15.99
3895635.71,10001872.89,544496.48,217959.92,1674141110180,16.06,15.99
3894879.03,10011032.84,544449.72,218533.34,1674141113028,16.06,15.99
3902280.45,9996547.86,544910.65,217631.62,1674141116509,16.06,15.99
3905563.10,10019916.87,545115.96,219088.64,1674141119111,16.05,15.99
3901063.99,10015154.19,544844.15,218794.22,1674141122086,16.05,15.99
3901488.44,10024989.29,544900.07,219420.04,1674141125124,16.03,15.97
3886274.22,10002992.10,543947.78,218060.73,1674141128057,16.04,15.97
3895328.19,10004340.45,544513.15,218145.87,1674141131179,16.04,15.97
3894889.24,10005642.50,544488.75,218227.44,1674141134056,16.03,15.97
3892341.67,10009638.11,544329.31,218476.55,1674141137121,16.03,15.97
3908090.75,10012545.79,545315.24,218657.49,1674141140210,16.03,15.97
3909343.87,10019632.36,545391.27,219097.70,1674141143133,16.04,15.97
3907461.24,10017417.87,545273.87,218959.90,1674141146016,16.04,15.97
3921717.61,10006094.29,546160.71,218249.38,1674141149048,16.05,15.97
3909572.82,10010567.37,545406.96,218531.34,1674141152054,16.03,15.97
3907856.63,9998196.63,545328.06,217767.98,1674141155067,16.03,15.96
3897297.33,10021612.21,544682.62,219232.71,1674141158211,16.02,15.96
3898729.88,10019650.58,544775.05,219125.40,1674141161050,16.01,15.95
3905170.34,10000889.11,545176.61,217954.77,1674141164624,16.02,15.95
3911958.89,10014145.62,545724.50,218790.62,1674141167050,16.03,15.95
3910930.73,10014998.83,545659.75,218843.26,1674141170043,16.03,15.95
3912039.64,10014951.30,545728.93,218840.07,1674141173080,16.03,15.95
3920950.58,10028049.47,545943.11,219648.40,1674141176249,16.03,15.95
3913974.04,10029040.50,545849.66,219714.75,1674141179069,16.03,15.95
3915429.79,10028039.86,545940.50,219652.40,1674141182205,16.03,15.95
3919991.56,9998392.33,546220.13,217795.23,1674141185050,16.04,15.95
3922474.46,10004842.20,546374.73,218196.62,1674141188610,16.04,15.95
3925219.70,10022545.92,546536.77,219283.86,1674141191166,16.04,15.95
3925574.30,10022206.13,546558.74,219262.88,1674141194053,16.04,15.95
3912907.78,10015959.19,545750.48,218876.31,1674141197066,16.04,15.95
3914231.71,10008314.06,545832.30,218398.01,1674141200052,16.05,15.95
3910419.19,10012022.23,545595.89,218629.89,1674141203171,16.04,15.95
3910915.28,10007252.12,545626.80,218332.89,1674141206073,16.05,15.95
3908296.06,10003853.37,545463.51,218121.32,1674141209074,16.04,15.95
3912831.18,10016635.33,545746.83,218917.21,1674141212063,16.04,15.95
3907730.91,9969949.06,545430.24,216015.69,1674141215087,16.04,15.95
3912896.56,10023196.08,545753.43,219331.81,1674141218226,16.03,15.95
3912900.82,10020037.34,545753.47,219135.58,1674141221157,16.04,15.95
3914566.51,10030004.87,545858.85,219757.72,1674141224097,16.03,15.95
3911298.42,10023179.72,545654.28,219332.36,1674141227062,16.03,15.95
3896681.21,10019285.32,544750.56,219123.05,1674141230181,16.02,15.95
3914314.24,10031672.15,545851.85,219909.68,1674141233091,16.03,15.95
3918654.63,10016923.43,546119.82,218987.45,1674141236074,16.03,15.95
3927074.88,10025080.21,546670.02,219492.94,1674141239229,16.04,15.95
3924930.11,10027373.83,546534.85,219636.01,1674141242129,16.04,15.95
3924216.82,10025642.00,546490.50,219528.94,1674141245101,16.04,15.95
3924837.90,10029642.87,546529.10,219778.21,1674141248099,16.04,15.95
3909855.38,10023800.69,545592.85,219414.23,1674141251077,16.03,15.95
3906763.56,10027271.23,545405.49,219635.79,1674141254155,16.02,15.95
3904731.06,10035056.00,545278.26,220119.89,1674141257072,16.02,15.95
3902915.28,10039564.02,545164.67,220400.74,1674141260191,16.03,15.95
3912846.57,10033898.73,545784.50,220047.52,1674141263151,16.03,15.95
3907364.86,10027713.97,545440.79,219661.10,1674141266170,16.03,15.95
3912521.87,10026688.56,545760.96,219597.98,1674141269224,16.03,15.95
3907552.49,10033332.92,545452.34,220012.37,1674141272197,16.03,15.95
3909223.61,10015397.15,545557.09,218895.10,1674141275253,16.03,15.95
3909868.16,10029420.04,545597.41,219769.32,1674141278131,16.03,15.95
3908396.86,10033427.66,545508.89,220019.46,1674141281154,16.03,15.95
3910921.83,10029643.52,545666.47,219783.82,1674141284250,16.03,15.95
3908552.64,10026140.34,545518.62,219565.38,1674141287281,16.03,15.95
3911381.09,10022142.84,545695.16,219316.10,1674141290410,16.03,15.95
3913795.89,10025707.31,545845.88,219536.38,1674141293584,16.03,15.95
3910155.38,10026041.18,545618.31,219556.82,1674141296575,16.03,15.95
3911984.78,10026452.79,545731.73,219582.48,1674141299972,16.03,15.95
3904856.50,10024932.34,545287.41,219489.81,1674141303429,16.03,15.95
3909799.27,10032956.55,545596.65,219990.47,1674141307363,16.03,15.95
3912358.28,10031245.43,545756.55,219883.98,1674141310684,16.03,15.95
3912242.65,10030121.23,545749.44,219813.98,1674141313386,16.03,15.95
3912584.70,10032622.71,545770.70,219969.98,1674141316536,16.03,15.95
3915200.48,10023037.63,545931.77,219371.67,1674141320441,16.03,15.95
3926735.67,10020302.17,546651.33,219199.38,1674141323442,16.04,15.95
3924514.62,10013988.11,546511.96,218805.51,1674141326591,16.04,15.95
3915389.15,10024246.05,545942.14,219444.67,1674141330826,16.04,15.95
3937959.51,10008622.20,547344.17,218462.98,1674141335264,16.04,15.95
3931648.37,10006696.20,546949.39,218333.62,1674141339724,16.05,15.95
3929628.14,10004948.55,546823.06,218221.89,1674141342655,16.05,15.95
3919212.58,10003729.70,546158.13,218139.42,1674141345695,16.06,15.95
3925763.87,10002818.36,546569.39,218082.08,1674141350524,16.06,15.95
3925648.25,10004243.23,546562.13,218171.09,1674141355443,16.06,15.95
3918240.87,10000999.07,546100.54,217971.93,1674141358350,16.05,15.95
3917315.55,10009761.12,546044.90,218520.21,1674141361378,16.05,15.95
3917608.54,10025804.66,546061.57,219518.14,1674141366693,16.05,15.95
3911717.87,10004705.17,545699.77,218207.40,1674141371943,16.05,15.95
3929498.64,10012590.79,546806.07,218679.75,1674141377204,16.05,15.95
3915282.79,10020899.13,545922.11,219200.45,1674141380218,16.04,15.95
3909318.20,10026569.57,545546.74,219547.14,1674141385606,16.05,15.95
3913739.86,10031642.09,545823.24,219863.37,1674141388647,16.04,15.95
3912208.26,10030934.20,545727.41,219819.07,1674141394335,16.05,15.95
3919308.51,10015884.36,546166.39,218878.43,1674141400078,16.05,15.95
3913101.38,10029569.63,545732.12,219734.58,1674141403158,16.05,15.95
3911586.78,10042673.94,545637.59,220550.91,1674141409211,16.05,15.95
3901878.59,10048755.50,545048.14,220942.62,1674141415366,16.03,15.95
3901128.22,10054412.94,545010.46,221300.74,1674141418453,16.02,15.95
3905561.72,10036235.68,545297.98,220187.81,1674141424757,16.02,15.95
3919516.85,10024859.73,546167.44,219493.74,1674141431229,16.02,15.95
3917385.02,10016460.41,546146.53,218980.94,1674141438223,16.03,15.95
3922714.82,10012778.75,546477.01,218747.30,1674141440707,16.03,15.95
3934021.79,10000777.08,547173.15,217981.04,1674141447472,16.05,15.95
3931787.94,9647746.37,547011.72,196096.76,1674141454435,16.06,15.95
