bc,ac,tbv,tav,time,mp,minBid
1263645.36,11285615.21,310531.66,286921.33,1688663593905,12.59,12.54
1262402.95,11286355.52,310431.93,286980.15,1688663598791,12.59,12.54
1262402.95,11286355.52,310431.93,286980.15,1688663599516,12.59,12.54
1261511.71,11286856.37,310360.72,287019.84,1688663602742,12.59,12.54
1260477.88,11285785.00,310277.73,286935.64,1688663606124,12.59,12.54
1260477.70,11285785.00,310277.73,286935.64,1688663608758,12.59,12.54
1261386.17,11283734.49,310350.54,286774.14,1688663611958,12.59,12.54
1260674.98,11284537.55,310294.06,286837.68,1688663614834,12.59,12.54
1251005.93,11294729.52,309525.56,287648.81,1688663617745,12.59,12.53
1251748.52,11295228.37,309589.27,287690.74,1688663620731,12.58,12.53
1248013.83,11295316.64,309291.30,287697.63,1688663623759,12.59,12.53
1246868.92,11292671.81,309199.81,287486.17,1688663626746,12.59,12.53
1251866.80,11293910.54,309598.34,287584.69,1688663629747,12.59,12.53
1249600.98,11295209.22,309416.98,287687.30,1688663632753,12.59,12.53
1253121.57,11294836.54,309697.41,287657.86,1688663635755,12.59,12.53
1250711.49,11295636.86,309504.69,287721.38,1688663638746,12.59,12.53
1252413.69,11294836.54,309641.14,287657.86,1688663641987,12.59,12.53
1244041.23,11290568.98,308976.21,287319.68,1688663644791,12.59,12.53
1242044.46,11289297.80,308816.41,287217.96,1688663647758,12.59,12.53
1243535.61,11295602.47,308938.25,287722.85,1688663650729,12.58,12.53
1246619.66,11284204.88,309185.82,286819.10,1688663653756,12.58,12.53
1244119.66,11284199.91,308985.01,286818.78,1688663656721,12.58,12.53
1253245.57,11293585.16,309713.63,287563.82,1688663659747,12.58,12.53
1253245.33,11293585.16,309712.92,287563.82,1688663662807,12.58,12.53
1249131.35,11292741.03,309384.28,287497.49,1688663665752,12.58,12.53
1252428.74,11293541.87,309647.88,287561.01,1688663668770,12.58,12.53
1249131.52,11292694.03,309384.28,287493.71,1688663671769,12.58,12.53
1252435.16,11286124.81,309647.89,286971.83,1688663674779,12.58,12.53
1246789.83,11249386.68,309191.92,284049.72,1688663677796,12.59,12.53
1268491.93,11246714.25,310920.88,283836.96,1688663680793,12.59,12.53
1265101.10,11278815.35,310649.99,286382.52,1688663683740,12.59,12.53
1262948.78,11277876.22,310478.51,286307.92,1688663686747,12.59,12.53
1261753.34,11278113.83,310383.12,286326.70,1688663689800,12.59,12.53
1250944.95,11281764.53,309524.31,286617.29,1688663692774,12.59,12.53
1257248.31,11281254.29,310027.74,286576.79,1688663695776,12.59,12.53
1254134.15,11273324.88,309779.55,285948.12,1688663698752,12.59,12.53
1257745.11,11264716.91,310055.06,285250.89,1688663701859,12.6,12.53
1260075.10,11318622.05,310240.64,289523.22,1688663704836,12.6,12.53
1258122.77,11277833.04,310084.51,286291.70,1688663707823,12.59,12.53
1260988.05,11316235.55,310314.17,289334.76,1688663711190,12.59,12.53
1229119.79,11306743.64,307768.34,288589.24,1688663713792,12.6,12.53
1230869.86,11299549.49,307905.65,288017.61,1688663716805,12.6,12.53
1234163.66,11274929.32,308171.58,286075.50,1688663719775,12.59,12.53
1234962.70,11265769.73,308235.15,285348.42,1688663722763,12.59,12.53
1240159.53,11268185.61,308649.94,285540.90,1688663725789,12.59,12.53
1236950.29,11263607.62,308392.97,285178.68,1688663728777,12.59,12.53
1238334.46,11268093.61,308505.03,285534.11,1688663731790,12.59,12.53
1237073.81,11268093.61,308402.90,285534.11,1688663734826,12.59,12.53
1234999.02,11267540.16,308240.52,285490.43,1688663737765,12.59,12.53
1235822.76,11268343.10,308305.13,285553.99,1688663740768,12.59,12.53
1235837.01,11268343.10,308306.28,285553.99,1688663743781,12.59,12.53
1235837.64,11268343.10,308306.28,285553.99,1688663746790,12.59,12.53
1233331.91,11268343.10,308105.98,285553.99,1688663750195,12.59,12.53
1233331.27,11268343.10,308105.98,285553.99,1688663752884,12.59,12.53
1229014.57,11263022.64,307761.50,285132.98,1688663755832,12.59,12.53
1231013.95,11263149.94,307920.40,285142.32,1688663758898,12.59,12.53
1231018.45,11263337.97,307920.50,285157.26,1688663762000,12.59,12.53
1234168.74,11266472.76,308171.20,285405.55,1688663764848,12.59,12.53
1231863.77,11267665.55,307988.31,285500.49,1688663767838,12.59,12.53
1232101.71,11269096.66,308007.63,285614.40,1688663770917,12.59,12.53
1230535.11,11267024.74,307881.98,285449.87,1688663773816,12.59,12.53
1230534.40,11267876.25,307881.98,285517.50,1688663776852,12.59,12.53
1220972.28,11258214.88,307116.02,284755.24,1688663779897,12.59,12.53
1222257.42,11257413.30,307218.52,284691.67,1688663783150,12.59,12.53
1214514.08,11255563.88,306601.46,284545.72,1688663786181,12.59,12.53
1219198.33,11258015.97,306975.21,284740.34,1688663789342,12.59,12.53
1215901.79,11259343.12,306711.87,284845.80,1688663792397,12.59,12.53
1219200.65,11258016.61,306975.40,284740.34,1688663795204,12.59,12.53
1216700.83,11259579.76,306775.44,284864.54,1688663798208,12.59,12.53
1219200.65,11259190.49,306975.40,284833.67,1688663801682,12.59,12.53
1219200.65,11259579.76,306975.40,284864.54,1688663804514,12.59,12.53
1219200.65,11257215.03,306975.40,284676.77,1688663807965,12.59,12.53
1218742.95,11262852.29,306939.06,285124.52,1688663811636,12.59,12.53
1236672.22,11280126.74,308373.93,286488.20,1688663815571,12.59,12.53
1235739.66,11272931.23,308314.93,285928.08,1688663819250,12.58,12.53
1226074.37,11278101.00,307549.07,286340.28,1688663822298,12.58,12.53
1230116.35,11281950.84,307870.14,286645.73,1688663826177,12.58,12.53
1232545.42,11285805.34,308065.97,286952.71,1688663830067,12.58,12.53
1236364.01,11281944.28,308369.74,286645.73,1688663833986,12.58,12.53
1231757.77,11280911.65,308000.27,286563.60,1688663837981,12.58,12.53
1227472.83,11287142.22,307660.52,287059.28,1688663841081,12.58,12.53
1230483.55,11277313.03,307898.41,286277.60,1688663844408,12.58,12.53
1237676.05,11286474.82,308478.54,287001.45,1688663847000,12.58,12.53
1235977.67,11292455.74,308342.29,287476.84,1688663850024,12.58,12.53
1238477.70,11292455.74,308542.39,287476.84,1688663854528,12.58,12.53
1242001.33,11286015.78,308822.61,286964.99,1688663857568,12.58,12.53
1250871.07,11278854.34,309528.33,286394.74,1688663860546,12.59,12.53
1255937.32,11290415.61,309923.27,287305.87,1688663865544,12.59,12.53
1255557.39,11298483.04,309893.04,287947.11,1688663870574,12.59,12.53
1252329.74,11298483.04,309636.24,287947.11,1688663873626,12.59,12.53
1253103.60,11296625.16,309695.94,287799.47,1688663876687,12.59,12.53
1255188.07,11298821.79,309862.08,287973.99,1688663882053,12.59,12.53
1253618.24,11298021.75,309738.08,287910.43,1688663884989,12.59,12.53
1253529.10,11298820.83,309731.96,287973.99,1688663890559,12.59,12.53
1248194.75,11253913.31,309310.81,284415.65,1688663893562,12.58,12.53
1258075.10,11287925.69,310098.17,287115.39,1688663899447,12.58,12.53
1255574.28,11282686.59,309897.73,286699.35,1688663902365,12.58,12.53
1243362.17,11294710.74,308928.04,287656.83,1688663908417,12.58,12.53
1244975.25,11302902.18,309059.49,288307.95,1688663911400,12.58,12.53
1246537.84,11301478.59,309193.99,288199.95,1688663917687,12.58,12.53
1237616.35,11297365.08,308481.70,287872.64,1688663920648,12.58,12.53
1239819.05,11296691.13,308658.18,287819.12,1688663927239,12.58,12.53
1240617.45,11296691.13,308721.74,287819.12,1688663930312,12.58,12.53
1238117.71,11297491.44,308521.64,287882.69,1688663933225,12.58,12.53
1237535.77,11292419.17,308474.72,287479.40,1688663936218,12.58,12.53
1237594.09,11293220.46,308478.17,287542.96,1688663939186,12.58,12.53
1254954.06,11284339.79,309859.87,286835.90,1688663946446,12.58,12.53
1257504.66,11289145.43,310062.34,287216.05,1688663953827,12.58,12.53
1257324.24,11292726.94,310048.09,287501.21,1688663956814,12.58,12.53
1254542.82,11297023.93,309827.77,287843.22,1688663964604,12.58,12.53
1253903.16,11297020.90,309776.05,287843.83,1688663967550,12.58,12.53
1255082.88,11294723.90,309869.73,287661.19,1688663975576,12.58,12.53
1256784.40,11294407.97,310006.27,287636.13,1688663978600,12.58,12.53
1256784.23,11294407.97,310006.27,287636.13,1688663981672,12.58,12.53
1254284.48,11294407.97,309806.16,287636.13,1688663984615,12.58,12.53
1255088.14,11294509.86,309869.73,287644.08,1688663993206,12.58,12.53
1254915.16,11300197.15,309856.25,288096.59,1688664001901,12.58,12.53
1249040.24,11293641.76,309389.41,287575.17,1688664010689,12.58,12.53
1247529.99,11296743.87,309269.22,287821.76,1688664019556,12.58,12.53
1244318.08,11298023.94,309014.04,287923.51,1688664022669,12.58,12.53
1243641.56,11292046.32,308958.61,287448.68,1688664025555,12.58,12.53
1246393.37,11286967.30,309176.21,287044.25,1688664028972,12.59,12.53
1238903.01,11249073.99,308569.30,284031.25,1688664031619,12.59,12.53
1240447.03,11257196.25,308698.75,284679.22,1688664043577,12.58,12.53
1241640.63,11291118.58,308794.45,287372.30,1688664046530,12.59,12.53
1245439.26,11296319.25,309096.89,287785.44,1688664049523,12.58,12.53
1240042.40,11308981.19,308668.16,288793.61,1688664059626,12.58,12.53
1252855.01,11298755.50,309687.67,287980.30,1688664069735,12.58,12.53
1246482.36,11304859.81,309181.98,288466.13,1688664080075,12.58,12.53
1246196.14,11305188.63,309158.08,288492.27,1688664082913,12.58,12.53
1245801.44,11304199.34,309126.64,288414.02,1688664093428,12.58,12.53
1247801.57,11304149.82,309286.95,288410.08,1688664096377,12.58,12.53
1249043.12,11301003.77,309384.71,288160.04,1688664107345,12.58,12.53
1245744.33,11301003.77,309120.98,288160.04,1688664110779,12.58,12.53
1248403.89,11296494.01,309333.02,287801.08,1688664113353,12.58,12.53
1248629.14,11298287.92,309351.07,287943.51,1688664116368,12.58,12.53
1248539.17,11298238.36,309343.82,287939.95,1688664127909,12.58,12.53
1269288.30,11299300.93,310985.33,288011.80,1688664140026,12.59,12.53
1275393.81,11290463.05,311471.46,287310.85,1688664151794,12.59,12.53
1272893.82,11290463.05,311270.66,287310.85,1688664154823,12.59,12.53
1264018.37,11292154.09,310550.28,287421.10,1688664167003,12.61,12.53
1267422.47,11287410.10,310821.60,287045.61,1688664179507,12.6,12.53
1264464.15,11289872.21,310586.04,287241.07,1688664191893,12.6,12.53
1265615.91,11295752.49,310677.56,287706.98,1688664204456,12.6,12.53
1267555.67,11288332.16,310832.80,287118.96,1688664217613,12.6,12.53
1268145.54,11294261.15,310873.95,287588.09,1688664230888,12.6,12.53
1252178.67,11284984.95,309593.57,286844.83,1688664233493,12.61,12.53
1252898.50,11289804.20,309652.28,287227.10,1688664246809,12.61,12.53
1250514.65,11287713.27,309466.58,287068.89,1688664260383,12.6,12.53
1258388.58,11290705.77,310094.65,287307.70,1688664274175,12.6,12.53
1256017.45,11289665.22,309906.28,287224.84,1688664287954,12.6,12.53
1254156.73,11292667.86,309758.81,287463.98,1688664302039,12.6,12.53
1248508.97,11294336.49,309324.77,287608.56,1688664316324,12.59,12.53
1261131.63,11294778.93,310329.11,287643.20,1688664330824,12.6,12.53
1262916.25,11290468.35,310471.41,287301.95,1688664345558,12.59,12.53
1265416.15,11290468.63,310671.36,287301.95,1688664348559,12.59,12.53
1242932.14,11293506.20,308883.48,287545.23,1688664351652,12.59,12.53
1250674.45,11294306.52,309498.83,287608.74,1688664354785,12.59,12.53
1245402.51,11287247.63,309078.28,287048.68,1688664357544,12.59,12.53
1251487.56,11295308.02,309562.67,287688.26,1688664373462,12.59,12.53
1251526.84,11285872.47,309565.50,286938.01,1688664389551,12.59,12.53
1245791.48,11277817.49,309107.20,286298.39,1688664392458,12.6,12.53
1246435.88,11279859.77,309160.49,286460.42,1688664395538,12.6,12.53
1250447.00,11284014.84,309479.78,286789.68,1688664412142,12.6,12.53
1262259.99,11278843.96,310420.27,286380.03,1688664429062,12.59,12.53
1258852.57,11279379.80,310148.03,286422.47,1688664446354,12.59,12.53
1261348.90,11279629.05,310347.98,286442.31,1688664449130,12.59,12.53
1258988.86,11279848.54,310158.40,286459.71,1688664452185,12.59,12.53
1261502.83,11279848.54,310359.50,286459.71,1688664455079,12.59,12.53
1260568.69,11278579.25,310282.87,286358.99,1688664458227,12.6,12.53
1260392.70,11286719.54,310272.75,287005.17,1688664476410,12.59,12.53
1241395.35,11278037.21,308748.33,286307.18,1688664494772,12.6,12.53
1245973.27,11281128.97,309112.60,286552.21,1688664513366,12.6,12.53
1246042.43,11282648.79,309118.29,286673.08,1688664532151,12.6,12.53
1248978.11,11283281.66,309362.14,286731.52,1688664551222,12.59,12.53
1259046.96,11286643.13,310180.01,287012.99,1688664570450,12.58,12.53
1261546.74,11289569.19,310380.86,287245.39,1688664573241,12.58,12.53
1255282.57,11292287.05,309883.77,287462.42,1688664576222,12.58,12.53
1256292.77,11271669.29,309951.10,285816.98,1688664596455,12.59,12.53
1251711.42,11281563.78,309579.84,286594.58,1688664616374,12.59,12.53
1258174.61,11282621.81,310092.83,286680.49,1688664636617,12.59,12.53
1253369.28,11287088.73,309713.06,287036.80,1688664656980,12.59,12.53
1255464.34,11282020.44,309879.21,286633.85,1688664660059,12.59,12.53
1247805.74,11282587.64,309269.30,286664.06,1688664680950,12.59,12.53
1247809.84,11282100.38,309269.30,286624.35,1688664683891,12.59,12.53
1243450.91,11301603.13,308924.09,288174.95,1688664705517,12.59,12.53
1242448.25,11298606.43,308844.70,287941.93,1688664728615,12.59,12.53
1243527.60,11297808.26,308930.74,287878.37,1688664730110,12.59,12.53
1247256.76,11292540.87,309241.68,287472.86,1688664752223,12.58,12.53
1245007.18,11291768.79,309061.62,287411.57,1688664755276,12.58,12.53
1242931.89,11292124.96,308897.28,287439.54,1688664758263,12.58,12.53
1243122.41,11276469.50,308911.89,286194.86,1688664761503,12.59,12.53
1257238.82,11272408.90,310019.51,285862.30,1688664784445,12.6,12.53
1254956.25,11279136.52,309839.94,286396.96,1688664807660,12.59,12.53
1252754.65,11278950.22,309662.95,286382.42,1688664831787,12.59,12.53
1250839.43,11284042.94,309512.88,286786.36,1688664856366,12.6,12.53
1258840.48,11317467.24,310127.26,289394.76,1688664880673,12.61,12.53
1254185.71,11311597.77,309757.20,288928.98,1688664905419,12.61,12.53
1253918.27,11310449.96,309732.92,288837.65,1688664929868,12.61,12.53
1262318.33,11311605.35,310387.18,288898.70,1688664954500,12.62,12.53
1261697.71,11312993.80,310330.61,289008.95,1688664979389,12.62,12.53
1255560.84,11315650.35,309843.61,289219.72,1688665005321,12.62,12.53
