mp,timeStamp,mean,skew
14.02,1689280610298,4653.687264232364,-4639.667264232364
14.03,1689280625599,4811.471612459012,-4797.4416124590125
14.03,1689280634174,4880.920330269819,-4866.890330269819
14.03,1689280637163,4894.0425224091805,-4880.012522409181
14.03,1689280640175,4908.415537528839,-4894.385537528839
14.03,1689280643136,4923.209425341251,-4909.179425341251
14.03,1689280646197,4935.582479001727,-4921.552479001727
14.03,1689280649166,4945.355760865322,-4931.325760865322
14.03,1689280652347,4952.70424322531,-4938.67424322531
14.03,1689280655217,4959.173053931459,-4945.14305393146
14.03,1689280658199,4964.359808299687,-4950.329808299687
14.03,1689280670433,4973.206178088997,-4959.176178088997
14.03,1689280676314,4988.943381198141,-4974.913381198141
14.03,1689280679361,4998.106178655965,-4984.076178655965
14.03,1689280682410,5008.65560785164,-4994.62560785164
14.03,1689280685542,5018.973119696356,-5004.943119696356
14.03,1689280688468,5029.703467240108,-5015.673467240108
14.03,1689280691476,5040.436565208232,-5026.406565208233
14.03,1689280697637,5055.323731221429,-5041.293731221429
14.03,1689280721838,5074.577079420723,-5060.547079420723
14.03,1689280724974,5074.920927782685,-5060.890927782685
14.03,1689280737510,5073.078130972264,-5059.0481309722645
14.03,1689280740199,5072.916248803633,-5058.886248803633
14.03,1689280743268,5075.659408432749,-5061.629408432749
14.02,1689280746262,5069.343791138891,-5055.323791138891
14.02,1689280764584,5046.561939551395,-5032.5419395513945
14.03,1689280782848,5070.880598679844,-5056.850598679845
14.03,1689280789030,5083.262330523016,-5069.232330523017
14.03,1689280795141,5087.844895181499,-5073.814895181499
14.02,1689280801214,5087.05538914132,-5073.03538914132
14.02,1689280804240,5081.43201159687,-5067.41201159687
14.03,1689280807250,5083.775780114126,-5069.745780114126
14.03,1689280810319,5089.318334818134,-5075.288334818134
14.03,1689280813361,5093.266361751601,-5079.236361751601
14.03,1689280816386,5095.895834112847,-5081.865834112848
14.03,1689280819435,5096.069937075478,-5082.0399370754785
14.03,1689280825614,5096.643467377498,-5082.613467377499
14.03,1689280831814,5093.313142182202,-5079.283142182202
14.03,1689280837962,5089.837854930687,-5075.807854930687
14.03,1689280844363,5087.116004844363,-5073.086004844363
14.03,1689280847623,5088.034453453658,-5074.004453453658
14.03,1689280850970,5087.796196641519,-5073.766196641519
14.03,1689280854814,5089.646774592131,-5075.616774592131
14.03,1689280858376,5089.919297062791,-5075.889297062791
14.03,1689280865067,5088.32287676602,-5074.2928767660205
14.03,1689280869004,5087.856136088607,-5073.826136088607
14.03,1689280872802,5087.754207581923,-5073.724207581923
14.03,1689280876836,5086.805225596813,-5072.7752255968135
14.03,1689280880773,5086.047897083571,-5072.017897083571
14.03,1689280884736,5085.181338484279,-5071.151338484279
14.03,1689280892234,5085.603291087723,-5071.573291087723
14.03,1689280896494,5083.420011491905,-5069.390011491905
14.03,1689280904159,5093.200681101869,-5079.170681101869
14.02,1689280908634,5097.705078477051,-5083.68507847705
14.02,1689280913593,5096.433835961966,-5082.413835961966
14.02,1689280918277,5095.440177999181,-5081.420177999181
14.02,1689280926223,5089.304715969779,-5075.2847159697785
14.03,1689280931116,5092.95206707799,-5078.9220670779905
14.02,1689280958024,5069.714081386803,-5055.694081386802
14.02,1689280976485,5040.490983174828,-5026.470983174828
14.02,1689280983028,5035.797808307498,-5021.777808307497
14.02,1689280992927,5029.46166588157,-5015.44166588157
14.01,1689281009349,5036.088170786188,-5022.078170786188
14.02,1689281016700,5042.216311488466,-5028.196311488466
14.01,1689281030534,5029.521448042209,-5015.511448042209
14.01,1689281041629,5021.008574763978,-5006.998574763978
14.01,1689281053090,5010.858449671162,-4996.848449671162
14.04,1689281067931,5006.495833303649,-4992.455833303649
14.05,1689281080047,4998.917048921919,-4984.8670489219185
14.05,1689281089266,4992.422003729241,-4978.3720037292405
14.04,1689281098619,4987.53405914636,-4973.49405914636
14.03,1689281117719,5002.723818896549,-4988.69381889655
14.01,1689281140014,5007.050699983167,-4993.040699983167
14.01,1689281150586,5005.141647112333,-4991.131647112333
14.01,1689281161294,5002.44144819,-4988.43144819
14.01,1689281178338,4993.087019367234,-4979.077019367233
14.01,1689281194083,4980.834457420422,-4966.824457420422
14.01,1689281208744,4976.717552160612,-4962.707552160612
