bc,ac,tbv,tav,time,mp,minBid
1360833.57,12968220.59,320218.55,364796.93,1687453211577,12.79,12.73
1362020.51,12964700.10,320311.58,364521.92,1687453214296,12.78,12.73
1362011.54,12967499.15,320312.43,364740.96,1687453217379,12.78,12.73
1361213.10,12966724.49,320249.86,364680.99,1687453220348,12.78,12.73
1372646.65,12961217.27,321142.56,364246.79,1687453223385,12.79,12.73
1377907.72,12962051.01,321555.72,364311.90,1687453226692,12.79,12.73
1364415.51,12962930.70,320497.75,364380.53,1687453229329,12.79,12.73
1361099.75,12962129.88,320236.52,364317.93,1687453232749,12.79,12.73
1361752.70,12966898.14,320287.66,364695.34,1687453235296,12.78,12.73
1360495.61,12967887.88,320189.14,364771.76,1687453238306,12.78,12.73
1360500.16,12967953.23,320190.48,364776.63,1687453241323,12.78,12.73
1358554.32,12975666.42,320037.76,365381.86,1687453244441,12.78,12.73
1365603.48,12974164.63,320591.37,365263.91,1687453247319,12.78,12.73
1368363.79,12971433.43,320805.15,365050.18,1687453250377,12.78,12.73
1369162.22,12972233.74,320867.72,365112.75,1687453253409,12.78,12.73
1368363.79,12971385.90,320805.15,365046.46,1687453256415,12.78,12.73
1381472.45,12946765.56,321827.21,363116.97,1687453259328,12.79,12.73
1389866.34,12974706.60,322490.78,365293.70,1687453262388,12.79,12.73
1395172.95,12961445.58,322902.64,364231.59,1687453265416,12.8,12.73
1392673.31,12970827.18,322705.94,364963.31,1687453268543,12.8,12.73
1386846.24,12953834.45,322248.45,363627.43,1687453271305,12.8,12.73
1389825.76,12977667.92,322481.93,365487.97,1687453274478,12.8,12.73
1391024.80,12973174.61,322573.24,365136.96,1687453277412,12.8,12.73
1387724.71,12970877.05,322313.97,364957.59,1687453280438,12.8,12.73
1391030.73,12972930.00,322573.23,365116.63,1687453283320,12.8,12.73
1390230.16,12971925.20,322510.46,365037.74,1687453286381,12.8,12.73
1395025.49,12972435.66,322885.17,365077.25,1687453289394,12.8,12.73
1396477.92,12978578.90,322992.99,365556.28,1687453292493,12.8,12.73
1393505.78,12975845.30,322755.84,365343.06,1687453295439,12.8,12.73
1387903.48,12978549.32,322316.23,365554.02,1687453298321,12.8,12.73
1394768.17,12978681.59,322854.54,365564.35,1687453301436,12.8,12.73
1391625.83,12980246.41,322609.08,365686.89,1687453304364,12.8,12.73
1391099.69,12982497.75,322568.22,365863.19,1687453307322,12.8,12.73
1387585.72,12982558.74,322292.28,365868.16,1687453310614,12.8,12.73
1391745.86,12970358.18,322624.07,364923.28,1687453313318,12.79,12.73
1391304.04,12971864.60,322588.50,365041.02,1687453316343,12.79,12.73
1393804.21,12971151.04,322785.97,364985.27,1687453319451,12.79,12.73
1393006.50,12970352.07,322723.40,364922.70,1687453322704,12.79,12.73
1395239.40,12954863.05,322895.17,363708.61,1687453325479,12.8,12.73
1392923.18,12974121.22,322713.54,365212.51,1687453328421,12.8,12.73
1388259.07,12976922.86,322339.57,365431.28,1687453331395,12.8,12.73
1383440.65,12976419.90,321961.74,365392.04,1687453334340,12.8,12.73
1385152.68,12975528.13,322096.56,365322.42,1687453337329,12.8,12.73
1387510.92,12976836.75,322280.30,365424.56,1687453340733,12.8,12.73
1386213.56,12974606.31,322179.48,365250.37,1687453343395,12.8,12.73
1390556.01,12974447.85,322518.59,365241.35,1687453346495,12.8,12.73
1391077.28,12973100.93,322562.96,365138.02,1687453349485,12.79,12.73
1389401.71,12971266.62,322430.83,364995.13,1687453352326,12.79,12.73
1391897.83,12971273.38,322627.46,364995.62,1687453355425,12.79,12.73
1391890.74,12971273.38,322626.97,364995.62,1687453358353,12.79,12.73
1391890.74,12971273.38,322626.97,364995.62,1687453361362,12.79,12.73
1385149.63,12975826.95,322099.37,365353.25,1687453364359,12.79,12.73
1394075.56,12973939.50,322798.47,365205.68,1687453367371,12.79,12.73
1401675.89,12976857.50,323393.00,365434.34,1687453370449,12.8,12.73
1361303.44,12968446.32,320232.06,364787.84,1687453373434,12.78,12.73
1370962.10,12978593.75,320995.65,365580.48,1687453376360,12.78,12.73
1369309.23,12977381.95,320866.31,365486.13,1687453379362,12.78,12.73
1372603.58,12976635.19,321125.58,365427.77,1687453382381,12.78,12.73
1371237.84,12979790.11,321016.31,365673.80,1687453385564,12.79,12.73
1373443.81,12979972.84,321190.04,365688.04,1687453388791,12.79,12.73
1387202.77,12959250.13,322262.38,364064.03,1687453391545,12.79,12.73
1384953.13,12978213.08,322088.33,365546.10,1687453394453,12.79,12.73
1399765.40,12974653.58,323246.73,365266.94,1687453397385,12.79,12.73
1399791.08,12973992.08,323246.73,365215.06,1687453400388,12.8,12.73
1396473.91,12974970.12,322985.85,365291.49,1687453403400,12.79,12.73
1398973.62,12975054.92,323182.48,365298.12,1687453406774,12.79,12.73
1392995.98,12974876.69,322714.22,365284.59,1687453409554,12.79,12.73
1398576.44,12973176.80,323151.46,365151.54,1687453412567,12.79,12.73
1396626.99,12975843.76,322997.81,365359.80,1687453415613,12.8,12.73
1403094.60,12972176.32,323504.84,365072.73,1687453418644,12.8,12.73
1402658.98,12946180.07,323468.08,363034.11,1687453421784,12.8,12.73
1403059.73,12948310.04,323498.59,363199.81,1687453425030,12.8,12.73
1409400.01,12986134.16,323993.24,366148.42,1687453428482,12.8,12.73
1407838.45,12980576.31,323872.48,365719.77,1687453431958,12.8,12.73
1409106.42,12980391.30,323971.64,365705.32,1687453435474,12.8,12.73
1406147.00,12980459.43,323739.82,365710.65,1687453439112,12.8,12.73
1412442.11,12986467.68,324232.55,366179.79,1687453442836,12.8,12.73
1406665.88,12979270.89,323782.43,365618.98,1687453446661,12.79,12.73
