bc,ac,tbv,tav,time,mp,minBid
3841549.80,35178486.06,467376.74,360565.59,1677825016967,16.36,16.3
3841363.41,35179709.79,467343.27,360612.95,1677825019716,16.36,16.3
3837059.49,35179354.02,467079.55,360591.06,1677825022400,16.36,16.3
3835869.64,35179354.02,467007.62,360591.06,1677825025707,16.36,16.3
3837418.35,35181432.21,467102.70,360718.04,1677825028467,16.36,16.3
3839625.17,35179628.52,467237.72,360607.79,1677825031559,16.36,16.3
3839625.51,35179628.52,467237.71,360607.79,1677825034473,16.36,16.3
3840373.44,35171352.32,467278.06,360102.12,1677825037545,16.36,16.3
3840373.60,35170737.66,467278.06,360064.34,1677825040486,16.36,16.3
3834289.03,35170767.23,466905.35,360065.55,1677825043413,16.37,16.3
3832668.35,35171535.34,466805.38,360112.45,1677825046817,16.37,16.3
3832668.09,35171535.34,466805.38,360112.45,1677825049459,16.37,16.3
3840957.14,35162529.37,467311.90,359562.19,1677825052504,16.37,16.3
3834069.68,35172926.60,466889.60,360196.67,1677825055421,16.37,16.3
3843081.44,35173176.29,467441.00,360211.96,1677825058450,16.37,16.3
3845581.80,35168176.25,467593.98,359907.08,1677825061429,16.37,16.3
3848713.68,35171125.99,467786.79,360087.38,1677825064580,16.37,16.3
3852710.21,35169998.96,468031.21,360018.58,1677825067579,16.37,16.3
3852710.21,35169998.96,468031.21,360018.58,1677825070479,16.37,16.3
3852710.21,35169998.96,468031.21,360018.58,1677825073405,16.37,16.3
3847183.39,35169998.96,467692.56,360018.58,1677825076545,16.37,16.3
3847183.82,35169998.96,467692.56,360018.58,1677825079539,16.37,16.3
3847142.59,35170139.64,467688.66,360026.48,1677825082492,16.37,16.3
3850548.06,35175402.27,467897.34,360347.96,1677825085473,16.37,16.3
3851611.46,35175403.94,467962.34,360348.07,1677825088455,16.37,16.3
3852521.96,35183455.81,468018.28,360840.51,1677825091444,16.36,16.3
3852398.11,35181051.85,468010.68,360693.67,1677825094556,16.36,16.3
3847304.97,35181241.54,467698.59,360705.30,1677825097598,16.36,16.3
