mp,timeStamp,mean,skew
15.59,1678372305515,5513.229756111112,-5497.639756111112
15.6,1678372314037,5315.779881730768,-5300.179881730767
15.6,1678372317020,5225.721990941759,-5210.121990941759
15.59,1678372324940,5292.979371686977,-5277.389371686977
15.59,1678372326046,5328.326849597996,-5312.736849597996
15.58,1678372332219,5209.618479993133,-5194.0384799931335
15.58,1678372335120,5153.144046189593,-5137.564046189593
15.58,1678372338146,5114.110881780356,-5098.530881780356
15.57,1678372347179,5118.556454234911,-5102.986454234911
15.57,1678372353337,5140.110747388058,-5124.540747388059
15.57,1678372356229,5146.057104441394,-5130.487104441394
15.57,1678372362374,5163.281144553821,-5147.711144553821
15.57,1678372368464,5186.828163520485,-5171.258163520485
15.58,1678372374814,5159.169369828295,-5143.589369828295
15.58,1678372380558,5103.4827484134385,-5087.9027484134385
15.58,1678372383575,5078.473687766384,-5062.893687766384
15.58,1678372392699,4946.404151000948,-4930.824151000948
15.59,1678372398704,4917.043197271107,-4901.453197271107
15.58,1678372407977,4880.529318611166,-4864.949318611166
15.59,1678372423213,4911.369740513414,-4895.779740513414
15.6,1678372426529,4905.898946513523,-4890.298946513522
15.61,1678372432385,4940.699867676686,-4925.0898676766865
15.61,1678372435517,4952.239588737082,-4936.6295887370825
15.61,1678372438532,4960.763383813963,-4945.153383813963
15.61,1678372441694,4966.485712106241,-4950.875712106242
15.61,1678372444708,4971.424459363957,-4955.814459363957
15.61,1678372447751,4973.054940838649,-4957.444940838649
15.61,1678372450920,4975.2741418025025,-4959.664141802503
15.6,1678372454302,4952.434592588125,-4936.834592588125
15.61,1678372466260,4916.582532234195,-4900.972532234196
15.61,1678372472547,4928.390325248658,-4912.780325248658
15.62,1678372475436,4927.0886480542285,-4911.468648054229
15.62,1678372481604,4923.314846917005,-4907.694846917005
15.63,1678372494177,4893.32644571849,-4877.6964457184895
15.63,1678372497465,4882.439797606403,-4866.809797606403
15.64,1678372507340,4871.107819366944,-4855.467819366943
15.64,1678372514112,4847.518101760853,-4831.878101760853
15.64,1678372521150,4824.77206753467,-4809.13206753467
15.64,1678372525362,4815.758616540856,-4800.118616540855
15.64,1678372529637,4810.3138069816,-4794.673806981599
15.65,1678372534055,4805.749024492222,-4790.099024492222
15.65,1678372538437,4801.511748043896,-4785.861748043896
15.65,1678372543034,4801.126716230613,-4785.476716230613
15.65,1678372547523,4799.959433678864,-4784.3094336788645
15.65,1678372552483,4797.286982819316,-4781.6369828193165
15.66,1678372557496,4790.846333333637,-4775.186333333637
15.66,1678372562503,4770.942989171153,-4755.2829891711535
15.66,1678372567706,4750.8402073465695,-4735.18020734657
15.65,1678372573017,4740.31610795068,-4724.66610795068
15.66,1678372578390,4732.57281740122,-4716.91281740122
15.65,1678372583909,4725.363844259644,-4709.713844259644
15.65,1678372589815,4718.144256678507,-4702.494256678508
15.65,1678372596032,4707.79123552193,-4692.14123552193
15.66,1678372601881,4701.66179149242,-4686.00179149242
15.66,1678372608104,4690.931544416763,-4675.271544416763
15.65,1678372614968,4687.35375287038,-4671.70375287038
15.65,1678372621530,4679.274408184628,-4663.624408184628
15.65,1678372628474,4672.949069921721,-4657.299069921722
15.64,1678372651026,4576.100908293456,-4560.460908293456
15.63,1678372665421,4588.570487381186,-4572.940487381185
15.64,1678372673570,4586.165527524082,-4570.525527524082
15.65,1678372681762,4583.041073452748,-4567.391073452748
15.64,1678372690202,4580.457194031536,-4564.817194031536
15.64,1678372698825,4577.0844481399545,-4561.444448139954
15.65,1678372717004,4568.257343817839,-4552.607343817839
15.64,1678372726322,4562.494834737426,-4546.854834737425
15.64,1678372735824,4560.431318810823,-4544.791318810822
15.64,1678372751971,4556.349286618119,-4540.709286618118
15.65,1678372762112,4556.286760279995,-4540.6367602799955
15.66,1678372772268,4550.882901506618,-4535.222901506618
15.66,1678372782761,4547.537091841212,-4531.877091841212
15.65,1678372793414,4538.514127300763,-4522.864127300763
15.65,1678372804268,4530.201632048638,-4514.551632048639
15.66,1678372816272,4528.0289475013005,-4512.368947501301
15.65,1678372827469,4525.71654636797,-4510.066546367971
15.62,1678372848399,4542.149743500896,-4526.529743500896
15.61,1678372863929,4548.009724735315,-4532.399724735315
15.62,1678372876498,4554.868826373953,-4539.248826373953
15.62,1678372889195,4562.277415809299,-4546.657415809299
15.63,1678372905245,4574.778649145927,-4559.148649145927
15.62,1678372922053,4585.363546254233,-4569.7435462542335
15.63,1678372935645,4590.970606718873,-4575.340606718873
15.62,1678372952784,4598.973563555122,-4583.3535635551225
15.62,1678372966753,4604.78440731565,-4589.16440731565
15.61,1678372980999,4608.422282872482,-4592.812282872483
15.62,1678373001661,4625.936789367497,-4610.316789367497
15.62,1678373019708,4636.151986590388,-4620.531986590388
15.62,1678373034961,4643.000758943147,-4627.380758943147
15.61,1678373050546,4643.421101179185,-4627.811101179185
15.62,1678373066163,4647.580356599917,-4631.960356599917
15.61,1678373085048,4650.055807448498,-4634.445807448498
15.61,1678373101282,4649.901097484926,-4634.2910974849265
15.61,1678373127239,4642.942953502559,-4627.33295350256
15.62,1678373144549,4646.685454659936,-4631.065454659936
15.62,1678373165663,4653.380211567365,-4637.760211567365
15.63,1678373183643,4658.075159018109,-4642.445159018109
15.62,1678373211466,4679.0164664439435,-4663.396466443944
15.63,1678373230427,4684.438718154918,-4668.808718154918
15.64,1678373252557,4688.638140678371,-4672.998140678371
15.65,1678373271960,4694.03381909462,-4678.383819094621
15.66,1678373291640,4692.039675749928,-4676.3796757499285
15.65,1678373311532,4690.555271751431,-4674.905271751431
15.66,1678373331740,4689.987334129422,-4674.3273341294225
15.67,1678373352173,4688.713551433692,-4673.043551433692
15.67,1678373372823,4688.91819788749,-4673.24819788749
15.67,1678373393748,4687.693773572971,-4672.023773572971
15.67,1678373415048,4685.646980973964,-4669.976980973964
15.67,1678373436646,4684.32169739495,-4668.65169739495
15.67,1678373458454,4682.027729043511,-4666.3577290435105
15.66,1678373480515,4681.4658944875955,-4665.805894487596
15.66,1678373502738,4681.719670722319,-4666.059670722319
15.63,1678373531831,4686.294919416118,-4670.664919416118
15.62,1678373558467,4683.331481591836,-4667.711481591836
15.6,1678373582052,4688.70869557917,-4673.10869557917
15.6,1678373609198,4698.728469083243,-4683.128469083243
15.6,1678373633539,4696.422203699767,-4680.822203699767
15.6,1678373658067,4694.654737951911,-4679.05473795191
15.6,1678373686520,4688.310620553813,-4672.710620553813
15.61,1678373715174,4690.379656253946,-4674.769656253947
15.6,1678373744414,4684.934192606678,-4669.334192606678
15.61,1678373773865,4683.925254613661,-4668.315254613662
15.6,1678373804875,4684.632597677816,-4669.032597677816
15.6,1678373831664,4684.096435532431,-4668.496435532431
15.6,1678373858917,4683.856917452239,-4668.256917452239
15.6,1678373889462,4684.492670464365,-4668.8926704643645
15.6,1678373917441,4684.6426640127975,-4669.042664012797
15.6,1678373948822,4684.219563639726,-4668.619563639726
15.59,1678373988425,4688.678788860503,-4673.088788860503
15.61,1678374018047,4689.9237146625255,-4674.313714662526
15.6,1678374047911,4689.275074300036,-4673.675074300036
15.6,1678374081152,4689.496557745806,-4673.896557745806
15.61,1678374111814,4692.899059165838,-4677.289059165838
15.62,1678374149193,4691.02983957219,-4675.40983957219
15.62,1678374184137,4691.377174431436,-4675.757174431436
15.62,1678374216289,4694.688164391958,-4679.068164391958
15.64,1678374252075,4695.52619889793,-4679.88619889793
15.65,1678374285132,4693.040551795941,-4677.390551795941
15.62,1678374325195,4691.800774010331,-4676.180774010331
15.62,1678374363027,4694.391643156102,-4678.771643156102
15.61,1678374397895,4694.124220789936,-4678.514220789936
15.64,1678374443418,4688.837828744106,-4673.197828744106
15.64,1678374479696,4684.04261396386,-4668.40261396386
15.62,1678374519613,4681.4011011644825,-4665.781101164483
15.61,1678374560171,4683.550135114892,-4667.940135114893
15.6,1678374601183,4682.39040481564,-4666.79040481564
15.6,1678374639416,4681.450666532166,-4665.850666532166
15.6,1678374678065,4680.028991606847,-4664.4289916068465
15.58,1678374716957,4678.830848503141,-4663.250848503141
15.56,1678374780025,4635.06789886607,-4619.50789886607
15.56,1678374822394,4629.487372249968,-4613.927372249967
15.55,1678374865147,4626.597497530646,-4611.047497530646
15.54,1678374918261,4625.743865990641,-4610.203865990641
15.54,1678374975981,4619.949992758483,-4604.409992758483
15.55,1678375022137,4619.597007023806,-4604.047007023806
15.54,1678375075542,4620.489477021486,-4604.949477021486
15.52,1678375127425,4614.334134916044,-4598.814134916043
15.53,1678375702450,4570.349870109718,-4554.819870109718
15.53,1678375760450,4570.4686045056205,-4554.938604505621
15.52,1678375825322,4560.276592062148,-4544.756592062147
15.54,1678375891366,4560.576075218481,-4545.036075218481
15.53,1678375951691,4560.43281821877,-4544.90281821877
15.53,1678376026308,4556.819109975757,-4541.289109975757
15.54,1678376089458,4556.664356773389,-4541.124356773389
15.52,1678376152876,4556.137703349812,-4540.617703349812
15.52,1678376223654,4555.958876235054,-4540.438876235054
15.52,1678376288933,4557.482816538162,-4541.962816538162
15.52,1678376420106,4559.7740214569185,-4544.254021456918
15.52,1678376500316,4559.093872115658,-4543.573872115658
15.51,1678376582917,4573.819421391067,-4558.309421391067
15.53,1678376660664,4585.827321465835,-4570.297321465835
15.54,1678376736387,4586.897072620343,-4571.357072620343
15.54,1678376830678,4598.359901918167,-4582.8199019181675
15.55,1678376907381,4598.059939890384,-4582.509939890384
15.55,1678376988030,4597.810618622149,-4582.260618622149
15.54,1678377073002,4592.564564487538,-4577.024564487538
15.53,1678377156327,4588.083353466046,-4572.553353466046
15.53,1678377236934,4586.554962221618,-4571.024962221618
15.52,1678377329065,4585.043239055212,-4569.523239055212
