bc,ac,tbv,tav,time,mp,minBid
3146489.75,33839888.72,405487.15,354769.51,1680194279864,17.33,17.26
3148214.66,33845588.06,405586.75,355097.21,1680194282727,17.33,17.26
3150780.19,33841569.11,405735.86,354864.42,1680194285724,17.33,17.26
3144931.50,33842013.44,405398.05,354880.73,1680194288719,17.33,17.26
3148672.79,33841845.30,405587.50,354870.99,1680194291703,17.33,17.26
3146689.66,33833717.89,405475.57,354403.74,1680194294718,17.33,17.26
3147841.07,33842664.49,405495.10,354923.24,1680194297695,17.33,17.26
3147840.70,33844109.69,405495.09,355006.64,1680194300720,17.33,17.26
3148487.88,33831145.98,405531.23,354264.75,1680194303733,17.33,17.26
3148199.56,33827734.46,405514.59,354203.37,1680194307071,17.33,17.26
3148171.92,33824868.64,405512.98,354037.59,1680194309763,17.33,17.26
3146762.37,33830341.44,405431.60,354353.47,1680194312669,17.33,17.26
3142623.14,33829538.13,405192.23,354307.73,1680194315700,17.33,17.26
3142623.21,33824183.35,405192.40,353998.75,1680194318944,17.33,17.26
3142907.92,33820250.01,405208.75,353771.88,1680194321718,17.33,17.26
3143072.30,33829265.11,405215.84,354291.74,1680194324789,17.34,17.26
3143272.31,33821759.34,405227.38,353858.83,1680194328043,17.34,17.26
3142097.78,33793670.50,405154.69,352232.96,1680194330765,17.34,17.26
3144573.55,33818317.26,405295.25,353649.12,1680194334114,17.34,17.26
3141571.53,33822071.15,405121.91,353864.79,1680194337107,17.34,17.26
3146366.00,33820558.28,405382.93,353780.32,1680194339751,17.34,17.26
3134800.91,33820449.05,404714.44,353773.56,1680194342751,17.34,17.26
3138786.89,33818792.31,404944.54,353677.40,1680194345694,17.34,17.26
3138786.89,33821885.55,404944.54,353855.79,1680194348786,17.34,17.26
3143218.98,33821835.50,405200.73,353852.93,1680194351875,17.34,17.26
3140604.33,33632943.66,405048.15,342988.50,1680194354776,17.35,17.26
3136941.99,33832224.51,404835.98,354427.45,1680194357737,17.34,17.26
3138595.82,33823828.89,404938.27,353943.95,1680194360771,17.34,17.26
3141872.70,33835868.74,405123.62,354639.10,1680194363721,17.34,17.26
3145271.27,33839082.71,405321.10,354735.67,1680194366822,17.34,17.26
3148865.58,33829891.10,405528.66,354208.14,1680194369903,17.34,17.26
3143340.11,33825788.47,405209.04,353972.43,1680194372733,17.34,17.26
3143370.17,33832136.03,405209.04,354339.70,1680194375826,17.34,17.26
3142123.88,33822146.05,405139.13,353764.98,1680194378739,17.34,17.26
3140800.96,33832033.62,405062.54,354335.28,1680194381775,17.34,17.26
