bc,ac,tbv,tav,time,mp,minBid
3107845.02,32695126.56,394567.01,336740.45,1680616786618,17.32,17.24
3107663.37,32696506.93,394556.46,336820.02,1680616789297,17.32,17.24
3108105.12,32693999.74,394581.91,336675.17,1680616792260,17.32,17.24
3111053.22,32694394.84,394748.61,336693.71,1680616795338,17.33,17.24
3094308.69,32689915.33,393779.13,336435.21,1680616799037,17.33,17.24
3091282.21,32685234.84,393604.01,336164.56,1680616801638,17.33,17.24
3008927.87,32615856.27,389339.99,332119.41,1680616804674,17.35,17.24
3000327.55,32666432.63,388840.39,335019.95,1680616807089,17.34,17.24
3008278.12,32663485.15,389301.34,334849.61,1680616810122,17.35,17.24
3026335.17,32664245.57,389834.91,334893.34,1680616813067,17.35,17.24
3021873.01,32666893.27,389577.51,335044.08,1680616816050,17.35,17.24
3016482.71,32668665.19,389266.23,335145.95,1680616819028,17.35,17.24
3024037.02,32671508.16,389701.13,335309.83,1680616822092,17.35,17.24
3035546.98,32670505.81,390358.22,335251.85,1680616825048,17.35,17.24
3097969.74,32666946.86,393947.64,335087.59,1680616828070,17.35,17.24
3111796.01,32665926.37,394390.00,335046.99,1680616831133,17.35,17.24
3110656.89,32667155.54,394324.40,335116.89,1680616834075,17.35,17.24
3115970.16,32666513.85,394630.82,335079.89,1680616837541,17.35,17.24
3111232.59,32667470.16,394357.19,335149.35,1680616840363,17.35,17.24
3111668.61,32667594.19,394338.88,335135.44,1680616843085,17.35,17.24
3109327.84,32656491.90,394205.86,334504.84,1680616846104,17.35,17.24
3103354.58,32668469.49,393860.57,335192.90,1680616849100,17.35,17.24
3107988.06,32668878.77,394126.82,335216.19,1680616852044,17.35,17.24
3112831.11,32686889.59,394406.58,336234.80,1680616855142,17.35,17.24
3097389.05,32688490.37,393514.91,336327.48,1680616858102,17.35,17.24
3105833.21,32682936.22,394002.14,336006.49,1680616861165,17.36,17.24
3098631.63,32689033.84,393590.06,336348.81,1680616864421,17.35,17.24
3104891.45,32687048.51,393951.01,336232.35,1680616867164,17.35,17.24
3089032.88,32681134.20,393011.31,335855.03,1680616870231,17.37,17.24
3084058.87,32688691.35,392713.80,336290.05,1680616873227,17.37,17.24
3100556.73,32690396.42,393675.73,336389.71,1680616876332,17.37,17.24
3086067.29,32688819.40,392820.93,336289.42,1680616879099,17.37,17.24
3093556.29,32689487.76,393252.57,336327.98,1680616882103,17.37,17.24
3094316.42,32685508.03,393295.25,336101.98,1680616885218,17.37,17.24
3096957.68,32692844.16,393445.04,336522.03,1680616888134,17.38,17.24
3112972.97,32695419.75,394369.92,336672.61,1680616891270,17.38,17.24
3108984.63,32694729.84,394139.94,336632.93,1680616894165,17.38,17.24
3108683.38,32694650.36,394120.30,336629.63,1680616897863,17.38,17.24
3103650.04,32694573.14,393830.50,336625.28,1680616900276,17.38,17.24
3107644.37,32694572.08,394060.58,336625.22,1680616903236,17.38,17.24
3103655.33,32704066.36,393830.59,337181.10,1680616906101,17.37,17.24
3104842.00,32701362.49,393900.20,337026.29,1680616909145,17.37,17.24
3102552.11,32701195.10,393768.28,337016.66,1680616912256,17.37,17.24
3106860.40,32696086.58,394016.41,336722.35,1680616915208,17.38,17.24
3106860.40,32696143.94,394016.41,336725.65,1680616918293,17.38,17.24
3106744.84,32699366.45,394016.41,336908.60,1680616921139,17.38,17.24
3084723.36,32700312.80,392746.92,336964.93,1680616924126,17.36,17.24
3087586.31,32700047.30,392909.39,336952.28,1680616927205,17.36,17.24
3086947.01,32694839.92,392872.15,336652.24,1680616930388,17.36,17.24
3096800.17,32691937.52,393440.01,336484.90,1680616933141,17.37,17.24
3096800.17,32693060.90,393440.01,336549.65,1680616936132,17.37,17.24
3105250.85,32686852.49,393922.67,336189.51,1680616939142,17.38,17.24
3103020.91,32698015.85,393795.44,336832.49,1680616942243,17.37,17.24
3098193.03,32698063.36,393515.44,336835.25,1680616945154,17.37,17.24
3116313.43,32692800.65,394318.83,336532.37,1680616948136,17.37,17.24
3111630.59,32694042.67,394034.83,336605.03,1680616951165,17.37,17.24
3105329.19,32698681.65,393671.90,336872.15,1680616954213,17.37,17.24
3111633.54,32697940.46,394035.00,336829.46,1680616957196,17.37,17.24
3111633.27,32698583.15,394035.00,336866.46,1680616960174,17.37,17.24
3111633.63,32698119.84,394035.00,336839.80,1680616963250,17.37,17.24
