mp,timeStamp,mean,skew
19.99,1675783908652,8372.607802962963,-8352.617802962963
19.99,1675783911569,8374.55366254601,-8354.56366254601
20.01,1675783929685,8226.242740362784,-8206.232740362784
20.01,1675783932679,8098.906421466491,-8078.896421466491
20.02,1675783938688,7921.55296792024,-7901.53296792024
20.02,1675783941805,7859.119595780693,-7839.099595780693
20,1675783948020,7490.149769654414,-7470.149769654414
20,1675783953809,7301.818654195209,-7281.818654195209
20,1675783957033,7221.8080796924905,-7201.8080796924905
20,1675783959853,7152.645964912476,-7132.645964912476
20,1675783963017,7153.771726855358,-7133.771726855358
20,1675783966012,7151.576499702207,-7131.576499702207
20,1675783971982,7107.4026729457055,-7087.4026729457055
20,1675783978308,7132.064438471336,-7112.064438471336
20,1675783984643,6961.4645729676795,-6941.4645729676795
20,1675783987257,6786.113310687757,-6766.113310687757
20.02,1675783993309,6457.6671355813005,-6437.6471355813
20.01,1675784002525,6033.843667030128,-6013.833667030128
20.01,1675784005564,5903.597253358451,-5883.587253358451
20.01,1675784008637,5807.8837506226055,-5787.873750622605
20.01,1675784017660,5565.164394184498,-5545.1543941844975
20.01,1675784020700,5489.859205874519,-5469.849205874519
20.01,1675784023691,5424.233984442161,-5404.223984442161
20.01,1675784030491,5303.0181098677285,-5283.008109867728
20.01,1675784032985,5248.607718369261,-5228.597718369261
20.01,1675784036108,5197.248135671535,-5177.238135671535
20.01,1675784039109,5147.466840064345,-5127.456840064345
20.02,1675784048391,5239.6765407325665,-5219.656540732566
19.99,1675784054877,5314.468353321627,-5294.478353321627
19.99,1675784057344,5349.750325548038,-5329.760325548038
20,1675784067423,5517.925959590217,-5497.925959590217
19.99,1675784070081,5548.737819709611,-5528.747819709612
20,1675784073205,5599.644160435854,-5579.644160435854
20,1675784076507,5650.987255731637,-5630.987255731637
20,1675784079548,5702.386447806622,-5682.386447806622
19.99,1675784082296,5730.693217234627,-5710.703217234627
19.99,1675784085947,5778.199030791788,-5758.209030791788
20,1675784088893,5825.541525000506,-5805.541525000506
20,1675784092113,5871.570025608499,-5851.570025608499
20,1675784095390,5915.906378669789,-5895.906378669789
20,1675784101710,5998.9304262949045,-5978.9304262949045
20,1675784108271,6078.735749387131,-6058.735749387131
20.01,1675784114933,6165.154605074958,-6145.144605074958
20.02,1675784119099,6212.085997168162,-6192.065997168162
20.02,1675784125968,6297.224077036233,-6277.204077036233
20.02,1675784129876,6337.815062998673,-6317.795062998673
20.02,1675784140266,6491.910203931792,-6471.890203931792
20.02,1675784144514,6544.549989744016,-6524.529989744015
20.02,1675784148920,6593.987880477644,-6573.967880477643
20.01,1675784156646,6646.876231429041,-6626.86623142904
20,1675784161702,6668.912077062287,-6648.912077062287
20,1675784167107,6691.681955060753,-6671.681955060753
20,1675784188455,6796.153096787442,-6776.153096787442
19.99,1675784194520,6802.055640671002,-6782.065640671002
20,1675784201349,6821.27308552256,-6801.27308552256
20.01,1675784207657,6841.332355989591,-6821.3223559895905
20.02,1675784229848,6961.131938933479,-6941.111938933479
20.03,1675784237389,6995.1667534842845,-6975.136753484285
20.03,1675784245189,7024.781295075519,-7004.751295075519
20.04,1675784255971,7059.532624151967,-7039.492624151967
20.04,1675784270714,7094.538662278434,-7074.498662278434
20.03,1675784280885,7111.046624972523,-7091.0166249725235
20.03,1675784292857,7148.185459710789,-7128.155459710789
20.04,1675784301726,7163.678120709887,-7143.638120709887
20.04,1675784310601,7166.217180131381,-7146.177180131381
20.04,1675784319742,7165.705977893714,-7145.665977893714
20.04,1675784329381,7166.951796352203,-7146.911796352203
20.04,1675784348289,7166.206865655232,-7146.166865655232
20.04,1675784358310,7166.835092912595,-7146.7950929125955
20.02,1675784371738,7201.976295417922,-7181.956295417922
20.04,1675784382397,7214.776851959896,-7194.736851959896
20.04,1675784393107,7225.571472046878,-7205.531472046878
20.03,1675784407018,7248.04622406722,-7228.01622406722
20.03,1675784421453,7270.91065090485,-7250.88065090485
20.04,1675784433312,7282.5450194323175,-7262.505019432318
20.04,1675784445025,7282.301604894468,-7262.261604894468
20.03,1675784456916,7294.739511180996,-7274.709511180996
20.02,1675784472153,7317.246379836017,-7297.226379836016
20.01,1675784484385,7318.432616320453,-7298.422616320453
20.03,1675784503792,7340.031909646798,-7320.001909646799
20.03,1675784520186,7359.066727358539,-7339.036727358539
20.03,1675784535645,7367.616588091508,-7347.586588091508
20.03,1675784552612,7385.705101818217,-7365.675101818218
20.04,1675784566666,7397.361474680397,-7377.321474680397
20.03,1675784580962,7409.423898124119,-7389.393898124119
20.04,1675784595318,7420.746807462466,-7400.706807462466
20.03,1675784613243,7441.367092031652,-7421.337092031652
20.06,1675784628098,7436.9999145608235,-7416.939914560823
20.05,1675784643046,7422.694523411659,-7402.644523411659
20.05,1675784658109,7412.846081033517,-7392.796081033517
20.05,1675784673306,7399.836280713441,-7379.786280713441
20.05,1675784689537,7387.470953313835,-7367.420953313835
20.08,1675784711831,7400.360789599437,-7380.280789599437
20.08,1675784727997,7390.826058506695,-7370.746058506695
20.06,1675784747713,7372.747421763875,-7352.687421763874
20.07,1675784774417,7376.867219646682,-7356.797219646683
20.07,1675784795766,7382.369390149867,-7362.299390149868
20.08,1675784814583,7383.130763438088,-7363.050763438088
20.08,1675784833341,7379.228812990127,-7359.148812990127
20.06,1675784852266,7368.573859755328,-7348.513859755328
20.06,1675784871705,7358.212955598111,-7338.152955598111
20.07,1675784894283,7349.832735474646,-7329.762735474646
20.06,1675784917126,7332.64046033783,-7312.580460337829
20.04,1675784937975,7332.662847240744,-7312.622847240744
20.02,1675784961813,7320.248295562127,-7300.228295562127
20.04,1675784983298,7314.75663113067,-7294.71663113067
20.04,1675785004406,7313.643364617076,-7293.603364617076
20.04,1675785025861,7321.3435846764205,-7301.3035846764205
20.05,1675785047405,7318.920543949782,-7298.870543949782
20.06,1675785075617,7365.890052705483,-7345.830052705483
20.06,1675785101573,7390.171467831928,-7370.111467831927
20.06,1675785128579,7412.928909290275,-7392.868909290275
20.05,1675785162242,7453.836528005106,-7433.7865280051055
20.05,1675785197117,7482.7988305454355,-7462.748830545435
20.03,1675785223334,7481.694270402972,-7461.664270402972
20.03,1675785249885,7489.430013503556,-7469.400013503557
20.03,1675785293284,7500.703744763133,-7480.673744763133
20.03,1675785321840,7507.742417638955,-7487.712417638955
