bc,ac,tbv,tav,time,mp,minBid
3886498.16,35065842.74,456899.51,354821.54,1677651424277,17.66,17.59
3888129.68,35084790.89,456992.51,355893.68,1677651427390,17.66,17.59
3889095.42,35112069.05,457047.49,357437.84,1677651430355,17.65,17.58
3893095.81,35109077.93,457274.27,357268.38,1677651433338,17.65,17.58
3903073.78,35105601.30,457839.47,357071.26,1677651436274,17.66,17.58
3901811.03,35106055.09,457767.56,357096.94,1677651439263,17.66,17.58
3901811.03,35106055.09,457767.56,357096.94,1677651442325,17.66,17.58
3898306.08,35099912.10,457568.85,356749.58,1677651445294,17.66,17.58
3898051.77,35099657.35,457554.43,356735.17,1677651448446,17.66,17.58
3898306.00,35099912.10,457568.85,356749.58,1677651451439,17.66,17.58
3895896.29,35099912.10,457431.96,356749.58,1677651454208,17.66,17.58
3885292.46,35100210.15,456831.78,356768.49,1677651457229,17.65,17.58
3895312.92,35110766.21,457400.21,357366.42,1677651460442,17.65,17.58
3895312.92,35115917.02,457400.21,357658.12,1677651463222,17.65,17.58
3884871.83,35110958.78,456827.24,357374.96,1677651466228,17.66,17.58
3882476.14,35117339.94,456691.40,357736.29,1677651469386,17.66,17.58
3882476.06,35117339.94,456691.39,357736.29,1677651472202,17.66,17.58
3882719.55,35117341.80,456705.21,357736.29,1677651475252,17.66,17.58
3889841.15,35115337.42,457108.90,357622.79,1677651478203,17.66,17.58
3893463.05,35105844.74,457313.86,357085.07,1677651481365,17.66,17.58
3884750.35,35108854.26,456819.85,357255.32,1677651484262,17.66,17.58
3884103.66,35113536.22,456783.32,357520.31,1677651487196,17.66,17.58
3881966.05,35113536.22,456661.88,357520.31,1677651490343,17.66,17.58
3884375.60,35113536.22,456798.75,357520.31,1677651493739,17.66,17.58
3882518.17,35115005.38,456693.73,357603.83,1677651496261,17.66,17.58
3881370.92,35114475.74,456628.73,357572.67,1677651499351,17.66,17.58
3890273.89,35112433.12,457133.03,357457.02,1677651502224,17.65,17.58
3887864.39,35112432.98,456996.16,357457.03,1677651505196,17.65,17.58
3890273.43,35113373.18,457133.05,357510.28,1677651508361,17.65,17.58
3892356.97,35113373.18,457251.30,357510.28,1677651511338,17.65,17.58
3891087.52,35109512.13,457179.74,357292.37,1677651514385,17.65,17.58
3888169.30,35109507.80,457013.71,357292.57,1677651517217,17.65,17.58
3888169.30,35111981.06,457013.71,357433.03,1677651520438,17.65,17.58
3879162.56,35103491.00,456504.28,356954.10,1677651523215,17.65,17.58
3862196.02,35102516.16,455543.74,356901.13,1677651526195,17.65,17.58
3860675.69,35097101.90,455454.70,356597.49,1677651529631,17.65,17.58
3889354.30,35105081.61,457086.65,357045.06,1677651532251,17.65,17.58
3891396.81,35105081.61,457197.65,357045.06,1677651535213,17.65,17.58
3886483.53,35115394.72,456919.15,357631.05,1677651538364,17.64,17.57
3886478.83,35115280.00,456919.15,357624.56,1677651541231,17.64,17.57
3886478.83,35115280.00,456919.15,357624.56,1677651544208,17.64,17.57
3877525.67,35110649.84,456410.75,357361.88,1677651547242,17.64,17.57
3880630.43,35113001.94,456588.35,357495.79,1677651550341,17.64,17.57
3884403.68,35105467.58,456825.77,357081.46,1677651553233,17.63,17.56
3885779.64,35117521.31,456904.78,357765.75,1677651556443,17.63,17.56
3885026.99,35089509.56,456886.05,356210.41,1677651559220,17.62,17.55
3882100.21,35105311.55,456719.93,357106.69,1677651562237,17.62,17.55
3882102.03,35104530.19,456719.95,357062.23,1677651566734,17.62,17.55
3878467.72,35111031.04,456513.48,357431.08,1677651569777,17.62,17.55
3845237.80,35110858.19,454692.02,357445.23,1677651572781,17.62,17.55
3844237.96,35105321.03,454635.08,357162.26,1677651575762,17.62,17.55
3853087.58,35107963.46,455137.78,357310.94,1677651578747,17.62,17.55
3877764.91,35108368.90,456541.26,357333.94,1677651581731,17.62,17.55
3876999.07,35105438.81,456497.49,357168.83,1677651584822,17.63,17.55
3869223.25,35105734.51,456056.02,357189.87,1677651587870,17.62,17.55
3870177.81,35109895.70,456110.18,357425.87,1677651590860,17.63,17.55
3880993.02,35111510.07,456725.78,357517.44,1677651593856,17.63,17.55
3873626.94,35109561.34,456307.65,357407.03,1677651596933,17.62,17.55
3882475.56,35114298.37,456810.13,357675.68,1677651600430,17.63,17.55
3774857.81,35031852.82,450683.29,353010.41,1677651603777,17.62,17.55
3785343.03,35034206.00,451279.15,353144.34,1677651606805,17.62,17.55
3797360.38,35025318.26,451961.41,352640.12,1677651609777,17.63,17.55
3878184.34,35106731.49,456571.47,357250.25,1677651613372,17.62,17.55
3875761.08,35108239.37,456434.50,357335.59,1677651617077,17.62,17.55
3865767.59,35111185.73,455867.04,357502.93,1677651620184,17.62,17.55
3873288.88,35110148.14,456294.69,357444.11,1677651623041,17.62,17.55
3877236.67,35109660.74,456518.82,357417.51,1677651626157,17.62,17.55
3879648.38,35108515.44,456655.82,357352.51,1677651629152,17.62,17.55
3872872.00,35107190.58,456271.00,357277.23,1677651633350,17.62,17.55
3874034.78,35111189.15,456337.00,357504.04,1677651636445,17.62,17.55
3877577.33,35105986.04,456537.70,357207.73,1677651641583,17.63,17.55
3877827.66,35114001.54,456551.91,357662.39,1677651646042,17.63,17.55
