bc,ac,tbv,tav,time,mp,minBid
3774111.51,9866038.58,538490.17,202323.60,1674016945751,17.34,17.27
3775426.62,9871066.58,538566.10,202613.39,1674016948519,17.34,17.27
3769746.11,9868034.11,538244.46,202452.00,1674016951494,17.33,17.26
3770098.67,9866834.31,538265.17,202382.92,1674016954814,17.33,17.26
3752413.78,9864746.01,537236.51,202262.49,1674016957591,17.33,17.26
3765311.41,9868033.65,537988.24,202451.98,1674016960429,17.33,17.26
3771954.78,9865533.09,538372.98,202307.76,1674016963439,17.33,17.26
3782617.17,9866871.12,538984.76,202383.42,1674016966949,17.33,17.26
3781579.55,9870693.83,538924.39,202603.67,1674016969613,17.33,17.26
3781579.55,9870750.66,538924.39,202606.99,1674016972597,17.33,17.26
3774915.36,9874313.31,538540.18,202812.05,1674016975562,17.33,17.26
3774920.31,9859484.75,538540.18,202092.97,1674016978475,17.33,17.26
3774920.31,9859900.59,538540.18,202116.97,1674016981477,17.33,17.26
3793908.10,9850678.18,539636.44,201597.21,1674016984510,17.34,17.26
3789731.09,9853315.81,539395.73,201749.88,1674016987546,17.34,17.26
3793232.17,9853315.81,539597.85,201749.88,1674016990553,17.34,17.26
3795504.62,9853315.81,539718.85,201749.88,1674016993557,17.34,17.26
3771884.11,9848366.39,537896.03,201474.21,1674016996544,17.34,17.26
3775872.31,9848366.39,538126.67,201474.21,1674016999450,17.34,17.26
3776461.84,9847680.27,538160.69,201434.64,1674017002557,17.34,17.26
3779654.94,9838583.21,538352.08,200905.23,1674017005964,17.34,17.26
3775505.27,9830707.59,538112.15,200449.17,1674017008474,17.34,17.26
3783721.68,9839734.65,538586.25,200968.79,1674017011450,17.34,17.26
3783721.68,9834608.92,538586.25,200673.04,1674017014505,17.34,17.26
3805476.22,9836779.55,540300.62,200788.32,1674017017876,17.34,17.26
3805476.22,9836779.55,540300.62,200788.32,1674017020504,17.34,17.26
3790423.36,9768558.30,539431.85,196873.73,1674017023446,17.34,17.26
3796493.41,9794855.16,539785.05,198380.87,1674017026456,17.34,17.26
3799842.24,9844463.16,539978.38,201236.38,1674017029457,17.34,17.26
3791096.37,9846024.00,539471.97,201326.43,1674017032473,17.34,17.26
3793725.48,9849467.88,539625.32,201524.99,1674017035509,17.34,17.26
3794541.57,9855415.09,539672.43,201714.77,1674017038477,17.34,17.26
3791983.95,9855415.09,539523.13,201714.77,1674017041458,17.34,17.26
3793283.29,9856614.25,539598.10,201783.85,1674017044482,17.34,17.26
3791988.46,9857648.25,539523.43,201844.93,1674017047750,17.34,17.26
3792739.42,9857134.52,539566.79,201815.32,1674017050518,17.34,17.26
3791651.57,9838954.67,539501.07,200763.52,1674017053448,17.34,17.26
3791651.50,9848302.87,539501.07,201301.83,1674017056465,17.34,17.26
3791652.04,9849502.72,539501.03,201370.91,1674017059635,17.34,17.26
3795759.80,9792021.41,539735.68,198054.70,1674017062505,17.34,17.26
3791358.16,9804505.68,539481.27,198774.43,1674017065946,17.34,17.26
3791284.01,9804505.68,539477.24,198774.43,1674017068690,17.34,17.26
3789421.25,9804505.68,539370.59,198774.43,1674017071680,17.34,17.26
3791291.91,9804960.31,539479.03,198799.75,1674017074504,17.34,17.26
3785771.13,9794436.74,539159.22,198192.95,1674017077951,17.34,17.26
3800094.82,9782227.99,539984.22,197488.73,1674017080525,17.35,17.26
3802049.63,9780637.26,540097.02,197396.82,1674017083505,17.35,17.26
3780300.86,9769178.00,538382.65,196899.15,1674017086560,17.35,17.26
3772440.54,9774305.28,537929.46,197195.31,1674017089586,17.35,17.26
3771893.50,9769060.37,537897.77,196892.92,1674017092467,17.35,17.26
3772401.18,9767989.49,537926.60,196830.56,1674017095489,17.35,17.26
3772402.46,9766686.74,537926.68,196755.56,1674017098459,17.35,17.26
3765899.88,9770717.81,537551.39,196988.04,1674017101660,17.35,17.26
3746781.17,9759357.41,536451.13,196338.11,1674017104487,17.34,17.26
3791400.83,9803037.62,539486.01,198701.73,1674017107506,17.34,17.26
3774888.88,9806295.82,538535.44,198891.61,1674017110621,17.34,17.26
3777449.26,9805134.06,538683.28,198823.09,1674017113928,17.34,17.26
3770206.72,9798328.24,538266.26,198432.21,1674017117147,17.34,17.26
3778247.00,9806127.09,538730.06,198880.66,1674017120227,17.34,17.26
3776249.79,9789217.26,538609.38,197898.60,1674017123266,17.35,17.26
3784518.68,9791718.97,539089.82,198042.73,1674017126483,17.35,17.26
3762128.93,9804480.34,537796.15,198742.63,1674017129456,17.34,17.26
3767533.16,9817587.64,538111.73,199500.39,1674017132371,17.34,17.26
3777108.74,9800627.58,538664.34,198524.54,1674017135921,17.34,17.26
3776144.47,9783859.99,538606.53,197554.66,1674017138908,17.35,17.26
3765419.19,9791779.68,537986.15,198011.37,1674017142642,17.34,17.26
3790094.41,9795199.80,539411.96,198208.36,1674017146388,17.34,17.26
3796309.67,9791185.27,539769.92,197982.19,1674017150325,17.34,17.26
3796478.05,9791185.27,539779.92,197982.19,1674017154187,17.34,17.26
3799019.77,9802342.38,539927.31,198625.77,1674017158220,17.34,17.26
3800619.02,9800447.00,540020.28,198517.04,1674017162451,17.35,17.26
3795783.42,9806864.79,539742.69,198887.42,1674017167140,17.34,17.26
3793725.90,9802738.23,539623.58,198649.11,1674017171462,17.34,17.26
3799525.58,9803532.71,539958.42,198694.84,1674017176163,17.34,17.26
3810308.58,9799143.80,540579.16,198419.50,1674017180810,17.35,17.26
3786509.58,9805247.07,539206.13,198771.27,1674017185500,17.35,17.26
3789369.68,9809660.33,539371.42,199025.82,1674017190423,17.34,17.26
3780931.06,9811196.39,538883.44,199115.22,1674017195827,17.34,17.26
3771033.52,9880778.49,538368.93,203140.89,1674017200925,17.33,17.26
3769947.85,9874504.68,538335.27,202781.39,1674017206541,17.33,17.26
3770811.57,9872160.77,538385.25,202646.63,1674017212427,17.33,17.26
3772418.41,9859609.67,538480.64,201923.96,1674017217934,17.33,17.26
3774309.69,9860205.36,538587.59,201958.04,1674017223658,17.33,17.26
3776468.44,9854478.29,538727.22,201707.18,1674017229440,17.33,17.26
3776587.02,9857898.23,538695.29,201904.00,1674017235422,17.33,17.26
3776587.02,9857813.27,538695.29,201899.46,1674017241985,17.33,17.26
3776403.68,9864921.87,538725.49,202310.10,1674017248468,17.33,17.26
3784710.26,9857350.99,539165.70,201873.01,1674017254852,17.33,17.26
3786741.56,9870431.46,539270.31,202621.05,1674017261687,17.33,17.26
3786639.67,9867476.59,539263.64,202449.93,1674017268516,17.33,17.26
3786342.73,9872472.39,539247.86,202738.20,1674017275687,17.33,17.26
3801320.72,9878914.82,540114.81,203110.48,1674017282886,17.33,17.26
3803947.96,9882010.95,540266.22,203209.66,1674017290065,17.33,17.26
3794143.19,9885989.60,539700.05,203439.71,1674017293727,17.33,17.26
3794798.06,9876600.39,539748.38,202898.00,1674017301249,17.33,17.26
3796673.83,9869643.86,539854.83,202496.19,1674017304335,17.33,17.26
3798803.05,9862206.26,539951.69,202066.86,1674017312246,17.33,17.26
3777828.26,9825780.85,538733.95,199969.18,1674017320449,17.34,17.26
3805410.81,9837502.45,540321.42,200636.79,1674017328722,17.34,17.26
3807651.11,9844453.26,540450.75,201036.91,1674017337704,17.34,17.26
3803535.20,9833855.11,540211.09,200424.99,1674017346379,17.34,17.26
3803486.51,9823462.06,540208.28,199990.45,1674017355223,17.34,17.26
3796242.25,9811663.92,539790.12,199310.48,1674017364374,17.34,17.26
3801993.30,9808189.36,540123.55,199104.72,1674017373563,17.34,17.26
3808905.35,9790447.25,540515.48,198090.76,1674017382979,17.34,17.26
3800239.06,9777865.41,540015.39,197364.93,1674017392546,17.34,17.26
3804671.28,9793511.06,540255.71,198255.27,1674017402760,17.34,17.26
3806785.02,9791006.03,540378.60,198111.13,1674017405423,17.34,17.26
3808549.25,9790659.75,540472.04,197994.99,1674017415544,17.35,17.26
3788865.06,9785898.98,539332.72,197702.86,1674017425852,17.36,17.26
3808100.99,9816106.07,540442.74,199429.10,1674017436182,17.36,17.26
3816488.77,9816030.15,540925.90,199425.02,1674017446922,17.36,17.26
3817553.30,9807990.01,540986.01,198962.31,1674017457771,17.36,17.26
3803417.55,9808000.31,540135.01,198961.96,1674017468739,17.36,17.26
3808816.54,9804047.62,540445.52,198825.86,1674017481187,17.36,17.26
3802354.95,9802576.82,540074.27,198741.41,1674017493018,17.36,17.26
3804708.17,9800574.43,540209.48,198625.97,1674017495485,17.36,17.26
3806153.42,9800574.43,540292.85,198625.97,1674017498648,17.36,17.26
3802754.40,9804253.27,540092.81,198823.83,1674017510513,17.36,17.26
3795830.71,9783977.22,539664.92,197643.56,1674017522517,17.37,17.26
3789653.35,9815838.39,539307.59,199319.69,1674017534713,17.37,17.26
3787999.79,9821025.40,539193.61,199616.98,1674017547125,17.37,17.26
3773426.12,9810261.58,538358.34,199003.95,1674017559698,17.35,17.26
3772864.03,9810261.58,538325.07,199003.95,1674017562726,17.35,17.26
3779149.09,9807586.35,538692.71,198851.35,1674017565675,17.35,17.26
3779151.66,9826656.09,538694.12,199947.83,1674017568694,17.35,17.26
3778360.43,9812764.11,538647.16,199125.40,1674017582210,17.35,17.26
3801936.20,9799034.71,539998.28,198324.47,1674017595950,17.37,17.26
3785992.46,9810441.02,539048.90,198985.56,1674017609847,17.36,17.26
3775015.64,9814610.69,538420.57,199233.88,1674017624097,17.35,17.26
3779346.51,9792723.73,538672.96,197986.56,1674017638511,17.35,17.26
3794835.10,9780919.93,539588.66,197348.09,1674017653081,17.35,17.26
3794989.20,9780913.92,539597.59,197348.09,1674017656084,17.35,17.26
3777007.21,9775621.74,538564.45,197043.95,1674017671171,17.35,17.26
3771359.66,9772701.50,538236.16,196878.18,1674017687064,17.35,17.26
3771718.41,9774560.21,538256.85,196984.78,1674017689511,17.35,17.26
3771348.05,9777630.04,538248.51,197160.80,1674017705335,17.35,17.26
3768708.42,9788015.62,538097.51,197754.77,1674017708385,17.35,17.26
3779370.81,9779074.83,538709.34,197192.33,1674017724863,17.35,17.26
3779402.64,9779070.51,538711.04,197192.33,1674017728097,17.35,17.26
3783858.61,9783576.65,538971.29,197450.56,1674017730685,17.35,17.26
3783704.30,9778158.61,538962.37,197138.80,1674017733749,17.35,17.26
3784217.44,9783576.65,538991.98,197450.56,1674017736608,17.35,17.26
3784594.73,9773527.02,539011.79,196900.77,1674017754165,17.35,17.26
3772292.28,9761556.97,538301.03,196225.11,1674017771870,17.35,17.26
3775810.29,9761556.97,538504.14,196225.11,1674017775080,17.35,17.26
3759100.82,9712358.10,537532.17,193391.55,1674017777892,17.37,17.26
3784591.50,9750768.43,539002.63,195593.33,1674017781274,17.37,17.26
3807370.16,9741823.54,540250.98,195047.20,1674017800249,17.39,17.26
3810682.67,9759226.13,540443.80,196050.90,1674017819459,17.38,17.26
