mp,timeStamp,mean,skew
19.58,1675230928614,8143.880102127659,-8124.300102127659
19.58,1675230940752,8043.477889414231,-8023.897889414231
19.58,1675230946738,8000.234365118817,-7980.654365118817
19.58,1675230952628,7978.49044651806,-7958.91044651806
19.58,1675230955716,7972.666457295982,-7953.086457295982
19.58,1675230961701,7976.545588597796,-7956.965588597796
19.57,1675230977047,7776.966607627532,-7757.396607627532
19.58,1675230980279,7818.432573555461,-7798.852573555461
19.57,1675230983429,7760.242210642403,-7740.672210642403
19.57,1675230985899,7707.879343460317,-7688.309343460317
19.57,1675231001064,7532.247368822551,-7512.677368822551
19.57,1675231007211,7476.01254455692,-7456.44254455692
19.57,1675231010142,7449.582618394868,-7430.012618394869
19.57,1675231013372,7424.7979521889,-7405.2279521889
19.57,1675231016329,7400.412784562632,-7380.842784562632
19.57,1675231019297,7382.189553042712,-7362.619553042712
19.57,1675231025285,7352.03160406782,-7332.46160406782
19.57,1675231031529,7328.66941560553,-7309.09941560553
19.57,1675231037933,7308.3637327771585,-7288.793732777159
19.57,1675231040519,7296.763360123291,-7277.193360123291
19.57,1675231044024,7290.2597059100235,-7270.689705910024
19.57,1675231046522,7280.7955779602535,-7261.225577960254
19.57,1675231049562,7270.924826295672,-7251.354826295672
19.57,1675231052625,7261.660854409743,-7242.090854409743
19.57,1675231056308,7258.12158017493,-7238.551580174931
19.58,1675231068103,7328.401917326888,-7308.821917326888
19.57,1675231070981,7320.900436047377,-7301.330436047378
19.58,1675231073942,7339.579235522844,-7319.999235522844
19.58,1675231083272,7391.282477611753,-7371.702477611753
19.57,1675231089319,7376.709736695174,-7357.139736695174
19.57,1675231092391,7366.730624736492,-7347.1606247364925
19.57,1675231095370,7357.855941297389,-7338.285941297389
19.57,1675231098521,7346.990206498555,-7327.420206498556
19.57,1675231110776,7297.096865637301,-7277.526865637301
19.57,1675231114303,7283.651870852869,-7264.0818708528695
19.57,1675231123202,7248.98930550356,-7229.41930550356
19.57,1675231129584,7233.352830876457,-7213.782830876457
19.57,1675231138992,7209.464208753909,-7189.894208753909
19.56,1675231142526,7216.185611551716,-7196.625611551715
19.56,1675231149341,7228.90818687041,-7209.348186870409
19.56,1675231153894,7235.316526398136,-7215.756526398136
19.56,1675231157857,7244.24042574709,-7224.680425747089
19.56,1675231162024,7251.826374660134,-7232.266374660134
19.56,1675231169094,7268.445171711759,-7248.885171711759
19.56,1675231173410,7277.8732183551565,-7258.313218355156
19.55,1675231180743,7303.821985094475,-7284.271985094475
19.55,1675231188339,7324.087655040864,-7304.537655040864
19.55,1675231196176,7339.355170460078,-7319.8051704600775
19.55,1675231201039,7346.234769737034,-7326.684769737034
19.55,1675231206009,7359.643996133448,-7340.093996133448
19.55,1675231214650,7384.357653258296,-7364.807653258295
19.55,1675231226147,7420.283309500376,-7400.733309500376
19.55,1675231234890,7445.013436362584,-7425.463436362584
19.55,1675231247103,7479.641307229692,-7460.091307229692
19.55,1675231256623,7504.036480799481,-7484.486480799481
19.55,1675231263070,7515.418518176424,-7495.868518176424
19.55,1675231273769,7527.3324625272735,-7507.782462527273
19.55,1675231280652,7532.72269160422,-7513.17269160422
19.55,1675231293959,7558.431207112903,-7538.881207112903
