mp,timeStamp,mean,skew
17.44,1678856429392,3296.849351814593,-3279.409351814593
17.44,1678856432367,3410.949093727031,-3393.509093727031
17.44,1678856435283,3504.3289115475227,-3486.8889115475226
17.44,1678856438326,3580.7930299286704,-3563.3530299286704
17.44,1678856441331,3644.371620849115,-3626.931620849115
17.44,1678856444320,3722.541881159679,-3705.101881159679
17.44,1678856447702,3784.0226448359663,-3766.582644835966
17.44,1678856453546,3868.7810981615366,-3851.3410981615366
17.44,1678856456746,3909.501609995317,-3892.0616099953168
17.44,1678856459391,3945.3943712958776,-3927.9543712958775
17.44,1678856462442,3974.8959263910956,-3957.4559263910955
17.44,1678856465555,4002.582038986424,-3985.142038986424
17.45,1678856468872,4029.7539694790776,-4012.3039694790778
17.45,1678856471823,4059.1093080334335,-4041.6593080334337
17.45,1678856474526,4079.842684979128,-4062.3926849791283
17.45,1678856477930,4100.232631463325,-4082.782631463325
17.45,1678856480697,4123.354415669862,-4105.904415669862
17.45,1678856483524,4145.270676270444,-4127.820676270444
17.45,1678856486568,4163.3171182058795,-4145.86711820588
17.45,1678856489686,4181.688225356311,-4164.238225356311
17.45,1678856492591,4193.615579347391,-4176.165579347391
17.45,1678856495902,4204.5809147920445,-4187.130914792045
17.45,1678856498748,4212.873229151517,-4195.423229151517
17.45,1678856501744,4224.328877594954,-4206.878877594954
17.45,1678856504845,4232.992663106384,-4215.542663106384
17.45,1678856507835,4241.151522951902,-4223.701522951902
17.45,1678856510811,4249.682697401013,-4232.232697401013
17.45,1678856513761,4257.3197339691105,-4239.869733969111
17.45,1678856516785,4264.244334225667,-4246.794334225668
17.45,1678856519886,4270.782545819737,-4253.332545819737
17.45,1678856522892,4277.864424445835,-4260.414424445835
17.45,1678856526218,4283.8084868138885,-4266.358486813889
17.45,1678856529109,4291.534555415372,-4274.084555415372
17.46,1678856531941,4303.771520553547,-4286.311520553547
17.46,1678856535111,4314.638801989886,-4297.178801989886
17.46,1678856538079,4308.382998506447,-4290.922998506447
17.46,1678856544107,4297.268182039697,-4279.808182039697
17.45,1678856547668,4299.695058241785,-4282.245058241785
17.45,1678856550389,4302.088205738806,-4284.638205738806
17.46,1678856553363,4297.092261823897,-4279.632261823897
17.46,1678856556259,4290.857813426897,-4273.397813426897
17.46,1678856559405,4285.705645124875,-4268.245645124875
17.46,1678856562706,4277.0806377936515,-4259.620637793651
17.47,1678856568588,4273.556326308942,-4256.086326308941
17.46,1678856571553,4248.036777452648,-4230.576777452648
17.46,1678856577639,4201.794444833536,-4184.334444833536
17.46,1678856580591,4178.884012385854,-4161.4240123858535
17.47,1678856586741,4156.035238047977,-4138.565238047977
17.47,1678856589774,4155.576825358306,-4138.106825358306
17.47,1678856593129,4156.60317000647,-4139.133170006469
17.47,1678856595994,4157.879285133301,-4140.409285133301
17.46,1678856602277,4137.597015462585,-4120.137015462585
17.46,1678856605549,4119.532806263575,-4102.072806263575
17.46,1678856608394,4113.675182952506,-4096.2151829525055
17.46,1678856611238,4107.109578375191,-4089.6495783751907
17.46,1678856614377,4101.225583931719,-4083.7655839317185
17.46,1678856617632,4084.0959530798236,-4066.6359530798236
17.46,1678856620691,4067.1727640637096,-4049.7127640637095
17.46,1678856623602,4051.2706298270778,-4033.8106298270777
17.46,1678856629615,4020.9847811045875,-4003.5247811045874
17.47,1678856638931,4039.4932234349144,-4022.0232234349146
17.47,1678856642112,4045.3247939748217,-4027.854793974822
17.47,1678856645756,4052.38513220797,-4034.91513220797
17.47,1678856648999,4056.281612482187,-4038.8116124821872
17.47,1678856652245,4060.497956188123,-4043.0279561881234
17.47,1678856658947,4068.865966512254,-4051.3959665122543
17.47,1678856662794,4073.569176190189,-4056.099176190189
17.47,1678856669497,4080.9180862704325,-4063.4480862704327
