bc,ac,tbv,tav,time,mp,minBid
2678528.61,34494865.44,383669.43,390847.86,1680020315895,16.47,16.41
2685039.88,34499058.25,384065.09,391102.29,1680020318763,16.47,16.41
2676873.42,34494796.70,383570.88,390843.94,1680020321730,16.47,16.41
2676476.74,34498551.18,383546.79,391071.83,1680020325177,16.47,16.41
2684296.25,34498715.38,384021.91,391081.89,1680020327734,16.47,16.41
2687737.69,34501524.89,384231.77,391252.12,1680020330817,16.47,16.41
2689669.67,34496063.93,384348.24,390920.43,1680020333763,16.47,16.41
2678182.84,34532423.34,383648.94,393089.36,1680020336713,16.48,16.41
2675449.74,34535717.47,383486.70,393290.02,1680020339735,16.47,16.41
2687782.81,34532586.63,384236.76,393090.40,1680020342712,16.47,16.41
2710504.20,34533643.73,385617.92,393154.55,1680020345748,16.47,16.41
2697978.50,34525869.25,384859.93,392682.05,1680020348767,16.48,16.41
2705909.44,34527280.81,385339.28,392767.62,1680020351761,16.48,16.41
2697419.45,34529168.77,384885.56,392867.68,1680020354875,16.49,16.41
2695308.30,34535600.78,384758.00,393258.54,1680020358189,16.49,16.41
2699750.10,34534212.55,385026.94,393175.13,1680020360764,16.48,16.41
2714117.52,34534556.74,385900.41,393194.60,1680020363798,16.48,16.41
2710425.07,34534980.12,385676.22,393221.26,1680020366805,16.48,16.41
2713698.30,34529334.12,385873.80,392880.49,1680020369931,16.49,16.41
2708721.19,34534066.39,385568.79,393170.15,1680020372871,16.49,16.41
2708067.70,34534066.39,385529.64,393170.15,1680020376171,16.49,16.41
2710173.74,34529247.99,385658.12,392885.05,1680020378778,16.48,16.41
2712586.40,34534182.15,385803.06,393186.16,1680020381791,16.48,16.41
2712186.54,34534182.15,385778.78,393186.16,1680020384793,16.48,16.41
2711144.82,34533814.69,385714.77,393163.81,1680020387806,16.48,16.41
2705108.66,34533931.24,385346.64,393170.93,1680020390776,16.48,16.41
2706414.82,34538790.36,385425.99,393465.81,1680020393747,16.48,16.41
2707643.69,34538790.12,385500.99,393465.81,1680020397234,16.48,16.41
2708350.77,34529414.07,385542.06,392896.30,1680020399736,16.49,16.41
2708801.20,34529914.66,385569.40,392926.42,1680020402873,16.49,16.41
2708807.54,34529912.82,385569.40,392926.20,1680020405819,16.49,16.41
2708806.48,34529914.01,385569.40,392926.34,1680020408787,16.49,16.41
2712015.17,34528822.10,385763.39,392854.32,1680020411877,16.49,16.41
2706641.94,34517547.39,385436.67,392383.12,1680020414749,16.49,16.41
2706230.42,34517294.60,385411.61,392367.65,1680020417805,16.49,16.41
2699295.68,34496833.94,384989.53,391134.79,1680020420882,16.49,16.41
2701712.56,34518943.74,385140.05,392472.03,1680020423937,16.48,16.41
2709271.18,34518542.97,385599.18,392447.72,1680020426808,16.48,16.41
2706354.55,34516692.42,385422.45,392336.69,1680020429819,16.48,16.41
2672387.19,34516644.54,383357.53,392335.71,1680020432910,16.48,16.41
2684033.83,34503740.38,384075.78,391569.27,1680020435835,16.48,16.41
2678567.29,34508924.82,383747.21,391884.01,1680020438809,16.47,16.41
2692995.34,34508617.38,384624.23,391865.40,1680020441784,16.48,16.41
2674646.65,34504805.17,383509.13,391633.84,1680020444820,16.48,16.41
2687564.65,34494075.44,384326.18,391013.83,1680020447762,16.48,16.41
2692222.78,34500087.28,384607.61,391374.44,1680020450921,16.49,16.41
2693209.97,34498062.87,384666.93,391263.34,1680020453818,16.49,16.41
2692849.89,34498321.22,384639.15,391278.97,1680020456863,16.49,16.41
2693963.53,34494813.77,384707.27,391066.67,1680020459825,16.49,16.41
2690399.19,34508091.38,384491.51,391872.13,1680020463193,16.48,16.41
2691456.42,34509579.18,384555.70,391962.71,1680020466286,16.48,16.41
2693884.45,34506080.29,384703.03,391750.33,1680020468806,16.48,16.41
2694249.13,34508343.81,384725.19,391887.55,1680020471915,16.49,16.41
2691115.22,34505100.04,384534.38,391690.55,1680020474829,16.49,16.41
2694052.81,34505156.00,384712.78,391693.85,1680020477774,16.49,16.41
2693968.50,34505101.59,384707.66,391690.55,1680020481075,16.49,16.41
2692599.05,34505101.59,384623.81,391690.55,1680020483835,16.49,16.41
2689580.36,34519079.15,384441.00,392526.89,1680020486897,16.49,16.41
2694090.22,34515800.85,384714.73,392328.06,1680020489881,16.48,16.41
2687843.84,34509993.67,384332.10,391976.46,1680020492858,16.49,16.41
2690796.81,34510454.02,384510.19,392002.83,1680020495843,16.49,16.41
2688837.81,34513117.39,384391.17,392162.33,1680020499042,16.49,16.41
2688706.06,34513123.01,384383.58,392162.63,1680020502159,16.49,16.41
2672311.47,34493169.83,383382.95,390956.57,1680020505281,16.49,16.41
2686003.25,34501970.48,384217.45,391485.35,1680020508327,16.49,16.41
2675712.82,34519585.44,383593.44,392553.65,1680020511372,16.49,16.41
2684794.76,34500027.22,384122.92,391364.92,1680020514664,16.5,16.41
2694626.40,34504118.01,384719.89,391612.58,1680020517943,16.5,16.41
2694572.01,34504118.01,384716.59,391612.58,1680020521353,16.5,16.41
2692628.43,34508790.59,384597.08,391888.57,1680020524743,16.5,16.41
2708443.63,34514637.45,385557.13,392242.24,1680020527772,16.5,16.41
2707640.52,34514623.79,385505.12,392242.24,1680020531491,16.5,16.41
2711418.58,34527463.47,385734.23,392812.43,1680020534327,16.5,16.41
2699455.91,34517920.73,385006.64,392233.36,1680020537327,16.5,16.41
2703449.77,34523524.98,385248.98,392572.61,1680020540335,16.5,16.41
2699067.25,34527527.89,384980.67,392814.98,1680020543336,16.5,16.41
2703939.36,34528316.84,385277.08,392863.38,1680020547982,16.5,16.41
2709167.63,34533351.29,385594.29,393167.92,1680020550648,16.5,16.41
2714774.23,34530293.84,385934.29,392982.41,1680020553445,16.5,16.41
2706805.72,34532356.00,385449.59,393107.10,1680020556567,16.5,16.41
2700717.07,34535765.86,385080.54,393313.76,1680020561179,16.5,16.41
2692814.73,34526020.39,384601.42,392724.61,1680020564180,16.5,16.41
2697947.00,34528107.54,384914.02,392851.20,1680020567328,16.5,16.41
2702299.48,34528420.27,385178.19,392868.70,1680020572742,16.5,16.41
2702558.89,34531362.08,385193.83,393046.72,1680020577858,16.5,16.41
2697075.63,34531252.22,384860.32,393040.68,1680020583423,16.5,16.41
2706455.48,34523055.32,385429.04,392544.03,1680020586059,16.5,16.41
2708154.15,34527285.80,385508.65,392800.25,1680020591691,16.5,16.41
2705266.70,34527285.80,385333.55,392800.25,1680020594789,16.5,16.41
2676227.36,34529458.76,383570.35,392934.03,1680020597738,16.49,16.41
2700597.37,34530019.50,385056.13,392969.95,1680020600865,16.49,16.41
2698141.27,34530155.36,384907.59,392977.90,1680020603747,16.49,16.41
2695839.00,34536830.85,384768.19,393382.99,1680020606752,16.49,16.41
2617080.86,34482307.01,379985.17,390080.56,1680020609736,16.48,16.41
2677388.62,34532551.37,383658.17,393124.93,1680020616009,16.49,16.41
2686846.62,34528416.22,384229.50,392874.20,1680020622776,16.49,16.41
2690733.60,34531694.81,384465.01,393071.58,1680020630402,16.49,16.41
2694940.19,34532028.54,384719.75,393092.99,1680020637091,16.49,16.41
2679782.31,34542563.44,383794.33,393733.63,1680020644018,16.48,16.41
2684390.91,34543776.28,384074.45,393808.69,1680020650988,16.48,16.41
2682751.29,34537793.86,383972.99,393611.32,1680020658479,16.48,16.41
2678638.67,34534763.37,383726.49,393429.67,1680020661168,16.48,16.41
2673798.46,34535011.86,383433.13,393444.74,1680020668687,16.48,16.41
2665469.57,34529092.86,382927.22,393085.95,1680020671763,16.48,16.41
2678040.32,34533387.34,383689.37,393346.43,1680020674723,16.48,16.41
2687617.40,34532805.72,384270.82,393310.99,1680020677778,16.48,16.41
2682006.31,34533423.57,383928.37,393348.49,1680020685746,16.48,16.41
2672504.40,34523695.60,383348.45,392754.55,1680020693980,16.49,16.41
2683165.50,34523638.54,383993.02,392749.22,1680020702388,16.49,16.41
2692950.76,34516476.34,384585.92,392313.71,1680020705357,16.49,16.41
2693278.06,34516980.66,384605.77,392342.97,1680020708319,16.49,16.41
2693548.46,34525225.26,384620.81,392686.34,1680020717137,16.49,16.41
2692962.16,34525592.10,384584.82,392708.06,1680020720084,16.49,16.41
2699928.87,34528898.05,385004.62,392889.57,1680020729176,16.5,16.41
2692561.58,34533530.35,384551.82,393170.18,1680020738497,16.5,16.41
2699273.96,34526020.43,384958.25,392713.46,1680020747922,16.5,16.41
2708745.86,34530940.58,385527.53,393006.21,1680020757911,16.51,16.41
2695472.83,34532939.55,384709.88,393116.45,1680020767525,16.51,16.41
2683340.27,34532282.33,383972.56,393076.12,1680020777460,16.51,16.41
2694504.15,34530102.42,384649.63,392944.05,1680020787420,16.51,16.41
2690062.39,34527009.32,384358.16,392755.62,1680020797469,16.51,16.41
2707080.57,34519001.45,385390.31,392256.50,1680020807687,16.52,16.41
2700506.12,34531746.95,384994.26,393036.61,1680020817990,16.51,16.41
2696178.77,34530769.24,384730.77,392977.74,1680020828536,16.51,16.41
2704963.93,34500350.84,385262.03,391190.94,1680020839055,16.52,16.41
2711616.20,34501372.50,385629.94,391247.74,1680020849707,16.52,16.41
2705782.16,34511016.62,385270.32,391824.00,1680020860551,16.52,16.41
2711913.49,34507681.08,385640.26,391620.22,1680020871496,16.52,16.41
2717515.85,34510242.41,385981.62,391774.33,1680020882498,16.52,16.41
2716092.27,34510857.50,385896.19,391811.51,1680020893766,16.52,16.41
2711625.48,34546129.44,385623.82,393873.74,1680020905042,16.52,16.41
2713008.52,34546066.39,385708.62,393870.01,1680020916451,16.52,16.41
2713435.44,34546107.66,385722.20,393867.50,1680020929772,16.52,16.41
2711900.70,34531968.15,385624.06,393011.34,1680020941328,16.52,16.41
2709150.18,34530256.94,385455.44,392906.43,1680020953202,16.52,16.41
2713086.31,34534645.78,385672.35,393165.24,1680020965052,16.53,16.41
2722200.26,34534613.10,386223.95,393163.26,1680020976953,16.53,16.41
2708348.69,34540420.59,385383.68,393513.98,1680020988982,16.53,16.41
2714106.98,34543002.41,385733.87,393662.01,1680021001526,16.52,16.41
2710186.63,34546296.50,385499.41,393862.78,1680021013691,16.52,16.41
2715200.71,34542402.84,385802.86,393824.33,1680021016734,16.52,16.41
2700192.84,34526041.32,384906.39,392839.87,1680021029318,16.51,16.41
2699560.58,34533862.03,384868.93,393313.99,1680021032793,16.51,16.41
2711477.49,34533399.45,385592.54,393286.05,1680021035323,16.51,16.41
2697653.48,34533539.09,384752.94,393294.50,1680021048338,16.51,16.41
2708150.99,34533498.06,385390.53,393292.08,1680021051369,16.51,16.41
2703757.54,34535164.88,385111.95,393390.26,1680021065108,16.52,16.41
2704525.28,34550123.15,385167.02,394118.35,1680021078982,16.51,16.41
2698979.44,34545079.12,384848.20,393821.18,1680021081777,16.5,16.41
2690297.50,34549249.57,384327.17,394085.85,1680021095758,16.5,16.41
2698724.51,34546766.67,384838.11,393935.27,1680021098773,16.5,16.41
2694359.50,34554811.83,384573.50,394422.71,1680021101744,16.5,16.41
2695136.24,34547631.18,384620.61,393987.52,1680021104740,16.5,16.41
2694470.03,34547631.18,384580.21,393987.52,1680021107783,16.5,16.41
2700766.26,34545181.46,384961.91,393842.81,1680021122782,16.5,16.41
2700766.26,34545181.46,384961.91,393842.81,1680021125825,16.5,16.41
2695017.53,34534548.56,384610.43,393323.79,1680021141263,16.5,16.41
2697931.32,34536038.91,384787.56,393414.31,1680021144450,16.5,16.41
2696394.10,34537275.25,384694.30,393510.49,1680021147252,16.5,16.41
2690514.73,34536697.28,384334.92,393481.97,1680021163203,16.5,16.41
2693736.70,34522407.96,384530.27,392616.16,1680021166258,16.51,16.41
2691048.03,34526231.67,384367.10,392847.25,1680021169205,16.51,16.41
2699235.13,34532392.60,384862.62,393218.82,1680021172251,16.51,16.41
2699299.09,34533877.38,384864.06,393308.35,1680021175267,16.51,16.41
2701780.36,34534119.66,385014.28,393322.96,1680021178643,16.51,16.41
2705105.95,34539341.68,385216.36,393638.62,1680021181554,16.51,16.41
2695824.89,34539350.09,384653.31,393638.60,1680021184276,16.51,16.41
2708241.59,34531539.28,385402.47,393015.69,1680021202408,16.52,16.41
2695716.81,34531539.28,384642.15,393015.69,1680021205002,16.52,16.41
2694885.12,34531525.65,384581.92,393015.69,1680021208035,16.52,16.41
2711671.05,34524071.91,385599.63,392571.82,1680021210961,16.52,16.41
2714814.33,34548004.36,385786.05,394011.57,1680021214461,16.52,16.41
2712214.40,34542201.84,385622.67,393654.63,1680021233275,16.52,16.41
2711600.04,34542201.84,385574.67,393654.63,1680021236339,16.52,16.41
2711890.29,34532458.69,385590.00,393065.91,1680021255418,16.52,16.41
2711890.29,34528134.52,385590.00,392890.90,1680021258480,16.52,16.41
2707650.68,34540617.80,385340.49,393652.69,1680021278373,16.51,16.41
2711306.85,34544389.57,385562.41,393880.67,1680021281000,16.51,16.41
2711306.85,34542886.12,385562.41,393789.88,1680021284138,16.51,16.41
