bc,ac,tbv,tav,time,mp,minBid
2669692.65,10574335.43,434555.25,259695.03,1684247528994,14.91,14.85
2690635.68,10599377.10,435970.69,261389.01,1684247531986,14.91,14.84
2685690.32,10617418.02,435639.56,262601.38,1684247534930,14.9,14.84
2697080.17,10608401.70,436408.82,261996.16,1684247537922,14.9,14.84
2692079.39,10604353.45,436072.25,261724.55,1684247541480,14.9,14.84
2692438.26,10607564.33,436096.30,261947.68,1684247543950,14.9,14.84
2693335.27,10616013.92,436156.74,262513.79,1684247547127,14.9,14.84
2692835.23,10615730.11,436122.96,262496.34,1684247549871,14.9,14.84
2693041.82,10617535.77,436137.25,262617.53,1684247552934,14.9,14.84
2689782.21,10608068.41,435917.61,261982.70,1684247555952,14.9,14.84
2698049.33,10612547.43,436473.21,262282.70,1684247559002,14.9,14.84
2690236.79,10614996.80,435948.33,262447.47,1684247562403,14.9,14.84
2695049.53,10614746.93,436271.52,262430.69,1684247564939,14.9,14.84
2695299.35,10610812.70,436288.33,262168.08,1684247567907,14.9,14.84
2697550.19,10610114.97,436439.42,262120.87,1684247570977,14.9,14.84
2697549.82,10614116.53,436439.43,262389.07,1684247573982,14.9,14.84
2692491.89,10612529.49,436099.58,262283.40,1684247576896,14.9,14.84
2697554.49,10612993.05,436439.58,262314.51,1684247579924,14.9,14.84
2696183.70,10602212.72,436347.93,261592.33,1684247582948,14.9,14.84
2688299.16,10607767.36,435836.12,261965.47,1684247585926,14.9,14.83
2685368.27,10607877.46,435640.01,261973.48,1684247589184,14.9,14.83
2691702.73,10607845.58,436071.62,261973.02,1684247592072,14.9,14.83
2691644.33,10607843.43,436069.39,261973.11,1684247594988,14.9,14.83
2695576.88,10606957.07,436332.65,261913.46,1684247598014,14.9,14.83
2696630.45,10615850.05,436404.05,262510.52,1684247601104,14.9,14.83
2701618.13,10615453.98,436739.32,262483.94,1684247603954,14.9,14.83
2700763.50,10615952.01,436680.52,262517.36,1684247606958,14.9,14.83
2695561.25,10615950.58,436330.74,262517.29,1684247609992,14.9,14.83
2698267.89,10614804.81,436512.55,262440.37,1684247613064,14.9,14.83
2699017.77,10615952.01,436562.94,262517.36,1684247615977,14.9,14.83
2701855.79,10612163.67,436750.61,262260.97,1684247618938,14.9,14.83
2703391.09,10610999.20,436853.34,262182.57,1684247621922,14.9,14.83
2704093.23,10613789.67,436900.76,262369.82,1684247625137,14.9,14.83
2705880.16,10614114.45,437020.88,262392.57,1684247627939,14.9,14.83
2706879.26,10612078.33,437088.24,262256.17,1684247631095,14.9,14.83
2708449.80,10620624.39,437193.13,262828.17,1684247633973,14.9,14.83
2705835.07,10626566.82,437013.13,263227.17,1684247637029,14.9,14.83
2705835.07,10626563.99,437013.13,263227.16,1684247639982,14.9,14.83
2705835.61,10626563.99,437013.13,263227.16,1684247643115,14.9,14.83
2705835.61,10627144.34,437013.13,263265.85,1684247646350,14.9,14.83
2703870.89,10627094.62,436880.48,263262.47,1684247649002,14.9,14.83
2703870.89,10627094.62,436880.48,263262.47,1684247652154,14.9,14.83
2706368.99,10627094.62,437048.47,263262.47,1684247654997,14.9,14.83
2706329.41,10626819.53,437045.82,263243.22,1684247657976,14.9,14.83
2703172.74,10624703.80,436833.82,263101.61,1684247660977,14.9,14.83
2699523.12,10626214.61,436588.98,263203.52,1684247663992,14.9,14.83
2701259.82,10629121.38,436705.04,263398.26,1684247667017,14.9,14.83
2705309.05,10622053.87,436976.98,262923.75,1684247669984,14.9,14.83
2705309.35,10622687.82,436976.98,262966.06,1684247673182,14.9,14.83
2704737.83,10620279.65,436938.51,262804.46,1684247676030,14.9,14.83
2704737.83,10621663.75,436938.51,262897.35,1684247678991,14.9,14.83
2700697.00,10615608.76,436666.49,262491.64,1684247682063,14.9,14.83
2695036.25,10607941.76,436286.20,261977.39,1684247685173,14.9,14.83
2697722.65,10608686.23,436466.56,262027.88,1684247688034,14.9,14.83
2697127.05,10608686.23,436426.56,262027.88,1684247691052,14.9,14.83
