mp,timeStamp,mean,skew
14.46,1685494759945,4065.84095793774,-4051.38095793774
14.46,1685494762902,3926.917604289405,-3912.457604289405
14.46,1685494769255,3836.5786691975295,-3822.1186691975295
14.46,1685494771972,3824.2962253530145,-3809.8362253530145
14.46,1685494778029,3803.6746071620296,-3789.2146071620296
14.46,1685494790097,3950.681072778826,-3936.221072778826
14.46,1685494799056,4008.5421101202983,-3994.0821101202982
14.46,1685494802116,4031.239700874468,-4016.779700874468
14.46,1685494805181,4049.594182638573,-4035.134182638573
14.44,1685494893300,3840.751033782446,-3826.311033782446
14.44,1685494899418,3836.652173310648,-3822.212173310648
14.44,1685494902343,3834.0735496990055,-3819.6335496990055
14.44,1685494905403,3831.600803654248,-3817.160803654248
14.44,1685494908481,3829.315912965142,-3814.875912965142
14.44,1685495092611,4029.185675790722,-4014.745675790722
14.44,1685495099137,4026.0968678271915,-4011.6568678271915
14.44,1685495108918,4019.352039770324,-4004.912039770324
14.44,1685495115930,4016.1242471617898,-4001.6842471617897
14.44,1685495123004,4012.762114439838,-3998.322114439838
14.44,1685495133304,4006.215224724029,-3991.775224724029
14.44,1685495140693,4002.1198505667985,-3987.6798505667985
14.44,1685495149274,3994.255095994857,-3979.815095994857
14.44,1685495160078,3983.6389067358386,-3969.1989067358386
14.44,1685495183852,3951.726610739211,-3937.286610739211
14.44,1685495192865,3948.9670389724934,-3934.5270389724933
14.44,1685495205181,3950.5950173127803,-3936.1550173127803
14.43,1685495233799,3965.214293069082,-3950.784293069082
14.43,1685495244628,3962.7611445118932,-3948.3311445118934
14.43,1685495255621,3960.351089440508,-3945.9210894405082
14.43,1685495266783,3958.1179805518386,-3943.687980551839
14.43,1685495278109,3956.036051793327,-3941.606051793327
14.43,1685495289603,3954.038925485944,-3939.6089254859444
14.43,1685495301372,3951.830103133251,-3937.4001031332514
14.44,1685495313227,3950.345416669099,-3935.905416669099
14.44,1685495331788,3945.7350228524992,-3931.295022852499
14.44,1685495344444,3944.0932458696975,-3929.6532458696975
14.43,1685495357072,3942.2957821130785,-3927.8657821130787
14.43,1685495376291,3937.906236834462,-3923.4762368344623
14.43,1685495392851,3936.52346284172,-3922.0934628417203
14.43,1685495406658,3939.541095458479,-3925.111095458479
14.43,1685495430464,3950.199756495014,-3935.769756495014
14.42,1685495455371,3963.2028253784124,-3948.7828253784123
14.42,1685495474283,3968.49668115634,-3954.07668115634
14.42,1685495493462,3973.8946410175945,-3959.4746410175944
14.42,1685495516291,3974.1295786475175,-3959.7095786475174
14.42,1685495539784,3972.001643924712,-3957.581643924712
14.42,1685495560247,3971.1051710366164,-3956.6851710366163
14.42,1685495583687,3968.7919980348684,-3954.3719980348683
14.42,1685495602014,3970.5454946392783,-3956.1254946392783
14.42,1685495620833,3972.843815527897,-3958.4238155278967
14.42,1685495652550,3983.5670554789353,-3969.1470554789353
14.42,1685495679404,3989.9495970363237,-3975.5295970363236
14.42,1685495699950,3991.9475288041276,-3977.5275288041275
14.42,1685495727863,3997.213515185827,-3982.793515185827
14.42,1685495749192,3996.1819885855916,-3981.7619885855916
14.42,1685495770682,3995.1289242247485,-3980.7089242247484
14.41,1685495809009,3982.5188606763045,-3968.1088606763046
14.41,1685495832931,3980.825756202812,-3966.415756202812
14.41,1685495856630,3979.330190808321,-3964.920190808321
14.41,1685495883843,3981.4788427363433,-3967.0688427363434
14.41,1685495911954,3982.325535567051,-3967.915535567051
14.41,1685495940116,3983.429862533258,-3969.019862533258
