bc,ac,tbv,tav,time,mp,minBid
1298127.87,11695997.27,308928.37,242563.98,1691017103187,12.54,12.49
1299156.55,11702860.09,309011.94,243112.04,1691017106527,12.54,12.49
1298906.88,11703360.37,308991.97,243151.89,1691017109133,12.54,12.49
1304025.14,11707840.70,309401.26,243508.63,1691017112181,12.54,12.49
1303867.54,11707039.75,309390.85,243444.81,1691017115273,12.54,12.49
1299664.91,11707840.70,309053.00,243508.63,1691017118234,12.54,12.49
1304669.01,11707340.42,309454.87,243468.79,1691017121277,12.54,12.49
1299667.48,11707340.42,309053.20,243468.79,1691017124205,12.54,12.49
1299668.64,11708641.01,309053.04,243572.12,1691017127171,12.54,12.49
1307034.72,11708641.01,309643.56,243572.12,1691017130301,12.54,12.49
1302033.63,11708641.01,309241.91,243572.12,1691017133218,12.54,12.49
1307016.05,11708639.60,309642.05,243572.12,1691017136315,12.54,12.49
1296956.06,11700997.70,308833.73,242962.60,1691017139237,12.54,12.49
1307168.31,11701961.95,309653.87,243039.44,1691017142263,12.54,12.49
1302995.75,11706584.71,309320.62,243408.19,1691017145280,12.54,12.49
1302196.71,11707702.91,309256.80,243497.42,1691017148292,12.54,12.49
1302995.75,11708503.87,309320.62,243561.24,1691017151257,12.54,12.49
1302995.75,11708503.87,309320.62,243561.24,1691017154314,12.54,12.49
1302995.75,11708503.87,309320.62,243561.24,1691017157184,12.54,12.49
1300359.09,11708503.87,309107.46,243561.24,1691017160362,12.54,12.49
1300356.33,11708210.43,309107.23,243537.84,1691017163223,12.54,12.49
1305357.23,11708210.43,309508.85,243537.84,1691017166301,12.54,12.49
1305357.14,11708210.43,309508.84,243537.84,1691017169258,12.54,12.49
1301735.48,11702993.60,309219.22,243122.59,1691017172209,12.54,12.49
1301985.39,11702993.60,309239.13,243122.59,1691017175268,12.54,12.49
1301985.39,11702993.60,309239.13,243122.59,1691017178320,12.54,12.49
1305581.37,11703994.84,309526.70,243202.37,1691017181191,12.54,12.49
1301733.42,11706764.99,309217.10,243422.74,1691017184199,12.54,12.49
1306734.09,11706764.99,309618.70,243422.74,1691017187323,12.54,12.49
1306734.53,11706764.99,309618.71,243422.74,1691017190294,12.54,12.49
1306734.60,11706764.99,309618.71,243422.74,1691017193186,12.54,12.49
1302540.03,11706761.02,309281.45,243422.43,1691017196314,12.54,12.49
1307807.90,11701918.79,309704.23,243035.73,1691017199339,12.54,12.49
1303035.43,11700707.78,309320.84,242940.18,1691017202257,12.54,12.49
1309193.03,11697036.56,309814.55,242647.57,1691017205278,12.54,12.49
1303387.71,11691686.49,309348.47,242220.97,1691017208357,12.54,12.49
1310712.99,11691130.53,309935.64,242176.00,1691017211272,12.54,12.49
1306959.87,11696199.46,309636.21,242580.82,1691017214198,12.54,12.49
1301959.41,11693523.09,309234.63,242368.20,1691017217563,12.54,12.49
1306959.76,11693523.09,309636.20,242368.20,1691017220354,12.54,12.49
1301959.41,11693521.76,309234.63,242368.10,1691017223220,12.54,12.49
1306160.67,11692720.80,309572.37,242304.28,1691017226253,12.54,12.49
1306160.67,11692720.80,309572.37,242304.28,1691017229193,12.54,12.49
1301748.21,11699454.58,309218.28,242840.94,1691017232230,12.54,12.49
1308651.23,11699478.92,309771.69,242842.87,1691017235400,12.54,12.49
1307855.38,11698677.96,309707.87,242779.05,1691017238296,12.54,12.49
1308654.41,11699478.92,309771.69,242842.87,1691017241241,12.54,12.49
1304463.97,11695101.71,309434.46,242493.67,1691017244217,12.54,12.49
1304463.97,11695101.71,309434.46,242493.67,1691017247320,12.54,12.49
1303992.07,11689301.37,309398.51,242031.94,1691017250568,12.54,12.49
1298185.80,11689301.42,308932.62,242031.94,1691017253328,12.54,12.49
1303985.01,11690102.33,309398.00,242095.77,1691017256270,12.54,12.49
1298984.68,11689301.37,308996.44,242031.94,1691017259364,12.54,12.49
1303758.30,11694152.15,309378.15,242418.02,1691017262239,12.54,12.49
1307959.40,11693351.20,309715.88,242354.20,1691017265259,12.54,12.49
1302959.10,11693351.20,309314.33,242354.20,1691017268230,12.54,12.49
1303758.14,11694152.15,309378.15,242418.02,1691017271286,12.54,12.49
1303758.14,11694152.15,309378.15,242418.02,1691017274250,12.54,12.49
1307954.33,11700634.15,309715.96,242935.19,1691017277392,12.54,12.49
1308756.62,11701436.57,309779.78,242999.01,1691017280416,12.54,12.49
1308755.89,11701436.57,309779.72,242999.01,1691017283466,12.54,12.49
1307603.03,11701435.10,309687.72,242999.01,1691017286420,12.54,12.49
1302602.88,11701435.10,309286.16,242999.01,1691017289502,12.54,12.49
1303755.73,11701436.57,309378.16,242999.01,1691017292473,12.54,12.49
1303314.49,11701613.21,309342.89,243013.09,1691017295525,12.54,12.49
1307513.69,11700810.79,309680.65,242949.27,1691017299268,12.54,12.49
1303312.29,11701836.21,309342.89,243030.99,1691017303591,12.54,12.49
1307334.04,11701886.34,309666.30,243034.99,1691017308213,12.54,12.49
1308141.07,11701887.81,309730.63,243034.99,1691017312671,12.54,12.49
1308143.00,11695103.70,309730.62,242493.85,1691017316633,12.54,12.49
1306538.10,11690239.24,309602.47,242105.98,1691017319652,12.54,12.49
1308735.15,11691292.31,309777.63,242189.89,1691017324547,12.54,12.49
1308735.15,11691292.31,309777.63,242189.89,1691017328890,12.54,12.49
1311512.27,11686575.81,309996.42,241811.20,1691017333406,12.54,12.49
1315583.16,11686575.81,310321.26,241811.20,1691017337821,12.54,12.49
1320583.20,11685823.41,310722.81,241751.20,1691017342274,12.54,12.49
1315583.16,11685823.41,310321.26,241751.20,1691017345697,12.54,12.49
1320583.20,11685138.30,310722.81,241696.49,1691017348434,12.54,12.49
1315583.77,11686501.26,310321.31,241805.30,1691017351410,12.54,12.49
1315838.63,11686271.84,310341.68,241787.02,1691017354369,12.54,12.49
1315838.63,11686272.59,310341.68,241787.02,1691017359618,12.54,12.49
1315841.38,11686272.59,310341.68,241787.02,1691017362518,12.54,12.49
1316771.22,11687024.99,310420.08,241847.02,1691017368050,12.54,12.49
1309491.40,11689018.62,309836.16,242007.78,1691017373566,12.54,12.49
1314489.72,11690802.94,310237.73,242150.36,1691017376604,12.54,12.49
1309489.98,11691944.60,309836.16,242241.30,1691017382482,12.54,12.49
1308210.00,11692372.19,309733.66,242275.37,1691017385528,12.54,12.49
1308686.92,11688343.25,309771.92,241954.09,1691017388543,12.54,12.49
1306716.71,11695854.93,309615.22,242553.66,1691017394915,12.54,12.49
1316613.02,11700740.58,310405.71,242943.26,1691017401723,12.54,12.48
1312871.47,11701541.48,310106.85,243007.08,1691017408300,12.54,12.48
1312871.47,11701541.48,310106.85,243007.08,1691017411340,12.54,12.48
1312871.53,11701541.48,310106.85,243007.08,1691017414272,12.54,12.48
1314955.90,11701232.11,310273.82,242983.18,1691017421656,12.54,12.48
1314955.90,11701228.88,310273.82,242983.18,1691017424389,12.54,12.48
1319948.97,11701227.42,310674.81,242983.18,1691017431788,12.54,12.48
1319948.97,11701227.42,310674.81,242983.18,1691017434788,12.54,12.48
1314947.40,11701227.42,310273.14,242983.18,1691017442436,12.54,12.48
1319947.28,11701227.42,310674.67,242983.18,1691017445459,12.54,12.48
1303421.23,11701242.44,309352.56,242984.31,1691017453375,12.54,12.48
1308421.09,11701241.27,309754.10,242984.31,1691017456351,12.54,12.48
1311279.66,11702043.93,309982.38,243047.79,1691017464735,12.54,12.48
1307432.60,11702045.11,309672.85,243047.79,1691017467709,12.54,12.48
1307432.60,11702045.11,309672.85,243047.79,1691017470585,12.54,12.48
1307432.60,11702307.78,309672.85,243068.71,1691017473720,12.54,12.48
1311909.99,11702360.94,310032.77,243072.98,1691017483155,12.54,12.48
1311909.99,11702359.76,310032.77,243072.98,1691017485796,12.54,12.48
1313062.77,11702359.76,310124.77,243072.98,1691017488847,12.54,12.48
1308062.95,11702359.77,309723.24,243072.98,1691017498983,12.54,12.48
1302271.31,11701286.67,309259.93,242986.92,1691017502038,12.54,12.48
1302271.31,11700786.34,309259.93,242947.07,1691017505036,12.54,12.48
1306625.53,11700444.09,309609.85,242919.80,1691017508061,12.54,12.48
1302372.24,11701245.04,309267.68,242983.62,1691017511020,12.54,12.48
1302372.24,11701245.04,309267.68,242983.62,1691017513984,12.54,12.48
1301573.20,11700444.09,309203.85,242919.80,1691017517387,12.54,12.48
1301573.27,11700444.09,309203.85,242919.80,1691017520033,12.54,12.48
1302372.30,11700444.09,309267.68,242919.80,1691017522994,12.54,12.48
1306573.03,11700345.09,309605.38,242911.90,1691017526107,12.54,12.48
1306218.28,11701144.57,309577.20,242975.72,1691017529112,12.54,12.48
1303433.73,11695199.61,309352.39,242501.53,1691017541342,12.54,12.48
1308433.48,11695199.61,309753.91,242501.53,1691017544472,12.54,12.48
1304232.77,11696000.56,309416.21,242565.35,1691017547420,12.54,12.48
1304232.77,11695500.26,309416.21,242525.50,1691017550396,12.54,12.48
1308888.00,11687256.05,309787.15,241866.37,1691017553363,12.54,12.48
1308313.69,11691939.30,309740.97,242238.87,1691017566827,12.54,12.48
1307569.52,11691240.80,309681.59,242183.26,1691017569821,12.54,12.48
1308369.19,11699548.39,309745.41,242845.44,1691017572812,12.54,12.48
1313374.82,11691535.22,310146.99,242206.92,1691017586938,12.54,12.48
1313374.82,11692662.55,310146.99,242296.56,1691017590155,12.54,12.48
1308375.10,11693164.15,309745.47,242336.56,1691017593074,12.54,12.48
1303926.57,11700928.69,309392.86,242956.20,1691017608261,12.54,12.48
1303926.57,11700925.41,309392.86,242955.78,1691017611027,12.54,12.48
1298926.88,11700925.41,308991.35,242955.78,1691017613956,12.54,12.48
1298013.31,11700503.76,308918.43,242922.38,1691017629637,12.54,12.48
1303059.57,11701550.59,309323.77,243006.12,1691017645457,12.54,12.48
1303812.02,11701550.59,309383.77,243006.12,1691017648376,12.54,12.48
1298813.14,11701550.59,308982.25,243006.12,1691017651397,12.54,12.48
1303810.05,11701550.59,309383.77,243006.12,1691017654426,12.54,12.48
1299431.37,11700853.49,309031.87,242950.64,1691017671237,12.54,12.48
1299180.77,11700853.49,309011.87,242950.64,1691017674310,12.54,12.48
1303581.43,11700319.25,309365.47,242908.10,1691017691642,12.54,12.48
1302086.73,11695499.94,309243.69,242523.63,1691017695096,12.54,12.48
1302086.73,11695500.52,309243.69,242523.63,1691017697663,12.54,12.48
1302886.40,11696299.02,309307.51,242587.26,1691017701004,12.54,12.48
1307886.02,11696299.02,309709.02,242587.26,1691017703668,12.54,12.48
1302886.40,11696299.02,309307.51,242587.26,1691017706643,12.54,12.48
1307886.01,11696299.02,309709.02,242587.26,1691017709738,12.54,12.48
1298368.34,11702872.03,308947.06,243111.80,1691017729090,12.54,12.48
1296303.56,11703780.22,308782.24,243184.39,1691017748553,12.54,12.48
1295868.54,11704581.18,308746.48,243248.21,1691017751655,12.54,12.48
1300069.08,11703780.22,309084.17,243184.39,1691017754606,12.54,12.48
1299640.45,11710595.98,309050.66,243728.33,1691017757502,12.54,12.48
1300720.72,11710594.70,309136.94,243728.33,1691017760661,12.54,12.48
1299606.19,11686010.09,309053.74,241778.09,1691017781566,12.53,12.48
1305158.40,11687184.42,309497.88,241871.74,1691017784682,12.53,12.48
1311367.75,11695248.67,309994.74,242514.74,1691017806295,12.54,12.48
1292819.80,11698625.59,308512.92,242787.32,1691017828475,12.53,12.48
1296761.83,11695597.58,308831.65,242546.67,1691017831198,12.53,12.48
1304920.02,11696722.99,309483.74,242636.82,1691017853404,12.53,12.48
1300290.59,11694890.04,309112.12,242490.72,1691017875705,12.53,12.48
1298287.24,11696536.70,308952.13,242622.25,1691017878737,12.53,12.48
1304133.32,11689786.75,309418.56,242082.41,1691017901769,12.53,12.48
1304133.32,11689786.75,309418.56,242082.41,1691017904930,12.53,12.48
