mp,timeStamp,mean,skew
12.54,1691017103194,3881.3331371428576,-3868.7931371428576
12.54,1691017109152,3848.56534138889,-3836.02534138889
12.54,1691017115310,3834.840426543839,-3822.300426543839
12.54,1691017121330,3822.6308073622413,-3810.0908073622413
12.54,1691017130400,3809.3214277072852,-3796.7814277072853
12.54,1691017133341,3805.545456905982,-3793.005456905982
12.54,1691017136448,3802.4007098644406,-3789.8607098644407
12.54,1691017142434,3794.547642132024,-3782.007642132024
12.54,1691017154598,3796.151990319121,-3783.611990319121
12.54,1691017157492,3795.801106971102,-3783.261106971102
12.54,1691017160697,3795.0375882439307,-3782.4975882439307
12.54,1691017163573,3794.2595743913444,-3781.7195743913444
12.54,1691017166676,3793.5529703087973,-3781.0129703087973
12.54,1691017169652,3792.908375901967,-3780.368375901967
12.54,1691017181749,3798.7772195327543,-3786.2372195327544
12.54,1691017187961,3797.359310372301,-3784.819310372301
12.54,1691017193925,3796.126425403349,-3783.586425403349
12.54,1691017200166,3793.0507282952644,-3780.5107282952645
12.54,1691017203130,3791.122794899267,-3778.582794899267
12.54,1691017209354,3787.791938028696,-3775.2519380286963
12.54,1691017212285,3785.8050012615527,-3773.2650012615527
12.54,1691017215246,3785.839241002606,-3773.299241002606
12.54,1691017221548,3783.8907184744485,-3771.3507184744485
12.54,1691017233715,3782.990572463139,-3770.450572463139
12.54,1691017239931,3781.1586370083587,-3768.6186370083587
12.54,1691017246041,3778.2455336757052,-3765.7055336757053
12.54,1691017249171,3776.652886720395,-3764.112886720395
12.54,1691017270759,3774.1867039474096,-3761.6467039474096
12.54,1691017273883,3773.1196165215497,-3760.5796165215497
12.54,1691017276878,3772.089677083868,-3759.549677083868
12.54,1691017280064,3772.0626823935304,-3759.5226823935304
12.54,1691017298910,3769.1462789944953,-3756.6062789944954
12.54,1691017303238,3769.168998878679,-3756.628998878679
12.54,1691017307643,3768.3103635911502,-3755.7703635911503
12.54,1691017312324,3767.7372322486053,-3755.1972322486054
12.54,1691017316288,3766.9142744614237,-3754.3742744614237
12.54,1691017324119,3765.563335045938,-3753.023335045938
12.54,1691017328491,3764.351230571628,-3751.811230571628
12.54,1691017332921,3763.172775595626,-3750.632775595626
12.54,1691017337459,3762.82803011588,-3750.2880301158802
12.54,1691017341932,3762.5180443576533,-3749.9780443576533
12.54,1691017359175,3761.13920369161,-3748.59920369161
12.54,1691017367682,3760.037134841262,-3747.497134841262
12.54,1691017373227,3759.2581050822737,-3746.7181050822737
12.54,1691017382116,3756.5527095392144,-3744.0127095392145
12.54,1691017394517,3752.4284391248916,-3739.8884391248916
12.54,1691017400986,3751.2736202256137,-3738.733620225614
12.54,1691017407927,3749.8477036686804,-3737.3077036686805
12.54,1691017420946,3747.5019084994765,-3734.9619084994765
12.54,1691017431383,3745.7596301177164,-3733.2196301177164
12.54,1691017442065,3744.091054125115,-3731.551054125115
12.54,1691017453002,3742.492553200805,-3729.952553200805
12.54,1691017464232,3739.098661229472,-3726.558661229472
12.54,1691017482445,3731.3887459145185,-3718.8487459145185
12.54,1691017498612,3726.336463102238,-3713.7964631022382
12.54,1691017541002,3707.8648736595687,-3695.3248736595688
12.54,1691017566446,3700.4668032843483,-3687.9268032843484
12.54,1691017586595,3697.933799817216,-3685.393799817216
12.54,1691017607601,3694.6180138110667,-3682.0780138110667
12.54,1691017629249,3692.1397763161767,-3679.5997763161768
12.54,1691017644983,3691.7368102938253,-3679.1968102938254
12.54,1691017670859,3689.098799116752,-3676.558799116752
12.54,1691017691291,3687.638113337675,-3675.098113337675
12.54,1691017728619,3686.123645681065,-3673.5836456810653
12.54,1691017748127,3685.159575602373,-3672.619575602373
12.54,1691017781165,3682.5422146624765,-3670.0022146624765
12.53,1691017805799,3675.302387682742,-3662.7723876827417
12.54,1691017827681,3674.1621252442797,-3661.6221252442797
12.53,1691017852987,3667.875964672476,-3655.345964672476
12.53,1691017875362,3664.7267950672185,-3652.1967950672183
12.53,1691017901405,3658.3209214617036,-3645.7909214617034
12.53,1691017928077,3651.151522055787,-3638.621522055787
12.53,1691017955280,3643.7264350474325,-3631.1964350474323
12.53,1691017982912,3642.5436996261938,-3630.0136996261936
12.53,1691018007760,3641.5314036025075,-3629.0014036025073
12.53,1691018046514,3637.0295179081336,-3624.4995179081334
12.53,1691018083567,3634.1523869978487,-3621.6223869978485
12.53,1691018115321,3632.827226201848,-3620.297226201848
12.53,1691018144004,3632.8932671526263,-3620.363267152626
12.53,1691018173216,3632.4147884238364,-3619.884788423836
12.53,1691018202566,3632.076257526241,-3619.546257526241
12.54,1691018232104,3631.9991327309976,-3619.4591327309977
12.54,1691018261962,3632.0083248099804,-3619.4683248099805
12.54,1691018292062,3632.4986902365563,-3619.9586902365563
12.54,1691018327424,3632.1644406758323,-3619.6244406758324
12.54,1691018361495,3632.864296641606,-3620.324296641606
12.54,1691018393255,3633.175189689756,-3620.635189689756
12.54,1691018428182,3633.554030526665,-3621.014030526665
12.54,1691018460552,3633.745048120274,-3621.205048120274
12.53,1691018507241,3624.775241343932,-3612.245241343932
12.53,1691018541345,3623.1892693275645,-3610.6592693275643
12.53,1691018646053,3624.672893030824,-3612.142893030824
12.53,1691018807003,3629.6949088149886,-3617.1649088149884
12.53,1691018934807,3640.24146431455,-3627.7114643145496
12.53,1691019023905,3643.8478358752386,-3631.3178358752384
12.53,1691019069218,3644.28468957868,-3631.75468957868
12.53,1691019115286,3644.3497718251792,-3631.819771825179
12.53,1691019259685,3653.2402321229883,-3640.710232122988
12.53,1691020098090,3650.0552679811462,-3637.525267981146
12.53,1691020171030,3640.739418782554,-3628.2094187825537
12.53,1691020236535,3637.1881302046304,-3624.65813020463
12.53,1691020296270,3637.544267122331,-3625.0142671223307
12.53,1691020356441,3638.1929050074973,-3625.662905007497
12.53,1691020427860,3639.768581716658,-3627.238581716658
12.53,1691020490522,3639.8756963715227,-3627.3456963715225
12.53,1691020560596,3641.182624115795,-3628.652624115795
12.54,1691020624896,3639.362747825704,-3626.822747825704
12.55,1691020689942,3636.3572681724536,-3623.8072681724534
12.55,1691020755420,3634.235173613488,-3621.6851736134877
12.55,1691020820887,3632.267437166675,-3619.7174371666747
12.52,1691020886635,3631.3979769902676,-3618.8779769902676
12.53,1691020952373,3628.8674892325503,-3616.33748923255
12.52,1691021022034,3625.75990374326,-3613.23990374326
12.51,1691021099883,3627.3241676253433,-3614.814167625343
12.5,1691021175891,3627.0985785220264,-3614.5985785220264
12.51,1691021249542,3625.638860699803,-3613.1288606998028
12.5,1691021320810,3624.576177291039,-3612.076177291039
12.51,1691021399964,3621.693802193195,-3609.183802193195
12.51,1691021476869,3620.360044701343,-3607.850044701343
12.51,1691021554469,3621.4811548777884,-3608.971154877788
12.51,1691021628915,3622.3656660672077,-3609.8556660672075
12.51,1691021703698,3623.174476656858,-3610.664476656858
12.5,1691021789991,3620.799163683299,-3608.299163683299
12.51,1691021867287,3621.21232814266,-3608.70232814266
12.51,1691021944895,3621.6058770597783,-3609.095877059778
12.54,1691022022671,3620.3492164833037,-3607.8092164833038
12.54,1691022104415,3618.0814190641627,-3605.5414190641627
12.55,1691022184064,3616.379237762273,-3603.829237762273
12.55,1691022267579,3613.5818662554943,-3601.031866255494
12.54,1691022348352,3611.2537808481557,-3598.7137808481557
12.54,1691022429645,3609.113341355585,-3596.573341355585
12.54,1691022511552,3610.1406258668762,-3597.6006258668763
12.53,1691022604966,3608.9389656172675,-3596.4089656172673
12.53,1691022698124,3610.119132886512,-3597.589132886512
12.54,1691022792054,3611.036235290645,-3598.496235290645
12.55,1691022883337,3609.909297387805,-3597.359297387805
12.55,1691022972568,3608.9039329592747,-3596.3539329592745
12.56,1691023081251,3608.633622395175,-3596.073622395175
12.56,1691023188887,3608.635222534178,-3596.075222534178
12.56,1691023292118,3608.9385451408525,-3596.3785451408526
12.55,1691023392765,3610.021034429723,-3597.4710344297227
12.54,1691023489606,3610.5516186296286,-3598.0116186296286
12.54,1691023585835,3611.122845017426,-3598.582845017426
12.53,1691023688618,3614.305659302459,-3601.7756593024587
12.54,1691023787764,3616.921402278763,-3604.381402278763
12.54,1691023884284,3618.0538614538245,-3605.5138614538246
12.53,1691023983989,3619.8024031741716,-3607.2724031741714
12.53,1691024085485,3620.1069427221382,-3607.576942722138
12.51,1691024189002,3621.346575083089,-3608.836575083089
12.51,1691024308328,3623.4768675820474,-3610.966867582047
12.5,1691024413876,3622.6751525595323,-3610.1751525595323
12.5,1691024521405,3622.3010993400226,-3609.8010993400226
12.51,1691024648895,3621.1611618058987,-3608.6511618058985
12.51,1691024757978,3620.805253548075,-3608.295253548075
12.51,1691024867777,3621.4737589463703,-3608.96375894637
12.52,1691024993341,3618.8997634086354,-3606.3797634086354
12.52,1691025111323,3618.1274496082847,-3605.6074496082847
12.52,1691025227578,3619.3531270882627,-3606.8331270882627
12.53,1691025347798,3618.7208469264415,-3606.1908469264413
12.54,1691025473155,3619.4442895556467,-3606.9042895556468
12.52,1691025591435,3619.006577824317,-3606.486577824317
12.51,1691025714292,3621.212228220281,-3608.7022282202806
12.51,1691025848759,3625.4796657140323,-3612.969665714032
12.53,1691025973097,3624.874108211804,-3612.344108211804
12.53,1691026106612,3625.7354277821996,-3613.2054277821994
12.53,1691026234764,3625.204885554895,-3612.674885554895
12.53,1691026365537,3624.5627034225486,-3612.0327034225484
12.53,1691026489463,3625.093506684463,-3612.563506684463
12.54,1691026619435,3626.790260051188,-3614.250260051188
12.54,1691026747636,3627.503830609036,-3614.963830609036
12.55,1691026874765,3627.0612265816835,-3614.5112265816833
12.54,1691027002527,3627.9653022885477,-3615.4253022885478
12.54,1691027130946,3628.831894754919,-3616.291894754919
12.56,1691027260183,3628.0709577562197,-3615.51095775622
12.56,1691027408604,3626.9743902397836,-3614.4143902397836
12.57,1691027537841,3625.8747468752035,-3613.3047468752034
12.56,1691027667711,3624.7157455066863,-3612.1557455066863
12.56,1691027798597,3623.739402591312,-3611.179402591312
12.58,1691027930016,3622.7938309943497,-3610.21383099435
12.57,1691028065652,3623.063549208596,-3610.493549208596
12.58,1691028200825,3622.41003150103,-3609.83003150103
12.58,1691028334338,3623.370745829234,-3610.790745829234
12.58,1691028468887,3624.0359537752825,-3611.4559537752825
12.57,1691028628697,3622.3556426407213,-3609.785642640721
12.57,1691028764424,3621.675346814071,-3609.105346814071
12.55,1691028904782,3623.6243685867335,-3611.0743685867333
12.56,1691029045716,3625.2548363261785,-3612.6948363261786
12.56,1691029184737,3625.9580230961296,-3613.3980230961297
12.56,1691029324538,3626.5218200589,-3613.9618200589002
12.55,1691029488613,3627.326514561129,-3614.776514561129
12.55,1691029629404,3628.97488362761,-3616.4248836276097
12.53,1691029770938,3628.5809254796227,-3616.0509254796225
12.52,1691029913217,3628.9166504355776,-3616.3966504355776
12.52,1691030056003,3628.2283377634612,-3615.7083377634613
12.51,1691030199065,3627.4172793180874,-3614.907279318087
12.51,1691030346213,3625.4827001587264,-3612.972700158726
12.51,1691030498963,3622.824612880809,-3610.314612880809
12.52,1691030653882,3624.0130238437328,-3611.4930238437328
12.51,1691030802929,3623.0016273813326,-3610.4916273813324
12.52,1691030952855,3623.420361399526,-3610.900361399526
12.52,1691031123966,3623.8784567748535,-3611.3584567748535
12.52,1691031295449,3624.2554566337285,-3611.7354566337285
12.52,1691031446820,3624.3557038941512,-3611.8357038941513
12.53,1691031602761,3622.902525884926,-3610.372525884926
12.53,1691031760701,3623.3367965507096,-3610.8067965507094
12.52,1691031938331,3625.044468533164,-3612.524468533164
12.51,1691032101566,3623.0796031461564,-3610.569603146156
12.51,1691032294062,3623.9742824944633,-3611.464282494463
12.5,1691032460303,3624.5515918284227,-3612.0515918284227
12.5,1691032624204,3624.5823922221443,-3612.0823922221443
12.5,1691032810623,3624.4868733131116,-3611.9868733131116
12.5,1691032974857,3624.4536486554343,-3611.9536486554343
12.5,1691033147316,3628.3713331561194,-3615.8713331561194
12.51,1691033318366,3628.7428329946733,-3616.232832994673
12.52,1691033486651,3627.9977073291902,-3615.4777073291903
12.52,1691033654995,3628.2264600802887,-3615.7064600802887
12.5,1691033835888,3626.6739082851095,-3614.1739082851095
12.51,1691034021660,3627.8924989259176,-3615.3824989259174
12.51,1691034202244,3629.172462382109,-3616.662462382109
12.51,1691034382972,3628.595527469244,-3616.085527469244
12.5,1691034569442,3629.0842013682363,-3616.5842013682363
12.5,1691034771079,3629.6307048584395,-3617.1307048584395
12.51,1691034972490,3629.9284323892234,-3617.418432389223
12.51,1691035173719,3630.304414501051,-3617.7944145010506
12.51,1691035373988,3630.376550316378,-3617.866550316378
12.51,1691035575497,3630.618555259605,-3618.1085552596046
12.51,1691035799247,3628.2281016974275,-3615.7181016974273
12.51,1691036004319,3627.465874457826,-3614.9558744578258
12.51,1691036215071,3627.747999657211,-3615.237999657211
12.51,1691036424515,3628.2034477410607,-3615.6934477410605
12.51,1691036636029,3628.332836229705,-3615.822836229705
12.51,1691036846941,3628.9121551641924,-3616.402155164192
12.49,1691037075692,3629.5595992361027,-3617.069599236103
12.47,1691037279147,3629.149037615434,-3616.679037615434
12.48,1691037483408,3629.8653748305874,-3617.3853748305874
12.48,1691037684775,3630.310004529448,-3617.830004529448
12.48,1691037894153,3630.4260930700957,-3617.9460930700957
12.48,1691038102554,3630.342649469093,-3617.862649469093
12.48,1691038308537,3630.180937443778,-3617.700937443778
12.48,1691038543168,3629.596810880099,-3617.116810880099
12.48,1691038760827,3629.7753692042993,-3617.2953692042993
12.48,1691038976695,3629.9370227367235,-3617.4570227367235
12.49,1691039193499,3628.8220977457945,-3616.3320977457947
12.48,1691039444196,3628.7993758493963,-3616.3193758493962
12.47,1691039665861,3629.324754398428,-3616.854754398428
12.46,1691039892848,3629.5931991737684,-3617.1331991737684
12.46,1691040122665,3630.9522099364276,-3618.4922099364276
12.45,1691040380541,3629.7174572762697,-3617.26745727627
12.45,1691040638241,3625.77060662572,-3613.3206066257203
12.46,1691040876753,3624.470140519291,-3612.010140519291
12.48,1691041112171,3624.7402473602338,-3612.2602473602337
12.49,1691041348716,3623.7613676216306,-3611.271367621631
12.49,1691041597924,3621.4187671269547,-3608.928767126955
12.49,1691041839076,3621.562442944079,-3609.0724429440793
12.5,1691042080782,3620.960503925176,-3608.460503925176
12.51,1691042323409,3621.0747105922137,-3608.5647105922135
12.51,1691042566619,3621.798188698714,-3609.288188698714
12.51,1691042818225,3624.576582538709,-3612.0665825387086
12.51,1691043064161,3625.3177034989485,-3612.8077034989483
12.5,1691043315154,3626.1881381741186,-3613.6881381741186
12.49,1691043580041,3629.0139632005803,-3616.5239632005805
12.51,1691043833574,3629.446634818486,-3616.936634818486
12.5,1691044087962,3630.502895066377,-3618.002895066377
12.49,1691044346985,3630.182336473295,-3617.692336473295
12.49,1691044607709,3631.512586250067,-3619.0225862500674
12.49,1691044865507,3632.174598596622,-3619.6845985966224
12.49,1691045136394,3635.8386140064667,-3623.348614006467
12.48,1691045406364,3636.4131743754033,-3623.9331743754033
12.49,1691045679750,3637.056383961678,-3624.566383961678
12.45,1691045950924,3634.9447870751774,-3622.4947870751776
12.46,1691046224908,3635.418488803959,-3622.958488803959
12.47,1691046496838,3635.066403008375,-3622.596403008375
12.47,1691046776926,3634.5490800593975,-3622.0790800593977
12.47,1691047052376,3634.9000767285343,-3622.4300767285345
12.45,1691050538897,3624.44104956146,-3611.9910495614604
12.45,1691052359101,3618.4704539696154,-3606.0204539696156
12.45,1691053290429,3617.4563442013987,-3605.006344201399
12.46,1691053604234,3617.5354633056363,-3605.0754633056363
12.46,1691053915941,3617.306614184429,-3604.8466141844287
12.46,1691054228849,3617.8538177514165,-3605.3938177514165
12.47,1691054541799,3617.6437986348114,-3605.1737986348116
12.49,1691054855517,3617.4556787204833,-3604.9656787204835
12.48,1691055170669,3618.032688920533,-3605.552688920533
12.48,1691055489967,3617.5433903544554,-3605.0633903544554
12.48,1691055807322,3617.173620721619,-3604.693620721619
12.48,1691056125890,3617.607263466944,-3605.127263466944
12.47,1691056453873,3616.4509462930882,-3603.9809462930884
12.49,1691056797525,3618.191324227238,-3605.7013242272383
12.49,1691057130883,3618.7584893946805,-3606.2684893946807
12.5,1691057462215,3619.814582008689,-3607.314582008689
12.49,1691057794553,3620.1519477527154,-3607.6619477527156
12.5,1691058127233,3620.505990504497,-3608.005990504497
