time,exit,distance,bidCap,askCap,exitTime,entryReachTime,exitReachTime,mp
1672250685102,11.38,30,2537563.41,10378396.18,1563553,1672249206561,1672250770114,11.36

1672268691667,11.19,13,2570585.79,10458469.34,1931867,1672266975898,1672268907765,11.19
1672268691667,11.19,15,2570585.79,10458469.34,1931867,1672266975898,1672268907765,11.19
1672268691667,11.19,16,2570585.79,10458469.34,1931867,1672266975898,1672268907765,11.19
1672268691667,11.19,17,2570585.79,10458469.34,1931867,1672266975898,1672268907765,11.19
1672268691667,11.19,18,2570585.79,10458469.34,1931867,1672266975898,1672268907765,11.19
1672268691667,11.19,19,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,20,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,21,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,22,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,23,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,24,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,25,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,26,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,27,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,28,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,29,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,30,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,31,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,32,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,33,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,34,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,35,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,36,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,37,2570585.79,10458469.34,1931868,1672266975898,1672268907766,11.19
1672268691667,11.19,38,2570585.79,10458469.34,1931869,1672266975898,1672268907767,11.19
1672268691667,11.19,39,2570585.79,10458469.34,1931869,1672266975898,1672268907767,11.19
1672268691667,11.19,40,2570585.79,10458469.34,1931869,1672266975898,1672268907767,11.19
1672268691667,11.19,41,2570585.79,10458469.34,1931869,1672266975898,1672268907767,11.19
1672268691667,11.19,42,2570585.79,10458469.34,1931869,1672266975898,1672268907767,11.19
1672268691667,11.19,43,2570585.79,10458469.34,1931869,1672266975898,1672268907767,11.19
1672268691667,11.19,44,2570585.79,10458469.34,1931869,1672266975898,1672268907767,11.19
1672268691667,11.19,45,2570585.79,10458469.34,1931869,1672266975898,1672268907767,11.19
