mp,timeStamp,mean,skew
11.33,1672244816466,3319.151238660132,-3307.821238660132
11.33,1672244822585,3326.4337507037635,-3315.1037507037636
11.33,1672244825411,3322.984453712416,-3311.654453712416
11.33,1672244835114,3336.4019923070564,-3325.0719923070565
11.33,1672244840593,3341.278281646899,-3329.948281646899
11.33,1672244849671,3350.820154742478,-3339.490154742478
11.33,1672244852492,3360.2438689486216,-3348.9138689486217
11.33,1672244855651,3369.5272367082985,-3358.1972367082985
11.33,1672244858530,3375.8187236409426,-3364.4887236409427
11.34,1672244864717,3327.3012876074777,-3315.9612876074775
11.34,1672244867556,3282.160251294785,-3270.820251294785
11.34,1672244870753,3244.4429297737224,-3233.1029297737223
11.34,1672244873614,3209.500136781568,-3198.160136781568
11.34,1672244876603,3210.137121299933,-3198.7971212999328
11.34,1672244879722,3214.896686423308,-3203.556686423308
11.34,1672244882663,3219.543235187898,-3208.203235187898
11.34,1672244891774,3234.194088181348,-3222.854088181348
11.34,1672244894725,3236.684191172886,-3225.344191172886
11.34,1672244897881,3236.046920721296,-3224.706920721296
11.34,1672244900791,3235.453501734491,-3224.113501734491
11.34,1672244903958,3234.8995229252096,-3223.5595229252094
11.34,1672244906854,3234.128855988129,-3222.788855988129
11.34,1672244910292,3234.8059806969836,-3223.4659806969835
11.34,1672244913354,3235.1192686463673,-3223.779268646367
11.34,1672244916081,3236.031277567019,-3224.691277567019
11.34,1672244919064,3236.335510682135,-3224.995510682135
11.34,1672244928516,3237.66078343581,-3226.32078343581
11.34,1672244931213,3238.6729510452637,-3227.3329510452636
11.34,1672244934199,3239.1210548145586,-3227.7810548145585
11.34,1672244937274,3239.5473148951382,-3228.207314895138
11.34,1672244940336,3239.953090942178,-3228.6130909421777
11.34,1672244943323,3240.791477902922,-3229.451477902922
11.34,1672244946343,3241.5923538752913,-3230.252353875291
11.35,1672244952607,3240.377754116637,-3229.027754116637
11.35,1672244955516,3239.6829370759556,-3228.3329370759557
11.35,1672244958547,3239.1060301745047,-3227.7560301745048
11.35,1672244961662,3239.245556331243,-3227.895556331243
11.35,1672244964842,3240.253116088152,-3228.9031160881523
11.35,1672244967959,3240.7772571564137,-3229.427257156414
11.35,1672244970873,3242.541429373669,-3231.191429373669
11.35,1672244973839,3244.4488023318177,-3233.0988023318178
11.35,1672244976889,3245.139011191668,-3233.789011191668
11.35,1672244979944,3245.8049292259243,-3234.4549292259244
11.35,1672244982962,3247.0609094864417,-3235.710909486442
11.35,1672244986020,3245.148508325493,-3233.798508325493
11.35,1672244989086,3243.3122134237124,-3231.9622134237125
11.35,1672244992128,3242.5481651388736,-3231.1981651388737
11.35,1672244995185,3242.381234753488,-3231.031234753488
11.35,1672244998306,3241.9615601517453,-3230.6115601517454
11.35,1672245001527,3241.5548027651425,-3230.2048027651426
11.35,1672245004766,3240.8558245509744,-3229.5058245509745
11.35,1672245007378,3241.599853686988,-3230.249853686988
11.35,1672245010491,3242.351887590066,-3231.001887590066
11.35,1672245013964,3243.003815254208,-3231.653815254208
11.35,1672245016758,3243.759583167376,-3232.4095831673762
11.35,1672245019592,3244.6798057481833,-3233.3298057481834
11.35,1672245022726,3245.30460699964,-3233.95460699964
11.34,1672245025691,3247.9474867181657,-3236.6074867181655
11.34,1672245028842,3247.636914415168,-3236.296914415168
11.34,1672245032305,3247.158361254936,-3235.818361254936
11.34,1672245035843,3246.934978155819,-3235.594978155819
11.34,1672245039149,3246.211505637751,-3234.871505637751
11.34,1672245042093,3244.948877467754,-3233.6088774677537
11.34,1672245045140,3243.516269153402,-3232.176269153402
11.34,1672245048192,3242.1214186926886,-3230.7814186926885
11.34,1672245051363,3240.8663764265907,-3229.5263764265906
11.34,1672245054573,3240.3223291294626,-3228.9823291294624
11.34,1672245058233,3240.3835323265757,-3229.0435323265756
11.34,1672245061903,3241.2506520958323,-3229.910652095832
11.34,1672245065713,3242.223028471086,-3230.8830284710857
11.34,1672245069235,3242.983460793572,-3231.6434607935716
11.34,1672245073558,3243.48677167513,-3232.14677167513
11.34,1672245077158,3243.3132686029912,-3231.973268602991
11.34,1672245080822,3242.9099610383187,-3231.5699610383185
11.34,1672245084554,3242.621927870661,-3231.2819278706606
11.34,1672245088444,3241.933580492794,-3230.593580492794
11.34,1672245093123,3242.019422735703,-3230.6794227357027
11.34,1672245097017,3241.708494803919,-3230.368494803919
11.34,1672245101277,3241.404534607549,-3230.064534607549
11.34,1672245105507,3242.570994982513,-3231.230994982513
11.34,1672245109792,3243.4376471791934,-3232.0976471791932
11.34,1672245114697,3244.432729635236,-3233.0927296352356
11.34,1672245119438,3244.299981851032,-3232.959981851032
11.34,1672245123949,3244.467350673468,-3233.127350673468
11.34,1672245128576,3244.38667407527,-3233.04667407527
11.34,1672245133655,3243.900568651691,-3232.560568651691
11.34,1672245141370,3241.3788502957213,-3230.038850295721
11.34,1672245146090,3240.1256791512624,-3228.7856791512622
11.34,1672245150863,3238.646216109002,-3227.306216109002
11.34,1672245155752,3237.397335816372,-3226.057335816372
11.34,1672245163830,3235.6762896208675,-3224.3362896208673
11.34,1672245172198,3234.0159627682315,-3222.6759627682313
11.34,1672245177504,3233.3947438279806,-3222.0547438279805
11.34,1672245183299,3233.2234507082167,-3221.8834507082165
11.34,1672245191798,3234.9772105970474,-3223.637210597047
11.33,1672245197355,3239.597775897152,-3228.267775897152
11.33,1672245202994,3243.616121749852,-3232.286121749852
11.33,1672245208693,3247.726884061986,-3236.396884061986
11.33,1672245214519,3252.0342215650367,-3240.7042215650367
11.32,1672245220406,3251.4014177057297,-3240.0814177057296
11.32,1672245226472,3250.6032239827605,-3239.2832239827603
11.32,1672245233015,3249.6667465343635,-3238.3467465343633
11.32,1672245239262,3248.7665046912325,-3237.4465046912323
11.32,1672245245471,3248.2474321253444,-3236.9274321253442
11.32,1672245252565,3247.3374501301696,-3236.0174501301694
11.32,1672245258965,3247.108710624381,-3235.7887106243807
11.32,1672245265661,3247.131530397164,-3235.811530397164
11.32,1672245272265,3247.4527629415015,-3236.1327629415014
11.32,1672245279078,3248.022906738229,-3236.7029067382286
