bc,ac,tbv,tav,time,mp,minBid
3886918.85,34066931.08,455884.46,305419.34,1677084445884,19.72,19.64
3856942.66,34042970.49,454351.02,304226.05,1677084448957,19.71,19.63
3860976.37,34043434.06,454552.45,304247.82,1677084451707,19.71,19.63
3856856.80,34037319.23,454330.23,303948.82,1677084455207,19.7,19.62
3851383.83,34045493.46,454052.56,304364.37,1677084458122,19.7,19.62
3870775.29,34051728.44,455038.50,304680.07,1677084460725,19.7,19.62
3861592.80,34057636.70,454569.98,304983.49,1677084463723,19.7,19.61
3871446.37,34063444.86,455071.61,305278.83,1677084466745,19.7,19.61
3888283.60,34066082.45,455927.47,305412.62,1677084469824,19.7,19.61
3880277.19,34064913.77,455519.92,305353.21,1677084472724,19.7,19.61
3881227.32,34068291.39,455568.39,305524.95,1677084475694,19.7,19.61
3879734.72,34065949.04,455500.28,305413.55,1677084478736,19.7,19.61
3888124.90,34063267.67,455927.90,305277.32,1677084481734,19.7,19.61
3887146.85,34069416.08,455879.17,305579.03,1677084485136,19.7,19.61
3881898.61,34063111.50,455611.59,305264.94,1677084487722,19.7,19.61
3879798.05,34068683.09,455505.19,305547.97,1677084490734,19.7,19.61
3884837.28,34057752.18,455761.14,305002.29,1677084493724,19.7,19.61
3883383.13,34067679.40,455686.77,305505.88,1677084496729,19.7,19.61
3877108.44,34064196.53,455366.46,305329.37,1677084499733,19.7,19.61
3884074.60,34064087.99,455722.70,305324.63,1677084502807,19.7,19.61
3879456.00,34066252.53,455488.10,305434.36,1677084505898,19.7,19.61
3879456.00,34066252.53,455488.10,305434.36,1677084508733,19.7,19.61
3873375.01,34058315.42,455177.20,305037.20,1677084511907,19.7,19.61
3873823.49,34063161.21,455200.20,305282.96,1677084514724,19.7,19.61
3875825.44,34055641.30,455301.11,304900.92,1677084517875,19.7,19.61
3875668.79,34062384.70,455293.66,305243.14,1677084521220,19.7,19.61
3885454.41,34059688.40,455791.19,305106.70,1677084523797,19.7,19.61
3885450.20,34059679.44,455790.98,305106.24,1677084526732,19.7,19.61
3877768.02,34063259.83,455402.76,305294.70,1677084529733,19.69,19.61
3877488.28,34076188.22,455389.27,305957.47,1677084532825,19.69,19.61
3870865.45,34075174.51,455052.47,305906.73,1677084535736,19.69,19.61
3867710.30,34071279.67,454892.84,305709.55,1677084539223,19.69,19.61
3871179.01,34068929.78,455085.28,305590.58,1677084541832,19.69,19.61
3874508.69,34064553.28,455254.78,305368.86,1677084544900,19.69,19.61
3874388.04,34067468.26,455248.49,305516.68,1677084547722,19.69,19.61
3862838.38,34044900.57,454671.92,304393.71,1677084550817,19.68,19.6
3860549.90,34049519.28,454603.50,304635.61,1677084553720,19.66,19.58
3696392.48,34016005.98,446336.11,302953.12,1677084556738,19.64,19.56
3866392.78,34046451.98,455037.75,304496.09,1677084559734,19.64,19.56
3871314.44,34037049.99,455286.90,304017.15,1677084562921,19.64,19.56
3872777.18,34040683.80,455360.70,304202.08,1677084565908,19.64,19.56
3861710.18,34050913.15,454795.40,304722.69,1677084568846,19.64,19.56
3866244.34,34038674.24,455029.68,304102.52,1677084571821,19.64,19.55
3865742.36,34043460.79,455004.99,304346.77,1677084574820,19.63,19.55
3862710.03,34052244.44,454849.90,304793.84,1677084577822,19.63,19.55
3859420.53,34044258.62,454680.75,304386.86,1677084580827,19.63,19.55
3875755.10,34031775.85,455511.85,303753.55,1677084583763,19.64,19.55
3876035.07,34049771.05,455525.91,304668.56,1677084586889,19.64,19.55
3875162.27,34047918.42,455481.29,304574.61,1677084589747,19.64,19.55
3869358.49,34050048.92,455184.73,304682.26,1677084592931,19.64,19.55
3874313.79,34054187.51,455437.63,304893.10,1677084595905,19.64,19.55
3872827.23,34050796.81,455361.12,304720.36,1677084598860,19.64,19.55
3875190.36,34050569.24,455481.35,304707.20,1677084601782,19.64,19.55
3875332.37,34048314.94,455489.77,304593.42,1677084604895,19.64,19.55
3867342.76,34053126.35,455082.79,304838.63,1677084607764,19.64,19.55
3863454.72,34058601.09,454887.05,305116.79,1677084610818,19.64,19.55
3874287.75,34051623.77,455438.87,304762.10,1677084613937,19.64,19.55
3875298.11,34054264.32,455490.50,304896.97,1677084616792,19.64,19.55
3866876.65,34055798.95,455061.21,304976.62,1677084619765,19.64,19.55
3877995.96,34057361.10,455627.13,305057.56,1677084622554,19.63,19.55
3872139.35,34054245.12,455328.70,304900.70,1677084625898,19.64,19.55
3869007.97,34050256.15,455172.53,304705.28,1677084629260,19.64,19.55
3873192.87,34036047.43,455384.47,303991.46,1677084631958,19.64,19.55
3870203.98,34029574.26,455201.10,303656.59,1677084635532,19.66,19.55
3879861.83,34051350.25,455692.72,304760.93,1677084637951,19.66,19.55
3876407.70,34051917.38,455514.11,304787.84,1677084640984,19.67,19.55
3881956.60,34059427.86,455779.89,305164.07,1677084644122,19.67,19.55
3877609.82,34053489.19,455560.70,304863.31,1677084647386,19.67,19.55
3876730.96,34044280.45,455513.61,304399.94,1677084650367,19.67,19.55
3873848.18,34029516.95,455363.88,303648.24,1677084653674,19.67,19.55
3881582.51,34036020.02,455749.32,303975.80,1677084657249,19.68,19.55
3787108.89,33924931.53,450932.66,298331.04,1677084660783,19.68,19.55
3868614.48,34030222.54,455089.38,303676.39,1677084664428,19.68,19.55
3879722.48,34030579.64,455704.35,303714.96,1677084668067,19.68,19.55
3871178.48,34050958.48,455265.32,304716.18,1677084671804,19.68,19.55
