time,exit,distance,bidCap,askCap,exitTime,entryReachTime,exitReachTime,mp
1677085668874,19.85,34,3956579.63,34032767.17,443304,1677085225578,1677085668882,19.79
1677085691734,19.85,24,3979207.01,34042085.71,350985,1677085340754,1677085691739,19.8
1677085691734,19.85,25,3979207.01,34042085.71,351577,1677085340162,1677085691739,19.8
1677085691734,19.85,26,3979207.01,34042085.71,369827,1677085321913,1677085691740,19.8
1677085691734,19.85,27,3979207.01,34042085.71,372870,1677085318870,1677085691740,19.8
1677085691734,19.85,28,3979207.01,34042085.71,373293,1677085318447,1677085691740,19.8
1677085691734,19.85,22,3979207.01,34042085.71,316303,1677085375436,1677085691739,19.8
1677085691734,19.85,30,3979207.01,34042085.71,406191,1677085285549,1677085691740,19.8
1677085691734,19.85,21,3979207.01,34042085.71,299790,1677085391949,1677085691739,19.8
1677085691734,19.85,32,3979207.01,34042085.71,406191,1677085285549,1677085691740,19.8
1677085691734,19.85,33,3979207.01,34042085.71,406191,1677085285549,1677085691740,19.8
1677085691734,19.85,34,3979207.01,34042085.71,406192,1677085285549,1677085691741,19.8
1677085691734,19.85,35,3979207.01,34042085.71,406192,1677085285549,1677085691741,19.8
1677085691734,19.85,37,3979207.01,34042085.71,480033,1677085211708,1677085691741,19.8
1677085691734,19.85,29,3979207.01,34042085.71,388417,1677085303323,1677085691740,19.8
1677085691734,19.85,23,3979207.01,34042085.71,332515,1677085359224,1677085691739,19.8
1677085691734,19.85,31,3979207.01,34042085.71,406191,1677085285549,1677085691740,19.8
1677086209823,19.80,6,3987257.61,34063759.57,139744,1677086097359,1677086237103,19.79
1677086265650,19.80,21,3968831.77,34056753.92,366211,1677085899441,1677086265652,19.8
1677086265650,19.80,22,3968831.77,34056753.92,369175,1677085896478,1677086265653,19.8
1677086265650,19.80,24,3968831.77,34056753.92,392333,1677085873320,1677086265653,19.8
1677086265650,19.80,23,3968831.77,34056753.92,369719,1677085895934,1677086265653,19.8
1677086265650,19.80,26,3968831.77,34056753.92,417680,1677085847973,1677086265653,19.8
1677086265650,19.80,33,3968831.77,34056753.92,442047,1677085823606,1677086265653,19.8
1677086265650,19.80,46,3968831.77,34056753.92,442047,1677085823606,1677086265653,19.8
1677086265650,19.80,20,3968831.77,34056753.92,340321,1677085925331,1677086265652,19.8
1677086265650,19.80,25,3968831.77,34056753.92,392333,1677085873320,1677086265653,19.8
1677086265650,19.80,16,3968831.77,34056753.92,285990,1677085979662,1677086265652,19.8
1677086482236,19.84,22,3995687.21,34045510.48,359946,1677086154354,1677086514300,19.82
1677086482236,19.84,23,3995687.21,34045510.48,359946,1677086154354,1677086514300,19.82
1677086482236,19.84,24,3995687.21,34045510.48,359946,1677086154354,1677086514300,19.82
1677086482236,19.84,25,3995687.21,34045510.48,475547,1677086038753,1677086514300,19.82
1677086482236,19.84,27,3995687.21,34045510.48,506516,1677086007784,1677086514300,19.82
1677086482236,19.84,28,3995687.21,34045510.48,507045,1677086007255,1677086514300,19.82
1677086482236,19.84,30,3995687.21,34045510.48,474981,1677086039319,1677086514300,19.82
1677086482236,19.84,20,3995687.21,34045510.48,390226,1677086124074,1677086514300,19.82
1677086482236,19.84,32,3995687.21,34045510.48,564927,1677085949373,1677086514300,19.82
1677086482236,19.84,26,3995687.21,34045510.48,502573,1677086011727,1677086514300,19.82
1677086482236,19.84,41,3995687.21,34045510.48,691228,1677085823073,1677086514301,19.82
1677086482236,19.84,19,3995687.21,34045510.48,359947,1677086154353,1677086514300,19.82
1677086482236,19.84,60,3995687.21,34045510.48,691228,1677085823073,1677086514301,19.82
1677086482236,19.84,61,3995687.21,34045510.48,691228,1677085823073,1677086514301,19.82
1677086482236,19.84,62,3995687.21,34045510.48,564928,1677085949373,1677086514301,19.82
1677086482236,19.84,63,3995687.21,34045510.48,564928,1677085949373,1677086514301,19.82
1677086482236,19.84,64,3995687.21,34045510.48,1071988,1677085442313,1677086514301,19.82
1677086482236,19.84,66,3995687.21,34045510.48,1105810,1677085408491,1677086514301,19.82
1677086482236,19.84,40,3995687.21,34045510.48,507046,1677086007255,1677086514301,19.82
1677086482236,19.84,31,3995687.21,34045510.48,474981,1677086039319,1677086514300,19.82
1677086482236,19.84,58,3995687.21,34045510.48,691228,1677085823073,1677086514301,19.82
1677087526435,19.87,30,3984881.81,34033160.06,555271,1677087012431,1677087567702,19.86
1677087526435,19.87,29,3984881.81,34033160.06,555270,1677087012431,1677087567701,19.86
1677087526435,19.87,31,3984881.81,34033160.06,555271,1677087012431,1677087567702,19.86
1677087526435,19.87,47,3984881.81,34033160.06,441943,1677087125759,1677087567702,19.86
1677087526435,19.87,72,3984881.81,34033160.06,1766066,1677085801636,1677087567702,19.86
1677087526435,19.87,77,3984881.81,34033160.06,1766066,1677085801636,1677087567702,19.86
1677087526435,19.87,78,3984881.81,34033160.06,1876405,1677085691297,1677087567702,19.86
1677087526435,19.87,79,3984881.81,34033160.06,1876405,1677085691297,1677087567702,19.86
1677087526435,19.87,12,3984881.81,34033160.06,441942,1677087125759,1677087567701,19.86
1677087526435,19.87,81,3984881.81,34033160.06,1918749,1677085648953,1677087567702,19.86
1677087526435,19.87,82,3984881.81,34033160.06,1940540,1677085627162,1677087567702,19.86
1677087526435,19.87,83,3984881.81,34033160.06,1941072,1677085626630,1677087567702,19.86
1677087526435,19.87,84,3984881.81,34033160.06,1941072,1677085626630,1677087567702,19.86
1677087526435,19.87,85,3984881.81,34033160.06,1978895,1677085588807,1677087567702,19.86
1677087526435,19.87,86,3984881.81,34033160.06,1978895,1677085588807,1677087567702,19.86
1677087526435,19.87,87,3984881.81,34033160.06,2015916,1677085551786,1677087567702,19.86
1677087526435,19.87,15,3984881.81,34033160.06,441942,1677087125759,1677087567701,19.86
1677087526435,19.87,80,3984881.81,34033160.06,1876405,1677085691297,1677087567702,19.86
1677087695990,19.88,24,3991307.04,34187135.48,909402,1677086829155,1677087738557,19.87
1677087695990,19.88,37,3991307.04,34187135.48,1300787,1677086437770,1677087738557,19.87
1677087695990,19.88,38,3991307.04,34187135.48,1332849,1677086405708,1677087738557,19.87
1677087695990,19.88,39,3991307.04,34187135.48,1332849,1677086405708,1677087738557,19.87
1677087695990,19.88,40,3991307.04,34187135.48,1332849,1677086405708,1677087738557,19.87
1677087695990,19.88,41,3991307.04,34187135.48,1373165,1677086365392,1677087738557,19.87
1677087695990,19.88,42,3991307.04,34187135.48,1376251,1677086362306,1677087738557,19.87
1677087695990,19.88,43,3991307.04,34187135.48,1378739,1677086359819,1677087738558,19.87
1677087695990,19.88,44,3991307.04,34187135.48,1379668,1677086358890,1677087738558,19.87
1677087695990,19.88,46,3991307.04,34187135.48,1438460,1677086300098,1677087738558,19.87
1677087695990,19.88,77,3991307.04,34187135.48,1958037,1677085780521,1677087738558,19.87
1677087695990,19.88,78,3991307.04,34187135.48,1979110,1677085759448,1677087738558,19.87
1677087695990,19.88,79,3991307.04,34187135.48,1999798,1677085738760,1677087738558,19.87
1677087695990,19.88,14,3991307.04,34187135.48,535436,1677087203121,1677087738557,19.87
1677087695990,19.88,20,3991307.04,34187135.48,763389,1677086975168,1677087738557,19.87
1677087782476,19.90,23,3989998.52,34180774.34,583604,1677087242066,1677087825670,19.88
1677087782476,19.90,28,3989998.52,34180774.34,1032412,1677086793258,1677087825670,19.88
1677087782476,19.90,30,3989998.52,34180774.34,1032412,1677086793258,1677087825670,19.88
1677087782476,19.90,31,3989998.52,34180774.34,1032412,1677086793258,1677087825670,19.88
1677087782476,19.90,32,3989998.52,34180774.34,1032412,1677086793258,1677087825670,19.88
1677087782476,19.90,33,3989998.52,34180774.34,1032412,1677086793258,1677087825670,19.88
1677087782476,19.90,34,3989998.52,34180774.34,1032412,1677086793258,1677087825670,19.88
1677087782476,19.90,19,3989998.52,34180774.34,583605,1677087242065,1677087825670,19.88
1677087782476,19.90,13,3989998.52,34180774.34,423495,1677087402175,1677087825670,19.88
1677088622401,19.91,43,3767769.39,34229666.80,1806198,1677086864959,1677088671157,19.9
1677088622401,19.91,47,3767769.39,34229666.80,1948477,1677086722680,1677088671157,19.9
1677088622401,19.91,30,3767769.39,34229666.80,1309564,1677087361592,1677088671156,19.9
1677088622401,19.91,32,3767769.39,34229666.80,1389758,1677087281399,1677088671157,19.9
1677089723418,20.03,15,3659011.48,34273422.67,780934,1677088998770,1677089779704,20.01
1677090247287,20.03,28,3657449.48,34248654.14,1417339,1677088889524,1677090306863,20.02
1677090247287,20.03,26,3657449.48,34248654.14,1363255,1677088943608,1677090306863,20.02
1677090247287,20.03,27,3657449.48,34248654.14,1416783,1677088890080,1677090306863,20.02
1677090494385,20.11,16,3662881.57,34268414.63,833445,1677089722903,1677090556348,20.05
1677090494385,20.11,10,3662881.57,34268414.63,487531,1677090068817,1677090556348,20.05
1677090494385,20.11,11,3662881.57,34268414.63,487531,1677090068817,1677090556348,20.05
1677092649174,20.11,6,3492537.95,34388990.69,74984,1677092648694,1677092723678,20.04
1677092649174,20.11,8,3492537.95,34388990.69,450058,1677092273620,1677092723678,20.04
1677092649174,20.11,41,3492537.95,34388990.69,301980,1677092421698,1677092723678,20.04
1677092649174,20.11,2,3492537.95,34388990.69,74983,1677092648694,1677092723677,20.04
1677092649174,20.11,43,3492537.95,34388990.69,301980,1677092421698,1677092723678,20.04
1677092649174,20.11,4,3492537.95,34388990.69,152794,1677092570884,1677092723678,20.04
1677092649174,20.11,45,3492537.95,34388990.69,301980,1677092421698,1677092723678,20.04
1677092649174,20.11,49,3492537.95,34388990.69,301980,1677092421698,1677092723678,20.04
1677092649174,20.11,50,3492537.95,34388990.69,301980,1677092421698,1677092723678,20.04
1677092649174,20.11,51,3492537.95,34388990.69,301980,1677092421698,1677092723678,20.04
1677092649174,20.11,53,3492537.95,34388990.69,301980,1677092421698,1677092723678,20.04
1677092649174,20.11,42,3492537.95,34388990.69,301980,1677092421698,1677092723678,20.04
1677092649174,20.11,55,3492537.95,34388990.69,301980,1677092421698,1677092723678,20.04
1677092649174,20.11,56,3492537.95,34388990.69,74984,1677092648694,1677092723678,20.04
1677092649174,20.11,57,3492537.95,34388990.69,74984,1677092648694,1677092723678,20.04
1677092649174,20.11,58,3492537.95,34388990.69,74984,1677092648694,1677092723678,20.04
1677092649174,20.11,59,3492537.95,34388990.69,74984,1677092648694,1677092723678,20.04
1677092649174,20.11,54,3492537.95,34388990.69,301980,1677092421698,1677092723678,20.04
1677092649174,20.11,61,3492537.95,34388990.69,74984,1677092648694,1677092723678,20.04
1677092649174,20.11,60,3492537.95,34388990.69,74984,1677092648694,1677092723678,20.04
1677092649174,20.11,63,3492537.95,34388990.69,74985,1677092648694,1677092723679,20.04
1677092649174,20.11,64,3492537.95,34388990.69,74985,1677092648694,1677092723679,20.04
1677092649174,20.11,66,3492537.95,34388990.69,74985,1677092648694,1677092723679,20.04
1677092649174,20.11,62,3492537.95,34388990.69,74984,1677092648694,1677092723678,20.04
1677092649174,20.11,44,3492537.95,34388990.69,301980,1677092421698,1677092723678,20.04
1677092649174,20.11,48,3492537.95,34388990.69,301980,1677092421698,1677092723678,20.04
1677092724227,20.11,11,3546775.66,34297431.58,672496,1677092126533,1677092799029,20.09
1677092724227,20.11,13,3546775.66,34297431.58,749277,1677092049752,1677092799029,20.09
1677092724227,20.11,14,3546775.66,34297431.58,823999,1677091975030,1677092799029,20.09
1677092724227,20.11,15,3546775.66,34297431.58,826937,1677091972092,1677092799029,20.09
1677092724227,20.11,16,3546775.66,34297431.58,827472,1677091971557,1677092799029,20.09
1677092724227,20.11,17,3546775.66,34297431.58,827472,1677091971557,1677092799029,20.09
1677092724227,20.11,18,3546775.66,34297431.58,827472,1677091971557,1677092799029,20.09
1677092724227,20.11,19,3546775.66,34297431.58,1039211,1677091759819,1677092799030,20.09
1677092724227,20.11,20,3546775.66,34297431.58,1109148,1677091689882,1677092799030,20.09
1677092724227,20.11,21,3546775.66,34297431.58,1039211,1677091759819,1677092799030,20.09
1677092724227,20.11,8,3546775.66,34297431.58,451527,1677092347502,1677092799029,20.09
1677092724227,20.11,29,3546775.66,34297431.58,1722613,1677091076417,1677092799030,20.09
1677092724227,20.11,30,3546775.66,34297431.58,1788818,1677091010212,1677092799030,20.09
1677092724227,20.11,32,3546775.66,34297431.58,1722613,1677091076417,1677092799030,20.09
1677092724227,20.11,33,3546775.66,34297431.58,1722613,1677091076417,1677092799030,20.09
1677092724227,20.11,34,3546775.66,34297431.58,1722613,1677091076417,1677092799030,20.09
1677092724227,20.11,35,3546775.66,34297431.58,2052652,1677090746378,1677092799030,20.09
1677092724227,20.11,10,3546775.66,34297431.58,599251,1677092199778,1677092799029,20.09
1677092724227,20.11,22,3546775.66,34297431.58,1039211,1677091759819,1677092799030,20.09
1677092724227,20.11,6,3546775.66,34297431.58,303021,1677092496008,1677092799029,20.09
1677092799650,20.11,26,3559916.72,34314141.70,1529550,1677091345191,1677092874741,20.14
1677092799650,20.11,29,3559916.72,34314141.70,1731302,1677091143440,1677092874742,20.14
1677092799650,20.11,32,3559916.72,34314141.70,1930222,1677090944520,1677092874742,20.14
1677092799650,20.11,37,3559916.72,34314141.70,2192084,1677090682658,1677092874742,20.14
1677092799650,20.11,38,3559916.72,34314141.70,2255564,1677090619178,1677092874742,20.14
1677092799650,20.11,39,3559916.72,34314141.70,2255564,1677090619178,1677092874742,20.14
1677092799650,20.11,40,3559916.72,34314141.70,2380953,1677090493789,1677092874742,20.14
1677092799650,20.11,41,3559916.72,34314141.70,2255564,1677090619178,1677092874742,20.14
1677092799650,20.11,42,3559916.72,34314141.70,2446128,1677090428614,1677092874742,20.14
1677092799650,20.11,3,3559916.72,34314141.70,151064,1677092723677,1677092874741,20.14
1677092799650,20.11,24,3559916.72,34314141.70,1393312,1677091481429,1677092874741,20.14
1677092799650,20.11,25,3559916.72,34314141.70,1393312,1677091481429,1677092874741,20.14
1677093521034,20.17,12,3526287.12,34093715.57,320422,1677093279513,1677093599935,20.11
1677093521034,20.17,13,3526287.12,34093715.57,320422,1677093279513,1677093599935,20.11
1677093521034,20.17,2,3526287.12,34093715.57,79325,1677093520610,1677093599935,20.11
1677093521034,20.17,7,3526287.12,34093715.57,320422,1677093279513,1677093599935,20.11
1677094650812,20.02,5,3562560.30,34229309.43,94772,1677094556045,1677094650817,20
1677094747630,20.11,41,3571759.26,34236683.09,475651,1677094376195,1677094851846,20.04
1677094747630,20.11,7,3571759.26,34236683.09,208065,1677094643781,1677094851846,20.04
1677094747630,20.11,9,3571759.26,34236683.09,208065,1677094643781,1677094851846,20.04
1677095322179,20.17,10,3587384.67,34198829.58,670492,1677094746563,1677095417055,20.1
1677095322179,20.17,23,3587384.67,34198829.58,1050371,1677094366684,1677095417055,20.1
1677095322179,20.17,6,3587384.67,34198829.58,289441,1677095127614,1677095417055,20.1
1677095322179,20.17,29,3587384.67,34198829.58,1479273,1677093937782,1677095417055,20.1
1677095322179,20.17,2,3587384.67,34198829.58,95405,1677095321649,1677095417054,20.1
1677095322179,20.17,57,3587384.67,34198829.58,766237,1677094650818,1677095417055,20.1
1677095322179,20.17,71,3587384.67,34198829.58,1479273,1677093937782,1677095417055,20.1
1677095322179,20.17,72,3587384.67,34198829.58,1479273,1677093937782,1677095417055,20.1
1677095322179,20.17,28,3587384.67,34198829.58,1478815,1677093938240,1677095417055,20.1
1677095322179,20.17,36,3587384.67,34198829.58,766237,1677094650818,1677095417055,20.1
1677095417561,20.17,28,3589696.69,34211878.45,1489518,1677094022859,1677095512377,20.11
1677095417561,20.17,10,3589696.69,34211878.45,660531,1677094851846,1677095512377,20.11
1677095417561,20.17,26,3589696.69,34211878.45,1324159,1677094188218,1677095512377,20.11
1677097035290,20.11,10,3794987.84,34250073.45,824268,1677096314847,1677097139115,20.05
1677097035290,20.11,7,3794987.84,34250073.45,519317,1677096619797,1677097139114,20.05
1677097035290,20.11,8,3794987.84,34250073.45,621531,1677096517583,1677097139114,20.05
1677097139671,20.11,10,3820031.98,34247154.72,723625,1677096416050,1677097139675,20.06
1677097139671,20.11,26,3820031.98,34247154.72,723625,1677096416050,1677097139675,20.06
1677099649195,19.96,14,3786913.44,34145383.71,517389,1677099131809,1677099649198,19.94
1677099781491,20.02,4,3790254.45,34141108.49,261965,1677099648749,1677099910714,19.96
1677099781491,20.02,19,3790254.45,34141108.49,1019688,1677098891026,1677099910714,19.96
1677102733560,20.04,8,3821650.71,34112569.79,484809,1677102406400,1677102891209,19.97
1677102733560,20.04,11,3821650.71,34112569.79,643418,1677102247791,1677102891209,19.97
1677102733560,20.04,12,3821650.71,34112569.79,793610,1677102097599,1677102891209,19.97
1677102733560,20.04,13,3821650.71,34112569.79,945661,1677101945548,1677102891209,19.97
1677102733560,20.04,14,3821650.71,34112569.79,948748,1677101942461,1677102891209,19.97
1677102733560,20.04,15,3821650.71,34112569.79,949179,1677101942030,1677102891209,19.97
1677102733560,20.04,19,3821650.71,34112569.79,1248231,1677101642978,1677102891209,19.97
1677102733560,20.04,24,3821650.71,34112569.79,1969448,1677100921761,1677102891209,19.97
1677102733560,20.04,26,3821650.71,34112569.79,1969448,1677100921761,1677102891209,19.97
1677102733560,20.04,27,3821650.71,34112569.79,2256197,1677100635012,1677102891209,19.97
1677102733560,20.04,35,3821650.71,34112569.79,2399023,1677100492186,1677102891209,19.97
1677102733560,20.04,36,3821650.71,34112569.79,2552342,1677100338867,1677102891209,19.97
1677102733560,20.04,45,3821650.71,34112569.79,158569,1677102732640,1677102891209,19.97
1677102733560,20.04,47,3821650.71,34112569.79,3372900,1677099518309,1677102891209,19.97
1677102733560,20.04,48,3821650.71,34112569.79,3372900,1677099518309,1677102891209,19.97
1677102733560,20.04,49,3821650.71,34112569.79,3378902,1677099512307,1677102891209,19.97
1677102733560,20.04,50,3821650.71,34112569.79,3381857,1677099509352,1677102891209,19.97
1677102733560,20.04,51,3821650.71,34112569.79,3382421,1677099508788,1677102891209,19.97
1677102733560,20.04,3,3821650.71,34112569.79,316165,1677102575044,1677102891209,19.97
