bc,ac,tbv,tav,time,mp,minBid
2806236.73,10172378.27,535073.60,209177.33,1672853779195,12.11,12.06
2797975.91,10173661.92,534387.34,209282.08,1672853781665,12.11,12.06
2785509.80,10173545.14,533353.19,209272.80,1672853784706,12.11,12.06
2794612.64,10189089.28,534108.29,210554.71,1672853787693,12.1,12.05
2798822.45,10188231.83,534459.33,210493.75,1672853790734,12.1,12.05
2788774.50,10190657.54,533679.29,210695.98,1672853793768,12.1,12.05
2786170.97,10193172.36,533463.77,210903.36,1672853796713,12.1,12.05
2786401.15,10016894.43,533556.30,196422.88,1672853799655,12.09,12.04
2795503.01,10181801.22,534252.41,210007.37,1672853802696,12.09,12.04
2785639.48,10181094.82,533484.60,209948.99,1672853805691,12.09,12.04
2771004.37,10188844.85,532616.77,210591.14,1672853808754,12.09,12.04
2800261.69,10184849.38,535038.77,210259.88,1672853811820,12.09,12.04
2790215.93,10181131.51,534177.49,209952.16,1672853814700,12.09,12.04
2794172.36,10183183.76,534505.29,210122.25,1672853817878,12.09,12.04
2794172.36,10183183.76,534505.29,210122.25,1672853820828,12.09,12.04
2784954.30,10182874.88,533742.28,210095.45,1672853823696,12.09,12.04
2764812.69,10174445.41,532071.98,209389.63,1672853827169,12.09,12.04
2779032.77,10184057.01,533250.91,210183.95,1672853829668,12.09,12.04
2770765.06,10187456.20,532563.66,210466.51,1672853832766,12.09,12.04
2779765.98,10186496.08,533312.11,210385.82,1672853836252,12.09,12.04
2789571.03,10179115.92,534124.49,209774.36,1672853838856,12.09,12.04
2789355.78,10175381.27,534073.49,209466.52,1672853841683,12.09,12.04
2782940.56,10183051.71,533542.77,210108.90,1672853844721,12.09,12.04
2777765.94,10183787.60,533114.70,210169.94,1672853847761,12.09,12.04
2776439.47,10193020.06,533008.44,210937.45,1672853851196,12.09,12.04
2780103.70,10194100.67,533322.27,211026.83,1672853853743,12.09,12.04
2775027.75,10188884.31,532904.51,210596.69,1672853856686,12.08,12.03
2789627.60,10177196.05,534110.85,209627.22,1672853859768,12.09,12.03
2790878.37,10173445.24,534208.32,209312.22,1672853862899,12.1,12.03
2780585.28,10167932.78,533352.87,208853.98,1672853865889,12.1,12.03
2785201.49,10175590.85,533737.76,209488.53,1672853868701,12.1,12.03
2788565.15,10175551.77,534010.15,209485.23,1672853871765,12.1,12.03
2788565.15,10175551.77,534010.15,209485.23,1672853874732,12.1,12.03
2787643.62,10175591.42,533934.37,209488.53,1672853877852,12.1,12.03
2790803.33,10175467.33,534195.78,209478.52,1672853880820,12.1,12.03
2788068.93,10175509.16,533970.19,209481.82,1672853883701,12.1,12.03
2791062.45,10193400.05,534217.47,210960.18,1672853887284,12.09,12.03
2778350.79,10190982.11,533162.21,210761.00,1672853889847,12.1,12.03
2777379.91,10200770.99,532946.60,211565.38,1672853892775,12.1,12.03
2776368.74,10200767.38,532863.14,211565.38,1672853895820,12.1,12.03
2772833.58,10200517.77,532570.74,211544.69,1672853898762,12.1,12.03
2767797.56,10185825.73,532154.34,210332.98,1672853901811,12.09,12.03
2792502.57,10195831.49,534243.44,211151.89,1672853904747,12.1,12.03
2790425.03,10195831.49,534070.86,211151.89,1672853907712,12.1,12.03
2790425.03,10195831.49,534070.86,211151.89,1672853910748,12.1,12.03
2786191.06,10200401.78,533716.88,211527.89,1672853914807,12.1,12.03
2779247.11,10186432.30,533138.12,210373.60,1672853916724,12.1,12.03
2797718.23,10152833.58,534665.80,207581.76,1672853919928,12.11,12.03
2805254.26,10168501.08,535288.00,208872.28,1672853922895,12.11,12.03
2777688.30,10181516.26,533006.24,209933.76,1672853925792,12.1,12.03
2799300.55,10185430.77,534765.10,210253.64,1672853928734,12.11,12.03
2795247.38,10185430.77,534429.82,210253.64,1672853931929,12.11,12.03
2795249.93,10189108.36,534429.82,210562.90,1672853934769,12.11,12.03
2794249.23,10185400.03,534347.18,210256.94,1672853937856,12.11,12.03
2806530.44,10185360.14,535362.88,210253.64,1672853940763,12.11,12.03
2807122.29,10185360.14,535411.72,210253.64,1672853943898,12.11,12.03
2806148.24,10178851.11,535329.44,209716.15,1672853946849,12.11,12.03
2804883.36,10178876.04,535227.38,209719.39,1672853949827,12.11,12.03
2805279.84,10178876.04,535260.23,209719.39,1672853952904,12.11,12.03
2805274.03,10178836.08,535259.43,209716.09,1672853955759,12.11,12.03
2795791.13,10178836.08,534474.73,209716.09,1672853958780,12.11,12.03
2799780.03,10176330.90,534804.94,209508.71,1672853961784,12.11,12.03
2807780.17,10186952.45,535465.76,210437.14,1672853965007,12.11,12.03
2800519.98,10175133.73,534859.25,209416.66,1672853967850,12.11,12.03
2799427.81,10176062.32,534768.76,209492.78,1672853970932,12.11,12.03
2801936.08,10175729.21,534976.15,209465.40,1672853973989,12.11,12.03
2802044.70,10175860.30,534981.15,209476.03,1672853976751,12.11,12.03
2802045.38,10180117.52,534981.06,209828.76,1672853979798,12.11,12.03
2794785.38,10180118.09,534381.06,209828.76,1672853983298,12.11,12.03
2793047.39,10184996.45,534239.03,210232.43,1672853985783,12.11,12.03
2792472.12,10177471.51,534191.04,209612.87,1672853988762,12.11,12.03
2787211.28,10176527.36,533756.48,209536.14,1672853991826,12.11,12.03
2787210.57,10176527.36,533756.48,209536.14,1672853994897,12.11,12.03
2798099.24,10178583.00,534583.80,209704.51,1672853997812,12.11,12.03
2800300.52,10178520.70,534765.35,209699.37,1672854001422,12.11,12.03
2804307.56,10178520.70,535096.61,209699.37,1672854004288,12.11,12.03
2798222.59,10181241.68,534592.61,209924.06,1672854007177,12.11,12.03
2799259.47,10181570.03,534624.11,209951.11,1672854010732,12.11,12.03
2804157.05,10181829.69,535028.87,209971.11,1672854013928,12.11,12.03
2796811.56,10171728.88,534421.94,209139.03,1672854016862,12.11,12.03
2804421.94,10176558.32,535052.03,209537.56,1672854019985,12.11,12.03
2801673.93,10179558.90,534824.93,209785.73,1672854022898,12.11,12.03
2801673.84,10179558.90,534824.93,209785.73,1672854025904,12.11,12.03
2800958.24,10178877.25,534766.65,209729.82,1672854028899,12.11,12.03
2794955.97,10178877.18,534270.66,209729.82,1672854031927,12.11,12.03
2795901.49,10179483.29,534348.99,209779.50,1672854035418,12.11,12.03
2795990.84,10179710.84,534356.33,209797.63,1672854038869,12.11,12.03
2798266.55,10153781.56,534523.26,207654.22,1672854042391,12.12,12.03
2798550.72,10163063.67,534538.92,208416.86,1672854045887,12.12,12.03
2811541.01,10184964.56,535233.03,210140.85,1672854050021,12.14,12.03
2794388.95,10184038.98,533820.75,210067.94,1672854054199,12.13,12.03
2784822.04,10207090.31,533011.56,211975.98,1672854058531,12.13,12.03
2790362.64,10206974.34,533521.34,211966.94,1672854062464,12.13,12.03
2789093.99,10208788.51,533752.70,212120.61,1672854066588,12.12,12.03
