bc,ac,tbv,tav,time,mp,minBid
1280814.61,11128163.72,310489.18,275203.02,1688595681699,12.7,12.65
1278319.73,11128160.20,310290.90,275202.68,1688595684575,12.7,12.65
1281697.16,11126292.92,310547.39,275053.13,1688595687585,12.7,12.65
1281689.36,11126292.92,310546.78,275053.13,1688595690645,12.7,12.65
1282491.64,11126856.48,310609.92,275097.40,1688595693738,12.7,12.65
1283360.34,11131289.61,310680.24,275446.68,1688595696595,12.7,12.65
1280310.60,11132854.16,310439.20,275570.11,1688595699615,12.7,12.65
1277674.24,11134289.48,310230.06,275683.07,1688595702621,12.7,12.65
1277247.98,11134894.32,310195.12,275731.04,1688595705712,12.7,12.65
1277757.63,11125870.42,310236.60,275020.54,1688595708635,12.7,12.65
1273254.04,11126671.99,309880.05,275083.55,1688595711804,12.7,12.65
1277747.40,11126674.76,310235.84,275083.55,1688595714597,12.7,12.65
1282037.23,11126403.44,310573.73,275061.64,1688595717604,12.7,12.65
1275259.81,11130196.55,310038.95,275360.31,1688595720668,12.7,12.65
1276455.39,11128863.50,310131.72,275256.05,1688595723600,12.7,12.65
1271017.26,11146976.24,309705.69,276686.86,1688595726652,12.7,12.65
1274019.61,11139476.12,309944.93,276097.54,1688595729647,12.7,12.64
1272317.05,11138460.12,309809.38,276017.54,1688595732612,12.7,12.64
1270474.17,11129117.98,309665.68,275282.91,1688595735707,12.7,12.64
1267516.78,11129861.10,309431.16,275341.82,1688595738631,12.7,12.64
1274270.94,11121421.03,309966.48,274679.58,1688595741623,12.69,12.64
1273361.61,11124588.24,309893.00,274928.37,1688595744617,12.69,12.64
1275869.23,11124587.75,310092.16,274928.33,1688595747647,12.69,12.64
1273443.21,11127087.78,309899.49,275125.34,1688595750618,12.69,12.64
1275943.82,11127470.05,310098.08,275155.44,1688595753740,12.69,12.64
1273947.23,11127470.05,309940.49,275155.44,1688595757024,12.69,12.64
1277932.83,11126289.36,310255.06,275062.39,1688595759619,12.69,12.64
1271446.65,11127625.32,309741.91,275167.67,1688595762624,12.69,12.64
1275941.78,11126289.36,310097.90,275062.39,1688595765833,12.69,12.64
1273990.87,11130205.26,309942.05,275368.47,1688595768651,12.7,12.64
1276507.70,11121540.76,310142.20,274688.45,1688595771645,12.69,12.64
1272017.76,11120108.71,309786.77,274575.39,1688595774637,12.69,12.64
1276514.33,11120108.26,310143.28,274575.39,1688595777618,12.69,12.64
1276514.33,11120107.73,310143.28,274575.39,1688595780654,12.69,12.64
1276554.79,11121665.00,310146.74,274698.65,1688595784098,12.69,12.64
1280304.00,11120886.05,310444.30,274637.32,1688595787048,12.69,12.64
1275808.46,11120886.62,310087.88,274637.32,1688595789678,12.69,12.64
1276313.26,11121154.53,310128.83,274659.00,1688595792674,12.69,12.64
1265814.95,11121934.10,309298.37,274720.33,1688595795686,12.69,12.64
1267744.09,11129198.36,309450.23,275291.85,1688595798653,12.69,12.64
1259915.67,11133056.18,308833.49,275596.19,1688595801681,12.69,12.64
1260610.79,11132255.15,308888.52,275533.18,1688595804662,12.69,12.64
1260611.50,11132255.15,308888.52,275533.18,1688595807662,12.69,12.64
1261409.91,11133055.46,308951.54,275596.19,1688595810762,12.69,12.64
1263436.12,11131037.34,309111.25,275436.95,1688595813652,12.69,12.64
1266196.48,11127297.92,309328.47,275142.55,1688595816684,12.69,12.64
1265393.78,11128396.78,309265.12,275228.90,1688595819696,12.69,12.64
1273001.56,11128396.78,309867.56,275228.90,1688595823087,12.69,12.64
1271299.61,11128660.88,309732.01,275249.71,1688595825655,12.69,12.64
1271299.61,11129197.71,309732.01,275291.91,1688595828667,12.69,12.64
1273063.01,11129006.94,309870.85,275277.25,1688595831835,12.69,12.64
1275565.13,11129261.23,310068.99,275297.08,1688595834710,12.69,12.64
1268503.93,11129235.92,309510.61,275294.72,1688595837727,12.69,12.64
1271004.26,11128943.28,309709.17,275271.65,1688595840702,12.69,12.64
1272272.72,11134368.92,309809.16,275698.26,1688595843789,12.69,12.64
1274739.65,11133589.35,310003.69,275636.93,1688595846819,12.69,12.64
