mp,timeStamp,mean,skew
14.02,1689774160602,4033.7977670087603,-4019.7777670087603
14.02,1689774163654,4068.586024654426,-4054.566024654426
14.02,1689774166583,4090.789626218007,-4076.769626218007
14.03,1689774169609,4138.181287702017,-4124.151287702017
14.03,1689774172644,4174.193904571641,-4160.163904571641
14.02,1689774175638,4173.767525375597,-4159.7475253755965
14.02,1689774178746,4163.089180820182,-4149.069180820182
14.03,1689774181756,4181.6380926150205,-4167.608092615021
14.03,1689774184986,4195.475231635076,-4181.445231635076
14.04,1689774187878,4147.694393160535,-4133.654393160535
14.04,1689774190691,4104.315397635161,-4090.2753976351614
14.04,1689774193705,4062.447678307555,-4048.407678307555
14.04,1689774199781,3999.7179566233835,-3985.6779566233836
14.04,1689774202888,3964.530074076159,-3950.490074076159
14.03,1689774205758,3959.703011816261,-3945.673011816261
14.03,1689774208883,3954.740816296941,-3940.7108162969407
14.04,1689774211802,3940.40372422769,-3926.36372422769
14.04,1689774214816,3925.549121425517,-3911.509121425517
14.03,1689774217857,3925.8441203102184,-3911.814120310218
14.03,1689774220946,3926.1683977961084,-3912.138397796108
14.03,1689774223862,3924.7343276660577,-3910.7043276660575
14.03,1689774229959,3920.6815955713846,-3906.6515955713844
14.04,1689774233048,3910.72905399905,-3896.68905399905
14.04,1689774236068,3900.2457499764105,-3886.2057499764105
14.03,1689774239026,3897.2912529515565,-3883.2612529515563
14.04,1689774242059,3881.5642594721876,-3867.5242594721876
14.04,1689774248082,3865.966228356321,-3851.926228356321
14.04,1689774251201,3859.6357137040904,-3845.5957137040905
14.04,1689774257324,3844.174057235031,-3830.134057235031
14.05,1689774260260,3828.8293475369433,-3814.779347536943
14.05,1689774263228,3821.654335462497,-3807.6043354624967
14.05,1689774266359,3811.72201431948,-3797.67201431948
14.05,1689774269431,3802.6929292140926,-3788.6429292140924
14.05,1689774272351,3792.4293979756117,-3778.3793979756115
14.05,1689774275335,3784.3910973340016,-3770.3410973340015
14.05,1689774281489,3775.7006968697638,-3761.6506968697636
14.05,1689774284465,3771.7572590291165,-3757.7072590291164
14.05,1689774287500,3767.467555026524,-3753.417555026524
14.05,1689774290515,3762.891094619384,-3748.841094619384
14.05,1689774293564,3760.054878442186,-3746.0048784421856
14.05,1689774296590,3757.404126467991,-3743.3541264679907
14.05,1689774302791,3751.606346942921,-3737.5563469429208
14.04,1689774305816,3740.816121242763,-3726.776121242763
14.05,1689774314953,3727.003478420049,-3712.9534784200487
14.04,1689774317992,3726.8504145866636,-3712.8104145866637
14.04,1689774321176,3726.1486587492327,-3712.1086587492327
14.04,1689774324079,3725.474876681521,-3711.434876681521
14.04,1689774327617,3725.990723333725,-3711.950723333725
14.05,1689774348848,3715.0620158795405,-3701.0120158795403
14.05,1689774351887,3714.9721185760354,-3700.9221185760352
14.06,1689774354825,3714.9446975498936,-3700.8846975498936
14.06,1689774358016,3714.297084494505,-3700.237084494505
14.06,1689774361568,3715.5788079091017,-3701.5188079091017
14.07,1689774367726,3694.03351966804,-3679.9635196680397
14.07,1689774370601,3688.3494449216923,-3674.279444921692
14.07,1689774373767,3686.8318193338127,-3672.7618193338126
14.08,1689774379866,3671.949928259186,-3657.869928259186
14.08,1689774383408,3665.3011479854977,-3651.2211479854977
14.08,1689774386914,3657.4920128882495,-3643.4120128882496
14.08,1689774389999,3651.4721362611417,-3637.392136261142
14.08,1689774393231,3645.822702415917,-3631.742702415917
14.09,1689774396421,3641.5331457846396,-3627.4431457846395
14.09,1689774399817,3638.051701106929,-3623.961701106929
14.09,1689774403233,3634.0453732327524,-3619.955373232752
14.09,1689774406747,3629.663514251032,-3615.573514251032
14.08,1689774410450,3621.0515170209246,-3606.9715170209247
14.08,1689774414103,3614.05641674933,-3599.97641674933
14.09,1689774417674,3613.588120521949,-3599.4981205219487
14.08,1689774421422,3609.343445867873,-3595.263445867873
14.07,1689774425301,3604.5698908224954,-3590.499890822495
14.07,1689774429044,3601.1733212316485,-3587.1033212316484
14.07,1689774432855,3597.6340746078217,-3583.5640746078216
14.07,1689774436802,3594.4098288862388,-3580.3398288862386
14.06,1689774440879,3587.835414387969,-3573.7754143879692
14.06,1689774445034,3584.5191705942457,-3570.4591705942457
14.06,1689774449268,3581.030541296362,-3566.970541296362
14.06,1689774453608,3578.4349971526344,-3564.3749971526345
14.05,1689774460990,3588.4435602756053,-3574.393560275605
14.05,1689774465552,3593.099084951859,-3579.0490849518587
14.03,1689774473191,3594.292015737525,-3580.262015737525
14.04,1689774478004,3592.584791712589,-3578.544791712589
14.05,1689774492218,3610.471996651054,-3596.4219966510536
14.06,1689774503619,3614.159386809216,-3600.099386809216
14.05,1689774512174,3617.1299151630774,-3603.079915163077
14.05,1689774527218,3618.165003451879,-3604.1150034518787
14.05,1689774540831,3625.009768774922,-3610.959768774922
14.05,1689774547521,3626.896915966756,-3612.8469159667557
14.05,1689774554064,3630.6464321368544,-3616.596432136854
14.04,1689774560672,3633.3799122271043,-3619.3399122271044
14.05,1689774570748,3635.1888660129866,-3621.1388660129865
14.04,1689774577761,3636.5132471148063,-3622.4732471148063
14.04,1689774591220,3639.471378939762,-3625.431378939762
14.04,1689774606089,3645.052930213706,-3631.012930213706
14.04,1689774614010,3640.6146893568252,-3626.5746893568253
14.02,1689774622069,3647.745600082484,-3633.725600082484
14.01,1689774630377,3648.4068293964892,-3634.396829396489
14.01,1689774638837,3649.9173473743267,-3635.9073473743265
13.99,1689774648455,3650.008280394678,-3636.018280394678
14,1689774657194,3644.656728533928,-3630.656728533928
14,1689774667020,3645.6425296971775,-3631.6425296971775
14,1689774675783,3647.0451241295273,-3633.0451241295273
14.01,1689774688135,3652.023966819,-3638.013966819
14,1689774703881,3661.323562079089,-3647.323562079089
14.02,1689774713380,3666.392567030344,-3652.372567030344
14.02,1689774729343,3678.5227076422893,-3664.5027076422894
14.03,1689774745535,3692.6406884231847,-3678.6106884231845
14.02,1689774774939,3719.5201839302126,-3705.5001839302126
14.02,1689774796543,3729.0241850358207,-3715.0041850358207
14.02,1689774814912,3749.601903615896,-3735.581903615896
14.03,1689774827775,3756.3891283706325,-3742.3591283706323
14.04,1689774840888,3758.2321217845606,-3744.1921217845606
