mp,timeStamp,mean,skew
17.21,1680106988238,4086.9517223728817,-4069.7417223728817
17.21,1680106994342,4051.0569070410966,-4033.8469070410965
17.21,1680106997356,3995.5089709677427,-3978.2989709677427
17.21,1680107000403,3961.8526709018956,-3944.6426709018956
17.22,1680107003357,3951.8470818552582,-3934.6270818552584
17.22,1680107006271,3949.694573664032,-3932.474573664032
17.22,1680107015455,3750.8286601980926,-3733.608660198093
17.23,1680107021267,3811.380342564097,-3794.150342564097
17.23,1680107024322,3862.421729473361,-3845.191729473361
17.23,1680107027403,3858.68159868391,-3841.45159868391
17.23,1680107030378,3895.462309650309,-3878.232309650309
17.23,1680107033445,3925.3464293187317,-3908.1164293187317
17.22,1680107036309,3910.0592727970766,-3892.839272797077
17.23,1680107045459,3938.622180699209,-3921.392180699209
17.23,1680107048452,3955.012099599145,-3937.782099599145
17.23,1680107051386,3968.7681311642655,-3951.5381311642655
17.23,1680107054631,3981.2339669022736,-3964.0039669022735
17.23,1680107060581,3970.6578606590447,-3953.4278606590447
17.23,1680107063478,3962.7649507770775,-3945.5349507770775
17.23,1680107066584,3954.420921622193,-3937.190921622193
17.23,1680107069477,3946.085216591809,-3928.855216591809
17.23,1680107081725,3916.7321901877744,-3899.5021901877744
17.24,1680107084673,3934.668972978927,-3917.428972978927
17.24,1680107090800,3961.7435684474276,-3944.503568447428
17.24,1680107093778,3972.8744310885445,-3955.6344310885447
17.23,1680107108880,3984.930229969447,-3967.700229969447
17.23,1680107115061,3974.762777006403,-3957.532777006403
17.24,1680107118464,3983.0582865396223,-3965.8182865396225
17.24,1680107121248,3988.248634434169,-3971.0086344341694
17.25,1680107139485,3949.295217742237,-3932.045217742237
17.25,1680107142373,3946.730918711151,-3929.480918711151
17.25,1680107148531,3941.5409164068697,-3924.2909164068697
17.25,1680107154498,3938.0965233663314,-3920.8465233663314
17.24,1680107172969,3936.650156150226,-3919.410156150226
17.24,1680107176024,3942.839878287135,-3925.599878287135
17.24,1680107189375,3984.0828885932888,-3966.842888593289
17.25,1680107191827,3994.9687783534782,-3977.7187783534782
17.25,1680107198587,4008.244071181587,-3990.994071181587
17.25,1680107201923,4021.220441236877,-4003.970441236877
17.25,1680107204707,4021.7520191810186,-4004.5020191810186
17.25,1680107207587,4022.601242122885,-4005.351242122885
17.25,1680107211050,4023.4198520894433,-4006.1698520894433
17.25,1680107220052,4021.0165033775784,-4003.7665033775784
17.25,1680107223029,4020.002457925195,-4002.752457925195
17.25,1680107226445,4019.2686751617075,-4002.0186751617075
17.25,1680107229430,4018.828769342001,-4001.578769342001
17.25,1680107235599,4016.6618230381587,-3999.4118230381587
17.25,1680107238868,4025.634657111449,-4008.384657111449
17.25,1680107242068,4034.3921431669805,-4017.1421431669805
17.25,1680107263960,4065.5862447296136,-4048.3362447296136
