bc,ac,tbv,tav,time,mp,minBid
2907054.62,10003353.91,430701.97,224293.63,1683154846580,17.3,17.23
2902975.21,10014067.06,430467.08,224913.10,1683154849195,17.29,17.22
2899528.63,9993977.81,430271.17,223753.22,1683154851845,17.29,17.22
2899965.31,10008778.10,430296.47,224609.56,1683154855515,17.29,17.22
2902088.41,10008778.10,430419.35,224609.56,1683154857623,17.29,17.22
2903940.44,10014047.78,430526.93,224914.38,1683154860694,17.29,17.21
2905743.42,10014290.44,430631.67,224928.97,1683154863779,17.29,17.21
2900316.80,10018670.42,430316.57,225181.91,1683154866655,17.29,17.21
2900477.60,10016700.51,430326.47,225068.49,1683154870105,17.29,17.21
2901653.11,10016700.51,430394.47,225068.49,1683154872611,17.29,17.21
2902152.98,10016700.51,430423.42,225068.49,1683154875693,17.29,17.21
2901642.28,10016911.95,430393.84,225080.96,1683154878653,17.29,17.21
2901642.28,10019413.35,430393.84,225225.89,1683154881661,17.29,17.21
2901642.28,10019413.35,430393.84,225225.89,1683154884621,17.29,17.21
2901003.52,10019415.68,430356.98,225225.89,1683154887685,17.29,17.21
2896068.12,10015003.94,430071.58,224970.76,1683154890662,17.29,17.21
2905133.71,10019791.55,430595.45,225247.50,1683154893699,17.29,17.21
2904029.93,10019791.55,430531.60,225247.50,1683154896645,17.29,17.21
2901492.33,10016366.12,430384.18,225050.24,1683154899683,17.29,17.21
2898743.28,10023946.56,430224.96,225488.58,1683154902614,17.29,17.21
2898743.28,10018482.11,430224.96,225173.18,1683154905783,17.29,17.21
2893901.70,10014160.02,429947.56,224923.03,1683154908680,17.29,17.21
2897123.37,10014953.07,430133.63,224968.98,1683154911723,17.29,17.21
2897123.37,10015903.99,430133.63,225023.93,1683154914811,17.29,17.21
2897123.37,10015903.99,430133.63,225023.93,1683154917742,17.29,17.21
2900174.15,10019548.66,430309.80,225235.76,1683154920674,17.29,17.21
2900634.53,10019548.66,430336.46,225235.76,1683154923704,17.29,17.21
2900634.53,10019548.66,430336.46,225235.76,1683154926727,17.29,17.21
2900629.94,10019548.66,430336.46,225235.76,1683154929701,17.29,17.21
2900629.94,10019889.29,430336.46,225255.11,1683154932709,17.29,17.21
2900619.96,10019889.29,430335.88,225255.11,1683154935707,17.29,17.21
2890905.07,10013703.97,429777.60,224901.92,1683154939006,17.28,17.21
2871377.33,10017909.76,428668.38,225150.54,1683154941797,17.28,17.2
2882491.50,10019569.46,429314.65,225246.56,1683154944702,17.28,17.2
2876632.26,10008374.63,428975.28,224599.52,1683154947758,17.28,17.2
2881782.35,10023124.92,429273.90,225452.37,1683154950660,17.28,17.2
2882480.79,10016760.49,429315.83,225085.23,1683154953751,17.27,17.2
2888373.67,10025187.53,429670.63,225575.65,1683154956654,17.27,17.2
2887871.45,10022963.52,429641.54,225447.05,1683154959646,17.27,17.2
2890896.33,10021459.17,429816.84,225360.24,1683154962725,17.27,17.2
2883097.32,10022496.96,429365.59,225421.59,1683154965801,17.27,17.19
2884181.95,10026294.78,429428.43,225641.35,1683154968766,17.27,17.19
2882231.10,10027884.60,429316.85,225746.31,1683154971737,17.26,17.19
2875908.96,10035955.67,428950.45,226214.18,1683154974697,17.26,17.19
2877684.60,10034833.07,429054.07,226148.45,1683154977713,17.26,17.19
2914025.62,10008966.40,431159.70,224649.80,1683154980649,17.26,17.19
2893874.61,10017705.58,429991.93,225155.07,1683154983814,17.26,17.19
2882316.18,10014834.04,429322.52,224989.83,1683154986656,17.26,17.19
2883565.80,10021518.45,429395.01,225377.43,1683154989840,17.26,17.19
2882966.15,10021518.45,429360.25,225377.43,1683154992718,17.26,17.19
2894561.22,10020378.79,430031.81,225311.16,1683154995788,17.26,17.19
2894761.18,10020378.74,430043.40,225311.16,1683154998658,17.26,17.19
2894762.28,10015930.41,430043.40,225053.12,1683155001737,17.26,17.19
2894762.28,10020393.11,430043.40,225311.38,1683155004686,17.26,17.19
2893037.43,10019892.97,429943.41,225282.45,1683155007679,17.26,17.19
2892485.55,10025163.42,429909.96,225587.92,1683155011109,17.26,17.19
2894211.16,10009081.34,430009.86,224656.91,1683155013659,17.26,17.19
2894211.22,10015934.92,430009.87,225053.53,1683155016783,17.26,17.19
2892485.22,10012650.94,429909.87,224864.50,1683155019747,17.26,17.19
2883187.46,10006418.44,429371.34,224503.99,1683155022738,17.26,17.19
2883187.46,10006417.92,429371.34,224503.99,1683155025683,17.26,17.19
2891307.76,10010670.04,429841.61,224749.93,1683155028725,17.26,17.19
2891307.76,10014420.41,429841.61,224966.98,1683155031706,17.26,17.19
2883164.75,10014170.54,429370.02,224952.51,1683155034683,17.26,17.19
2883164.75,10014170.54,429370.02,224952.51,1683155037717,17.26,17.19
2881444.69,10031325.89,429270.43,225945.54,1683155040788,17.26,17.19
2886394.71,10030075.18,429557.49,225873.15,1683155044103,17.26,17.19
2876840.89,10016220.82,429003.95,225072.17,1683155047119,17.26,17.19
2876840.25,10023838.59,429003.94,225513.71,1683155050209,17.26,17.19
2876840.17,10027837.56,429003.94,225745.25,1683155053750,17.26,17.19
2892032.30,10023347.52,429892.26,225496.08,1683155057364,17.26,17.18
2887322.08,10022066.91,429621.18,225424.52,1683155061040,17.25,17.18
2889872.97,10021189.85,429769.46,225375.15,1683155064101,17.25,17.18
2889801.27,10021184.79,429765.33,225375.11,1683155067053,17.25,17.18
2890179.42,10019050.38,429788.81,225255.15,1683155070153,17.25,17.18
2891272.05,10013608.73,429849.72,224938.45,1683155074166,17.25,17.18
2888619.44,10023743.35,429695.63,225525.04,1683155077257,17.26,17.18
2890698.55,10025468.63,429816.38,225625.07,1683155081517,17.25,17.18
2890607.61,10022299.35,429811.17,225441.71,1683155086297,17.25,17.18
