mp,timeStamp,mean,skew
14.05,1685586170969,3089.5781354109586,-3075.5281354109584
14.05,1685586173961,3070.4899289115674,-3056.439928911567
14.05,1685586186031,3078.1964420885356,-3064.1464420885354
14.05,1685586189003,3077.430619639728,-3063.3806196397277
14.05,1685586195212,3066.158006199545,-3052.108006199545
14.05,1685586198012,3060.2063601372683,-3046.156360137268
14.05,1685586201107,3055.3267521673934,-3041.276752167393
14.05,1685586213260,3169.1678717323466,-3155.1178717323464
14.05,1685586216151,3188.5172147508492,-3174.467214750849
14.05,1685586219211,3205.2425766989395,-3191.1925766989393
14.05,1685586222198,3220.0586507534126,-3206.0086507534124
14.05,1685586225604,3233.2747466054598,-3219.2247466054596
14.05,1685586228233,3245.3921189757484,-3231.3421189757482
14.05,1685586231356,3256.321359379859,-3242.271359379859
14.05,1685586234293,3266.229048994109,-3252.1790489941086
14.05,1685586249445,3318.144634862953,-3304.0946348629527
14.05,1685586270804,3361.243393178383,-3347.193393178383
14.05,1685586295352,3390.7792872801615,-3376.7292872801613
14.05,1685586307663,3402.123234642137,-3388.073234642137
14.05,1685586344957,3413.9552932578104,-3399.90529325781
14.05,1685586348472,3413.6196463241954,-3399.569646324195
14.05,1685586351791,3413.2954846983857,-3399.2454846983856
14.05,1685586358343,3413.216818905146,-3399.1668189051456
14.05,1685586361993,3412.832577113739,-3398.7825771137386
14.05,1685586365684,3412.711569962584,-3398.6615699625836
14.05,1685586369455,3412.3474944079635,-3398.2974944079633
14.05,1685586373349,3412.2677258143726,-3398.2177258143724
14.05,1685586377326,3412.4297482575635,-3398.3797482575633
14.05,1685586381404,3412.351048846733,-3398.301048846733
14.05,1685586385572,3412.5071648780613,-3398.457164878061
14.05,1685586389777,3412.4296042569463,-3398.379604256946
14.05,1685586394168,3412.412477612185,-3398.3624776121846
14.05,1685586398491,3412.3957083770597,-3398.3457083770595
14.05,1685586402849,3412.8102797522124,-3398.760279752212
14.05,1685586407232,3412.996784419087,-3398.9467844190867
14.05,1685586411747,3413.3482907978732,-3399.298290797873
14.05,1685586416475,3413.453094012243,-3399.403094012243
14.05,1685586421101,3413.5774885080673,-3399.527488508067
14.05,1685586425863,3413.2586141566608,-3399.2086141566606
14.05,1685586430736,3412.591342491597,-3398.541342491597
14.05,1685586435802,3411.9395266028328,-3397.8895266028326
14.05,1685586441113,3411.9977597642414,-3397.9477597642413
14.05,1685586446218,3412.0545578405668,-3398.0045578405666
14.05,1685586451488,3412.109967942818,-3398.059967942818
14.05,1685586456795,3412.317529597599,-3398.2675295975987
14.05,1685586465479,3413.1403413326634,-3399.0903413326632
14.05,1685586480686,3412.124693548316,-3398.0746935483157
14.05,1685586486902,3412.297122802502,-3398.247122802502
14.05,1685586493282,3412.465732970661,-3398.415732970661
14.05,1685586499652,3412.630630612377,-3398.580630612377
14.05,1685586506287,3412.788989737585,-3398.7389897375847
14.05,1685586512924,3412.943954193349,-3398.8939541933487
14.05,1685586519862,3412.970533403116,-3398.9205334031158
14.05,1685586527119,3413.0702496027575,-3399.0202496027573
14.05,1685586535191,3413.1679263290685,-3399.1179263290683
14.05,1685586545808,3411.4828336217784,-3397.432833621778
14.05,1685586553100,3410.7543844772185,-3396.7043844772184
14.05,1685586560458,3409.884462227479,-3395.834462227479
14.05,1685586571430,3410.7759957506587,-3396.7259957506585
14.05,1685586588636,3414.1682129579694,-3400.1182129579693
14.05,1685586596984,3414.854012335642,-3400.804012335642
14.05,1685586605515,3415.484449157227,-3401.434449157227
14.06,1685586627324,3408.2943239958786,-3394.2343239958786
14.06,1685586639977,3401.6351018323476,-3387.5751018323476
14.06,1685586656231,3392.2319549626013,-3378.1719549626014
14.06,1685586682508,3376.282174160914,-3362.222174160914
14.06,1685586693927,3373.558570499882,-3359.498570499882
14.06,1685586705678,3371.8955634378026,-3357.8355634378026
14.06,1685586717572,3369.8798879617893,-3355.8198879617894
14.07,1685586735951,3376.4139289337954,-3362.3439289337953
14.07,1685586748399,3378.2036697666244,-3364.1336697666243
14.07,1685586770722,3374.4457192977325,-3360.3757192977323
14.07,1685586784118,3373.7998322960657,-3359.7298322960655
14.07,1685586797638,3373.2347926748084,-3359.1647926748083
14.07,1685586811806,3372.9813774803392,-3358.911377480339
14.07,1685586829307,3371.5400019618387,-3357.4700019618385
14.07,1685586846686,3377.1977732723917,-3363.1277732723916
14.07,1685586861202,3379.566028622771,-3365.4960286227706
14.07,1685586882413,3384.2282379743947,-3370.1582379743945
14.07,1685586897626,3386.092031670266,-3372.0220316702657
14.07,1685586913089,3387.9721752565965,-3373.9021752565964
14.07,1685586928575,3389.9709403524284,-3375.9009403524283
14.07,1685586944188,3391.9443026137533,-3377.874302613753
14.07,1685586959948,3394.2197983729216,-3380.1497983729214
14.07,1685586975877,3396.462905935798,-3382.392905935798
14.07,1685586991935,3398.667476658524,-3384.5974766585236
14.07,1685587008141,3400.5077585435515,-3386.4377585435514
14.07,1685587024393,3402.6530267657026,-3388.5830267657025
14.07,1685587040710,3404.90968721482,-3390.83968721482
14.07,1685587057326,3407.026527757198,-3392.956527757198
14.07,1685587077469,3410.5165422098203,-3396.44654220982
14.07,1685587094594,3412.195705842719,-3398.1257058427186
14.07,1685587111807,3413.7884613026613,-3399.718461302661
14.07,1685587135734,3418.4106699984313,-3404.340669998431
14.07,1685587160611,3421.70430755765,-3407.6343075576497
14.07,1685587179651,3422.7563339826447,-3408.6863339826446
14.07,1685587198600,3423.7941871141043,-3409.724187114104
14.07,1685587217555,3424.7621255805975,-3410.6921255805973
14.06,1685587243288,3416.0391164735306,-3401.9791164735307
14.06,1685587263156,3413.064920205635,-3399.0049202056352
14.06,1685587293146,3400.148707165692,-3386.088707165692
14.06,1685587317568,3394.723068448624,-3380.663068448624
14.06,1685587339272,3394.706603312943,-3380.646603312943
14.06,1685587364392,3394.6558960929115,-3380.5958960929115
14.05,1685587390012,3388.264910107397,-3374.214910107397
14.05,1685587426487,3371.560661272616,-3357.510661272616
14.04,1685587450844,3368.8985300975037,-3354.8585300975037
14.04,1685587478913,3367.0680860066213,-3353.0280860066214
14.04,1685587507233,3368.4449815044304,-3354.4049815044305
14.04,1685587532604,3368.608465999985,-3354.568465999985
14.04,1685587561515,3369.5916797847804,-3355.5516797847804
14.04,1685587604730,3371.534168314523,-3357.494168314523
14.04,1685587646811,3372.5749200518694,-3358.5349200518694
14.04,1685587684039,3373.7644448994542,-3359.7244448994543
14.03,1685587736148,3349.727967836125,-3335.697967836125
14.03,1685587774145,3343.275350351345,-3329.2453503513448
14.02,1685587812798,3339.73100206992,-3325.71100206992
13.99,1685589426863,3315.6668757352486,-3301.676875735249
14,1685589481845,3313.034743880157,-3299.034743880157
14,1685589534510,3311.7161365299767,-3297.7161365299767
14,1685589587317,3310.685484776782,-3296.685484776782
14.03,1685589643698,3309.609064263555,-3295.5790642635548
14.02,1685589697442,3308.789344975639,-3294.769344975639
14.04,1685589751535,3307.8185616196924,-3293.7785616196925
14.03,1685589806022,3307.7028587623636,-3293.6728587623634
14.02,1685589860756,3307.0737459326974,-3293.0537459326974
14.03,1685589929650,3313.0012263587223,-3298.971226358722
14.03,1685589986778,3312.4147337300697,-3298.3847337300695
14.03,1685590051250,3315.1757482821226,-3301.1457482821224
14.02,1685590109940,3316.044603347484,-3302.024603347484
14.02,1685590169170,3316.73829123591,-3302.71829123591
14.03,1685590228250,3317.6486994326333,-3303.618699432633
14.02,1685590298411,3322.9525299739043,-3308.9325299739044
14.03,1685590359581,3326.7373457386875,-3312.7073457386873
14.03,1685590424133,3332.936821954608,-3318.906821954608
14.03,1685590486215,3332.24162392462,-3318.2116239246197
14.04,1685590548598,3333.1741473441853,-3319.1341473441853
14.03,1685590621708,3339.8863994787844,-3325.856399478784
14.03,1685590686509,3340.92517091962,-3326.89517091962
14.02,1685590764055,3343.781699419709,-3329.761699419709
14.01,1685590832925,3344.591133366477,-3330.581133366477
14.01,1685590899280,3344.7495680331567,-3330.7395680331565
14.02,1685590969134,3346.57651373912,-3332.55651373912
14.01,1685591036762,3347.9421806295336,-3333.9321806295334
14.01,1685591104473,3349.162970518515,-3335.152970518515
14.01,1685591172562,3350.36218084113,-3336.3521808411297
14.01,1685591241524,3350.4168729352778,-3336.4068729352775
14.01,1685591310803,3351.724079994682,-3337.714079994682
14.01,1685591380560,3352.8914904705784,-3338.8814904705782
14.01,1685591450864,3353.954056936364,-3339.9440569363637
14.01,1685591521407,3355.3308702984627,-3341.3208702984625
14.02,1685591592645,3354.787058801453,-3340.767058801453
14.02,1685591663973,3355.6854402043105,-3341.6654402043105
14.02,1685591735905,3356.5892867424022,-3342.5692867424023
14.02,1685591812010,3357.785037726256,-3343.765037726256
14.02,1685591885561,3358.666139710925,-3344.646139710925
14.03,1685591959258,3360.888384438358,-3346.858384438358
14.03,1685592033318,3362.9966866980412,-3348.966686698041
14.03,1685592107599,3364.54078371684,-3350.51078371684
14.03,1685592193316,3366.4996042778107,-3352.4696042778105
14.04,1685592268239,3366.2188739828866,-3352.1788739828867
14.04,1685592354240,3370.288725415616,-3356.2487254156163
14.04,1685592431421,3371.1463386854834,-3357.1063386854835
14.04,1685592508712,3371.4903851121094,-3357.4503851121094
14.04,1685592586674,3372.1548784736865,-3358.1148784736865
14.05,1685592664723,3371.9242621867534,-3357.874262186753
14.04,1685592746632,3371.36604290643,-3357.32604290643
14.04,1685592832882,3374.537403602193,-3360.497403602193
14.05,1685592913641,3374.508244305676,-3360.4582443056756
14.04,1685592994930,3375.530829430332,-3361.490829430332
14.04,1685593080008,3375.877032255904,-3361.837032255904
14.03,1685593162859,3376.6201751809485,-3362.5901751809483
14.04,1685593245780,3377.501543370171,-3363.461543370171
14.05,1685593329156,3378.1393907103984,-3364.089390710398
14.04,1685593428529,3380.0573256186876,-3366.0173256186877
14.04,1685593513104,3380.697854564931,-3366.657854564931
14.04,1685593598125,3381.6759142919177,-3367.6359142919177
14.04,1685593686905,3383.1943843892973,-3369.1543843892973
14.04,1685593780283,3385.317837317648,-3371.277837317648
14.04,1685593868403,3386.2131789630907,-3372.173178963091
14.06,1685593957311,3387.308778872567,-3373.248778872567
14.06,1685594046353,3389.148076564523,-3375.088076564523
14.07,1685594136324,3388.641596771205,-3374.571596771205
14.08,1685594226657,3388.068404962702,-3373.988404962702
14.07,1685594334381,3387.0920532158652,-3373.022053215865
14.07,1685594425715,3387.2174795371084,-3373.147479537108
14.06,1685594517853,3386.076361331365,-3372.0163613313653
14.06,1685594610330,3386.078697118531,-3372.0186971185312
14.07,1685594703301,3385.062152263351,-3370.992152263351
